,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
,2017,SDA04ARE1217R,RDA04ARE1217R,DDA04ARE1217R,DDB04ARE1217R,DDH04ARE1217R,"DDW04ARE1217R
:unselected:","DDI04ARE1217R
:unselected:","DD304ARE1217R
:unselected:",DD404ARE1217R,DD204ARE1217R,DDS04ARE1217R,DDE04ARE1217R,DDL04ARE1217R,
At Masters Grade Level or Above,2018,SDA04ARE1318R,RDA04ARE1318R,DDA04ARE1318R,DDB04ARE1318R,"DDH04ARE1318R
:unselected:","DDW04ARE1318R
:unselected:","DDI04ARE1318R
:unselected:",DD304ARE1318R,DD404ARE1318R,DD204ARE1318R,DDS04ARE1318R,DDE04ARE1318R,DDL04ARE1318R,
,2017,SDA04ARE1317R,RDA04ARE1317R,DDA04ARE1317R,DDB04ARE1317R,DDH04ARE1317R,"DDW04ARE1317R
:unselected:","DDI04ARE1317R
:unselected:",DD304ARE1317R,DD404ARE1317R,DD204ARE1317R,DDS04ARE1317R,DDE04ARE1317R,DDL04ARE1317R,
Grade 4 Mathematics,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA04AMA1S18R,RDA04AMA1S18R,DDA04AMA1S18R,DDB04AMA1S18R,DDH04AMA1S18R,DDW04AMA1S18R,"DDI04AMA1S18R
:unselected:",DD304AMA1S18R,DD404AMA1S18R,DD204AMA1S18R,DDS04AMA1S18R,DDE04AMA1S18R,DDL04AMA1S18R,
,2017,SDA04AMA1S17R,RDA04AMA1S17R,DDA04AMA1S17R,DDB04AMA1S17R,DDH04AMA1S17R,DDW04AMA1S17R,"DDI04AMA1S17R
:unselected:",DD304AMA1S17R,DD404AMA1S17R,DD204AMA1S17R,DDS04AMA1S17R,DDE04AMA1S17R,DDL04AMA1S17R,
At Meets Grade Level or Above,2018,SDA04AMA1218R,RDA04AMA1218R,DDA04AMA1218R,DDB04AMA1218R,DDH04AMA1218R,DDW04AMA1218R,"DDI04AMA1218R
:unselected:",DD304AMA1218R,DD404AMA1218R,DD204AMA1218R,DDS04AMA1218R,DDE04AMA1218R,DDL04AMA1218R,
,2017,SDA04AMA1217R,RDA04AMA1217R,DDA04AMA1217R,DDB04AMA1217R,DDH04AMA1217R,DDW04AMA1217R,DDI04AMA1217R,DD304AMA1217R,DD404AMA1217R,DD204AMA1217R,DDS04AMA1217R,DDE04AMA1217R,DDL04AMA1217R,
At Masters Grade Level or Above,2018,SDA04AMA1318R,RDA04AMA1318R,DDA04AMA1318R,DDB04AMA1318R,DDH04AMA1318R,"DDW04AMA1318R
:unselected:","DDI04AMA1318R
:unselected:",DD304AMA1318R,DD404AMA1318R,DD204AMA1318R,DDS04AMA1318R,DDE04AMA1318R,DDL04AMA1318R,
,2017,SDA04AMA1317R,RDA04AMA1317R,DDA04AMA1317R,DDB04AMA1317R,DDH04AMA1317R,DDW04AMA1317R,"DDI04AMA1317R
:unselected:",DD304AMA1317R,DD404AMA1317R,DD204AMA1317R,DDS04AMA1317R,DDE04AMA1317R,DDL04AMA1317R,
