,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
At Approaches Grade Level or Above,2018,SDA07AMA1S18R,RDA07AMA1S18R,DDA07AMA1S18R,"DDB07AMA1S18R
:unselected:","DDH07AMA1S18R
:unselected:","DDW07AMA1S18R
:unselected:","DDI07AMA1S18R
:unselected:","DD307AMA1S18R
:unselected:","DD407AMA1S18R
:unselected:",DD207AMA1S18R,DDS07AMA1S18R,DDE07AMA1S18R,DDL07AMA1S18R,
,2017,SDA07AMA1S17R,RDA07AMA1S17R,DDA07AMA1S17R,DDB07AMA1S17R,"DDH07AMA1S17R
:unselected:","DDW07AMA1S17R
:unselected:","DDI07AMA1S17R
:unselected:","DD307AMA1S17R
:unselected:","DD407AMA1S17R
:unselected:",DD207AMA1S17R,DDS07AMA1S17R,DDE07AMA1S17R,DDL07AMA1S17R,
At Meets Grade Level or Above,2018,SDA07AMA1218R,RDA07AMA1218R,DDA07AMA1218R,"DDB07AMA1218R
:unselected:","DDH07AMA1218R
:unselected:","DDW07AMA1218R
:unselected:","DDI07AMA1218R
:unselected:","DD307AMA1218R
:unselected:","DD407AMA1218R
:unselected:","DD207AMA1218R
:unselected:",DDS07AMA1218R,DDE07AMA1218R,DDL07AMA1218R,
,2017,SDA07AMA1217R,RDA07AMA1217R,DDA07AMA1217R,DDB07AMA1217R,"DDH07AMA1217R
:unselected:","DDW07AMA1217R
:unselected:","DDI07AMA1217R
:unselected:","DD307AMA1217R
:unselected:",DD407AMA1217R,DD207AMA1217R,DDS07AMA1217R,DDE07AMA1217R,DDL07AMA1217R,
At Masters Grade Level or Above,2018,SDA07AMA1318R,RDA07AMA1318R,DDA07AMA1318R,DDB07AMA1318R,"DDH07AMA1318R
:unselected:","DDW07AMA1318R
:unselected:","DDI07AMA1318R
:unselected:","DD307AMA1318R
:unselected:",DD407AMA1318R,DD207AMA1318R,DDS07AMA1318R,DDE07AMA1318R,DDL07AMA1318R,
,2017,SDA07AMA1317R,RDA07AMA1317R,DDA07AMA1317R,DDB07AMA1317R,"DDH07AMA1317R
:unselected:","DDW07AMA1317R
:unselected:","DDI07AMA1317R
:unselected:","DD307AMA1317R
:unselected:","DD407AMA1317R
:unselected:","DD207AMA1317R
:unselected:",DDS07AMA1317R,DDE07AMA1317R,DDL07AMA1317R,
Grade 7 Writing,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA07AWR1S18R,RDA07AWR1S18R,DDA07AWR1S18R,"DDB07AWR1S18R
:unselected:","DDH07AWR1S18R
:unselected:","DDW07AWR1S18R
:unselected:","DDI07AWR1S18R
:unselected:","DD307AWR1S18R
:unselected:",DD407AWR1S18R,DD207AWR1S18R,DDS07AWR1S18R,DDE07AWR1S18R,DDL07AWR1S18R,
,2017,SDA07AWR1S17R,RDA07AWR1S17R,DDA07AWR1S17R,"DDB07AWR1S17R
:unselected:","DDH07AWR1S17R
:unselected:","DDW07AWR1S17R
:unselected:","DDI07AWR1S17R
:unselected:","DD307AWR1S17R
:unselected:","DD407AWR1S17R
:unselected:","DD207AWR1S17R
:unselected:",DDS07AWR1S17R,DDE07AWR1S17R,DDL07AWR1S17R,
At Meets Grade Level or Above,2018,SDA07AWR1218R,RDA07AWR1218R,DDA07AWR1218R,"DDB07AWR1218R
:unselected:","DDH07AWR1218R
:unselected:","DDW07AWR1218R
:unselected:","DDI07AWR1218R
:unselected:","DD307AWR1218R
:unselected:",DD407AWR1218R,DD207AWR1218R,DDS07AWR1218R,DDE07AWR1218R,DDL07AWR1218R,
,2017,SDA07AWR1217R,RDA07AWR1217R,DDA07AWR1217R,"DDB07AWR1217R
:unselected:","DDH07AWR1217R
:unselected:","DDW07AWR1217R
:unselected:","DDI07AWR1217R
:unselected:","DD307AWR1217R
:unselected:",DD407AWR1217R,DD207AWR1217R,DDS07AWR1217R,DDE07AWR1217R,DDL07AWR1217R,
At Masters Grade Level or Above,2018,SDA07AWR1318R,RDA07AWR1318R,DDA07AWR1318R,"DDB07AWR1318R
:unselected:","DDH07AWR1318R
:unselected:","DDW07AWR1318R
:unselected:","DDI07AWR1318R
:unselected:","DD307AWR1318R
:unselected:",DD407AWR1318R,DD207AWR1318R,DDS07AWR1318R,DDE07AWR1318R,DDL07AWR1318R,
,2017,SDA07AWR1317R,RDA07AWR1317R,DDA07AWR1317R,DDB07AWR1317R,"DDH07AWR1317R
:unselected:","DDW07AWR1317R
:unselected:","DDI07AWR1317R
:unselected:","DD307AWR1317R
:unselected:",DD407AWR1317R,DD207AWR1317R,DDS07AWR1317R,DDE07AWR1317R,DDL07AWR1317R,
Grade 8 Reading^^,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA08ARE1S18R,RDA08ARE1S18R,DDA08ARE1S18R,"DDB08ARE1S18R
:unselected:","DDH08ARE1S18R
:unselected:","DDW08ARE1S18R
:unselected:","DDI08ARE1S18R
:unselected:","DD308ARE1S18R
:unselected:","DD408ARE1S18R
:unselected:","DD208ARE1S18R
:unselected:","DDS08ARE1S18R
:unselected:",DDE08ARE1S18R,DDL08ARE1S18R,
,2017,SDA08ARE1S17R,RDA08ARE1S17R,"DDA08ARE1S17R
:unselected:",DDB08ARE1S17R,"DDH08ARE1S17R
:unselected:","DDW08ARE1S17R
:unselected:","DDI08ARE1S17R
:unselected:","DD308ARE1S17R
:unselected:","DD408ARE1S17R
:unselected:","DD208ARE1S17R
:unselected:","DDS08ARE1S17R
:unselected:",DDE08ARE1S17R,DDL08ARE1S17R,
At Meets Grade Level or Above,2018,SDA08ARE1218R,RDA08ARE1218R,"DDA08ARE1218R
:unselected:","DDB08ARE1218R
:unselected:","DDH08ARE1218R
:unselected:","DDW08ARE1218R
:unselected:","DDI08ARE1218R
:unselected:","DD308ARE1218R
:unselected:","DD408ARE1218R
:unselected:",DD208ARE1218R,"DDS08ARE1218R
:unselected:",DDE08ARE1218R,DDL08ARE1218R,
,2017,SDA08ARE1217R,RDA08ARE1217R,"DDA08ARE1217R
:unselected:","DDB08ARE1217R
:unselected:","DDH08ARE1217R
:unselected:","DDW08ARE1217R
:unselected:","DDI08ARE1217R
:unselected:","DD308ARE1217R
:unselected:",DD408ARE1217R,DD208ARE1217R,"DDS08ARE1217R
:unselected:",DDE08ARE1217R,DDL08ARE1217R,
At Masters Grade Level or Above,2018,SDA08ARE1318R,RDA08ARE1318R,"DDA08ARE1318R
:unselected:","DDB08ARE1318R
:unselected:","DDH08ARE1318R
:unselected:","DDW08ARE1318R
:unselected:","DDI08ARE1318R
:unselected:","DD308ARE1318R
:unselected:",DD408ARE1318R,DD208ARE1318R,"DDS08ARE1318R
:unselected:",DDE08ARE1318R,DDL08ARE1318R,
,2017,SDA08ARE1317R,RDA08ARE1317R,"DDA08ARE1317R
:unselected:","DDB08ARE1317R
:unselected:","DDH08ARE1317R
:unselected:","DDW08ARE1317R
:unselected:","DDI08ARE1317R
:unselected:","DD308ARE1317R
:unselected:",DD408ARE1317R,DD208ARE1317R,"DDS08ARE1317R
:unselected:",DDE08ARE1317R,DDL08ARE1317R,
Grade 8 Mathematics^^,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA08AMA1S18R,RDA08AMA1S18R,DDA08AMA1S18R,"DDB08AMA1S18R
:unselected:","DDH08AMA1S18R
:unselected:","DDW08AMA1S18R
:unselected:","DDI08AMA1S18R
:unselected:","DD308AMA1S18R
:unselected:","DD408AMA1S18R
:unselected:","DD208AMA1S18R
:unselected:","DDS08AMA1S18R
:unselected:",DDE08AMA1S18R,DDL08AMA1S18R,
,2017,SDA08AMA1S17R,RDA08AMA1S17R,DDA08AMA1S17R,DDB08AMA1S17R,"DDH08AMA1S17R
:unselected:","DDW08AMA1S17R
:unselected:","DDI08AMA1S17R
:unselected:","DD308AMA1S17R
:unselected:","DD408AMA1S17R
:unselected:","DD208AMA1S17R
:unselected:","DDS08AMA1S17R
:unselected:",DDE08AMA1S17R,DDL08AMA1S17R,
At Meets Grade Level or Above,2018,SDA08AMA1218R,RDA08AMA1218R,DDA08AMA1218R,"DDB08AMA1218R
:unselected:","DDH08AMA1218R
:unselected:","DDW08AMA1218R
:unselected:","DDI08AMA1218R
:unselected:","DD308AMA1218R
:unselected:","DD408AMA1218R
:unselected:","DD208AMA1218R
:unselected:","DDS08AMA1218R
:unselected:",DDE08AMA1218R,DDL08AMA1218R,
,2017,SDA08AMA1217R,RDA08AMA1217R,"DDA08AMA1217R
:unselected:",DDB08AMA1217R,"DDH08AMA1217R
:unselected:","DDW08AMA1217R
:unselected:","DDI08AMA1217R
:unselected:","DD308AMA1217R
:unselected:","DD408AMA1217R
:unselected:","DD208AMA1217R
:unselected:",DDS08AMA1217R,DDE08AMA1217R,DDL08AMA1217R,
At Masters Grade Level or Above,2018 2017,SDA08AMA1318R SDA08AMA1317R,RDA08AMA1318R RDA08AMA1317R,"DDA08AMA1318R DDA08AMA1317R
:unselected:",DDB08AMA1318R DDB08AMA1317R,"DDH08AMA1318R DDH08AMA1317R
:unselected:
:unselected:","DDW08AMA1318R DDW08AMA1317R
:unselected:
:unselected:","DDI08AMA1318R DDI08AMA1317R
:unselected:
:unselected:","DD308AMA1318R DD308AMA1317R
:unselected:","DD408AMA1318R DD408AMA1317R
:unselected:
:unselected:","DD208AMA1318R DD208AMA1317R
:unselected:",DDS08AMA1318R DDS08AMA1317R,DDE08AMA1318R DDE08AMA1317R,DDL08AMA1318R DDL08AMA1317R,
Grade 8 Science,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA08ASC1S18R,RDA08ASC1S18R,DDA08ASC1S18R,"DDB08ASC1S18R
:unselected:","DDH08ASC1S18R
:unselected:","DDW08ASC1S18R
:unselected:","DDI08ASC1S18R
:unselected:","DD308ASC1S18R
:unselected:","DD408ASC1S18R
:unselected:","DD208ASC1S18R
:unselected:","DDS08ASC1S18R
:unselected:",DDE08ASC1S18R,DDL08ASC1S18R,
,2017,SDA08ASC1S17R,RDA08ASC1S17R,"DDA08ASC1S17R
:unselected:","DDB08ASC1S17R
:unselected:","DDH08ASC1S17R
:unselected:","DDW08ASC1S17R
:unselected:","DDI08ASC1S17R
:unselected:","DD308ASC1S17R
:unselected:","DD408ASC1S17R
:unselected:","DD208ASC1S17R
:unselected:","DDS08ASC1S17R
:unselected:",DDE08ASC1S17R,DDL08ASC1S17R,
At Meets Grade Level or Above,2018,SDA08ASC1218R,RDA08ASC1218R,"DDA08ASC1218R
:unselected:","DDB08ASC1218R
:unselected:","DDH08ASC1218R
:unselected:","DDW08ASC1218R
:unselected:","DDI08ASC1218R
:unselected:","DD308ASC1218R
:unselected:","DD408ASC1218R
:unselected:",DD208ASC1218R,"DDS08ASC1218R
:unselected:",DDE08ASC1218R,DDL08ASC1218R,
,2017,SDA08ASC1217R,RDA08ASC1217R,"DDA08ASC1217R
:unselected:","DDB08ASC1217R
:unselected:","DDH08ASC1217R
:unselected:","DDW08ASC1217R
:unselected:","DDI08ASC1217R
:unselected:","DD308ASC1217R
:unselected:","DD408ASC1217R
:unselected:",DD208ASC1217R,"DDS08ASC1217R
:unselected:",DDE08ASC1217R,DDL08ASC1217R,
At Masters Grade Level or Above,2018 2017,SDA08ASC1318R SDA08ASC1317R,RDA08ASC1318R RDA08ASC1317R,"DDA08ASC1318R DDA08ASC1317R
:unselected:
:unselected:","DDB08ASC1318R DDB08ASC1317R
:unselected:
:unselected:","DDH08ASC1318R DDH08ASC1317R
:unselected:
:unselected:","DDW08ASC1318R DDW08ASC1317R
:unselected:
:unselected:","DDI08ASC1318R DDI08ASC1317R
:unselected:
:unselected:","DD308ASC1318R DD308ASC1317R
:unselected:
:unselected:","DD408ASC1318R DD408ASC1317R
:unselected:
:unselected:","DD208ASC1318R DD208ASC1317R
:unselected:","DDS08ASC1318R DDS08ASC1317R
:unselected:",DDE08ASC1318R DDE08ASC1317R,DDL08ASC1318R DDL08ASC1317R,
Grade 8 Social Studies,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA08ASS1S18R,RDA08ASS1S18R,DDA08ASS1S18R,"DDB08ASS1S18R
:unselected:","DDH08ASS1S18R
:unselected:","DDW08ASS1S18R
:unselected:","DDI08ASS1S18R
:unselected:","DD308ASS1S18R
:unselected:","DD408ASS1S18R
:unselected:","DD208ASS1S18R
:unselected:","DDS08ASS1S18R
:unselected:",DDE08ASS1S18R,DDL08ASS1S18R,
,2017,SDA08ASS1S17R,RDA08ASS1S17R,"DDA08ASS1S17R
:unselected:","DDB08ASS1S17R
:unselected:","DDH08ASS1S17R
:unselected:","DDW08ASS1S17R
:unselected:","DDI08ASS1S17R
:unselected:","DD308ASS1S17R
:unselected:","DD408ASS1S17R
:unselected:","DD208ASS1S17R
:unselected:","DDS08ASS1S17R
:unselected:",DDE08ASS1S17R,DDL08ASS1S17R,
At Meets Grade Level or Above,2018,SDA08ASS1218R,RDA08ASS1218R,"DDA08ASS1218R
:unselected:","DDB08ASS1218R
:unselected:","DDH08ASS1218R
:unselected:","DDW08ASS1218R
:unselected:","DDI08ASS1218R
:unselected:","DD308ASS1218R
:unselected:","DD408ASS1218R
:unselected:",DD208ASS1218R,"DDS08ASS1218R
:unselected:",DDE08ASS1218R,DDL08ASS1218R,
,2017,SDA08ASS1217R,RDA08ASS1217R,DDA08ASS1217R,"DDB08ASS1217R
:unselected:","DDH08ASS1217R
:unselected:","DDW08ASS1217R
:unselected:","DDI08ASS1217R
:unselected:","DD308ASS1217R
:unselected:","DD408ASS1217R
:unselected:",DD208ASS1217R,"DDS08ASS1217R
:unselected:",DDE08ASS1217R,DDL08ASS1217R,
At Masters Grade Level or Above,2018,SDA08ASS1318R,RDA08ASS1318R,"DDA08ASS1318R
:unselected:","DDB08ASS1318R
:unselected:","DDH08ASS1318R
:unselected:","DDW08ASS1318R
:unselected:","DDI08ASS1318R
:unselected:","DD308ASS1318R
:unselected:","DD408ASS1318R
:unselected:","DD208ASS1318R
:unselected:","DDS08ASS1318R
:unselected:",DDE08ASS1318R,DDL08ASS1318R,
,2017,SDA08ASS1317R,RDA08ASS1317R,DDA08ASS1317R,"DDB08ASS1317R
:unselected:","DDH08ASS1317R
:unselected:","DDW08ASS1317R
:unselected:","DDI08ASS1317R
:unselected:","DD308ASS1317R
:unselected:","DD408ASS1317R
:unselected:",DD208ASS1317R,"DDS08ASS1317R
:unselected:",DDE08ASS1317R,DDL08ASS1317R,
End of Course English I,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA00AR11S18R,RDA00AR11S18R,"DDA00AR11S18R
:unselected:","DDB00AR11S18R
:unselected:","DDH00AR11S18R
:unselected:","DDW00AR11S18R
:unselected:","DDI00AR11S18R
:unselected:","DD300AR11S18R
:unselected:","DD400AR11S18R
:unselected:",DD200AR11S18R,DDS00AR11S18R,DDE00AR11S18R,DDL00AR11S18R,
,2017,SDA00AR11S17R,RDA00AR11S17R,"DDA00AR11S17R
:unselected:","DDB00AR11S17R
:unselected:","DDH00AR11S17R
:unselected:","DDW00AR11S17R
:unselected:","DDI00AR11S17R
:unselected:","DD300AR11S17R
:unselected:","DD400AR11S17R
:unselected:",DD200AR11S17R,DDS00AR11S17R,DDE00AR11S17R,DDL00AR11S17R,
At Meets Grade Level or Above,2018,SDA00AR11218R,RDA00AR11218R,DDA00AR11218R,"DDB00AR11218R
:unselected:","DDH00AR11218R
:unselected:","DDW00AR11218R
:unselected:","DDI00AR11218R
:unselected:","DD300AR11218R
:unselected:","DD400AR11218R
:unselected:",DD200AR11218R,DDS00AR11218R,DDE00AR11218R,DDL00AR11218R,
,2017,SDA00AR11217R,RDA00AR11217R,DDA00AR11217R,"DDB00AR11217R
:unselected:","DDH00AR11217R
:unselected:","DDW00AR11217R
:unselected:","DDI00AR11217R
:unselected:",DD300AR11217R,"DD400AR11217R
:unselected:",DD200AR11217R,DDS00AR11217R,DDE00AR11217R,DDL00AR11217R,
At Masters Grade Level or Above,2018,SDA00AR11318R,RDA00AR11318R,DDA00AR11318R,"DDB00AR11318R
:unselected:","DDH00AR11318R
:unselected:","DDW00AR11318R
:unselected:","DDI00AR11318R
:unselected:",DD300AR11318R,"DD400AR11318R
:unselected:",DD200AR11318R,"DDS00AR11318R
:unselected:",DDE00AR11318R,DDL00AR11318R,
,2017,SDA00AR11317R,RDA00AR11317R,DDA00AR11317R,"DDB00AR11317R
:unselected:","DDH00AR11317R
:unselected:","DDW00AR11317R
:unselected:","DDI00AR11317R
:unselected:",DD300AR11317R,"DD400AR11317R
:unselected:",DD200AR11317R,"DDS00AR11317R
:unselected:",DDE00AR11317R,DDL00AR11317R,
,,,,,,,,,,,,,,,
,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
End of Course English II,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA00AR21S18R,RDA00AR21S18R,DDA00AR21S18R,DDB00AR21S18R,"DDH00AR21S18R
:unselected:","DDW00AR21S18R
:unselected:","DDI00AR21S18R
:unselected:","DD300AR21S18R
:unselected:","DD400AR21S18R
:unselected:",DD200AR21S18R,"DDS00AR21S18R
:unselected:","DDE00AR21S18R
:unselected:",DDL00AR21S18R,
,2017,SDA00AR21S17R,RDA00AR21S17R,DDA00AR21S17R,DDB00AR21S17R,"DDH00AR21S17R
:unselected:","DDW00AR21S17R
:unselected:","DDI00AR21S17R
:unselected:","DD300AR21S17R
:unselected:","DD400AR21S17R
:unselected:",DD200AR21S17R,"DDS00AR21S17R
:unselected:","DDE00AR21S17R
:unselected:",DDL00AR21S17R,
At Meets Grade Level or Above,2018,SDA00AR21218R,RDA00AR21218R,DDA00AR21218R,"DDB00AR21218R
:unselected:","DDH00AR21218R
:unselected:","DDW00AR21218R
:unselected:","DDI00AR21218R
:unselected:","DD300AR21218R
:unselected:","DD400AR21218R
:unselected:",DD200AR21218R,"DDS00AR21218R
:unselected:","DDE00AR21218R
:unselected:",DDL00AR21218R,
,2017,SDA00AR21217R,RDA00AR21217R,DDA00AR21217R,DDB00AR21217R,DDH00AR21217R,"DDW00AR21217R
:unselected:","DDI00AR21217R
:unselected:","DD300AR21217R
:unselected:","DD400AR21217R
:unselected:",DD200AR21217R,"DDS00AR21217R
:unselected:","DDE00AR21217R
:unselected:",DDL00AR21217R,
At Masters Grade Level or Above,2018 2017,SDA00AR21318R SDA00AR21317R,RDA00AR21318R RDA00AR21317R,DDA00AR21318R DDA00AR21317R,"DDB00AR21318R DDB00AR21317R
:unselected:
:unselected:","DDH00AR21318R DDH00AR21317R
:unselected:
:unselected:","DDW00AR21318R DDW00AR21317R
:unselected:
:unselected:","DDI00AR21318R DDI00AR21317R
:unselected:
:unselected:","DD300AR21318R DD300AR21317R
:unselected:","DD400AR21318R DD400AR21317R
:unselected:
:unselected:","DD200AR21318R DD200AR21317R
:unselected:","DDS00AR21318R DDS00AR21317R
:unselected:
:unselected:","DDE00AR21318R DDE00AR21317R
:unselected:
:unselected:","DDL00AR21318R DDL00AR21317R
:unselected:
:unselected:",
End of Course Algebra I,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA00AA11S18R,RDA00AA11S18R,DDA00AA11S18R,"DDB00AA11S18R
:unselected:","DDH00AA11S18R
:unselected:","DDW00AA11S18R
:unselected:","DDI00AA11S18R
:unselected:","DD300AA11S18R
:unselected:","DD400AA11S18R
:unselected:","DD200AA11S18R
:unselected:","DDS00AA11S18R
:unselected:",DDE00AA11S18R,"DDL00AA11S18R
:unselected:",
,2017,SDA00AA11S17R,RDA00AA11S17R,DDA00AA11S17R,"DDB00AA11S17R
:unselected:","DDH00AA11S17R
:unselected:","DDW00AA11S17R
:unselected:","DDI00AA11S17R
:unselected:","DD300AA11S17R
:unselected:","DD400AA11S17R
:unselected:",DD200AA11S17R,"DDS00AA11S17R
:unselected:","DDE00AA11S17R
:unselected:",DDL00AA11S17R,
At Meets Grade Level or Above,2018,SDA00AA11218R,RDA00AA11218R,DDA00AA11218R,"DDB00AA11218R
:unselected:","DDH00AA11218R
:unselected:","DDW00AA11218R
:unselected:","DDI00AA11218R
:unselected:","DD300AA11218R
:unselected:","DD400AA11218R
:unselected:","DD200AA11218R
:unselected:","DDS00AA11218R
:unselected:","DDE00AA11218R
:unselected:",DDL00AA11218R,
,2017,SDA00AA11217R,RDA00AA11217R,DDA00AA11217R,"DDB00AA11217R
:unselected:","DDH00AA11217R
:unselected:","DDW00AA11217R
:unselected:","DDI00AA11217R
:unselected:","DD300AA11217R
:unselected:","DD400AA11217R
:unselected:","DD200AA11217R
:unselected:","DDS00AA11217R
:unselected:","DDE00AA11217R
:unselected:","DDL00AA11217R
:unselected:",
At Masters Grade Level or Above,2018 2017,SDA00AA11318R SDA00AA11317R,RDA00AA11318R RDA00AA11317R,DDA00AA11318R DDA00AA11317R,"DDB00AA11318R DDB00AA11317R
:unselected:
:unselected:","DDH00AA11318R DDH00AA11317R
:unselected:
:unselected:","DDW00AA11318R DDW00AA11317R
:unselected:
:unselected:","DDI00AA11318R DDI00AA11317R
:unselected:
:unselected:","DD300AA11318R DD300AA11317R
:unselected:","DD400AA11318R DD400AA11317R
:unselected:
:unselected:","DD200AA11318R DD200AA11317R
:unselected:
:unselected:","DDS00AA11318R DDS00AA11317R
:unselected:
:unselected:","DDE00AA11318R DDE00AA11317R
:unselected:
:unselected:","DDL00AA11318R DDL00AA11317R
:unselected:",
End of Course Biology,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA00ABI1S18R,RDA00ABI1S18R,DDA00ABI1S18R,"DDB00ABI1S18R
:unselected:","DDH00ABI1S18R
:unselected:","DDW00ABI1S18R
:unselected:","DDI00ABI1S18R
:unselected:","DD300ABI1S18R
:unselected:","DD400ABI1S18R
:unselected:","DD200ABI1S18R
:unselected:","DDS00ABI1S18R
:unselected:",DDE00ABI1S18R,DDL00ABI1S18R,
,2017,SDA00ABI1S17R,RDA00ABI1S17R,DDA00ABI1S17R,"DDB00ABI1S17R
:unselected:","DDH00ABI1S17R
:unselected:","DDW00ABI1S17R
:unselected:","DDI00ABI1S17R
:unselected:","DD300ABI1S17R
:unselected:","DD400ABI1S17R
:unselected:",DD200ABI1S17R,"DDS00ABI1S17R
:unselected:",DDE00ABI1S17R,DDL00ABI1S17R,
At Meets Grade Level or Above,2018,SDA00ABI1218R,RDA00ABI1218R,DDA00ABI1218R,"DDB00ABI1218R
:unselected:","DDH00ABI1218R
:unselected:","DDW00ABI1218R
:unselected:","DDI00ABI1218R
:unselected:","DD300ABI1218R
:unselected:","DD400ABI1218R
:unselected:","DD200ABI1218R
:unselected:","DDS00ABI1218R
:unselected:","DDE00ABI1218R
:unselected:",DDL00ABI1218R,
,2017,SDA00ABI1217R,RDA00ABI1217R,DDA00ABI1217R,DDB00ABI1217R,"DDH00ABI1217R
:unselected:","DDW00ABI1217R
:unselected:","DDI00ABI1217R
:unselected:",DD300ABI1217R,DD400ABI1217R,DD200ABI1217R,DDS00ABI1217R,DDE00ABI1217R,DDL00ABI1217R,
At Masters Grade Level or Above,2018 2017,SDA00ABI1318R SDA00ABI1317R,RDA00ABI1318R RDA00ABI1317R,DDA00ABI1318R DDA00ABI1317R,"DDB00ABI1318R DDB00ABI1317R
:unselected:","DDH00ABI1318R DDH00ABI1317R
:unselected:
:unselected:","DDW00ABI1318R DDW00ABI1317R
:unselected:
:unselected:","DDI00ABI1318R DDI00ABI1317R
:unselected:
:unselected:","DD300ABI1318R DD300ABI1317R
:unselected:",DD400ABI1318R DD400ABI1317R,DD200ABI1318R DD200ABI1317R,DDS00ABI1318R DDS00ABI1317R,DDE00ABI1318R DDE00ABI1317R,DDL00ABI1318R DDL00ABI1317R,
End of Course U.S. History,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA00AUS1S18R,RDA00AUS1S18R,DDA00AUS1S18R,DDB00AUS1S18R,"DDH00AUS1S18R
:unselected:","DDW00AUS1S18R
:unselected:","DDI00AUS1S18R
:unselected:",DD300AUS1S18R,"DD400AUS1S18R
:unselected:","DD200AUS1S18R
:unselected:",DDS00AUS1S18R,DDE00AUS1S18R,DDL00AUS1S18R,
,2017,SDA00AUS1S17R,RDA00AUS1S17R,DDA00AUS1S17R,"DDB00AUS1S17R
:unselected:","DDH00AUS1S17R
:unselected:","DDW00AUS1S17R
:unselected:","DDI00AUS1S17R
:unselected:",DD300AUS1S17R,"DD400AUS1S17R
:unselected:","DD200AUS1S17R
:unselected:",DDS00AUS1S17R,DDE00AUS1S17R,DDL00AUS1S17R,
At Meets Grade Level or Above,2018,SDA00AUS1218R,RDA00AUS1218R,DDA00AUS1218R,"DDB00AUS1218R
:unselected:","DDH00AUS1218R
:unselected:","DDW00AUS1218R
:unselected:","DDI00AUS1218R
:unselected:","DD300AUS1218R
:unselected:",DD400AUS1218R,DD200AUS1218R,DDS00AUS1218R,DDE00AUS1218R,DDL00AUS1218R,
,2017,SDA00AUS1217R,RDA00AUS1217R,DDA00AUS1217R,"DDB00AUS1217R
:unselected:","DDH00AUS1217R
:unselected:","DDW00AUS1217R
:unselected:","DDI00AUS1217R
:unselected:","DD300AUS1217R
:unselected:",DD400AUS1217R,DD200AUS1217R,DDS00AUS1217R,DDE00AUS1217R,DDL00AUS1217R,
At Masters Grade Level or Above,2018,SDA00AUS1318R,RDA00AUS1318R,DDA00AUS1318R,"DDB00AUS1318R
:unselected:","DDH00AUS1318R
:unselected:","DDW00AUS1318R
:unselected:","DDI00AUS1318R
:unselected:","DD300AUS1318R
:unselected:",DD400AUS1318R,DD200AUS1318R,DDS00AUS1318R,DDE00AUS1318R,DDL00AUS1318R,
,2017,SDA00AUS1317R,RDA00AUS1317R,DDA00AUS1317R,"DDB00AUS1317R
:unselected:","DDH00AUS1317R
:unselected:","DDW00AUS1317R
:unselected:","DDI00AUS1317R
:unselected:","DD300AUS1317R
:unselected:",DD400AUS1317R,DD200AUS1317R,DDS00AUS1317R,DDE00AUS1317R,DDL00AUS1317R,
All Grades All Subjects,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA00A001S18R,RDA00A001S18R,DDA00A001S18R,"DDB00A001S18R
:unselected:","DDH00A001S18R
:unselected:","DDW00A001S18R
:unselected:","DDI00A001S18R
:unselected:",DD300A001S18R,"DD400A001S18R
:unselected:","DD200A001S18R
:unselected:",DDS00A001S18R,DDE00A001S18R,DDL00A001S18R,
,2017,SDA00A001S17R,RDA00A001S17R,DDA00A001S17R,"DDB00A001S17R
:unselected:","DDH00A001S17R
:unselected:","DDW00A001S17R
:unselected:","DDI00A001S17R
:unselected:",DD300A001S17R,"DD400A001S17R
:unselected:","DD200A001S17R
:unselected:","DDS00A001S17R
:unselected:",DDE00A001S17R,DDL00A001S17R,
At Meets Grade Level or Above,2018,SDA00A001218R,RDA00A001218R,"DDA00A001218R
:unselected:","DDB00A001218R
:unselected:","DDH00A001218R
:unselected:","DDW00A001218R
:unselected:","DDI00A001218R
:unselected:",DD300A001218R,DD400A001218R,"DD200A001218R
:unselected:",DDS00A001218R,DDE00A001218R,DDL00A001218R,
,2017,SDA00A001217R,RDA00A001217R,"DDA00A001217R
:unselected:","DDB00A001217R
:unselected:","DDH00A001217R
:unselected:","DDW00A001217R
:unselected:","DDI00A001217R
:unselected:","DD300A001217R
:unselected:",DD400A001217R,DD200A001217R,"DDS00A001217R
:unselected:",DDE00A001217R,DDL00A001217R,
