,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
,2021,SDA04ARE1S21R,RDA04ARE1S21R,DDA04ARE1S21R,DDB04ARE1S21R,DDH04ARE1S21R,DDW04ARE1S21R,DDI04ARE1S21R,DD304ARE1S21R,DD404ARE1S21R,DD204ARE1S21R,DDS04ARE1S21R,"DNS04ARE1S21R
:unselected:","DNC04ARE1S21R
:unselected:","DNM04ARE1S21R
:unselected:",DDE04ARE1S21R,DD004ARE1S21R,
At Meets Grade Level or Above,2022,SDA04ARE1222R,RDA04ARE1222R,DDA04ARE1222R,DDB04ARE1222R,DDH04ARE1222R,DDW04ARE1222R,DDI04ARE1222R,DD304ARE1222R,DD404ARE1222R,DD204ARE1222R,"DDS04ARE1222R
:unselected:","DNS04ARE1222R
:unselected:","DNC04ARE1222R
:unselected:","DNM04ARE1222R
:unselected:",DDE04ARE1222R,"DD004ARE1222R
:unselected:",
,2021,SDA04ARE1221R,RDA04ARE1221R,DDA04ARE1221R,DDB04ARE1221R,DDH04ARE1221R,DDW04ARE1221R,DDI04ARE1221R,DD304ARE1221R,DD404ARE1221R,DD204ARE1221R,"DDS04ARE1221R
:unselected:","DNS04ARE1221R
:unselected:","DNC04ARE1221R
:unselected:","DNM04ARE1221R
:unselected:",DDE04ARE1221R,"DD004ARE1221R
:unselected:",
At Masters Grade Level,2022,SDA04ARE1322R,RDA04ARE1322R,DDA04ARE1322R,DDB04ARE1322R,DDH04ARE1322R,DDW04ARE1322R,DDI04ARE1322R,DD304ARE1322R,DD404ARE1322R,DD204ARE1322R,"DDS04ARE1322R
:unselected:","DNS04ARE1322R
:unselected:","DNC04ARE1322R
:unselected:","DNM04ARE1322R
:unselected:",DDE04ARE1322R,"DD004ARE1322R
:unselected:",
,2021,SDA04ARE1321R,RDA04ARE1321R,DDA04ARE1321R,DDB04ARE1321R,DDH04ARE1321R,DDW04ARE1321R,DDI04ARE1321R,DD304ARE1321R,DD404ARE1321R,DD204ARE1321R,DDS04ARE1321R,DNS04ARE1321R,"DNC04ARE1321R
:unselected:",DNM04ARE1321R,DDE04ARE1321R,"DD004ARE1321R
:unselected:",
Grade 4 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA04AMA1S22R,RDA04AMA1S22R,DDA04AMA1S22R,DDB04AMA1S22R,DDH04AMA1S22R,DDW04AMA1S22R,DDI04AMA1S22R,DD304AMA1S22R,DD404AMA1S22R,DD204AMA1S22R,DDS04AMA1S22R,DNS04AMA1S22R,DNC04AMA1S22R,"DNM04AMA1S22R
:unselected:","DDE04AMA1S22R
:unselected:","DD004AMA1S22R
:unselected:",
,2021,SDA04AMA1S21R,RDA04AMA1S21R,DDA04AMA1S21R,DDB04AMA1S21R,DDH04AMA1S21R,DDW04AMA1S21R,DDI04AMA1S21R,DD304AMA1S21R,DD404AMA1S21R,DD204AMA1S21R,DDS04AMA1S21R,DNS04AMA1S21R,DNC04AMA1S21R,"DNM04AMA1S21R
:unselected:",DDE04AMA1S21R,"DD004AMA1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA04AMA1222R,RDA04AMA1222R,DDA04AMA1222R,DDB04AMA1222R,DDH04AMA1222R,DDW04AMA1222R,DDI04AMA1222R,DD304AMA1222R,DD404AMA1222R,DD204AMA1222R,DDS04AMA1222R,DNS04AMA1222R,DNC04AMA1222R,DNM04AMA1222R,DDE04AMA1222R,DD004AMA1222R,
,2021,SDA04AMA1221R,RDA04AMA1221R,DDA04AMA1221R,DDB04AMA1221R,DDH04AMA1221R,DDW04AMA1221R,DDI04AMA1221R,DD304AMA1221R,DD404AMA1221R,DD204AMA1221R,DDS04AMA1221R,DNS04AMA1221R,DNC04AMA1221R,DNM04AMA1221R,DDE04AMA1221R,DD004AMA1221R,
At Masters Grade Level,2022,SDA04AMA1322R,RDA04AMA1322R,DDA04AMA1322R,DDB04AMA1322R,DDH04AMA1322R,DDW04AMA1322R,DDI04AMA1322R,DD304AMA1322R,DD404AMA1322R,DD204AMA1322R,DDS04AMA1322R,"DNS04AMA1322R
:unselected:",DNC04AMA1322R,DNM04AMA1322R,DDE04AMA1322R,DD004AMA1322R,
,2021,SDA04AMA1321R,RDA04AMA1321R,DDA04AMA1321R,DDB04AMA1321R,DDH04AMA1321R,DDW04AMA1321R,DDI04AMA1321R,DD304AMA1321R,DD404AMA1321R,DD204AMA1321R,DDS04AMA1321R,"DNS04AMA1321R
:unselected:",DNC04AMA1321R,DNM04AMA1321R,DDE04AMA1321R,DD004AMA1321R,
Grade 5 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA05ARE1S22R,RDA05ARE1S22R,DDA05ARE1S22R,DDB05ARE1S22R,DDH05ARE1S22R,DDW05ARE1S22R,DDI05ARE1S22R,DD305ARE1S22R,DD405ARE1S22R,DD205ARE1S22R,DDS05ARE1S22R,DNS05ARE1S22R,DNC05ARE1S22R,"DNM05ARE1S22R
:unselected:",DDE05ARE1S22R,DD005ARE1S22R,
,2021,SDA05ARE1S21R,RDA05ARE1S21R,DDA05ARE1S21R,DDB05ARE1S21R,DDH05ARE1S21R,DDW05ARE1S21R,DDI05ARE1S21R,DD305ARE1S21R,DD405ARE1S21R,DD205ARE1S21R,DDS05ARE1S21R,DNS05ARE1S21R,DNC05ARE1S21R,DNM05ARE1S21R,DDE05ARE1S21R,DD005ARE1S21R,
At Meets Grade Level or Above,2022,SDA05ARE1222R,RDA05ARE1222R,DDA05ARE1222R,DDB05ARE1222R,DDH05ARE1222R,DDW05ARE1222R,DDI05ARE1222R,DD305ARE1222R,DD405ARE1222R,DD205ARE1222R,DDS05ARE1222R,DNS05ARE1222R,DNC05ARE1222R,DNM05ARE1222R,DDE05ARE1222R,DD005ARE1222R,
,2021,SDA05ARE1221R,RDA05ARE1221R,DDA05ARE1221R,DDB05ARE1221R,DDH05ARE1221R,DDW05ARE1221R,DDI05ARE1221R,DD305ARE1221R,DD405ARE1221R,DD205ARE1221R,DDS05ARE1221R,DNS05ARE1221R,DNC05ARE1221R,DNM05ARE1221R,DDE05ARE1221R,DD005ARE1221R,
At Masters Grade Level,2022,SDA05ARE1322R,RDA05ARE1322R,DDA05ARE1322R,DDB05ARE1322R,DDH05ARE1322R,DDW05ARE1322R,DDI05ARE1322R,DD305ARE1322R,DD405ARE1322R,DD205ARE1322R,DDS05ARE1322R,DNS05ARE1322R,DNC05ARE1322R,DNM05ARE1322R,DDE05ARE1322R,"DD005ARE1322R
:unselected:",
,2021,SDA05ARE1321R,RDA05ARE1321R,DDA05ARE1321R,DDB05ARE1321R,DDH05ARE1321R,DDW05ARE1321R,DDI05ARE1321R,DD305ARE1321R,DD405ARE1321R,DD205ARE1321R,DDS05ARE1321R,DNS05ARE1321R,"DNC05ARE1321R
:unselected:",DNM05ARE1321R,DDE05ARE1321R,"DD005ARE1321R
:unselected:",
Grade 5 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA05AMA1S22R,RDA05AMA1S22R,DDA05AMA1S22R,DDB05AMA1S22R,DDH05AMA1S22R,DDW05AMA1S22R,DDI05AMA1S22R,DD305AMA1S22R,DD405AMA1S22R,DD205AMA1S22R,DDS05AMA1S22R,DNS05AMA1S22R,DNC05AMA1S22R,"DNM05AMA1S22R
:unselected:",DDE05AMA1S22R,"DD005AMA1S22R
:unselected:",
,2021,SDA05AMA1S21R,RDA05AMA1S21R,DDA05AMA1S21R,DDB05AMA1S21R,DDH05AMA1S21R,DDW05AMA1S21R,DDI05AMA1S21R,DD305AMA1S21R,DD405AMA1S21R,DD205AMA1S21R,DDS05AMA1S21R,DNS05AMA1S21R,"DNC05AMA1S21R
:unselected:","DNM05AMA1S21R
:unselected:",DDE05AMA1S21R,DD005AMA1S21R,
At Meets Grade Level or Above,2022,SDA05AMA1222R,RDA05AMA1222R,DDA05AMA1222R,DDB05AMA1222R,DDH05AMA1222R,DDW05AMA1222R,DDI05AMA1222R,DD305AMA1222R,DD405AMA1222R,DD205AMA1222R,DDS05AMA1222R,DNS05AMA1222R,"DNC05AMA1222R
:unselected:","DNM05AMA1222R
:unselected:",DDE05AMA1222R,DD005AMA1222R,
,2021,SDA05AMA1221R,RDA05AMA1221R,DDA05AMA1221R,DDB05AMA1221R,DDH05AMA1221R,DDW05AMA1221R,DDI05AMA1221R,DD305AMA1221R,DD405AMA1221R,DD205AMA1221R,DDS05AMA1221R,DNS05AMA1221R,DNC05AMA1221R,"DNM05AMA1221R
:unselected:",DDE05AMA1221R,DD005AMA1221R,
