DISTRICT,D20GJ20R,D20GJ21R,D20GUA20R,D20GUA21R,D20GY20R,D20GY21R,D20GZ20R,D20GZ21R,D30GJ20R,D30GJ21R,D30GUA20R,D30GUA21R,D30GY20R,D30GY21R,D30GZ20R,D30GZ21R,D40GJ20R,D40GJ21R,D40GUA20R,D40GUA21R,D40GY20R,D40GY21R,D40GZ20R,D40GZ21R,DA0GJ20R,DA0GJ21R,DA0GUA20R,DA0GUA21R,DA0GY20R,DA0GY21R,DA0GZ20R,DA0GZ21R,DB0GJ20R,DB0GJ21R,DB0GUA20R,DB0GUA21R,DB0GY20R,DB0GY21R,DB0GZ20R,DB0GZ21R,DE0GJ20R,DE0GJ21R,DE0GUA20R,DE0GUA21R,DE0GY20R,DE0GY21R,DE0GZ20R,DE0GZ21R,DF0GJ20R,DF0GJ21R,DF0GUA20R,DF0GUA21R,DF0GY20R,DF0GY21R,DF0GZ20R,DF0GZ21R,DH0GJ20R,DH0GJ21R,DH0GUA20R,DH0GUA21R,DH0GY20R,DH0GY21R,DH0GZ20R,DH0GZ21R,DI0GJ20R,DI0GJ21R,DI0GUA20R,DI0GUA21R,DI0GY20R,DI0GY21R,DI0GZ20R,DI0GZ21R,DISTNAME,DL0GJ20R,DL0GJ21R,DL0GUA20R,DL0GUA21R,DL0GY20R,DL0GY21R,DL0GZ20R,DL0GZ21R,DM0GJ20R,DM0GJ21R,DM0GUA20R,DM0GUA21R,DM0GY20R,DM0GY21R,DM0GZ20R,DM0GZ21R,DR0GJ20R,DR0GJ21R,DR0GUA20R,DR0GUA21R,DR0GY20R,DR0GY21R,DR0GZ20R,DR0GZ21R,DS0GJ20R,DS0GJ21R,DS0GUA20R,DS0GUA21R,DS0GY20R,DS0GY21R,DS0GZ20R,DS0GZ21R,DW0GJ20R,DW0GJ21R,DW0GUA20R,DW0GUA21R,DW0GY20R,DW0GY21R,DW0GZ20R,DW0GZ21R
"'001902",-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,36.6,44.4,0,8.3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,6.7,44.4,0,0,0,0,0,0,40.9,57.1,0,7.1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,0,0,31.6,36.4,0,9.1,0,0,0,0,25,33.3,0,11.1,0,0,0,-1,10,-1,0,-1,0,-1,0,0,45.5,45.2,0,9.7,0,0
"'001903",-1,0,-1,50,-1,0,-1,0,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,0,0,25,36.3,2.2,3.3,0,0,0,0,16.7,20,0,0,0,0,0,0,17.9,21.3,2.6,2.1,0,0,0,0,34,66.7,2,5.1,0,0,0,0,27.3,20,9.1,10,0,0,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,0,0,14.3,13.5,2.4,1.9,0,0,0,0,11.4,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3,37.7,1.4,2.9,0,0
"'001904",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,5.9,0,52.9,63.4,21.6,12.2,2,2.4,-1,-1,-1,-1,-1,-1,-1,-1,5.3,0,31.6,35.3,21.1,5.9,5.3,0,18.8,0,68.8,83.3,56.3,22.2,6.3,0,20,-1,40,-1,40,-1,0,-1,-1,.,-1,.,-1,.,-1,.,"FRANKSTON ISD",-1,.,-1,.,-1,.,-1,.,0,0,45.7,47.8,5.7,4.3,0,4.3,0,0,31.3,33.3,0,0,0,0,0,-1,0,-1,0,-1,0,-1,4.7,0,53.5,63.6,18.6,15.2,0,3
"'001906",.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,2.9,0,47.1,52.2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,45.5,0,0,0,0,0,5.9,0,64.7,58.3,0,0,0,0,0,-1,40,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,0,0,29.4,45.5,0,0,0,0,0,-1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,4,0,52,58.8,0,0,0,0
"'001907",20,14.3,60,57.1,20,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,15.7,16.4,40.4,43.8,10.4,10,0,0,7,2,17.5,18.4,1.8,0,0,0,13.1,15,34.5,37.1,12.4,12.9,0,0,17.2,22.7,51.7,53.4,10.3,17,0,0,16.5,21.1,42.7,43.3,20.4,21.1,0,0,.,.,.,.,.,.,.,.,"PALESTINE ISD",0,0,0,4.8,12.5,19,0,0,14,11.5,28.9,36.3,10.5,4.4,0,0,2.2,4.5,16.3,18.2,5.9,8.2,0,0,0,0,0,5.9,0,0,0,0,21,17.3,54.8,63.5,1.6,1.9,0,0
"'001908",0,-1,20,-1,0,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,0,0,23.2,27.4,3,3.2,0,0,0,0,17.9,9.1,0,0,0,0,0,0,21.6,20,3.9,0,0,0,0,0,32,31,2,0,0,0,0,0,21.1,12.5,5.3,0,0,0,-1,.,-1,.,-1,.,-1,.,"WESTWOOD ISD",-1,0,-1,0,-1,0,-1,0,0,0,14.3,24.5,4.1,5.7,0,0,0,0,4.3,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,40,4.3,5.5,0,0
"'001909",.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,73.1,31.3,0,0,0,0,.,-1,.,-1,.,-1,.,-1,0,0,70,9.1,0,0,0,0,0,0,77.8,33.3,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,0,0,70.6,30,0,0,0,0,0,0,28.6,12.5,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,70.8,28,0,0,0,0
"'002901",-1,0,-1,33.3,-1,33.3,-1,0,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,0.4,3.4,34.9,31.7,8.7,13.7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,26,15.7,1,12,0,0,0.9,4.6,46,31.4,10.6,12.4,0,0,0.6,2.9,30.9,24.3,7.3,11.2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,"ANDREWS ISD",0,0,0,3.6,0,7.1,0,0,0,2.1,25,32.1,7,15,0,0,0,0,11.2,10.1,2.2,5.1,0,0,0,0,5.3,3.1,0,3.1,0,0,0,5.1,45.7,50,12.9,17.9,0,0
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,38.6,23.1,68.4,75,0,0,0,0,16.7,0,41.7,42.9,0,0,0,0,23.1,26.3,53.8,84.2,0,0,0,0,53.6,20,71.4,76,0,0,0,0,44.4,0,66.7,70,0,0,0,0,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,-1,.,-1,.,-1,.,-1,24.1,25.9,65.5,74.1,0,0,0,0,0,21.4,52.9,71.4,0,0,0,0,0,.,16.7,.,0,.,0,.,41.9,31.3,74.2,81.3,0,0,0,0
"'003902",0,-1,40,-1,20,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,1.5,1.5,50,39.8,24,22.4,9.8,12.2,5.3,0,15.8,20,0,13.3,0,13.3,2.2,2.4,31.5,25.9,21.3,10.6,4.5,4.7,2.7,2.8,56.4,51.9,26.4,30.6,10.9,14.8,2.3,5.6,38.6,36.1,34.1,16.7,6.8,0,-1,-1,-1,-1,-1,-1,-1,-1,"HUDSON ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,42.6,25,21.3,12.5,8.5,9.1,0,0,9.9,19.7,8.5,7.9,2.8,3.9,0,0,0,0,0,0,0,0,0.7,0.7,59,43.5,23.9,23.9,12.7,14.5
"'003903",0,0,0,20,0,20,0,0,0,0,16.7,60,50,70,0,0,.,.,.,.,.,.,.,.,0,0,28.5,24.6,14.9,18.2,0,0,0,0,16.4,15.3,2.9,6.3,0,0,0,0,24.2,21.4,9.5,12.6,0,0,0,0,27.2,22.3,16.2,21.1,0,0,0,0,30.2,25.8,12.3,17.6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,"LUFKIN ISD",0,0,13.9,15.6,0,2.2,0,0,0,0,29.7,27,13.7,15.2,0,0,0,0,15.8,17.4,0.9,5.9,0,0,0,0,6.7,10.9,0,3.6,0,0,0,0,41.6,27.9,32,24.8,0,0
"'003904",-1,0,-1,60,-1,0,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,40.3,34.6,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,20.8,17.8,0,0,0,0,0,0,46,41.5,0,0,0,0,0,0,50,50,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,"HUNTINGTON ISD",-1,.,-1,.,-1,.,-1,.,0,0,34.4,27.5,0,0,0,0,0,0,6.3,4.3,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,37.6,32.6,0,0,0,0
