DISTRICT,DD000AA01222R,DD000AA01322R,DD000AA01S22R,DD000AA11222R,DD000AA11322R,DD000AA11S22R,DD000ABI1222R,DD000ABI1322R,DD000ABI1S22R,DD000AR11222R,DD000AR11322R,DD000AR11S22R,DD000AR21222R,DD000AR21322R,DD000AR21S22R,DD000AUS1222R,DD000AUS1322R,DD000AUS1S22R,DD200AA01222R,DD200AA01322R,DD200AA01S22R,DD200AA11222R,DD200AA11322R,DD200AA11S22R,DD200ABI1222R,DD200ABI1322R,DD200ABI1S22R,DD200AR11222R,DD200AR11322R,DD200AR11S22R,DD200AR21222R,DD200AR21322R,DD200AR21S22R,DD200AUS1222R,DD200AUS1322R,DD200AUS1S22R,DD300AA01222R,DD300AA01322R,DD300AA01S22R,DD300AA11222R,DD300AA11322R,DD300AA11S22R,DD300ABI1222R,DD300ABI1322R,DD300ABI1S22R,DD300AR11222R,DD300AR11322R,DD300AR11S22R,DD300AR21222R,DD300AR21322R,DD300AR21S22R,DD300AUS1222R,DD300AUS1322R,DD300AUS1S22R,DD400AA01222R,DD400AA01322R,DD400AA01S22R,DD400AA11222R,DD400AA11322R,DD400AA11S22R,DD400ABI1222R,DD400ABI1322R,DD400ABI1S22R,DD400AR11222R,DD400AR11322R,DD400AR11S22R,DD400AR21222R,DD400AR21322R,DD400AR21S22R,DD400AUS1222R,DD400AUS1322R,DD400AUS1S22R,DDA00AA01222R,DDA00AA01322R,DDA00AA01S22R,DDA00AA11222R,DDA00AA11322R,DDA00AA11S22R,DDA00ABI1222R,DDA00ABI1322R,DDA00ABI1S22R,DDA00AR11222R,DDA00AR11322R,DDA00AR11S22R,DDA00AR21222R,DDA00AR21322R,DDA00AR21S22R,DDA00AUS1222R,DDA00AUS1322R,DDA00AUS1S22R,DDB00AA01222R,DDB00AA01322R,DDB00AA01S22R,DDB00AA11222R,DDB00AA11322R,DDB00AA11S22R,DDB00ABI1222R,DDB00ABI1322R,DDB00ABI1S22R,DDB00AR11222R,DDB00AR11322R,DDB00AR11S22R,DDB00AR21222R,DDB00AR21322R,DDB00AR21S22R,DDB00AUS1222R,DDB00AUS1322R,DDB00AUS1S22R,DDE00AA01222R,DDE00AA01322R,DDE00AA01S22R,DDE00AA11222R,DDE00AA11322R,DDE00AA11S22R,DDE00ABI1222R,DDE00ABI1322R,DDE00ABI1S22R,DDE00AR11222R,DDE00AR11322R,DDE00AR11S22R,DDE00AR21222R,DDE00AR21322R,DDE00AR21S22R,DDE00AUS1222R,DDE00AUS1322R,DDE00AUS1S22R,DDF00AA01222R,DDF00AA01322R,DDF00AA01S22R,DDF00AA11222R,DDF00AA11322R,DDF00AA11S22R,DDF00ABI1222R,DDF00ABI1322R,DDF00ABI1S22R,DDF00AR11222R,DDF00AR11322R,DDF00AR11S22R,DDF00AR21222R,DDF00AR21322R,DDF00AR21S22R,DDF00AUS1222R,DDF00AUS1322R,DDF00AUS1S22R,DDH00AA01222R,DDH00AA01322R,DDH00AA01S22R,DDH00AA11222R,DDH00AA11322R,DDH00AA11S22R,DDH00ABI1222R,DDH00ABI1322R,DDH00ABI1S22R,DDH00AR11222R,DDH00AR11322R,DDH00AR11S22R,DDH00AR21222R,DDH00AR21322R,DDH00AR21S22R,DDH00AUS1222R,DDH00AUS1322R,DDH00AUS1S22R,DDI00AA01222R,DDI00AA01322R,DDI00AA01S22R,DDI00AA11222R,DDI00AA11322R,DDI00AA11S22R,DDI00ABI1222R,DDI00ABI1322R,DDI00ABI1S22R,DDI00AR11222R,DDI00AR11322R,DDI00AR11S22R,DDI00AR21222R,DDI00AR21322R,DDI00AR21S22R,DDI00AUS1222R,DDI00AUS1322R,DDI00AUS1S22R,DDL00AA01222R,DDL00AA01322R,DDL00AA01S22R,DDL00AA11222R,DDL00AA11322R,DDL00AA11S22R,DDL00ABI1222R,DDL00ABI1322R,DDL00ABI1S22R,DDL00AR11222R,DDL00AR11322R,DDL00AR11S22R,DDL00AR21222R,DDL00AR21322R,DDL00AR21S22R,DDL00AUS1222R,DDL00AUS1322R,DDL00AUS1S22R,DDM00AA01222R,DDM00AA01322R,DDM00AA01S22R,DDM00AA11222R,DDM00AA11322R,DDM00AA11S22R,DDM00ABI1222R,DDM00ABI1322R,DDM00ABI1S22R,DDM00AR11222R,DDM00AR11322R,DDM00AR11S22R,DDM00AR21222R,DDM00AR21322R,DDM00AR21S22R,DDM00AUS1222R,DDM00AUS1322R,DDM00AUS1S22R,DDR00AA01222R,DDR00AA01322R,DDR00AA01S22R,DDR00AA11222R,DDR00AA11322R,DDR00AA11S22R,DDR00ABI1222R,DDR00ABI1322R,DDR00ABI1S22R,DDR00AR11222R,DDR00AR11322R,DDR00AR11S22R,DDR00AR21222R,DDR00AR21322R,DDR00AR21S22R,DDR00AUS1222R,DDR00AUS1322R,DDR00AUS1S22R,DDS00AA01222R,DDS00AA01322R,DDS00AA01S22R,DDS00AA11222R,DDS00AA11322R,DDS00AA11S22R,DDS00ABI1222R,DDS00ABI1322R,DDS00ABI1S22R,DDS00AR11222R,DDS00AR11322R,DDS00AR11S22R,DDS00AR21222R,DDS00AR21322R,DDS00AR21S22R,DDS00AUS1222R,DDS00AUS1322R,DDS00AUS1S22R,DDW00AA01222R,DDW00AA01322R,DDW00AA01S22R,DDW00AA11222R,DDW00AA11322R,DDW00AA11S22R,DDW00ABI1222R,DDW00ABI1322R,DDW00ABI1S22R,DDW00AR11222R,DDW00AR11322R,DDW00AR11S22R,DDW00AR21222R,DDW00AR21322R,DDW00AR21S22R,DDW00AUS1222R,DDW00AUS1322R,DDW00AUS1S22R,DISTNAME,DNC00AA01222R,DNC00AA01322R,DNC00AA01S22R,DNC00AA11222R,DNC00AA11322R,DNC00AA11S22R,DNC00ABI1222R,DNC00ABI1322R,DNC00ABI1S22R,DNC00AR11222R,DNC00AR11322R,DNC00AR11S22R,DNC00AR21222R,DNC00AR21322R,DNC00AR21S22R,DNC00AUS1222R,DNC00AUS1322R,DNC00AUS1S22R,DNM00AA01222R,DNM00AA01322R,DNM00AA01S22R,DNM00AA11222R,DNM00AA11322R,DNM00AA11S22R,DNM00ABI1222R,DNM00ABI1322R,DNM00ABI1S22R,DNM00AR11222R,DNM00AR11322R,DNM00AR11S22R,DNM00AR21222R,DNM00AR21322R,DNM00AR21S22R,DNM00AUS1222R,DNM00AUS1322R,DNM00AUS1S22R,DNS00AA01222R,DNS00AA01322R,DNS00AA01S22R,DNS00AA11222R,DNS00AA11322R,DNS00AA11S22R,DNS00ABI1222R,DNS00ABI1322R,DNS00ABI1S22R,DNS00AR11222R,DNS00AR11322R,DNS00AR11S22R,DNS00AR21222R,DNS00AR21322R,DNS00AR21S22R,DNS00AUS1222R,DNS00AUS1322R,DNS00AUS1S22R
"'001902",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,46,95,56,15,88,58,21,67,66,14,82,68,28,93,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,70,25,95,44,11,81,45,14,50,38,5,67,69,38,85,.,.,.,69,38,94,55,15,85,59,24,71,75,13,92,75,19,94,.,.,.,100,50,100,67,0,78,57,14,57,33,0,83,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,78,52,96,57,14,89,58,19,65,58,15,73,63,33,92,.,.,.,64,18,91,35,0,81,37,0,52,36,0,64,47,0,82,.,.,.,-1,-1,-1,25,0,58,0,0,13,29,0,59,0,0,40,.,.,.,72,48,93,61,21,97,67,23,77,78,18,88,67,24,97,"CAYUGA ISD",.,.,.,78,53,97,61,18,87,67,24,70,70,14,86,73,30,93,.,.,.,57,14,86,40,0,90,30,10,60,54,15,69,50,20,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1
"'001903",.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,60,20,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,0,100,41,15,80,69,26,92,63,14,75,72,23,87,75,52,93,.,.,.,0,0,43,14,0,57,25,0,25,20,0,40,-1,-1,-1,-1,-1,-1,27,15,73,52,23,81,45,6,58,53,16,84,59,41,88,70,0,100,42,9,76,76,30,92,73,25,83,68,28,89,75,44,94,.,.,.,57,21,86,77,15,92,57,21,71,75,25,92,75,63,88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,40,19,83,64,23,91,54,4,69,79,18,87,74,60,91,.,.,.,17,0,56,38,6,81,27,14,59,23,5,55,41,24,76,.,.,.,13,0,40,21,0,64,6,0,24,22,11,22,33,17,67,56,0,100,45,16,86,75,32,97,71,15,84,77,25,91,76,55,96,"ELKHART ISD",60,0,100,43,15,81,69,27,93,67,17,78,79,29,89,79,57,92,-1,-1,-1,37,15,78,68,24,88,52,4,68,52,9,83,57,36,93,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001904",.,.,.,50,17,83,40,0,80,33,0,50,20,0,60,-1,-1,-1,.,.,.,-1,-1,-1,60,40,80,60,0,80,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,0,91,74,49,94,62,25,87,63,9,78,72,13,80,73,41,88,-1,-1,-1,57,14,86,44,0,89,50,0,75,56,11,67,33,11,78,-1,-1,-1,66,41,91,51,26,82,55,8,68,59,7,67,56,19,81,55,0,91,79,56,95,64,30,94,80,7,90,83,19,92,80,37,94,.,.,.,71,53,94,58,17,83,62,0,69,33,0,67,71,43,86,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,17,83,40,0,80,33,0,50,20,0,60,-1,-1,-1,50,0,92,68,42,92,61,21,82,50,11,68,57,4,64,66,45,79,-1,-1,-1,45,15,85,31,3,74,28,0,53,47,3,62,43,23,73,.,.,.,29,7,71,20,0,67,17,17,42,23,0,31,11,0,33,57,0,90,79,53,94,68,32,89,66,15,80,82,16,86,82,47,91,"FRANKSTON ISD",60,0,90,77,53,96,64,28,92,68,14,86,79,14,86,73,38,89,-1,-1,-1,70,43,90,59,22,81,58,3,68,59,9,68,74,44,85,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'001906",.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,89,46,100,54,18,100,64,25,82,56,8,80,56,22,96,.,.,.,100,60,100,40,20,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,85,23,100,21,7,100,53,13,73,63,13,75,57,14,93,.,.,.,93,64,100,57,14,100,71,43,86,100,10,100,54,15,92,.,.,.,-1,-1,-1,-1,-1,-1,40,0,60,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,92,31,100,46,15,100,57,7,79,27,7,67,62,31,100,.,.,.,90,20,100,20,0,100,45,9,64,27,0,64,40,20,90,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,0,50,-1,-1,-1,-1,-1,-1,89,56,100,61,17,100,68,26,84,58,5,84,65,30,95,"NECHES ISD",.,.,.,100,50,100,64,14,100,71,21,86,61,6,83,61,26,100,-1,-1,-1,79,43,100,43,21,100,57,29,79,43,14,71,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.
"'001907",.,.,.,49,22,88,32,5,73,32,3,52,29,0,50,44,7,73,.,.,.,30,20,70,30,10,70,36,7,64,60,10,70,33,0,83,-1,-1,-1,80,40,80,-1,-1,-1,80,20,80,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,10,90,49,26,82,47,19,83,45,9,64,48,5,66,54,24,83,-1,-1,-1,35,15,67,22,11,79,31,7,51,38,0,59,31,11,70,40,0,80,46,24,79,41,16,81,41,7,60,49,5,66,50,18,78,60,0,100,49,29,86,46,23,87,51,14,68,57,6,75,58,27,89,-1,-1,-1,58,31,91,55,22,83,47,8,68,46,4,68,60,22,81,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,43,13,85,27,2,71,27,3,44,22,0,42,37,7,67,60,20,80,50,23,78,48,16,80,41,5,60,41,4,59,52,21,76,.,.,.,32,12,74,23,3,74,29,3,50,33,0,56,38,8,74,.,.,.,15,5,37,10,3,53,18,8,24,12,2,18,24,3,57,67,17,83,45,27,78,61,23,89,56,10,68,61,10,72,66,41,95,"PALESTINE ISD",57,14,86,51,27,81,43,18,81,45,8,62,50,5,67,52,21,80,-1,-1,-1,45,23,84,61,25,92,48,11,68,43,5,62,61,35,94,.,.,.,60,40,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001908",.,.,.,0,0,75,18,0,45,15,0,31,6,0,31,25,0,67,-1,-1,-1,67,44,89,67,33,92,92,0,92,22,11,56,43,14,71,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,35,0,91,46,24,83,52,18,87,48,3,68,37,9,63,56,20,86,-1,-1,-1,26,16,68,44,6,89,38,0,62,17,0,58,47,16,89,21,0,86,45,21,86,45,17,85,45,2,66,32,8,59,46,17,84,23,0,85,45,27,87,59,18,90,51,5,75,47,9,72,56,13,90,50,0,100,43,13,90,35,6,76,21,3,54,37,8,62,43,14,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,75,18,0,45,15,0,31,6,0,31,25,0,67,50,0,100,48,21,81,47,19,84,46,1,63,29,10,55,56,25,82,29,0,86,28,7,78,40,10,84,34,1,58,22,3,51,44,10,79,.,.,.,23,8,62,38,10,67,24,0,43,21,13,29,22,6,50,27,0,91,52,28,85,64,29,93,61,5,74,50,15,67,71,24,89,"WESTWOOD ISD",35,0,91,49,25,88,51,18,88,51,4,70,35,8,64,56,21,85,.,.,.,42,21,74,56,19,85,42,0,62,41,14,59,58,15,88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,31,91,48,7,97,64,7,89,95,16,95,93,52,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,50,20,90,44,11,100,50,13,88,100,25,100,100,50,100,.,.,.,54,38,92,45,0,100,82,0,91,100,17,100,88,31,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,26,89,50,11,94,53,12,88,86,14,86,100,82,100,.,.,.,20,7,87,17,0,92,42,0,83,83,0,83,-1,-1,-1,.,.,.,17,0,67,0,0,80,20,0,60,-1,-1,-1,.,.,.,.,.,.,48,34,90,48,7,96,62,8,88,93,13,93,95,55,100,"SLOCUM ISD",.,.,.,48,31,90,50,4,96,65,8,88,93,21,93,90,52,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,100,50,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'002901",.,.,.,29,15,63,27,4,67,12,0,37,8,2,16,24,5,62,.,.,.,-1,-1,-1,-1,-1,-1,20,20,60,83,17,83,60,40,80,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,32,80,55,19,83,40,6,61,43,4,62,56,27,86,.,.,.,17,17,67,40,20,80,-1,-1,-1,40,0,80,-1,-1,-1,.,.,.,38,22,75,44,13,75,28,3,50,27,2,50,43,16,80,.,.,.,53,36,80,57,22,82,50,8,68,56,7,76,53,25,86,.,.,.,47,28,77,50,14,79,35,3,56,37,3,57,51,23,84,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,13,7,53,12,0,55,6,0,28,2,0,11,18,3,61,.,.,.,47,28,79,53,16,84,33,4,55,33,2,52,58,29,86,.,.,.,22,8,61,24,3,66,12,0,38,16,1,37,30,11,73,.,.,.,16,8,48,22,4,63,11,4,20,8,2,21,15,9,55,.,.,.,57,40,86,68,30,91,56,11,73,54,6,71,67,35,91,"ANDREWS ISD",.,.,.,52,34,81,58,22,84,41,6,62,45,4,64,56,28,88,.,.,.,43,23,73,46,11,79,36,5,55,32,3,56,53,22,78,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003801",.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,70,46,86,64,22,93,52,15,75,61,7,81,73,41,99,.,.,.,57,21,79,45,18,100,33,7,60,53,6,71,63,25,100,.,.,.,61,29,83,54,8,95,36,5,64,48,0,76,66,31,100,-1,-1,-1,69,51,85,77,29,94,56,16,84,74,5,87,74,38,100,-1,-1,-1,80,50,95,52,0,91,33,5,76,60,4,92,80,60,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,40,89,53,16,92,47,14,64,47,8,75,71,45,97,-1,-1,-1,57,27,81,45,3,94,34,3,61,42,0,70,50,10,98,.,.,.,56,11,78,0,0,67,0,0,8,15,0,38,30,0,90,-1,-1,-1,72,58,86,78,38,92,69,23,82,65,10,77,72,39,97,"PINEYWOODS COMMUNITY ACADEMY",-1,-1,-1,74,48,91,64,20,95,50,9,75,62,6,81,68,38,98,-1,-1,-1,44,33,56,64,29,86,64,55,73,55,9,82,92,54,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'003902",.,.,.,62,33,90,38,5,76,35,0,65,62,5,67,53,18,65,.,.,.,86,43,86,38,13,88,33,17,67,60,20,60,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,16,100,73,50,93,63,20,92,60,14,81,71,21,83,78,52,95,.,.,.,67,33,92,21,0,79,23,8,54,37,11,68,50,25,75,90,20,100,60,30,89,46,10,88,39,6,69,59,13,78,69,35,90,83,10,100,74,50,96,65,16,94,60,15,84,75,21,87,74,49,95,100,25,100,68,38,89,49,13,83,55,12,78,67,15,81,80,48,91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,14,86,31,6,69,21,0,50,30,0,40,20,0,40,89,22,100,73,49,92,62,24,90,59,14,77,69,21,80,82,55,95,-1,-1,-1,49,20,84,33,6,82,30,1,59,47,10,67,58,23,86,.,.,.,44,12,64,28,12,52,18,6,30,13,7,40,43,7,64,83,15,100,77,57,97,76,26,99,66,16,84,81,27,88,80,57,98,"HUDSON ISD",87,17,100,79,57,95,64,22,93,63,17,82,75,24,85,80,55,96,-1,-1,-1,55,26,87,59,13,87,49,4,75,60,12,79,68,38,93,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
