DISTRICT,D20GI20R,D20GI21R,D20GW20R,D20GW21R,D23G420R,D23G421R,D23GG20R,D23GG21R,D2SGA20R,D2SGA21R,D30GI20R,D30GI21R,D30GW20R,D30GW21R,D33G420R,D33G421R,D33GG20R,D33GG21R,D3SGA20R,D3SGA21R,D40GI20R,D40GI21R,D40GW20R,D40GW21R,D43G420R,D43G421R,D43GG20R,D43GG21R,D4SGA20R,D4SGA21R,DA0GI20R,DA0GI21R,DA0GW20R,DA0GW21R,DA3G420R,DA3G421R,DA3GG20R,DA3GG21R,DASGA20R,DASGA21R,DB0GI20R,DB0GI21R,DB0GW20R,DB0GW21R,DB3G420R,DB3G421R,DB3GG20R,DB3GG21R,DBSGA20R,DBSGA21R,DE0GI20R,DE0GI21R,DE0GW20R,DE0GW21R,DE3G420R,DE3G421R,DE3GG20R,DE3GG21R,DESGA20R,DESGA21R,DF0GI20R,DF0GI21R,DF0GW20R,DF0GW21R,DF3G420R,DF3G421R,DF3GG20R,DF3GG21R,DFSGA20R,DFSGA21R,DH0GI20R,DH0GI21R,DH0GW20R,DH0GW21R,DH3G420R,DH3G421R,DH3GG20R,DH3GG21R,DHSGA20R,DHSGA21R,DI0GI20R,DI0GI21R,DI0GW20R,DI0GW21R,DI3G420R,DI3G421R,DI3GG20R,DI3GG21R,DISGA20R,DISGA21R,DISTNAME,DL0GI20R,DL0GI21R,DL0GW20R,DL0GW21R,DL3G420R,DL3G421R,DL3GG20R,DL3GG21R,DLSGA20R,DLSGA21R,DM0GI20R,DM0GI21R,DM0GW20R,DM0GW21R,DM3G420R,DM3G421R,DM3GG20R,DM3GG21R,DMSGA20R,DMSGA21R,DR0GI20R,DR0GI21R,DR0GW20R,DR0GW21R,DR3G420R,DR3G421R,DR3GG20R,DR3GG21R,DRSGA20R,DRSGA21R,DS0GI20R,DS0GI21R,DS0GW20R,DS0GW21R,DS3G420R,DS3G421R,DS3GG20R,DS3GG21R,DSSGA20R,DSSGA21R,DW0GI20R,DW0GI21R,DW0GW20R,DW0GW21R,DW3G420R,DW3G421R,DW3GG20R,DW3GG21R,DWSGA20R,DWSGA21R
"'057829",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,6,11.1,6,11.1,-1,.,-1,.,-1,.,-1,.,-1,.,0,0,0,0,0,0,7.6,13,7.6,13,0,0,0,0,0,0,7.5,6.4,7.5,6.4,0,0,0,0,0,0,5.3,11.2,5.3,11.2,.,.,.,.,.,.,.,.,.,.,"A+ ACADEMY",0,0,0,0,0,0,13.3,33.3,13.3,33.3,0,0,0,0,0,0,4.7,16.3,4.7,16.3,0,0,0,0,0,0,10,15,10,15,0,0,0,0,0,0,100,90.9,100,90.9,-1,.,-1,.,-1,.,-1,.,-1,.
"'057830",.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,0,5,0,0,0,0,9.5,10,9.5,5,0,11.1,0,0,0,0,60,22.2,60,11.1,0,3,0,0,0,0,9.9,7.5,9.9,4.5,0,5.6,0,0,0,0,8.6,11.1,8.6,5.6,0,4.4,0,0,0,0,5.9,7.4,5.9,2.9,.,.,.,.,.,.,.,.,.,.,"INSPIRED VISION ACADEMY",0,0,0,0,0,0,15.8,6.7,15.8,6.7,0,4.5,0,0,0,0,10.3,9.1,10.3,4.5,0,4.8,0,0,0,0,26.9,14.3,26.9,9.5,0,0,0,0,0,0,58.3,66.7,58.3,66.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'057831",.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,91.3,90.5,0,0,0,0,95.7,90.5,13,9.5,90.9,89.7,0,0,0,0,95.5,89.7,13.6,10.3,92.3,89.7,0,0,0,0,100,89.7,7.7,10.3,86.7,90.5,0,0,0,0,93.3,90.5,13.3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,"GATEWAY CHARTER ACADEMY",.,.,.,.,.,.,.,.,.,.,100,90.5,0,0,0,0,100,90.5,12.5,19,80,76.9,0,0,0,0,90,76.9,30,23.1,-1,85.7,-1,0,-1,0,-1,85.7,-1,57.1,.,.,.,.,.,.,.,.,.,.
"'057833",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EDUCATION CENTER INTERNATIONAL ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'057834",0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,0.7,1.3,2,0,0,3.6,4.3,2.6,2,0.5,1.4,1.6,3.4,0,0,4.2,6.2,2.6,1.4,0,1,1.5,2.4,0,0,3.4,4.8,2.3,1.9,0,0.6,0.5,1.2,0,0,1.9,2.4,1.4,0.6,0,0,0.7,1,0,0,3.5,2.9,3.5,2.9,.,-1,.,-1,.,-1,.,-1,.,-1,"EVOLUTION ACADEMY CHARTER SCHOOL",0,0,0,0,0,0,0,0,0,0,0.6,0.7,2.3,3,0,0,5.8,6.7,4.1,3.7,0,0.8,1.8,2.1,0,0,4.7,4.9,3.6,2.5,0,0,20,40,0,0,52,73.3,40,40,0,0,2.5,0,0,0,2.5,2.9,0,2.9
"'057835",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GOLDEN RULE CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'057836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ST ANTHONY SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'057839",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LA ACADEMIA DE ESTRELLAS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'057840",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,58.7,0,0,0,0,0,58.7,0,0,-1,.,-1,.,-1,.,-1,.,-1,.,0,66.7,0,0,0,0,0,66.7,0,0.4,0,64.9,0,0,0,0,0,64.9,0,0,0,79.4,0,0,0,0,0,79.4,0,0,0,68.9,0,0,0,0,0,68.9,0,0,0,67.2,0,0,0,0,0,67.2,0,0,-1,.,-1,.,-1,.,-1,.,-1,.,"RICHLAND COLLEGIATE HIGH SCHOOL",0,-1,0,-1,0,-1,0,-1,0,-1,0,63.2,0,0,0,0,0,63.2,0,1.1,0,45,0,0,0,0,0,45,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,0,83.3,0,0,0,0,0,83.3,0,2.8
"'057841",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CITYSCAPE SCHOOLS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
