DISTRICT,D20GI20R,D20GI21R,D20GW20R,D20GW21R,D23G420R,D23G421R,D23GG20R,D23GG21R,D2SGA20R,D2SGA21R,D30GI20R,D30GI21R,D30GW20R,D30GW21R,D33G420R,D33G421R,D33GG20R,D33GG21R,D3SGA20R,D3SGA21R,D40GI20R,D40GI21R,D40GW20R,D40GW21R,D43G420R,D43G421R,D43GG20R,D43GG21R,D4SGA20R,D4SGA21R,DA0GI20R,DA0GI21R,DA0GW20R,DA0GW21R,DA3G420R,DA3G421R,DA3GG20R,DA3GG21R,DASGA20R,DASGA21R,DB0GI20R,DB0GI21R,DB0GW20R,DB0GW21R,DB3G420R,DB3G421R,DB3GG20R,DB3GG21R,DBSGA20R,DBSGA21R,DE0GI20R,DE0GI21R,DE0GW20R,DE0GW21R,DE3G420R,DE3G421R,DE3GG20R,DE3GG21R,DESGA20R,DESGA21R,DF0GI20R,DF0GI21R,DF0GW20R,DF0GW21R,DF3G420R,DF3G421R,DF3GG20R,DF3GG21R,DFSGA20R,DFSGA21R,DH0GI20R,DH0GI21R,DH0GW20R,DH0GW21R,DH3G420R,DH3G421R,DH3GG20R,DH3GG21R,DHSGA20R,DHSGA21R,DI0GI20R,DI0GI21R,DI0GW20R,DI0GW21R,DI3G420R,DI3G421R,DI3GG20R,DI3GG21R,DISGA20R,DISGA21R,DISTNAME,DL0GI20R,DL0GI21R,DL0GW20R,DL0GW21R,DL3G420R,DL3G421R,DL3GG20R,DL3GG21R,DLSGA20R,DLSGA21R,DM0GI20R,DM0GI21R,DM0GW20R,DM0GW21R,DM3G420R,DM3G421R,DM3GG20R,DM3GG21R,DMSGA20R,DMSGA21R,DR0GI20R,DR0GI21R,DR0GW20R,DR0GW21R,DR3G420R,DR3G421R,DR3GG20R,DR3GG21R,DRSGA20R,DRSGA21R,DS0GI20R,DS0GI21R,DS0GW20R,DS0GW21R,DS3G420R,DS3G421R,DS3GG20R,DS3GG21R,DSSGA20R,DSSGA21R,DW0GI20R,DW0GI21R,DW0GW20R,DW0GW21R,DW3G420R,DW3G421R,DW3GG20R,DW3GG21R,DWSGA20R,DWSGA21R
"'001902",-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,30.6,17.1,5.6,0,0,51.2,36.1,19.5,2.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,44.4,33.3,11.1,0,0,60,55.6,40,0,31.8,14.3,9.1,0,0,0,36.4,14.3,13.6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.,.,47.4,40.9,26.3,9.1,0,0,68.4,50,26.3,4.5,37.5,22.2,37.5,0,0,0,62.5,22.2,37.5,0,40,-1,70,-1,0,-1,90,-1,80,-1,39.4,32.3,9.1,6.5,0,0,48.5,38.7,15.2,3.2
"'001903",-1,100,-1,0,-1,0,-1,100,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,16.3,60.4,12,5.5,0,1.1,29.3,64.8,1.1,3.3,0,40,33.3,20,0,0,33.3,60,0,20,17.9,61.7,15.4,8.5,0,0,33.3,70.2,0,6.4,14,69.2,16,0,0,2.6,32,74.4,2,7.7,18.2,50,9.1,0,0,0,27.3,50,0,0,.,.,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,19,53.8,7.1,9.6,0,0,26.2,57.7,0,0,13.6,65.4,20.5,7.7,0,0,36.4,73.1,2.3,11.5,0,33.3,73.3,44.4,0,0,80,77.8,6.7,33.3,18.6,60.9,10,5.8,0,1.4,30,65.2,1.4,2.9
"'001904",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,41.2,26.8,2,0,0,0,43.1,26.8,0,2.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.3,35.3,5.3,0,0,0,31.6,35.3,0,5.9,25,22.2,0,0,0,0,25,22.2,0,0,40,-1,0,-1,0,-1,40,-1,0,-1,-1,.,-1,.,-1,.,-1,.,-1,.,"FRANKSTON ISD",-1,.,-1,.,-1,.,-1,.,-1,.,48.6,30.4,2.9,0,0,0,51.4,30.4,0,4.3,56.3,33.3,6.3,0,0,0,62.5,33.3,0,16.7,40,-1,20,-1,0,-1,60,-1,0,-1,41.9,24.2,2.3,0,0,0,44.2,24.2,0,3
"'001906",.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,2.9,43.5,14.7,4.3,0,4.3,14.7,43.5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,85.7,18.2,14.3,0,0,18.2,85.7,0,0,0,50,5.9,8.3,0,0,5.9,50,0,0,0,-1,20,-1,0,-1,20,-1,0,-1,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,5.9,36.4,23.5,0,0,9.1,23.5,36.4,0,0,10,-1,50,-1,0,-1,50,-1,0,-1,20,-1,100,-1,0,-1,100,-1,0,-1,4,41.2,12,5.9,0,5.9,12,41.2,0,0
"'001907",20,57.1,0,0,0,0,20,57.1,0,14.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,22.2,38.3,5.2,1.5,0,1,28.3,42.3,1.7,7,22.8,34.7,8.8,4.1,0,2,29.8,42.9,0,10.2,24.1,38.6,6.2,2.1,0,1.4,30.3,42.9,1.4,6.4,19,34.1,1.7,0,0,1.1,21.6,36.4,0.9,2.3,27.2,45.6,2.9,1.1,0,0,32,46.7,1.9,4.4,.,.,.,.,.,.,.,.,.,.,"PALESTINE ISD",25,47.6,12.5,4.8,0,0,37.5,52.4,0,9.5,25.4,41.6,8.8,2.7,0,0.9,35.1,46.9,2.6,10.6,23.7,42.7,8.9,2.7,0,1.8,33.3,50,1.5,10,22.7,52.9,54.5,17.6,0,0,86.4,100,18.2,82.4,14.5,28.8,6.5,0,0,1.9,22.6,34.6,3.2,7.7
"'001908",60,-1,0,-1,0,-1,60,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,32.3,56.8,6.1,0,0,0,36.4,56.8,0,0,50,72.7,0,0,0,0,50,72.7,0,0,39.2,51.1,5.9,0,0,0,43.1,51.1,0,0,40,52.4,6,0,0,0,42,52.4,0,0,31.6,75,5.3,0,0,0,36.8,75,0,0,-1,.,-1,.,-1,.,-1,.,-1,.,"WESTWOOD ISD",-1,66.7,-1,0,-1,0,-1,66.7,-1,0,24.5,60.4,6.1,0,0,0,30.6,60.4,0,0,32.6,62.7,8.7,0,0,0,39.1,62.7,0,0,27.3,22.2,54.5,0,0,0,63.6,22.2,0,0,19.6,43.6,10.9,0,0,0,26.1,43.6,0,0
"'001909",.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.8,50,0,0,0,0,19.2,53.1,15.4,15.6,.,-1,.,-1,.,-1,.,-1,.,-1,0,45.5,0,0,0,0,20,54.5,20,27.3,11.1,50,0,0,0,0,22.2,58.3,11.1,16.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,0,50,0,0,0,0,17.6,50,17.6,15,0,50,0,0,0,0,28.6,50,28.6,12.5,0,71.4,0,0,0,0,66.7,85.7,66.7,71.4,4.2,60,0,0,0,0,20.8,64,16.7,20
"'002901",-1,0,-1,0,-1,0,-1,0,-1,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,0,5.1,2.1,0.7,1.2,0.7,8.3,12.3,5,6.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4.6,3.1,1.9,0,0,8.3,13.9,5.2,7.4,0,2.6,1.8,0,1.8,1.3,5.3,7.2,1.8,4.6,0,5.8,1.8,0.5,1.8,1,7.9,13.1,4.2,7.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"ANDREWS ISD",0,3.6,0,0,0,0,6.7,10.7,6.7,7.1,0,7.9,2.3,1.4,0.8,0,10.9,17.9,7.8,9.3,0,2.2,1.1,0.7,1.1,0,11.2,15.9,9,13.8,0,3.1,26.3,6.3,0,0,89.5,68.8,63.2,62.5,0,3.8,2.9,1.3,0,0,10,11.5,7.1,6.4
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,7,19.2,0,0,1.8,3.8,10.5,19.2,5.3,0,0,14.3,0,0,0,0,8.3,14.3,8.3,0,7.7,21.1,0,0,0,5.3,11.5,21.1,3.8,0,10.7,24,0,0,3.6,0,14.3,24,3.6,0,11.1,20,0,0,0,10,11.1,20,0,0,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,-1,.,-1,.,-1,.,-1,.,-1,3.4,14.8,0,0,0,7.4,6.9,14.8,6.9,0,0,7.1,0,0,0,0,11.8,7.1,11.8,0,33.3,.,0,.,0,.,66.7,.,50,.,9.7,18.8,0,0,3.2,3.1,12.9,18.8,6.5,0
"'003902",0,-1,0,-1,0,-1,0,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,18.6,34.7,1.5,2.6,1,0.5,22.5,39.8,1.5,2.6,15.8,20,10.5,13.3,0,0,31.6,33.3,5.3,0,19.1,22.4,3.4,4.7,1.1,1.2,27,31.8,3.4,3.5,10,29.6,1.8,0.9,0,0.9,11.8,33.3,0,1.9,18.2,22.2,0,0,2.3,2.8,20.5,33.3,0,8.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HUDSON ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.7,40.9,1.1,4.5,2.1,0,35.1,47.7,3.2,3.4,16.9,31.6,4.2,6.6,1.4,0,26.8,43.4,4.2,6.6,0,6.3,21.4,31.3,0,0,42.9,62.5,21.4,31.3,19.4,39.9,0.7,1.4,0.7,0,22.4,42,1.5,1.4
"'003903",0,0,14.3,0,0,0,28.6,10,28.6,10,0,0,16.7,0,0,0,16.7,0,16.7,0,.,.,.,.,.,.,.,.,.,.,4.3,1.2,7.9,2.6,0,0,15.7,11.9,10.6,10.3,2.9,0,12.9,6.3,0,0,25,12.6,20.7,12.6,4.4,1.3,8.7,3.2,0,0,17.2,13.1,11.8,11.3,2.6,0.8,3,2.4,0,0,8.9,8.4,6,6.8,5.2,1.3,3.8,1.7,0,0,9.4,7.3,4.2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"LUFKIN ISD",11.1,2.2,5.6,0,0,0,16.7,13.3,8.3,11.1,5.9,1.6,12.5,2.9,0,0,21.9,15.6,14.8,13.9,6.3,1.3,8.6,2.3,0,0,18.9,10.8,12.2,9.2,3.3,0,65,23.6,0,0,96.7,96.4,86.7,92.7,4.8,2.3,8.8,1.6,0,0,15.2,20.9,8.8,17.1
"'003904",-1,0,-1,0,-1,0,-1,0,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.3,15.4,0,1,0,1,19.4,22.1,4,6.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,13.3,0,2.2,0,0,24.5,24.4,7.5,11.1,11.1,5.7,0,1.9,0,0,15.9,11.3,4.8,3.8,31.3,0,0,0,0,0,37.5,0,6.3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HUNTINGTON ISD",-1,.,-1,.,-1,.,-1,.,-1,.,19.7,25.5,0,0,0,2,23,33.3,3.3,9.8,15.6,26.1,0,4.3,0,4.3,31.3,47.8,15.6,21.7,0,7.7,0,7.7,0,7.7,71.4,61.5,71.4,53.8,13.9,16.9,0,1.1,0,1.1,17.8,23.6,4,5.6
"'003905",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.1,77.1,0,0.9,0,0,12.4,78.9,7.3,6.4,5.3,63.6,0,0,0,0,26.3,72.7,21.1,18.2,5.5,80.8,0,0,0,0,13.3,81.7,7.8,6.7,3.2,69.6,0,1.8,0,0,3.2,73.2,0,7.1,3.8,84.5,0,1.7,0,0,11.3,86.2,7.5,8.6,.,.,.,.,.,.,.,.,.,.,"DIBOLL ISD",0,83.3,0,0,0,0,16.7,83.3,16.7,33.3,6.8,84.9,0,0,0,0,20.3,84.9,13.5,5.7,4,69.6,0,0,0,0,20,71.4,16,12.5,0,80,0,0,0,0,76.9,90,76.9,70,8.1,72.2,0,0,0,0,8.1,72.2,0,0
"'003906",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,58.3,0,0,0,8.3,0,66.7,0,8.3,.,.,.,.,.,.,.,.,.,.,0,44.4,0,0,0,11.1,0,66.7,0,22.2,0,61.5,0,0,0,15.4,0,69.2,0,7.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,"ZAVALLA ISD",.,.,.,.,.,.,.,.,.,.,0,54.5,0,0,0,0,0,63.6,0,9.1,0,63.6,0,0,0,9.1,0,72.7,0,18.2,0,57.1,0,0,0,0,0,71.4,0,28.6,0,63.2,0,0,0,5.3,0,68.4,0,10.5
"'003907",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.4,44.3,0,1.1,0,0,16.5,47.7,2.1,3.4,20,-1,0,-1,0,-1,20,-1,0,-1,12.5,46.9,0,2,0,0,12.5,53.1,0,4.1,14.3,52.5,0,0,0,0,16.3,55,2,5,15.4,45.8,0,0,0,0,15.4,45.8,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,"CENTRAL ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.6,37.5,0,2.1,0,0,16.7,41.7,2.1,2.1,3.7,51.9,0,0,0,0,7.4,55.6,3.7,7.4,0,30,0,10,0,0,28.6,60,28.6,30,14.5,44.8,0,1.7,0,0,17.1,50,2.6,5.2
"'004901",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42.9,-1,0,-1,0,-1,42.9,-1,14.3,.,.,.,.,.,.,.,.,.,.,44.2,40.7,2.8,0,0,0,47.9,41.2,1.8,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42.9,39.2,3.2,0,0,0,46.8,40.2,0.8,1,34.3,36.6,1.9,0,0,0,37,36.6,1.9,0,35.3,41.1,4.7,0,0,0,41.2,41.1,1.2,0,.,.,.,.,.,.,.,.,.,.,"ARANSAS COUNTY ISD",20,14.3,0,0,0,0,20,14.3,0,0,54.1,45.2,3.7,0,0,0,58.7,46.4,1.8,4.8,27.6,37.9,5.3,0,0,0,34.2,38.9,1.3,2.1,13.6,25,27.3,0,0,0,50,31.3,18.2,25,50,40,1.6,0,0,0,52.5,41.1,2.5,2.2
"'005901",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.7,0,5.9,10.7,0,0,20.6,17.9,5.9,17.9,.,.,.,.,.,.,.,.,.,.,0,0,16.7,14.3,0,0,16.7,14.3,16.7,14.3,0,0,10,9.1,0,0,10,9.1,10,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,"ARCHER CITY ISD",.,.,.,.,.,.,.,.,.,.,35.7,0,0,11.8,0,0,35.7,23.5,0,23.5,14.3,0,28.6,25,0,0,42.9,41.7,28.6,41.7,-1,0,-1,60,-1,0,-1,100,-1,100,16.1,0,6.5,8.3,0,0,22.6,12.5,6.5,12.5
"'005902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.1,22.2,6.1,5.6,0,0,23.2,27.8,1.2,4.2,.,.,.,.,.,.,.,.,.,.,40,11.1,0,0,0,0,46.7,11.1,6.7,0,11.8,10.8,2.9,0,0,0,14.7,10.8,0,0,14.3,25,14.3,12.5,0,0,28.6,37.5,0,25,.,-1,.,-1,.,-1,.,-1,.,-1,"HOLLIDAY ISD",.,.,.,.,.,.,.,.,.,.,20.8,34.3,8.3,11.4,0,0,29.2,45.7,2.1,8.6,11.8,30,23.5,5,0,0,35.3,35,5.9,5,16.7,20,83.3,80,0,0,100,100,16.7,60,17.6,19.7,5.4,4.9,0,0,23,24.6,1.4,1.6
"'005904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,13.8,3.1,6.9,0,0,28.1,20.7,3.1,6.9,.,.,.,.,.,.,.,.,.,.,14.3,12.5,14.3,25,0,0,28.6,25,14.3,12.5,0,0,5.9,0,0,0,5.9,0,5.9,0,12.5,0,12.5,11.1,0,0,25,11.1,12.5,0,.,.,.,.,.,.,.,.,.,.,"WINDTHORST ISD",.,-1,.,-1,.,-1,.,-1,.,-1,53.3,21.1,0,10.5,0,0,53.3,31.6,0,10.5,37.5,11.1,12.5,22.2,0,0,50,33.3,12.5,22.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.2,20,0,5,0,0,29.2,25,0,10
"'006902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,5,0,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,12.5,0,12.5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,"CLAUDE ISD",.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,0,0,0,0,0,0,0,0,0,0
"'007901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1,10.3,-1,0,-1,23.1,-1,15.4,-1,.,.,.,.,.,.,.,.,.,.,0,-1,15.4,-1,0,-1,26.9,-1,15.4,-1,0,-1,20,-1,0,-1,26.7,-1,13.3,-1,0,-1,12.5,-1,0,-1,25,-1,15.6,-1,.,.,.,.,.,.,.,.,.,.,"CHARLOTTE ISD",.,-1,.,-1,.,-1,.,-1,.,-1,0,-1,4.2,-1,0,-1,20.8,-1,16.7,-1,0,-1,13.3,-1,0,-1,30,-1,20,-1,0,-1,36.4,-1,0,-1,81.8,-1,54.5,-1,0,.,0,.,0,.,14.3,.,14.3,.
"'007902",-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.9,8.2,7.8,6.1,0,0,12.2,14.3,5.2,3.1,.,-1,.,-1,.,-1,.,-1,.,-1,1.6,4.9,12.5,9.8,0,0,17.2,12.2,4.7,2.4,2.1,2.3,6.3,2.3,0,0,10.4,4.7,6.3,0,1.4,4.8,10.1,6.5,0,0,14.5,11.3,4.3,3.2,.,-1,.,-1,.,-1,.,-1,.,-1,"JOURDANTON ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,12.7,9,9.1,0,0,13.4,21.8,4.5,5.5,0,8.8,17.8,17.6,0,0,24.4,26.5,11.1,8.8,0,10,69.2,60,0,0,100,70,46.2,30,0,15.2,4.7,6.1,0,0,9.3,21.2,7,3
"'007904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56.9,37.2,2,2.3,0,5.8,58.8,43,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,40.4,1.4,0,0,5.8,63.4,44.2,0,0,58.3,22.9,0,2.9,0,0,58.3,25.7,0,0,60.2,38.4,0,2.7,0,6.8,60.2,45.2,0,0,.,.,.,.,.,.,.,.,.,.,"LYTLE ISD",50,62.5,0,12.5,0,0,50,75,0,0,55.6,47.1,3.7,2,0,9.8,59.3,54.9,0,0,64.3,54.8,0,6.5,0,3.2,64.3,61.3,0,0,66.7,-1,33.3,-1,0,-1,100,-1,0,-1,44.4,33.3,11.1,0,0,0,55.6,33.3,0,0
"'007905",-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,8.9,16.9,4.7,5.9,0.8,0,17.1,27.4,3.1,10.5,-1,.,-1,.,-1,.,-1,.,-1,.,7.5,17.8,7.5,8.9,0.7,0,18.7,32.9,3.7,14.4,14.4,19.5,4,5.9,0,0,20,28.8,2.4,7.6,8,16.7,4.5,7.4,0.6,0,15.9,29.6,2.8,12.3,.,.,.,.,.,.,.,.,.,.,"PLEASANTON ISD",0,-1,14.3,-1,0,-1,14.3,-1,0,-1,3.8,14.3,5.3,5.9,1.5,0,14.4,26.1,3.8,13.4,1.9,9.4,9.5,7.1,1,0,17.1,26.8,5.7,16.5,0,15.6,46.2,43.8,0,0,73.1,93.8,30.8,78.1,11.5,16.2,5.1,2.7,1.3,0,19.2,21.6,2.6,6.8
"'007906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.9,14.9,3.7,1,0,0,9.3,20.8,3.7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.4,12.2,5.4,0,0,0,10.8,22,4.1,9.8,3.8,17.9,1.9,1.8,0,0,9.4,25,3.8,5.4,2.2,12.9,4.4,1.2,0,0,10,17.6,3.3,3.5,.,.,.,.,.,.,.,.,.,.,"POTEET ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11.1,5.5,0,0,0,9.1,15.6,3.6,4.4,1.6,14.1,6.3,0,0,0,14.3,20.3,6.3,6.3,0,0,33.3,7.1,0,0,66.7,42.9,33.3,35.7,0,26.7,0,0,0,0,0,40,0,13.3
"'008901",.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,2.4,4.5,0,2.8,0,0,4.9,8.4,2.4,2.2,0,0,0,18.2,0,0,0,36.4,0,18.2,0,6.1,0,7.6,0,0,1.8,16.7,1.8,6.1,0,1.1,0,3.3,0,0,1.3,4.3,1.3,1.1,0,3.5,0,3.5,0,0,2.1,7,2.1,3.5,.,.,.,.,.,.,.,.,.,.,"BELLVILLE ISD",0,0,0,16.7,0,0,0,16.7,0,16.7,4.7,8,0,2.3,0,0,8.1,12.6,3.5,3.4,2.3,2,0,10,0,0,6.8,16,4.5,8,0,0,0,55.6,0,0,44.4,77.8,44.4,44.4,3.8,5.7,0,1,0,0,6.6,6.7,2.8,0
"'008902",-1,40,-1,0,-1,0,-1,40,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,.,.,10.5,21.4,3.2,4.1,0,0,14.7,25,1.6,0.5,4.8,12.5,4.8,0,0,0,9.5,12.5,4.8,0,4.3,24.8,5.4,7.7,0,0,12,31.6,3.3,0.9,3.4,12.1,4.5,4,0,0,10.1,15.2,2.2,0,9.2,21.4,5.7,6.8,0,0,17.2,26.2,2.3,0,-1,.,-1,.,-1,.,-1,.,-1,.,"SEALY ISD",3.8,25,11.5,12.5,0,0,19.2,29.2,3.8,0,16.8,28.9,2,4.1,0,0,18.8,33.1,1,0.8,5.2,14.3,7.8,9.5,0,0,14.3,20.6,2.6,0,9.1,15.4,54.5,69.2,0,0,81.8,76.9,27.3,7.7,14.9,23,0,2.3,0,0,14.9,26.4,0,1.1
"'008903",.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,0,0,0,2,0,0,4.3,6,4.3,4,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,8.1,6.9,8.1,6.9,0,0,0,3.8,0,0,2.9,3.8,2.9,0,0,0,0,4.2,0,0,5.9,12.5,5.9,8.3,.,.,.,.,.,.,.,.,.,.,"BRAZOS ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,5.6,8.3,5.6,8.3,0,0,0,0,0,0,10.3,10,10.3,10,0,-1,0,-1,0,-1,42.9,-1,42.9,-1,0,0,0,0,0,0,0,0,0,0
"'009901",.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,32.5,28.9,2.6,10.5,0,0,42.9,47.4,9.1,14.5,.,.,.,.,.,.,.,.,.,.,31.7,31.7,3.2,11.7,0,0,42.9,53.3,9.5,18.3,31.4,26.2,5.7,7.1,0,0,40,40.5,2.9,9.5,34.3,30.3,3,12.1,0,0,44.8,51.5,9,16.7,.,.,.,.,.,.,.,.,.,.,"MULESHOE ISD",16.7,-1,0,-1,0,-1,16.7,-1,16.7,-1,33.3,32.4,0,14.7,0,0,45.2,55.9,14.3,20.6,24.1,21.4,6.9,7.1,0,0,44.8,50,17.2,35.7,11.1,12.5,22.2,50,0,0,100,100,77.8,68.8,20,11.1,0,0,0,0,30,11.1,10,0
"'010901",-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.3,0,0,0,0,0,12.5,8.3,4.2,8.3,-1,.,-1,.,-1,.,-1,.,-1,.,6.3,0,0,0,0,0,12.5,14.3,6.3,14.3,16.7,0,0,0,0,0,16.7,13.3,0,13.3,-1,0,-1,0,-1,0,-1,14.3,-1,14.3,.,.,.,.,.,.,.,.,.,.,"MEDINA ISD",.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,8.3,0,8.3,0,0,0,0,0,0,0,9.1,25,9.1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.5,0,0,0,0,0,15.8,5.9,5.3,5.9
"'010902",0,-1,0,-1,0,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.9,0,0,2.3,0,0,9.4,4.6,6.5,2.3,.,.,.,.,.,.,.,.,.,.,0,0,0,3.9,0,0,6.8,7.8,6.8,3.9,2.6,0,0,2,0,0,7.8,4,5.2,2,2,0,0,2.4,0,0,7.8,4.8,5.9,2.4,.,.,.,.,.,.,.,.,.,.,"BANDERA ISD",-1,.,-1,.,-1,.,-1,.,-1,.,3.2,0,0,2.5,0,0,11.3,4.9,8.1,2.5,0,0,0,4.2,0,0,24,8.3,24,4.2,0,0,0,20,0,0,50,40,50,20,3.6,0,0,2.4,0,0,10.8,4.7,7.2,2.4
