,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored),,
"STAAR Performance Rates by Tested Grade, Subject, and Performance Levels",,,,,,,,,,,,,,,,,,
Grade 3 Reading At Approaches Grade Level or Above,2019 SDA03ARE1S19R,DDA03ARE1S19R,CDA03ARE1S19R,CDB03ARE1S19R,CDH03ARE1S19R,CDW03ARE1S19R,CDI03ARE1S19R,CD303ARE1S19R,CD403ARE1S19R,CD203ARE1S19R,CDS03ARE1S19R,CNS03ARE1S19R,CNC03ARE1S19R,CNM03ARE1S19R,CDE03ARE1S19R,CD003ARE1S19R,,
,2018 SDA03ARE1S18R,DDA03ARE1S18R,CDA03ARE1S18R,CDB03ARE1S18R,CDH03ARE1S18R,CDW03ARE1S18R,CDI03ARE1S18R,CD303ARE1S18R,CD403ARE1S18R,CD203ARE1S18R,CDS03ARE1S18R,CNS03ARE1S18R,CNC03ARE1S18R,CNM03ARE1S18R,CDE03ARE1S18R,CD003ARE1S18R,,
At Meets Grade Level or Above,2019 SDA03ARE1219R,DDA03ARE1219R,CDA03ARE1219R,CDB03ARE1219R,CDH03ARE1219R,CDW03ARE1219R,CDI03ARE1219R,CD303ARE1219R,CD403ARE1219R,CD203ARE1219R,CDS03ARE1219R,CNS03ARE1219R,CNC03ARE1219R,CNM03ARE1219R,CDE03ARE1219R,CD003ARE1219R,,
,2018 SDA03ARE1218R,DDA03ARE1218R,CDA03ARE1218R,CDB03ARE1218R,CDH03ARE1218R,CDW03ARE1218R,CDI03ARE1218R,CD303ARE1218R,CD403ARE1218R,CD203ARE1218R,CDS03ARE1218R,CNS03ARE1218R,CNC03ARE1218R,CNM03ARE1218R,CDE03ARE1218R,CD003ARE1218R,,
At Masters Grade Level,2019 SDA03ARE1319R,DDA03ARE1319R,CDA03ARE1319R,CDB03ARE1319R,CDH03ARE1319R,CDW03ARE1319R,CDI03ARE1319R,CD303ARE1319R,CD403ARE1319R,CD203ARE1319R,CDS03ARE1319R,CNS03ARE1319R,CNC03ARE1319R,CNM03ARE1319R,CDE03ARE1319R,CD003ARE1319R,,
,2018 SDA03ARE1318R,DDA03ARE1318R,CDA03ARE1318R,CDB03ARE1318R,CDH03ARE1318R,CDW03ARE1318R,CDI03ARE1318R,CD303ARE1318R,CD403ARE1318R,CD203ARE1318R,CDS03ARE1318R,CNS03ARE1318R,CNC03ARE1318R,CNM03ARE1318R,CDE03ARE1318R,CD003ARE1318R,,
Grade 3 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 SDA03AMA1S19R,DDA03AMA1S19R,CDA03AMA1S19R,CDB03AMA1S19R,CDH03AMA1S19R,CDW03AMA1S19R,CDI03AMA1S19R,CD303AMA1S19R,CD403AMA1S19R,CD203AMA1S19R,CDS03AMA1S19R,CNS03AMA1S19R,CNC03AMA1S19R,CNM03AMA1S19R,CDE03AMA1S19R,CD003AMA1S19R,,
