Data field,Subcategory,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),Unnamed: 18
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,,,,,,,,,,,,,,,,,,
Grade 3 Mathematics,At Masters Grade Level,2019,SDA03AMA1319R,RDA03AMA1319R,DDA03AMA1319R,DDB03AMA1319R,DDH03AMA1319R,DDW03AMA1319R,DDI03AMA1319R,DD303AMA1319R,DD403AMA1319R,DD203AMA1319R,DDS03AMA1319R,DNS03AMA1319R,DNC03AMA1319R,DNM03AMA1319R,DDE03AMA1319R,DD003AMA1319R,
Grade 4 Reading,Grade 4 Reading,,,,,,,,,,,,,,,,,,
Grade 4 Reading,At Approaches Grade Level or Above,2021,SDA04ARE1S21R,RDA04ARE1S21R,DDA04ARE1S21R,DDB04ARE1S21R,DDH04ARE1S21R,DDW04ARE1S21R,DDI04ARE1S21R,DD304ARE1S21R,DD404ARE1S21R,DD204ARE1S21R,DDS04ARE1S21R,DNS04ARE1S21R,DNC04ARE1S21R,DNM04ARE1S21R,DDE04ARE1S21R,DD004ARE1S21R,
Grade 4 Reading,At Approaches Grade Level or Above,2019,SDA04ARE1S19R,RDA04ARE1S19R,DDA04ARE1S19R,DDB04ARE1S19R,DDH04ARE1S19R,DDW04ARE1S19R,DDI04ARE1S19R,DD304ARE1S19R,DD404ARE1S19R,DD204ARE1S19R,DDS04ARE1S19R,DNS04ARE1S19R,DNC04ARE1S19R,DNM04ARE1S19R,DDE04ARE1S19R,DD004ARE1S19R,
Grade 4 Reading,At Meets Grade Level or Above,2021,SDA04ARE1221R,RDA04ARE1221R,DDA04ARE1221R,DDB04ARE1221R,DDH04ARE1221R,DDW04ARE1221R,DDI04ARE1221R,DD304ARE1221R,DD404ARE1221R,DD204ARE1221R,DDS04ARE1221R,DNS04ARE1221R,DNC04ARE1221R,DNM04ARE1221R,DDE04ARE1221R,DD004ARE1221R,
Grade 4 Reading,At Meets Grade Level or Above,2019,SDA04ARE1219R,RDA04ARE1219R,DDA04ARE1219R,DDB04ARE1219R,DDH04ARE1219R,DDW04ARE1219R,DDI04ARE1219R,DD304ARE1219R,DD404ARE1219R,DD204ARE1219R,DDS04ARE1219R,DNS04ARE1219R,DNC04ARE1219R,DNM04ARE1219R,DDE04ARE1219R,DD004ARE1219R,
Grade 4 Reading,At Masters Grade Level,2021,SDA04ARE1321R,RDA04ARE1321R,DDA04ARE1321R,DDB04ARE1321R,DDH04ARE1321R,DDW04ARE1321R,DDI04ARE1321R,DD304ARE1321R,DD404ARE1321R,DD204ARE1321R,DDS04ARE1321R,DNS04ARE1321R,DNC04ARE1321R,DNM04ARE1321R,DDE04ARE1321R,DD004ARE1321R,
Grade 4 Reading,At Masters Grade Level,2019,SDA04ARE1319R,RDA04ARE1319R,DDA04ARE1319R,DDB04ARE1319R,DDH04ARE1319R,DDW04ARE1319R,DDI04ARE1319R,DD304ARE1319R,DD404ARE1319R,DD204ARE1319R,DDS04ARE1319R,DNS04ARE1319R,DNC04ARE1319R,DNM04ARE1319R,DDE04ARE1319R,DD004ARE1319R,
Grade 4 Mathematics,Grade 4 Mathematics,,,,,,,,,,,,,,,,,,
Grade 4 Mathematics,At Approaches Grade Level or Above,2021,SDA04AMA1S21R,RDA04AMA1S21R,DDA04AMA1S21R,DDB04AMA1S21R,DDH04AMA1S21R,DDW04AMA1S21R,DDI04AMA1S21R,DD304AMA1S21R,DD404AMA1S21R,DD204AMA1S21R,DDS04AMA1S21R,DNS04AMA1S21R,DNC04AMA1S21R,DNM04AMA1S21R,DDE04AMA1S21R,DD004AMA1S21R,
