,zipcode,period_end,median_ppsf,area,year,median_ppsf_prev,median_ppsf_change_percent,DISTRICT,DISTNAME
2,75001,2018-12-31,169.68566862013853,2121.569858712716,2018,179.07634307257305,-5.243950312648963,57905.0,DALLAS ISD
11,75002,2018-12-31,138.22115384615384,2111.833043478261,2018,132.64486815370282,4.203921169411151,43901.0,ALLEN ISD
12,75002,2018-12-31,138.22115384615384,2111.833043478261,2018,132.64486815370282,4.203921169411151,43919.0,LOVEJOY ISD
27,75006,2018-12-31,136.36363636363637,1751.9333333333332,2018,133.31489675516224,2.2868709219144954,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
28,75006,2018-12-31,136.36363636363637,1751.9333333333332,2018,133.31489675516224,2.2868709219144954,57851.0,BRIDGEWAY PREPARATORY ACADEMY
29,75006,2018-12-31,136.36363636363637,1751.9333333333332,2018,133.31489675516224,2.2868709219144954,57903.0,CARROLLTON-FARMERS BRANCH ISD
46,75007,2018-12-31,137.86008230452674,1991.1492537313434,2018,138.05798435342845,-0.14334705075447213,57903.0,CARROLLTON-FARMERS BRANCH ISD
47,75007,2018-12-31,137.86008230452674,1991.1492537313434,2018,138.05798435342845,-0.14334705075447213,61902.0,LEWISVILLE ISD
60,75009,2018-12-31,136.35796235288916,2784.197515488585,2018,128.7995878413189,5.868321970783154,43903.0,CELINA ISD
61,75009,2018-12-31,136.35796235288916,2784.197515488585,2018,128.7995878413189,5.868321970783154,43912.0,PROSPER ISD
74,75010,2018-12-31,155.52865240986512,2507.5765394805317,2018,150.18050541516246,3.5611459556072997,61805.0,TRIVIUM ACADEMY
75,75010,2018-12-31,155.52865240986512,2507.5765394805317,2018,150.18050541516246,3.5611459556072997,61902.0,LEWISVILLE ISD
88,75013,2018-12-31,145.18413597733712,2971.3990243902435,2018,144.10005437737902,0.7523117216312981,43901.0,ALLEN ISD
89,75013,2018-12-31,145.18413597733712,2971.3990243902435,2018,144.10005437737902,0.7523117216312981,43910.0,PLANO ISD
102,75019,2018-12-31,171.12462006079028,2337.4777975133215,2018,164.06920987642027,4.300264619841991,57903.0,CARROLLTON-FARMERS BRANCH ISD
103,75019,2018-12-31,171.12462006079028,2337.4777975133215,2018,164.06920987642027,4.300264619841991,57922.0,COPPELL ISD
116,75020,2018-12-31,88.27652807619971,1554.7734260858867,2018,88.04837948931747,0.2591173036977038,91903.0,DENISON ISD
117,75020,2018-12-31,88.27652807619971,1554.7734260858867,2018,88.04837948931747,0.2591173036977038,91906.0,SHERMAN ISD
135,75022,2018-12-31,149.08072574923054,3320.3487406725003,2018,144.93335908025358,2.8615680305045896,61902.0,LEWISVILLE ISD
142,75023,2018-12-31,137.72749631087063,2091.0857142857144,2018,135.03716316349096,1.9922909252192005,43910.0,PLANO ISD
153,75024,2018-12-31,151.0416869207337,2820.4134148975954,2018,151.92194944613382,-0.579417607929154,43802.0,LONE STAR LANGUAGE ACADEMY
154,75024,2018-12-31,151.0416869207337,2820.4134148975954,2018,151.92194944613382,-0.579417607929154,43905.0,FRISCO ISD
155,75024,2018-12-31,151.0416869207337,2820.4134148975954,2018,151.92194944613382,-0.579417607929154,43910.0,PLANO ISD
172,75025,2018-12-31,140.05474452554745,2470.4625407166122,2018,136.6694701429773,2.4769792251544014,43905.0,FRISCO ISD
173,75025,2018-12-31,140.05474452554745,2470.4625407166122,2018,136.6694701429773,2.4769792251544014,43910.0,PLANO ISD
185,75028,2018-12-31,146.6723187791437,2420.361271676301,2018,136.86049762370703,7.169213414972307,61902.0,LEWISVILLE ISD
192,75032,2018-12-31,130.57503689059837,2542.599319946312,2018,129.34613924684965,0.9500845181033531,199901.0,ROCKWALL ISD
199,75033,2018-12-31,133.45169788577297,2969.239105066819,2018,136.06340819022458,-1.919480291718316,43905.0,FRISCO ISD
212,75034,2018-12-31,161.37336016244356,2943.8440119347547,2018,159.30330634278005,1.2994418428512,43905.0,FRISCO ISD
213,75034,2018-12-31,161.37336016244356,2943.8440119347547,2018,159.30330634278005,1.2994418428512,61804.0,LEADERSHIP PREP SCHOOL
214,75034,2018-12-31,161.37336016244356,2943.8440119347547,2018,159.30330634278005,1.2994418428512,61902.0,LEWISVILLE ISD
215,75034,2018-12-31,161.37336016244356,2943.8440119347547,2018,159.30330634278005,1.2994418428512,61914.0,LITTLE ELM ISD
236,75035,2018-12-31,140.8901697086135,2768.1136363636365,2018,137.1835570174888,2.701936567115097,43905.0,FRISCO ISD
237,75035,2018-12-31,140.8901697086135,2768.1136363636365,2018,137.1835570174888,2.701936567115097,43912.0,PROSPER ISD
257,75038,2018-12-31,139.87671882408725,1966.0169491525423,2018,134.8804377883538,3.704229551488646,15835.0,GREAT HEARTS TEXAS
258,75038,2018-12-31,139.87671882408725,1966.0169491525423,2018,134.8804377883538,3.704229551488646,57912.0,IRVING ISD
