,zipcode,period_end,median_ppsf,area,year,DISTRICT,District_N
1,75001,2017-12-31,179.07634307257305,2091.750331578947,2016,57905.0,DALLAS ISD
9,75002,2017-12-31,132.64486815370282,2148.5942424078935,2016,43901.0,ALLEN ISD
10,75002,2017-12-31,132.64486815370282,2148.5942424078935,2016,43919.0,LOVEJOY ISD
24,75006,2017-12-31,133.31489675516224,1799.873876365648,2016,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
25,75006,2017-12-31,133.31489675516224,1799.873876365648,2016,57851.0,BRIDGEWAY PREPARATORY ACADEMY
26,75006,2017-12-31,133.31489675516224,1799.873876365648,2016,57903.0,CARROLLTON-FARMERS BRANCH ISD
44,75007,2017-12-31,138.05798435342845,1948.4566666666665,2016,57903.0,CARROLLTON-FARMERS BRANCH ISD
45,75007,2017-12-31,138.05798435342845,1948.4566666666665,2016,61902.0,LEWISVILLE ISD
58,75009,2017-12-31,128.7995878413189,2911.5000000000005,2016,43903.0,CELINA ISD
59,75009,2017-12-31,128.7995878413189,2911.5000000000005,2016,43912.0,PROSPER ISD
72,75010,2017-12-31,150.18050541516246,2330.528846153846,2016,61805.0,TRIVIUM ACADEMY
73,75010,2017-12-31,150.18050541516246,2330.528846153846,2016,61902.0,LEWISVILLE ISD
86,75013,2017-12-31,144.10005437737902,2984.0377358490564,2016,43901.0,ALLEN ISD
87,75013,2017-12-31,144.10005437737902,2984.0377358490564,2016,43910.0,PLANO ISD
101,75019,2017-12-31,164.06920987642027,2742.744969266005,2016,57903.0,CARROLLTON-FARMERS BRANCH ISD
102,75019,2017-12-31,164.06920987642027,2742.744969266005,2016,57922.0,COPPELL ISD
115,75020,2017-12-31,88.04837948931747,1507.6938470639996,2016,91903.0,DENISON ISD
116,75020,2017-12-31,88.04837948931747,1507.6938470639996,2016,91906.0,SHERMAN ISD
135,75022,2017-12-31,144.93335908025358,3035.8780255438633,2016,61902.0,LEWISVILLE ISD
142,75023,2017-12-31,135.03716316349096,2132.7462252099835,2016,43910.0,PLANO ISD
151,75024,2017-12-31,151.92194944613382,2830.4007522788065,2016,43802.0,LONE STAR LANGUAGE ACADEMY
152,75024,2017-12-31,151.92194944613382,2830.4007522788065,2016,43905.0,FRISCO ISD
153,75024,2017-12-31,151.92194944613382,2830.4007522788065,2016,43910.0,PLANO ISD
171,75025,2017-12-31,136.6694701429773,2560.9230769230767,2016,43905.0,FRISCO ISD
172,75025,2017-12-31,136.6694701429773,2560.9230769230767,2016,43910.0,PLANO ISD
185,75028,2017-12-31,136.86049762370703,2410.483709529159,2016,61902.0,LEWISVILLE ISD
192,75032,2017-12-31,129.34613924684965,2682.7240613480585,2016,199901.0,ROCKWALL ISD
199,75033,2017-12-31,136.06340819022458,3108.8446601941746,2016,43905.0,FRISCO ISD
209,75034,2017-12-31,159.30330634278005,3452.5334886429814,2016,43905.0,FRISCO ISD
210,75034,2017-12-31,159.30330634278005,3452.5334886429814,2016,61804.0,LEADERSHIP PREP SCHOOL
211,75034,2017-12-31,159.30330634278005,3452.5334886429814,2016,61902.0,LEWISVILLE ISD
212,75034,2017-12-31,159.30330634278005,3452.5334886429814,2016,61914.0,LITTLE ELM ISD
235,75035,2017-12-31,137.1835570174888,2753.6098947473906,2016,43905.0,FRISCO ISD
236,75035,2017-12-31,137.1835570174888,2753.6098947473906,2016,43912.0,PROSPER ISD
256,75038,2017-12-31,134.8804377883538,2031.3916865389801,2016,15835.0,GREAT HEARTS TEXAS
257,75038,2017-12-31,134.8804377883538,2031.3916865389801,2016,57912.0,IRVING ISD
269,75039,2017-12-31,160.63577950625634,2956.3774736842106,2016,57903.0,CARROLLTON-FARMERS BRANCH ISD
276,75040,2017-12-31,114.9802890932983,1652.4571428571428,2016,57909.0,GARLAND ISD
283,75041,2017-12-31,105.99547316602984,1556.6702527149087,2016,57909.0,GARLAND ISD
291,75042,2017-12-31,115.12717536813922,1433.1976744186047,2016,57909.0,GARLAND ISD
292,75042,2017-12-31,115.12717536813922,1433.1976744186047,2016,57916.0,RICHARDSON ISD
305,75043,2017-12-31,102.45600138253496,1854.4545701193852,2016,57909.0,GARLAND ISD
306,75043,2017-12-31,102.45600138253496,1854.4545701193852,2016,57914.0,MESQUITE ISD
321,75044,2017-12-31,127.94348508634224,1789.8527607361962,2016,57804.0,TEXANS CAN ACADEMIES
322,75044,2017-12-31,127.94348508634224,1789.8527607361962,2016,57848.0,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
323,75044,2017-12-31,127.94348508634224,1789.8527607361962,2016,57909.0,GARLAND ISD
324,75044,2017-12-31,127.94348508634224,1789.8527607361962,2016,57916.0,RICHARDSON ISD
346,75048,2017-12-31,119.46103673189153,2389.900571855513,2016,57909.0,GARLAND ISD
357,75050,2017-12-31,95.34692705341757,1866.8666678714933,2016,57813.0,TRINITY BASIN PREPARATORY
358,75050,2017-12-31,95.34692705341757,1866.8666678714933,2016,57910.0,GRAND PRAIRIE ISD
359,75050,2017-12-31,95.34692705341757,1866.8666678714933,2016,220901.0,ARLINGTON ISD
377,75051,2017-12-31,105.71540880503144,1560.7942291961033,2016,57910.0,GRAND PRAIRIE ISD
378,75051,2017-12-31,105.71540880503144,1560.7942291961033,2016,220901.0,ARLINGTON ISD
393,75052,2017-12-31,103.75840003773138,2031.1608498527494,2016,57848.0,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
394,75052,2017-12-31,103.75840003773138,2031.1608498527494,2016,57910.0,GRAND PRAIRIE ISD
395,75052,2017-12-31,103.75840003773138,2031.1608498527494,2016,220901.0,ARLINGTON ISD
396,75052,2017-12-31,103.75840003773138,2031.1608498527494,2016,220908.0,MANSFIELD ISD
419,75054,2017-12-31,111.13135595395126,2928.966331832352,2016,220908.0,MANSFIELD ISD
427,75056,2017-12-31,140.4169079328315,2172.1030927835054,2016,61902.0,LEWISVILLE ISD
428,75056,2017-12-31,140.4169079328315,2172.1030927835054,2016,61914.0,LITTLE ELM ISD
442,75057,2017-12-31,133.05847076461768,1615.830985915493,2016,61902.0,LEWISVILLE ISD
443,75057,2017-12-31,133.05847076461768,1615.830985915493,2016,72801.0,PREMIER HIGH SCHOOLS
444,75057,2017-12-31,133.05847076461768,1615.830985915493,2016,221801.0,TEXAS COLLEGE PREPARATORY ACADEMIES
461,75058,2017-12-31,131.4966913842982,2635.047287899861,2016,91917.0,GUNTER ISD
469,75060,2017-12-31,121.40287769784172,1503.2592592592594,2016,57905.0,DALLAS ISD
470,75060,2017-12-31,121.40287769784172,1503.2592592592594,2016,57912.0,IRVING ISD
482,75061,2017-12-31,106.89344603020646,1637.1443385831874,2016,57912.0,IRVING ISD
490,75062,2017-12-31,126.29058913733016,1559.8945364470462,2016,57808.0,UNIVERSAL ACADEMY
491,75062,2017-12-31,126.29058913733016,1559.8945364470462,2016,57912.0,IRVING ISD
505,75063,2017-12-31,153.7635292405639,2356.865778184781,2016,57844.0,MANARA ACADEMY
506,75063,2017-12-31,153.7635292405639,2356.865778184781,2016,57903.0,CARROLLTON-FARMERS BRANCH ISD
507,75063,2017-12-31,153.7635292405639,2356.865778184781,2016,57922.0,COPPELL ISD
525,75065,2017-12-31,121.76084920387136,2053.2051282051284,2016,61912.0,LAKE DALLAS ISD
526,75065,2017-12-31,121.76084920387136,2053.2051282051284,2016,61914.0,LITTLE ELM ISD
538,75067,2017-12-31,136.21503814021068,1725.2133333333334,2016,61902.0,LEWISVILLE ISD
548,75068,2017-12-31,120.89559877175026,2369.813317529526,2016,43905.0,FRISCO ISD
549,75068,2017-12-31,120.89559877175026,2369.813317529526,2016,61802.0,NORTH TEXAS COLLEGIATE ACADEMY
550,75068,2017-12-31,120.89559877175026,2369.813317529526,2016,61901.0,DENTON ISD
551,75068,2017-12-31,120.89559877175026,2369.813317529526,2016,61914.0,LITTLE ELM ISD
574,75069,2017-12-31,163.73286425561665,1974.9089559392328,2016,43907.0,MCKINNEY ISD
575,75069,2017-12-31,163.73286425561665,1974.9089559392328,2016,43919.0,LOVEJOY ISD
590,75070,2017-12-31,135.33464566929135,2390.3709090909088,2016,43901.0,ALLEN ISD
591,75070,2017-12-31,135.33464566929135,2390.3709090909088,2016,43905.0,FRISCO ISD
592,75070,2017-12-31,135.33464566929135,2390.3709090909088,2016,43907.0,MCKINNEY ISD
593,75070,2017-12-31,135.33464566929135,2390.3709090909088,2016,43919.0,LOVEJOY ISD
617,75071,2017-12-31,132.43900259615867,2486.4465417648144,2016,43801.0,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS
618,75071,2017-12-31,132.43900259615867,2486.4465417648144,2016,43907.0,MCKINNEY ISD
619,75071,2017-12-31,132.43900259615867,2486.4465417648144,2016,43912.0,PROSPER ISD
636,75072,2017-12-31,133.01354042798908,2330.2138940343507,2016,43912.0,PROSPER ISD
643,75074,2017-12-31,132.51794707699156,2090.2451789346596,2016,43910.0,PLANO ISD
650,75075,2017-12-31,134.55969467837846,2303.4386391915905,2016,43910.0,PLANO ISD
657,75076,2017-12-31,91.02998046501548,1428.1009326368187,2016,91913.0,POTTSBORO ISD
664,75077,2017-12-31,133.4974791886505,2350.138009397506,2016,61902.0,LEWISVILLE ISD
671,75078,2017-12-31,133.34498427123384,3187.221494102228,2016,43912.0,PROSPER ISD
679,75080,2017-12-31,166.66666666666666,1794.0,2016,43910.0,PLANO ISD
680,75080,2017-12-31,166.66666666666666,1794.0,2016,57916.0,RICHARDSON ISD
694,75081,2017-12-31,136.4572605561277,1934.5984150943398,2016,57834.0,EVOLUTION ACADEMY CHARTER SCHOOL
695,75081,2017-12-31,136.4572605561277,1934.5984150943398,2016,57848.0,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
696,75081,2017-12-31,136.4572605561277,1934.5984150943398,2016,57916.0,RICHARDSON ISD
713,75082,2017-12-31,130.92330239374695,2864.2723880597014,2016,43910.0,PLANO ISD
726,75087,2017-12-31,115.57539682539682,2508.319313304721,2016,199901.0,ROCKWALL ISD
734,75088,2017-12-31,116.09071274298056,1938.139534883721,2016,57909.0,GARLAND ISD
735,75088,2017-12-31,116.09071274298056,1938.139534883721,2016,199901.0,ROCKWALL ISD
747,75089,2017-12-31,116.77534084173088,2166.553299492386,2016,57909.0,GARLAND ISD
754,75090,2017-12-31,90.10143317392472,1436.7141058691032,2016,91906.0,SHERMAN ISD
761,75092,2017-12-31,94.70474841168368,1868.9664770617098,2016,91906.0,SHERMAN ISD
768,75093,2017-12-31,162.0006291286568,2808.013786407767,2016,43910.0,PLANO ISD
775,75094,2017-12-31,121.9208030735064,3036.393221399679,2016,43910.0,PLANO ISD
782,75098,2017-12-31,124.09387870643424,2382.434194835678,2016,43914.0,WYLIE ISD
796,75104,2017-12-31,100.23705192047264,1895.5066650478173,2016,57904.0,CEDAR HILL ISD
811,75109,2017-12-31,103.89733840304184,2136.7246111619393,2016,175910.0,MILDRED ISD
818,75110,2017-12-31,76.1233614961651,1770.1530430548362,2016,175903.0,CORSICANA ISD
825,75114,2017-12-31,108.51808634772462,1704.784946236559,2016,129901.0,CRANDALL ISD
835,75115,2017-12-31,91.77480744200089,2320.8983591124397,2016,57835.0,GOLDEN RULE CHARTER SCHOOL
836,75115,2017-12-31,91.77480744200089,2320.8983591124397,2016,57848.0,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
837,75115,2017-12-31,91.77480744200089,2320.8983591124397,2016,57906.0,DESOTO ISD
838,75115,2017-12-31,91.77480744200089,2320.8983591124397,2016,70801.0,WAXAHACHIE FAITH FAMILY ACADEMY
862,75116,2017-12-31,93.94904458598727,1756.2711864406779,2016,57806.0,ADVANTAGE ACADEMY
863,75116,2017-12-31,93.94904458598727,1756.2711864406779,2016,57845.0,UME PREPARATORY ACADEMY
864,75116,2017-12-31,93.94904458598727,1756.2711864406779,2016,57907.0,DUNCANVILLE ISD
881,75119,2017-12-31,98.15875613747954,1670.762817840767,2016,70903.0,ENNIS ISD
889,75124,2017-12-31,84.32385942682441,2122.7681135175603,2016,107905.0,EUSTACE ISD
896,75125,2017-12-31,94.34968017057568,1695.8192090395482,2016,70905.0,FERRIS ISD
904,75126,2017-12-31,112.03212000037814,2139.0740441151265,2016,129902.0,FORNEY ISD
905,75126,2017-12-31,112.03212000037814,2139.0740441151265,2016,199901.0,ROCKWALL ISD
924,75134,2017-12-31,85.36101303488553,2037.8155532070564,2016,57913.0,LANCASTER ISD
931,75135,2017-12-31,123.45445091763466,1903.1310597035665,2016,116901.0,CADDO MILLS ISD
939,75137,2017-12-31,97.07468768821276,1828.4890142536387,2016,57847.0,VILLAGE TECH SCHOOLS
940,75137,2017-12-31,97.07468768821276,1828.4890142536387,2016,57907.0,DUNCANVILLE ISD
