,zipcode,period_end,median_ppsf,area,year,median_ppsf_prev,median_ppsf_change_percent,DISTRICT,DISTNAME
4,75001,2020-12-31,192.98245614035088,1813.6363636363637,2020,170.78297425118234,12.998650472334687,57905.0,DALLAS ISD
15,75002,2020-12-31,154.8913043478261,2157.964912280702,2020,140.1357937077767,10.529437376163044,43901.0,ALLEN ISD
16,75002,2020-12-31,154.8913043478261,2157.964912280702,2020,140.1357937077767,10.529437376163044,43919.0,LOVEJOY ISD
33,75006,2020-12-31,153.4455845452162,1706.1422834415591,2020,144.21778754680588,6.398515159175802,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
34,75006,2020-12-31,153.4455845452162,1706.1422834415591,2020,144.21778754680588,6.398515159175802,57851.0,BRIDGEWAY PREPARATORY ACADEMY
35,75006,2020-12-31,153.4455845452162,1706.1422834415591,2020,144.21778754680588,6.398515159175802,57903.0,CARROLLTON-FARMERS BRANCH ISD
50,75007,2020-12-31,156.7911451539042,1973.9635149433898,2020,144.91249891247958,8.197116418921729,57903.0,CARROLLTON-FARMERS BRANCH ISD
51,75007,2020-12-31,156.7911451539042,1973.9635149433898,2020,144.91249891247958,8.197116418921729,61902.0,LEWISVILLE ISD
64,75009,2020-12-31,153.4020618556701,2672.715053763441,2020,136.98200430241843,11.98701802975573,43903.0,CELINA ISD
65,75009,2020-12-31,153.4020618556701,2672.715053763441,2020,136.98200430241843,11.98701802975573,43912.0,PROSPER ISD
78,75010,2020-12-31,164.83104182108093,2414.5937294506507,2020,158.66388308977037,3.886932937233895,61805.0,TRIVIUM ACADEMY
79,75010,2020-12-31,164.83104182108093,2414.5937294506507,2020,158.66388308977037,3.886932937233895,61902.0,LEWISVILLE ISD
92,75013,2020-12-31,155.04960963507892,2868.436760639082,2020,143.76757786342466,7.847410340578937,43901.0,ALLEN ISD
93,75013,2020-12-31,155.04960963507892,2868.436760639082,2020,143.76757786342466,7.847410340578937,43910.0,PLANO ISD
106,75019,2020-12-31,179.13204062788552,2378.1340206185564,2020,168.20022083179978,6.499289799992328,57903.0,CARROLLTON-FARMERS BRANCH ISD
107,75019,2020-12-31,179.13204062788552,2378.1340206185564,2020,168.20022083179978,6.499289799992328,57922.0,COPPELL ISD
120,75020,2020-12-31,117.99777476780186,1438.5864507533054,2020,105.76939300984372,11.561361382512676,91903.0,DENISON ISD
121,75020,2020-12-31,117.99777476780186,1438.5864507533054,2020,105.76939300984372,11.561361382512676,91906.0,SHERMAN ISD
137,75022,2020-12-31,162.47251404837527,2985.1203007518798,2020,153.55821980553264,5.805156021039943,61902.0,LEWISVILLE ISD
144,75023,2020-12-31,154.06360424028267,2038.119266055046,2020,142.90456989247312,7.80873162853087,43910.0,PLANO ISD
159,75024,2020-12-31,151.57456922162805,2977.082516660133,2020,154.74452554744525,-2.0485095124384713,43802.0,LONE STAR LANGUAGE ACADEMY
160,75024,2020-12-31,151.57456922162805,2977.082516660133,2020,154.74452554744525,-2.0485095124384713,43905.0,FRISCO ISD
161,75024,2020-12-31,151.57456922162805,2977.082516660133,2020,154.74452554744525,-2.0485095124384713,43910.0,PLANO ISD
176,75025,2020-12-31,147.76184267709692,2598.776470588235,2020,135.77032634402732,8.832207048456517,43905.0,FRISCO ISD
177,75025,2020-12-31,147.76184267709692,2598.776470588235,2020,135.77032634402732,8.832207048456517,43910.0,PLANO ISD
187,75028,2020-12-31,165.2916236715865,2410.8904683020655,2020,150.79787234042553,9.611376544120862,61902.0,LEWISVILLE ISD
194,75032,2020-12-31,149.8883572567783,2635.29474356246,2020,135.51637279596977,10.6053491281431,199901.0,ROCKWALL ISD
201,75033,2020-12-31,148.50585213907013,3191.793408626866,2020,139.02728351126927,6.817775898665632,43905.0,FRISCO ISD
220,75034,2020-12-31,169.33080465998376,3129.968,2020,159.0909090909091,6.436505786275501,43905.0,FRISCO ISD
221,75034,2020-12-31,169.33080465998376,3129.968,2020,159.0909090909091,6.436505786275501,61804.0,LEADERSHIP PREP SCHOOL
222,75034,2020-12-31,169.33080465998376,3129.968,2020,159.0909090909091,6.436505786275501,61902.0,LEWISVILLE ISD
223,75034,2020-12-31,169.33080465998376,3129.968,2020,159.0909090909091,6.436505786275501,61914.0,LITTLE ELM ISD
240,75035,2020-12-31,155.3419087627514,2653.823448439892,2020,142.21073060628655,9.233605720526667,43905.0,FRISCO ISD
241,75035,2020-12-31,155.3419087627514,2653.823448439892,2020,142.21073060628655,9.233605720526667,43912.0,PROSPER ISD
261,75038,2020-12-31,160.90584028605485,2889.8888888888882,2020,144.50330986508092,11.350972123952426,15835.0,GREAT HEARTS TEXAS
