,zipcode,period_end,median_ppsf,area,year,median_ppsf_prev,median_ppsf_change_percent,DISTRICT,DISTNAME
1,75001,2017-12-31,179.07634307257305,2091.750331578947,2017,163.32776850306067,9.642312947670785,57905.0,DALLAS ISD
9,75002,2017-12-31,132.64486815370282,2148.5942424078935,2017,122.54252747988932,8.243946719208493,43901.0,ALLEN ISD
10,75002,2017-12-31,132.64486815370282,2148.5942424078935,2017,122.54252747988932,8.243946719208493,43919.0,LOVEJOY ISD
24,75006,2017-12-31,133.31489675516224,1799.873876365648,2017,122.5769669327252,8.760152980723054,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
25,75006,2017-12-31,133.31489675516224,1799.873876365648,2017,122.5769669327252,8.760152980723054,57851.0,BRIDGEWAY PREPARATORY ACADEMY
26,75006,2017-12-31,133.31489675516224,1799.873876365648,2017,122.5769669327252,8.760152980723054,57903.0,CARROLLTON-FARMERS BRANCH ISD
44,75007,2017-12-31,138.05798435342845,1948.4566666666665,2017,127.71050029114544,8.10229702232279,57903.0,CARROLLTON-FARMERS BRANCH ISD
45,75007,2017-12-31,138.05798435342845,1948.4566666666665,2017,127.71050029114544,8.10229702232279,61902.0,LEWISVILLE ISD
58,75009,2017-12-31,128.7995878413189,2911.5000000000005,2017,124.86187845303868,3.153652209197868,43903.0,CELINA ISD
59,75009,2017-12-31,128.7995878413189,2911.5000000000005,2017,124.86187845303868,3.153652209197868,43912.0,PROSPER ISD
72,75010,2017-12-31,150.18050541516246,2330.528846153846,2017,136.0901010723254,10.35373199947046,61805.0,TRIVIUM ACADEMY
73,75010,2017-12-31,150.18050541516246,2330.528846153846,2017,136.0901010723254,10.35373199947046,61902.0,LEWISVILLE ISD
86,75013,2017-12-31,144.10005437737902,2984.0377358490564,2017,138.6898174131278,3.900961920034308,43901.0,ALLEN ISD
87,75013,2017-12-31,144.10005437737902,2984.0377358490564,2017,138.6898174131278,3.900961920034308,43910.0,PLANO ISD
100,75019,2017-12-31,164.06920987642027,2742.744969266005,2017,153.0290349578317,7.2144315107461665,57903.0,CARROLLTON-FARMERS BRANCH ISD
101,75019,2017-12-31,164.06920987642027,2742.744969266005,2017,153.0290349578317,7.2144315107461665,57922.0,COPPELL ISD
114,75020,2017-12-31,88.04837948931747,1507.6938470639996,2017,64.59436964279145,36.30968144162921,91903.0,DENISON ISD
115,75020,2017-12-31,88.04837948931747,1507.6938470639996,2017,64.59436964279145,36.30968144162921,91906.0,SHERMAN ISD
134,75022,2017-12-31,144.93335908025358,3035.8780255438633,2017,141.55746695285697,2.3848209494458446,61902.0,LEWISVILLE ISD
141,75023,2017-12-31,135.03716316349096,2132.7462252099835,2017,128.296828033888,5.253703644039102,43910.0,PLANO ISD
150,75024,2017-12-31,151.92194944613382,2830.4007522788065,2017,139.10852713178295,9.21109767930489,43802.0,LONE STAR LANGUAGE ACADEMY
151,75024,2017-12-31,151.92194944613382,2830.4007522788065,2017,139.10852713178295,9.21109767930489,43905.0,FRISCO ISD
152,75024,2017-12-31,151.92194944613382,2830.4007522788065,2017,139.10852713178295,9.21109767930489,43910.0,PLANO ISD
170,75025,2017-12-31,136.6694701429773,2560.9230769230767,2017,129.7878416775174,5.302213502061782,43905.0,FRISCO ISD
171,75025,2017-12-31,136.6694701429773,2560.9230769230767,2017,129.7878416775174,5.302213502061782,43910.0,PLANO ISD
184,75028,2017-12-31,136.86049762370703,2410.483709529159,2017,130.2592193015618,5.0678012332184075,61902.0,LEWISVILLE ISD
191,75032,2017-12-31,129.34613924684965,2682.7240613480585,2017,118.99932386747804,8.694852242096934,199901.0,ROCKWALL ISD
198,75033,2017-12-31,136.06340819022458,3108.8446601941746,2017,126.63821371251848,7.442614832756755,43905.0,FRISCO ISD
208,75034,2017-12-31,159.30330634278005,3452.5334886429814,2017,156.96982642560698,1.4865786440039008,43905.0,FRISCO ISD
209,75034,2017-12-31,159.30330634278005,3452.5334886429814,2017,156.96982642560698,1.4865786440039008,61804.0,LEADERSHIP PREP SCHOOL
210,75034,2017-12-31,159.30330634278005,3452.5334886429814,2017,156.96982642560698,1.4865786440039008,61902.0,LEWISVILLE ISD
211,75034,2017-12-31,159.30330634278005,3452.5334886429814,2017,156.96982642560698,1.4865786440039008,61914.0,LITTLE ELM ISD
234,75035,2017-12-31,137.1835570174888,2753.6098947473906,2017,133.12809845277624,3.0462829499146804,43905.0,FRISCO ISD
235,75035,2017-12-31,137.1835570174888,2753.6098947473906,2017,133.12809845277624,3.0462829499146804,43912.0,PROSPER ISD
255,75038,2017-12-31,134.8804377883538,2031.3916865389801,2017,131.81545835829837,2.3252048494374957,15835.0,GREAT HEARTS TEXAS
256,75038,2017-12-31,134.8804377883538,2031.3916865389801,2017,131.81545835829837,2.3252048494374957,57912.0,IRVING ISD
268,75039,2017-12-31,160.63577950625634,2956.3774736842106,2017,159.61945031712474,0.6367201410056226,57903.0,CARROLLTON-FARMERS BRANCH ISD
275,75040,2017-12-31,114.9802890932983,1652.4571428571428,2017,108.16777041942603,6.2981039984982345,57909.0,GARLAND ISD
282,75041,2017-12-31,105.99547316602984,1556.6702527149087,2017,95.58823529411764,10.88757192753892,57909.0,GARLAND ISD
290,75042,2017-12-31,115.12717536813922,1433.1976744186047,2017,106.8441377552736,7.752449303150274,57909.0,GARLAND ISD
291,75042,2017-12-31,115.12717536813922,1433.1976744186047,2017,106.8441377552736,7.752449303150274,57916.0,RICHARDSON ISD
304,75043,2017-12-31,102.45600138253496,1854.4545701193852,2017,94.6593894478415,8.236490833262229,57909.0,GARLAND ISD
305,75043,2017-12-31,102.45600138253496,1854.4545701193852,2017,94.6593894478415,8.236490833262229,57914.0,MESQUITE ISD
320,75044,2017-12-31,127.94348508634224,1789.8527607361962,2017,115.66424322538003,10.616281677506178,57804.0,TEXANS CAN ACADEMIES
321,75044,2017-12-31,127.94348508634224,1789.8527607361962,2017,115.66424322538003,10.616281677506178,57848.0,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
322,75044,2017-12-31,127.94348508634224,1789.8527607361962,2017,115.66424322538003,10.616281677506178,57909.0,GARLAND ISD
323,75044,2017-12-31,127.94348508634224,1789.8527607361962,2017,115.66424322538003,10.616281677506178,57916.0,RICHARDSON ISD
345,75048,2017-12-31,119.46103673189153,2389.900571855513,2017,116.19471097589516,2.81107954790986,57909.0,GARLAND ISD
356,75050,2017-12-31,95.34692705341757,1866.8666678714933,2017,94.70304975922953,0.6798907699646639,57813.0,TRINITY BASIN PREPARATORY
357,75050,2017-12-31,95.34692705341757,1866.8666678714933,2017,94.70304975922953,0.6798907699646639,57910.0,GRAND PRAIRIE ISD
358,75050,2017-12-31,95.34692705341757,1866.8666678714933,2017,94.70304975922953,0.6798907699646639,220901.0,ARLINGTON ISD
376,75051,2017-12-31,105.71540880503144,1560.7942291961033,2017,87.22741433021808,21.1951650943396,57910.0,GRAND PRAIRIE ISD
377,75051,2017-12-31,105.71540880503144,1560.7942291961033,2017,87.22741433021808,21.1951650943396,220901.0,ARLINGTON ISD
392,75052,2017-12-31,103.75840003773138,2031.1608498527494,2017,92.24723247232473,12.478604785092214,57848.0,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
393,75052,2017-12-31,103.75840003773138,2031.1608498527494,2017,92.24723247232473,12.478604785092214,57910.0,GRAND PRAIRIE ISD
394,75052,2017-12-31,103.75840003773138,2031.1608498527494,2017,92.24723247232473,12.478604785092214,220901.0,ARLINGTON ISD
395,75052,2017-12-31,103.75840003773138,2031.1608498527494,2017,92.24723247232473,12.478604785092214,220908.0,MANSFIELD ISD
418,75054,2017-12-31,111.13135595395126,2928.966331832352,2017,107.15603098487642,3.709847157026463,220908.0,MANSFIELD ISD
426,75056,2017-12-31,140.4169079328315,2172.1030927835054,2017,129.61190845226355,8.336424954769845,61902.0,LEWISVILLE ISD
427,75056,2017-12-31,140.4169079328315,2172.1030927835054,2017,129.61190845226355,8.336424954769845,61914.0,LITTLE ELM ISD
441,75057,2017-12-31,133.05847076461768,1615.830985915493,2017,127.31811697574894,4.508670034730521,61902.0,LEWISVILLE ISD
442,75057,2017-12-31,133.05847076461768,1615.830985915493,2017,127.31811697574894,4.508670034730521,72801.0,PREMIER HIGH SCHOOLS
443,75057,2017-12-31,133.05847076461768,1615.830985915493,2017,127.31811697574894,4.508670034730521,221801.0,TEXAS COLLEGE PREPARATORY ACADEMIES
460,75058,2017-12-31,131.4966913842982,2635.047287899861,2017,117.50154607297463,11.910605246531691,91917.0,GUNTER ISD
468,75060,2017-12-31,121.40287769784172,1503.2592592592594,2017,109.60269549347186,10.766324816411748,57905.0,DALLAS ISD
469,75060,2017-12-31,121.40287769784172,1503.2592592592594,2017,109.60269549347186,10.766324816411748,57912.0,IRVING ISD
481,75061,2017-12-31,106.89344603020646,1637.1443385831874,2017,100.00871612187592,6.8841298791801755,57912.0,IRVING ISD
489,75062,2017-12-31,126.29058913733016,1559.8945364470462,2017,114.472038078256,10.324399964814718,57808.0,UNIVERSAL ACADEMY
490,75062,2017-12-31,126.29058913733016,1559.8945364470462,2017,114.472038078256,10.324399964814718,57912.0,IRVING ISD
504,75063,2017-12-31,153.7635292405639,2356.865778184781,2017,144.83211022008476,6.166739548921231,57844.0,MANARA ACADEMY
505,75063,2017-12-31,153.7635292405639,2356.865778184781,2017,144.83211022008476,6.166739548921231,57903.0,CARROLLTON-FARMERS BRANCH ISD
506,75063,2017-12-31,153.7635292405639,2356.865778184781,2017,144.83211022008476,6.166739548921231,57922.0,COPPELL ISD
524,75065,2017-12-31,121.76084920387136,2053.2051282051284,2017,107.62331838565022,13.136122385263807,61912.0,LAKE DALLAS ISD
525,75065,2017-12-31,121.76084920387136,2053.2051282051284,2017,107.62331838565022,13.136122385263807,61914.0,LITTLE ELM ISD
537,75067,2017-12-31,136.21503814021068,1725.2133333333334,2017,126.0633583736269,8.052839379779341,61902.0,LEWISVILLE ISD
547,75068,2017-12-31,120.89559877175026,2369.813317529526,2017,116.14055985705777,4.0942104296249715,43905.0,FRISCO ISD
548,75068,2017-12-31,120.89559877175026,2369.813317529526,2017,116.14055985705777,4.0942104296249715,61802.0,NORTH TEXAS COLLEGIATE ACADEMY
549,75068,2017-12-31,120.89559877175026,2369.813317529526,2017,116.14055985705777,4.0942104296249715,61901.0,DENTON ISD
550,75068,2017-12-31,120.89559877175026,2369.813317529526,2017,116.14055985705777,4.0942104296249715,61914.0,LITTLE ELM ISD
573,75069,2017-12-31,163.73286425561665,1974.9089559392328,2017,147.28647431191368,11.166259509256687,43907.0,MCKINNEY ISD
574,75069,2017-12-31,163.73286425561665,1974.9089559392328,2017,147.28647431191368,11.166259509256687,43919.0,LOVEJOY ISD
589,75070,2017-12-31,135.33464566929135,2390.3709090909088,2017,126.75438596491227,6.769201427676225,43901.0,ALLEN ISD
590,75070,2017-12-31,135.33464566929135,2390.3709090909088,2017,126.75438596491227,6.769201427676225,43905.0,FRISCO ISD
591,75070,2017-12-31,135.33464566929135,2390.3709090909088,2017,126.75438596491227,6.769201427676225,43907.0,MCKINNEY ISD
592,75070,2017-12-31,135.33464566929135,2390.3709090909088,2017,126.75438596491227,6.769201427676225,43919.0,LOVEJOY ISD
616,75071,2017-12-31,132.43900259615867,2486.4465417648144,2017,124.09118878976584,6.727160798286514,43801.0,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS
617,75071,2017-12-31,132.43900259615867,2486.4465417648144,2017,124.09118878976584,6.727160798286514,43907.0,MCKINNEY ISD
618,75071,2017-12-31,132.43900259615867,2486.4465417648144,2017,124.09118878976584,6.727160798286514,43912.0,PROSPER ISD
635,75072,2017-12-31,133.01354042798908,2330.2138940343507,2017,127.700904736562,4.160217738775371,43912.0,PROSPER ISD
642,75074,2017-12-31,132.51794707699156,2090.2451789346596,2017,124.7331361354249,6.241173101840845,43910.0,PLANO ISD
649,75075,2017-12-31,134.55969467837846,2303.4386391915905,2017,129.66860997210088,3.771988230096654,43910.0,PLANO ISD
656,75076,2017-12-31,91.02998046501548,1428.1009326368187,2017,97.33237202595528,-6.475123774091481,91913.0,POTTSBORO ISD
663,75077,2017-12-31,133.4974791886505,2350.138009397506,2017,124.60197549534732,7.139135361168757,61902.0,LEWISVILLE ISD
670,75078,2017-12-31,133.34498427123384,3187.221494102228,2017,131.9268361581921,1.0749504455191101,43912.0,PROSPER ISD
678,75080,2017-12-31,166.66666666666666,1794.0,2017,148.5305958132045,12.210326602520658,43910.0,PLANO ISD
