zipcode,period_end,median_ppsf,area,year,median_ppsf_prev,median_ppsf_change_percent,DISTRICT,DISTNAME
75001,2016-12-31,163.32776850306067,1910.2691652470187,2016,147.02643171806167,11.087351161632276,57905.0,DALLAS ISD
75001,2017-12-31,179.07634307257305,2091.750331578947,2017,163.32776850306067,9.642312947670785,57905.0,DALLAS ISD
75001,2018-12-31,169.68566862013853,2121.569858712716,2018,179.07634307257305,-5.243950312648963,57905.0,DALLAS ISD
75001,2019-12-31,170.78297425118234,1949.843076923077,2019,169.68566862013853,0.646669597949523,57905.0,DALLAS ISD
75001,2020-12-31,192.98245614035088,1813.6363636363637,2020,170.78297425118234,12.998650472334687,57905.0,DALLAS ISD
75001,2021-12-31,202.7605633802817,1972.770213948319,2021,192.98245614035088,5.066837387964151,57905.0,DALLAS ISD
75001,2022-12-31,238.06563549261745,1856.6308366404553,2022,202.7605633802817,17.412198666128358,57905.0,DALLAS ISD
75002,2016-12-31,122.54252747988932,2211.8566147942556,2016,110.62151541362311,10.776395551708488,43901.0,ALLEN ISD
75002,2016-12-31,122.54252747988932,2211.8566147942556,2016,110.62151541362311,10.776395551708488,43919.0,LOVEJOY ISD
75002,2017-12-31,132.64486815370282,2148.5942424078935,2017,122.54252747988932,8.243946719208493,43901.0,ALLEN ISD
75002,2017-12-31,132.64486815370282,2148.5942424078935,2017,122.54252747988932,8.243946719208493,43919.0,LOVEJOY ISD
75002,2018-12-31,138.22115384615384,2111.833043478261,2018,132.64486815370282,4.203921169411151,43901.0,ALLEN ISD
75002,2018-12-31,138.22115384615384,2111.833043478261,2018,132.64486815370282,4.203921169411151,43919.0,LOVEJOY ISD
75002,2019-12-31,140.1357937077767,2229.9798768875,2019,138.22115384615384,1.3852003172784617,43901.0,ALLEN ISD
75002,2019-12-31,140.1357937077767,2229.9798768875,2019,138.22115384615384,1.3852003172784617,43919.0,LOVEJOY ISD
75002,2020-12-31,154.8913043478261,2157.964912280702,2020,140.1357937077767,10.529437376163044,43901.0,ALLEN ISD
75002,2020-12-31,154.8913043478261,2157.964912280702,2020,140.1357937077767,10.529437376163044,43919.0,LOVEJOY ISD
75002,2021-12-31,193.9175451945402,2232.727314929883,2021,154.8913043478261,25.195888827352263,43901.0,ALLEN ISD
75002,2021-12-31,193.9175451945402,2232.727314929883,2021,154.8913043478261,25.195888827352263,43919.0,LOVEJOY ISD
75002,2022-12-31,213.04662040716187,2253.0279949179803,2022,193.9175451945402,9.864540721898669,43901.0,ALLEN ISD
75002,2022-12-31,213.04662040716187,2253.0279949179803,2022,193.9175451945402,9.864540721898669,43919.0,LOVEJOY ISD
75006,2016-12-31,122.5769669327252,1835.5813953488373,2016,109.9285986872464,11.505985154476656,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
75006,2016-12-31,122.5769669327252,1835.5813953488373,2016,109.9285986872464,11.505985154476656,57851.0,BRIDGEWAY PREPARATORY ACADEMY
75006,2016-12-31,122.5769669327252,1835.5813953488373,2016,109.9285986872464,11.505985154476656,57903.0,CARROLLTON-FARMERS BRANCH ISD
75006,2017-12-31,133.31489675516224,1799.873876365648,2017,122.5769669327252,8.760152980723054,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
75006,2017-12-31,133.31489675516224,1799.873876365648,2017,122.5769669327252,8.760152980723054,57851.0,BRIDGEWAY PREPARATORY ACADEMY
75006,2017-12-31,133.31489675516224,1799.873876365648,2017,122.5769669327252,8.760152980723054,57903.0,CARROLLTON-FARMERS BRANCH ISD
75006,2018-12-31,136.36363636363637,1751.9333333333332,2018,133.31489675516224,2.2868709219144954,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
75006,2018-12-31,136.36363636363637,1751.9333333333332,2018,133.31489675516224,2.2868709219144954,57851.0,BRIDGEWAY PREPARATORY ACADEMY
75006,2018-12-31,136.36363636363637,1751.9333333333332,2018,133.31489675516224,2.2868709219144954,57903.0,CARROLLTON-FARMERS BRANCH ISD
75006,2019-12-31,144.21778754680588,1768.1591455370217,2019,136.36363636363637,5.759710867657637,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
75006,2019-12-31,144.21778754680588,1768.1591455370217,2019,136.36363636363637,5.759710867657637,57851.0,BRIDGEWAY PREPARATORY ACADEMY
75006,2019-12-31,144.21778754680588,1768.1591455370217,2019,136.36363636363637,5.759710867657637,57903.0,CARROLLTON-FARMERS BRANCH ISD
75006,2020-12-31,153.4455845452162,1706.1422834415591,2020,144.21778754680588,6.398515159175802,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
75006,2020-12-31,153.4455845452162,1706.1422834415591,2020,144.21778754680588,6.398515159175802,57851.0,BRIDGEWAY PREPARATORY ACADEMY
75006,2020-12-31,153.4455845452162,1706.1422834415591,2020,144.21778754680588,6.398515159175802,57903.0,CARROLLTON-FARMERS BRANCH ISD
75006,2021-12-31,182.4817518248175,1890.6000000000001,2021,153.4455845452162,18.922777977391156,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
75006,2021-12-31,182.4817518248175,1890.6000000000001,2021,153.4455845452162,18.922777977391156,57851.0,BRIDGEWAY PREPARATORY ACADEMY
75006,2021-12-31,182.4817518248175,1890.6000000000001,2021,153.4455845452162,18.922777977391156,57903.0,CARROLLTON-FARMERS BRANCH ISD
75006,2022-12-31,207.1988924780803,1689.1982182628062,2022,182.4817518248175,13.54499307798801,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
