,zipcode,period_end,median_ppsf,area,year,median_ppsf_prev,median_ppsf_change_percent,DISTRICT,DISTNAME
3419,76205,2022-12-31,188.7477313974592,1962.354711538461,2023,170.9582102152807,10.405771772982932,61901.0,DENTON ISD
3432,76207,2022-12-31,209.8997493734336,1786.5671641791043,2023,196.07843137254903,7.048872180451125,61802.0,NORTH TEXAS COLLEGIATE ACADEMY
3433,76207,2022-12-31,209.8997493734336,1786.5671641791043,2023,196.07843137254903,7.048872180451125,61901.0,DENTON ISD
3440,76208,2022-12-31,182.29366602687136,2194.2616478020536,2023,169.31216931216932,7.667196497120895,61901.0,DENTON ISD
3447,76209,2022-12-31,190.16968987712116,1577.5384615384612,2023,186.6883116883117,1.8648077950492399,61901.0,DENTON ISD
3454,76210,2022-12-31,181.0926949048496,2346.8644067796613,2023,172.7771307005356,4.812884766981619,61901.0,DENTON ISD
3461,76225,2022-12-31,279.4627383015598,2862.6356589147285,2023,198.97871784449217,40.44855717683753,249901.0,ALVORD ISD
3480,76226,2022-12-31,210.1236749116608,2855.4374001513493,2023,193.1638672374937,8.780010421573897,61901.0,DENTON ISD
3481,76226,2022-12-31,210.1236749116608,2855.4374001513493,2023,193.1638672374937,8.780010421573897,61910.0,ARGYLE ISD
3482,76226,2022-12-31,210.1236749116608,2855.4374001513493,2023,193.1638672374937,8.780010421573897,61911.0,NORTHWEST ISD
3495,76227,2022-12-31,192.0560391730141,2056.170697367415,2023,183.3852908277405,4.728159115781162,61901.0,DENTON ISD
3496,76227,2022-12-31,192.0560391730141,2056.170697367415,2023,183.3852908277405,4.728159115781162,61907.0,AUBREY ISD
3503,76233,2022-12-31,251.7956903431764,2204.1679873217113,2023,180.44075597500424,39.54479905751265,91902.0,COLLINSVILLE ISD
3510,76234,2022-12-31,210.0412833324115,2133.4496385209036,2023,183.56398350647933,14.42401680338212,249905.0,DECATUR ISD
3544,76240,2022-12-31,167.06687456687456,1631.0833653078369,2023,134.580789311451,24.138723975115976,49901.0,GAINESVILLE ISD
3545,76240,2022-12-31,167.06687456687456,1631.0833653078369,2023,134.580789311451,24.138723975115976,49905.0,CALLISBURG ISD
3546,76240,2022-12-31,167.06687456687456,1631.0833653078369,2023,134.580789311451,24.138723975115976,49908.0,WALNUT BEND ISD
3547,76240,2022-12-31,167.06687456687456,1631.0833653078369,2023,134.580789311451,24.138723975115976,49909.0,SIVELLS BEND ISD
3548,76240,2022-12-31,167.06687456687456,1631.0833653078369,2023,134.580789311451,24.138723975115976,227622.0,TEXAS JUVENILE JUSTICE DEPARTMENT
3555,76244,2022-12-31,181.98513732514496,2170.5069205419263,2023,160.97369454259913,13.052718235888836,220907.0,KELLER ISD
3569,76247,2022-12-31,194.7020854021847,2131.4615051131004,2023,177.85964605891257,9.469511334624718,61911.0,NORTHWEST ISD
3582,76248,2022-12-31,217.3573455497542,2912.2549247138422,2023,190.69767441860463,13.980071446822334,61911.0,NORTHWEST ISD
3583,76248,2022-12-31,217.3573455497542,2912.2549247138422,2023,190.69767441860463,13.980071446822334,220907.0,KELLER ISD
3590,76249,2022-12-31,191.21779859484775,1785.9216166564606,2023,166.77135477299186,14.658658769746305,61905.0,KRUM ISD
3601,76252,2022-12-31,172.9977794226499,1297.704518226938,2023,148.75621890547265,16.296166100176006,49902.0,MUENSTER ISD
3608,76258,2022-12-31,195.8602253080913,1605.928408921349,2023,179.22779338595518,9.280051719612073,61903.0,PILOT POINT ISD
3615,76259,2022-12-31,185.933801928997,2497.932033774906,2023,185.9186259301084,0.008162710332383638,61906.0,PONDER ISD
3628,76262,2022-12-31,225.870720188902,2696.2326037242733,2023,202.3217247097844,11.639380552383532,61911.0,NORTHWEST ISD
3629,76262,2022-12-31,225.870720188902,2696.2326037242733,2023,202.3217247097844,11.639380552383532,220810.0,WESTLAKE ACADEMY CHARTER SCHOOL
3635,76264,2022-12-31,135.45150501672242,1195.9999999999998,2023,256.3318964005052,-47.157764242852345,91914.0,S AND S CISD
3648,76266,2022-12-31,190.52973675436056,2323.4037244838037,2023,162.64938949385612,17.141378364385183,61901.0,DENTON ISD
3649,76266,2022-12-31,190.52973675436056,2323.4037244838037,2023,162.64938949385612,17.141378364385183,61908.0,SANGER ISD
3656,76271,2022-12-31,213.82103954141007,1870.7232967246575,2023,173.94519356241844,22.924373569817895,91907.0,TIOGA ISD
3663,76272,2022-12-31,196.3302752293578,1347.2196261682243,2023,205.22388059701493,-4.333611342785656,49903.0,VALLEY VIEW ISD
3670,76273,2022-12-31,170.46648310332623,1560.4240502736675,2023,149.45589919816723,14.0580492425398,91909.0,WHITESBORO ISD
3671,76301,2022-12-31,47.65081220978914,1347.5531060687485,2023,65.95477386934674,-27.75229234477686,243905.0,WICHITA FALLS ISD
3672,76305,2022-12-31,170.30096536059057,1761.0,2023,40.27777777777778,322.8161898607766,243905.0,WICHITA FALLS ISD
3676,76306,2022-12-31,90.04448131938845,1386.5369445258518,2023,90.99804305283757,-1.0478925715967755,243901.0,BURKBURNETT ISD
3677,76306,2022-12-31,90.04448131938845,1386.5369445258518,2023,90.99804305283757,-1.0478925715967755,243905.0,WICHITA FALLS ISD
3678,76306,2022-12-31,90.04448131938845,1386.5369445258518,2023,90.99804305283757,-1.0478925715967755,243906.0,CITY VIEW ISD
3680,76308,2022-12-31,101.9186046511628,1720.0,2023,117.62337023619207,-13.351739159908044,243905.0,WICHITA FALLS ISD
3681,76309,2022-12-31,56.64652567975831,1324.0,2023,85.61643835616438,-33.836858006042284,243905.0,WICHITA FALLS ISD
3684,76310,2022-12-31,181.38093189432283,1826.26694294963,2023,131.02328099621008,38.43412446645217,243905.0,WICHITA FALLS ISD
3685,76354,2022-12-31,134.87268018990073,2317.0,2023,103.70801441384572,30.050392876767223,243901.0,BURKBURNETT ISD
3710,76401,2022-12-31,170.49666419570053,1700.9130434782608,2023,143.27700220426158,18.997928189922263,72802.0,ERATH EXCELS ACADEMY INC
3711,76401,2022-12-31,170.49666419570053,1700.9130434782608,2023,143.27700220426158,18.997928189922263,72901.0,THREE WAY ISD
3712,76401,2022-12-31,170.49666419570053,1700.9130434782608,2023,143.27700220426158,18.997928189922263,72903.0,STEPHENVILLE ISD
3713,76401,2022-12-31,170.49666419570053,1700.9130434782608,2023,143.27700220426158,18.997928189922263,72908.0,HUCKABAY ISD
3720,76426,2022-12-31,176.1109692248755,1774.4493791353211,2023,163.3416458852868,7.817555204847439,249903.0,BRIDGEPORT ISD
3727,76431,2022-12-31,198.47634322373696,1511.5151515151515,2023,153.2827870257754,29.483777712341563,249904.0,CHICO ISD
3734,76432,2022-12-31,710.3648692282854,3097.0,2023,187.7333333333333,278.3903777849532,25904.0,BLANKET ISD
3741,76433,2022-12-31,194.48383905013193,1953.8898545809132,2023,198.9057811989708,-2.2231340497918852,72904.0,BLUFF DALE ISD
3748,76443,2022-12-31,80.0,1500.0,2023,60.627530364372475,31.953255425709504,30901.0,CROSS PLAINS ISD
3755,76446,2022-12-31,144.53125,1314.5945945945946,2023,146.83838839968894,-1.5712092899092491,72902.0,DUBLIN ISD
3762,76449,2022-12-31,357.6799140708916,1649.5195195195192,2023,232.60141421659844,53.773748657357714,182902.0,GRAFORD ISD
3769,76453,2022-12-31,118.74796233434977,1421.0770162511355,2023,216.09335986448832,-45.04784302080529,182901.0,GORDON ISD
3776,76462,2022-12-31,202.1950189953567,2720.1461377870564,2023,197.11619470517687,2.576563685077286,111902.0,LIPAN ISD
3788,76472,2022-12-31,296.6825307950728,2174.0410474168434,2023,187.30489073881373,58.39550671892499,182904.0,SANTO ISD
3794,76475,2022-12-31,154.5434791465783,2976.50863394701,2023,235.3670634920635,-34.339377458482225,182905.0,STRAWN ISD
3801,76476,2022-12-31,183.14296967309969,2538.9999999999995,2023,167.15976331360946,9.561634954880878,111903.0,TOLAR ISD
3808,76484,2022-12-31,554.6923555003108,3218.0,2023,149.57333333333332,270.8497652212811,182906.0,PALO PINTO ISD
3815,76487,2022-12-31,202.5,2508.641975308642,2023,195.94654788418708,3.3445101159354396,184901.0,POOLVILLE ISD
3822,76501,2022-12-31,155.69407115195654,1380.881098485543,2023,123.76237623762376,25.80080949078089,14909.0,TEMPLE ISD
3835,76502,2022-12-31,170.29757723686757,1776.5960321278208,2023,150.6961506961507,13.007250981638741,14903.0,BELTON ISD
3836,76502,2022-12-31,170.29757723686757,1776.5960321278208,2023,150.6961506961507,13.007250981638741,14909.0,TEMPLE ISD
3843,76504,2022-12-31,164.38002843667638,1582.6131828430532,2023,144.1072062477813,14.067875380248168,14909.0,TEMPLE ISD
3850,76511,2022-12-31,200.89285714285717,945.7777777777777,2023,94.93142000922084,111.6189319862108,14902.0,BARTLETT ISD
3875,76513,2022-12-31,177.47794499221587,1915.7309941520468,2023,167.1201814058957,6.197793407825233,14803.0,PRIORITY CHARTER SCHOOLS
3876,76513,2022-12-31,177.47794499221587,1915.7309941520468,2023,167.1201814058957,6.197793407825233,14804.0,ORENDA CHARTER SCHOOL
3877,76513,2022-12-31,177.47794499221587,1915.7309941520468,2023,167.1201814058957,6.197793407825233,14903.0,BELTON ISD
3878,76513,2022-12-31,177.47794499221587,1915.7309941520468,2023,167.1201814058957,6.197793407825233,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL
3885,76522,2022-12-31,139.9586955054002,1678.7095589279386,2023,120.07615384615384,16.558276578978884,50910.0,COPPERAS COVE ISD
3893,76524,2022-12-31,246.9135802469136,1701.0,2023,166.96953797102563,47.87941755565062,161919.0,BRUCEVILLE-EDDY ISD
3904,76527,2022-12-31,181.2083973374296,1953.0,2023,198.59154929577463,-8.753218362003524,236903.0,WINDHAM SCHOOL DISTRICT
3905,76527,2022-12-31,181.2083973374296,1953.0,2023,198.59154929577463,-8.753218362003524,246902.0,FLORENCE ISD
3918,76528,2022-12-31,130.2325581395349,1535.7142857142858,2023,139.94658795417809,-6.941240909584597,50902.0,GATESVILLE ISD
3919,76528,2022-12-31,130.2325581395349,1535.7142857142858,2023,139.94658795417809,-6.941240909584597,236903.0,WINDHAM SCHOOL DISTRICT
3926,76530,2022-12-31,132.72849462365593,1487.9999999999998,2023,144.87782544855105,-8.38591467485104,246905.0,GRANGER ISD
3933,76534,2022-12-31,185.47297297297297,1455.737704918033,2023,216.1555713626741,-14.194683114700146,14905.0,HOLLAND ISD
3940,76537,2022-12-31,181.11254851228975,1639.8698071428573,2023,173.47102803738318,4.405070149961765,246907.0,JARRELL ISD
3960,76541,2022-12-31,97.33606557377048,1541.0526315789475,2023,86.95261391241824,11.94150606192336,14801.0,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN)
3961,76541,2022-12-31,97.33606557377048,1541.0526315789475,2023,86.95261391241824,11.94150606192336,14906.0,KILLEEN ISD
3968,76542,2022-12-31,138.17480719794344,1917.860465116279,2023,124.78427854726267,10.73094207585536,14906.0,KILLEEN ISD
3981,76543,2022-12-31,125.32894736842104,1455.7690288713911,2023,107.82783487264524,16.23060735332973,14903.0,BELTON ISD
3982,76543,2022-12-31,125.32894736842104,1455.7690288713911,2023,107.82783487264524,16.23060735332973,14906.0,KILLEEN ISD
3993,76548,2022-12-31,145.0676982591876,2136.9333333333334,2023,131.60510075897017,10.22954081762658,14906.0,KILLEEN ISD
4000,76549,2022-12-31,133.00921187308086,1766.794921123509,2023,118.76086926942142,11.997506157803196,14906.0,KILLEEN ISD
4007,76550,2022-12-31,153.47885402455665,1726.6222222222218,2023,165.67946054213095,-7.363982522427265,141901.0,LAMPASAS ISD
4014,76554,2022-12-31,188.8490463715064,1416.4752490927085,2023,118.29036348267115,59.648715932106924,14901.0,ACADEMY ISD
4021,76557,2022-12-31,176.6248087136556,1698.515639931197,2023,179.26988265971318,-1.4754703393644821,161910.0,MOODY ISD
4028,76559,2022-12-31,153.53036743411076,1726.042895805142,2023,152.88474845205857,0.4222912936633681,14906.0,KILLEEN ISD
4030,76561,2022-12-31,179.01473191356666,2306.1733276752343,2023,35.06038176860148,410.58979646902844,50904.0,OGLESBY ISD
4038,76569,2022-12-31,156.54518941449217,1804.5907450532463,2023,173.68421052631578,-9.867921246201472,14907.0,ROGERS ISD
4050,76571,2022-12-31,238.1716118684844,2372.239057239057,2023,202.43199668314665,17.655121606728308,14908.0,SALADO ISD
4057,76574,2022-12-31,193.37016574585635,1778.8731714285714,2023,186.87054539032084,3.4781406250833187,246911.0,TAYLOR ISD
4064,76578,2022-12-31,276.0463045414069,2246.0,2023,8021.94440523924,-96.55886041342897,246912.0,THRALL ISD
4071,76579,2022-12-31,171.1208613194474,1699.237590074906,2023,150.97047914003278,13.347233375820537,14910.0,TROY ISD
4072,76624,2022-12-31,258.4609903811899,1547.6223294279805,2023,120.26239067055394,114.91422957757122,161918.0,AXTELL ISD
4079,76626,2022-12-31,155.9065934065934,1456.0,2023,160.42327382437134,-2.8154770253116257,175902.0,BLOOMING GROVE ISD
4080,76629,2022-12-31,412.65060240963857,1494.0,2023,98.65967524088612,318.2565991648731,198901.0,BREMOND ISD
4091,76633,2022-12-31,166.41129032258064,1612.0,2023,147.9591836734694,12.471078976640703,161920.0,CHINA SPRING ISD
4098,76639,2022-12-31,117.05179636224705,1405.3607472277677,2023,85.9375,36.20572667606929,175904.0,DAWSON ISD
4100,76640,2022-12-31,220.0786849169396,2449.1240494436124,2023,71.77033492822966,206.64296765093587,161921.0,CONNALLY ISD
4107,76641,2022-12-31,117.26648153437954,1667.1430526606564,2023,157.9597015932601,-25.761773191787846,175905.0,FROST ISD
4113,76643,2022-12-31,181.14011720831112,2087.9803205882354,2023,151.03650715342872,19.931346812927817,161903.0,MIDWAY ISD
4120,76651,2022-12-31,195.76304433111025,1358.7855711422844,2023,154.20425456209017,26.950481935170266,70907.0,ITALY ISD
4125,76655,2022-12-31,174.58582403323118,2224.1496533308964,2023,162.14514680208953,7.672556025575308,161907.0,LORENA ISD
4136,76656,2022-12-31,201.1802575107296,2927.722666666667,2023,65.69343065693431,206.24105865522174,73904.0,WESTPHALIA ISD
4137,76656,2022-12-31,201.1802575107296,2927.722666666667,2023,65.69343065693431,206.24105865522174,73905.0,ROSEBUD-LOTT ISD
