,zipcode,period_end,median_ppsf,area,year,median_ppsf_prev,median_ppsf_change_percent,DISTRICT,DISTNAME
5,75001,2021-12-31,202.7605633802817,1972.770213948319,2022,192.98245614035088,5.066837387964151,57905.0,DALLAS ISD
17,75002,2021-12-31,193.9175451945402,2232.727314929883,2022,154.8913043478261,25.195888827352263,43901.0,ALLEN ISD
18,75002,2021-12-31,193.9175451945402,2232.727314929883,2022,154.8913043478261,25.195888827352263,43919.0,LOVEJOY ISD
36,75006,2021-12-31,182.4817518248175,1890.6000000000001,2022,153.4455845452162,18.922777977391156,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
37,75006,2021-12-31,182.4817518248175,1890.6000000000001,2022,153.4455845452162,18.922777977391156,57851.0,BRIDGEWAY PREPARATORY ACADEMY
38,75006,2021-12-31,182.4817518248175,1890.6000000000001,2022,153.4455845452162,18.922777977391156,57903.0,CARROLLTON-FARMERS BRANCH ISD
52,75007,2021-12-31,183.694078754328,2016.3578625490845,2022,156.7911451539042,17.1584521396385,57903.0,CARROLLTON-FARMERS BRANCH ISD
53,75007,2021-12-31,183.694078754328,2016.3578625490845,2022,156.7911451539042,17.1584521396385,61902.0,LEWISVILLE ISD
66,75009,2021-12-31,201.88850673545429,2779.1552331169282,2022,153.4020618556701,31.607427105773294,43903.0,CELINA ISD
67,75009,2021-12-31,201.88850673545429,2779.1552331169282,2022,153.4020618556701,31.607427105773294,43912.0,PROSPER ISD
80,75010,2021-12-31,200.97772949483976,2119.6378378378377,2022,164.83104182108093,21.929539044590253,61805.0,TRIVIUM ACADEMY
81,75010,2021-12-31,200.97772949483976,2119.6378378378377,2022,164.83104182108093,21.929539044590253,61902.0,LEWISVILLE ISD
94,75013,2021-12-31,199.1040318566451,2913.05,2022,155.04960963507892,28.413113922216,43901.0,ALLEN ISD
95,75013,2021-12-31,199.1040318566451,2913.05,2022,155.04960963507892,28.413113922216,43910.0,PLANO ISD
