,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
"STAAR Performance Rates by Tested Grade, Subject, and Performance Levels^ Grade 3 Reading",,,,,,,,,,,,,,,
At Masters Grade Level or Above,2018,SDA03AMA1318R,DDA03AMA1318R,CDA03AMA1318R,CDB03AMA1318R,CDH03AMA1318R,CDW03AMA1318R,CDI03AMA1318R,CD303AMA1318R,CD403AMA1318R,CD203AMA1318R,CDS03AMA1318R,CDE03AMA1318R,CDL03AMA1318R,
,2017,SDA03AMA1317R,DDA03AMA1317R,CDA03AMA1317R,CDB03AMA1317R,CDH03AMA1317R,CDW03AMA1317R,CDI03AMA1317R,CD303AMA1317R,CD403AMA1317R,CD203AMA1317R,CDS03AMA1317R,CDE03AMA1317R,CDL03AMA1317R,
Grade 4 Reading,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA04ARE1S18R,DDA04ARE1S18R,CDA04ARE1S18R,CDB04ARE1S18R,CDH04ARE1S18R,CDW04ARE1S18R,CDI04ARE1S18R,CD304ARE1S18R,CD404ARE1S18R,CD204ARE1S18R,CDS04ARE1S18R,CDE04ARE1S18R,CDL04ARE1S18R,
,2017,SDA04ARE1S17R,DDA04ARE1S17R,CDA04ARE1S17R,CDB04ARE1S17R,CDH04ARE1S17R,CDW04ARE1S17R,CDI04ARE1S17R,CD304ARE1S17R,CD404ARE1S17R,CD204ARE1S17R,CDS04ARE1S17R,CDE04ARE1S17R,CDL04ARE1S17R,
At Meets Grade Level or Above,2018,SDA04ARE1218R,DDA04ARE1218R,CDA04ARE1218R,CDB04ARE1218R,CDH04ARE1218R,CDW04ARE1218R,CDI04ARE1218R,CD304ARE1218R,CD404ARE1218R,CD204ARE1218R,CDS04ARE1218R,CDE04ARE1218R,CDL04ARE1218R,
,2017,SDA04ARE1217R,DDA04ARE1217R,CDA04ARE1217R,CDB04ARE1217R,CDH04ARE1217R,CDW04ARE1217R,CDI04ARE1217R,CD304ARE1217R,CD404ARE1217R,CD204ARE1217R,CDS04ARE1217R,CDE04ARE1217R,CDL04ARE1217R,
At Masters Grade Level or Above,2018,SDA04ARE1318R,DDA04ARE1318R,CDA04ARE1318R,CDB04ARE1318R,CDH04ARE1318R,CDW04ARE1318R,CDI04ARE1318R,CD304ARE1318R,CD404ARE1318R,CD204ARE1318R,CDS04ARE1318R,CDE04ARE1318R,CDL04ARE1318R,
,2017,SDA04ARE1317R,DDA04ARE1317R,CDA04ARE1317R,CDB04ARE1317R,CDH04ARE1317R,CDW04ARE1317R,CDI04ARE1317R,CD304ARE1317R,CD404ARE1317R,CD204ARE1317R,CDS04ARE1317R,CDE04ARE1317R,CDL04ARE1317R,
Grade 4 Mathematics,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA04AMA1S18R,DDA04AMA1S18R,CDA04AMA1S18R,CDB04AMA1S18R,CDH04AMA1S18R,CDW04AMA1S18R,CDI04AMA1S18R,CD304AMA1S18R,CD404AMA1S18R,CD204AMA1S18R,CDS04AMA1S18R,CDE04AMA1S18R,CDL04AMA1S18R,
,2017,SDA04AMA1S17R,DDA04AMA1S17R,CDA04AMA1S17R,CDB04AMA1S17R,CDH04AMA1S17R,CDW04AMA1S17R,CDI04AMA1S17R,CD304AMA1S17R,CD404AMA1S17R,CD204AMA1S17R,CDS04AMA1S17R,CDE04AMA1S17R,CDL04AMA1S17R,
At Meets Grade Level or Above,2018,SDA04AMA1218R,DDA04AMA1218R,CDA04AMA1218R,CDB04AMA1218R,CDH04AMA1218R,CDW04AMA1218R,CDI04AMA1218R,CD304AMA1218R,CD404AMA1218R,CD204AMA1218R,CDS04AMA1218R,CDE04AMA1218R,CDL04AMA1218R,
,2017,SDA04AMA1217R,DDA04AMA1217R,CDA04AMA1217R,CDB04AMA1217R,CDH04AMA1217R,CDW04AMA1217R,CDI04AMA1217R,CD304AMA1217R,CD404AMA1217R,CD204AMA1217R,CDS04AMA1217R,CDE04AMA1217R,CDL04AMA1217R,
At Masters Grade Level or Above,2018,SDA04AMA1318R,DDA04AMA1318R,CDA04AMA1318R,CDB04AMA1318R,CDH04AMA1318R,CDW04AMA1318R,CDI04AMA1318R,CD304AMA1318R,CD404AMA1318R,CD204AMA1318R,CDS04AMA1318R,CDE04AMA1318R,CDL04AMA1318R,
,2017,SDA04AMA1317R,DDA04AMA1317R,CDA04AMA1317R,CDB04AMA1317R,CDH04AMA1317R,CDW04AMA1317R,CDI04AMA1317R,CD304AMA1317R,CD404AMA1317R,CD204AMA1317R,CDS04AMA1317R,CDE04AMA1317R,CDL04AMA1317R,
Grade 4 Writing,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA04AWR1S18R,DDA04AWR1S18R,CDA04AWR1S18R,CDB04AWR1S18R,CDH04AWR1S18R,CDW04AWR1S18R,CDI04AWR1S18R,CD304AWR1S18R,CD404AWR1S18R,CD204AWR1S18R,CDS04AWR1S18R,CDE04AWR1S18R,CDL04AWR1S18R,
