,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored)
,2018,SDA03AMA1S18R,RDA03AMA1S18R,DDA03AMA1S18R,"DDB03AMA1S18R
:unselected:","DDH03AMA1S18R
:unselected:","DDW03AMA1S18R
:unselected:",DDI03AMA1S18R,DD303AMA1S18R,DD403AMA1S18R,DD203AMA1S18R,DDS03AMA1S18R,DNS03AMA1S18R,"DNC03AMA1S18R
:unselected:",DNM03AMA1S18R,DDE03AMA1S18R,DD003AMA1S18R
At Meets Grade Level or Above,2019,SDA03AMA1219R,RDA03AMA1219R,DDA03AMA1219R,"DDB03AMA1219R
:unselected:","DDH03AMA1219R
:unselected:","DDW03AMA1219R
:unselected:","DDI03AMA1219R
:unselected:",DD303AMA1219R,DD403AMA1219R,DD203AMA1219R,DDS03AMA1219R,DNS03AMA1219R,DNC03AMA1219R,DNM03AMA1219R,DDE03AMA1219R,DD003AMA1219R
,2018,SDA03AMA1218R,RDA03AMA1218R,DDA03AMA1218R,"DDB03AMA1218R
:unselected:","DDH03AMA1218R
:unselected:",DDW03AMA1218R,"DDI03AMA1218R
:unselected:",DD303AMA1218R,DD403AMA1218R,DD203AMA1218R,DDS03AMA1218R,DNS03AMA1218R,DNC03AMA1218R,DNM03AMA1218R,DDE03AMA1218R,DD003AMA1218R
At Masters Grade Level,2019,SDA03AMA1319R,RDA03AMA1319R,DDA03AMA1319R,"DDB03AMA1319R
:unselected:","DDH03AMA1319R
:unselected:",DDW03AMA1319R,"DDI03AMA1319R
:unselected:","DD303AMA1319R
:unselected:",DD403AMA1319R,DD203AMA1319R,DDS03AMA1319R,DNS03AMA1319R,DNC03AMA1319R,DNM03AMA1319R,DDE03AMA1319R,DD003AMA1319R
,2018,SDA03AMA1318R,RDA03AMA1318R,DDA03AMA1318R,"DDB03AMA1318R
:unselected:","DDH03AMA1318R
:unselected:","DDW03AMA1318R
:unselected:","DDI03AMA1318R
:unselected:","DD303AMA1318R
:unselected:",DD403AMA1318R,DD203AMA1318R,DDS03AMA1318R,DNS03AMA1318R,DNC03AMA1318R,DNM03AMA1318R,DDE03AMA1318R,DD003AMA1318R
Grade 4 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA04ARE1S19R,RDA04ARE1S19R,DDA04ARE1S19R,"DDB04ARE1S19R
:unselected:","DDH04ARE1S19R
:unselected:","DDW04ARE1S19R
:unselected:","DDI04ARE1S19R
:unselected:",DD304ARE1S19R,DD404ARE1S19R,DD204ARE1S19R,DDS04ARE1S19R,DNS04ARE1S19R,DNC04ARE1S19R,DNM04ARE1S19R,DDE04ARE1S19R,DD004ARE1S19R
,2018,SDA04ARE1S18R,RDA04ARE1S18R,DDA04ARE1S18R,"DDB04ARE1S18R
:unselected:","DDH04ARE1S18R
:unselected:","DDW04ARE1S18R
:unselected:","DDI04ARE1S18R
:unselected:",DD304ARE1S18R,DD404ARE1S18R,DD204ARE1S18R,DDS04ARE1S18R,DNS04ARE1S18R,DNC04ARE1S18R,DNM04ARE1S18R,DDE04ARE1S18R,DD004ARE1S18R
At Meets Grade Level or Above,2019,SDA04ARE1219R,RDA04ARE1219R,DDA04ARE1219R,"DDB04ARE1219R
:unselected:","DDH04ARE1219R
:unselected:",DDW04ARE1219R,"DDI04ARE1219R
:unselected:",DD304ARE1219R,DD404ARE1219R,DD204ARE1219R,DDS04ARE1219R,DNS04ARE1219R,DNC04ARE1219R,DNM04ARE1219R,DDE04ARE1219R,DD004ARE1219R
,2018,SDA04ARE1218R,RDA04ARE1218R,DDA04ARE1218R,"DDB04ARE1218R
:unselected:","DDH04ARE1218R
:unselected:",DDW04ARE1218R,DDI04ARE1218R,DD304ARE1218R,DD404ARE1218R,DD204ARE1218R,DDS04ARE1218R,DNS04ARE1218R,DNC04ARE1218R,DNM04ARE1218R,DDE04ARE1218R,DD004ARE1218R
