,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored)
,2018,SDA07ARE1S18R,RDA07ARE1S18R,DDA07ARE1S18R,"DDB07ARE1S18R
:unselected:","DDH07ARE1S18R
:unselected:","DDW07ARE1S18R
:unselected:","DDI07ARE1S18R
:unselected:","DD307ARE1S18R
:unselected:",DD407ARE1S18R,DD207ARE1S18R,DDS07ARE1S18R,DNS07ARE1S18R,DNC07ARE1S18R,DNM07ARE1S18R,DDE07ARE1S18R,DD007ARE1S18R
At Meets Grade Level or Above,2019,SDA07ARE1219R,RDA07ARE1219R,DDA07ARE1219R,"DDB07ARE1219R
:unselected:","DDH07ARE1219R
:unselected:","DDW07ARE1219R
:unselected:","DDI07ARE1219R
:unselected:","DD307ARE1219R
:unselected:",DD407ARE1219R,DD207ARE1219R,DDS07ARE1219R,DNS07ARE1219R,DNC07ARE1219R,DNM07ARE1219R,DDE07ARE1219R,DD007ARE1219R
,2018,SDA07ARE1218R,RDA07ARE1218R,DDA07ARE1218R,"DDB07ARE1218R
:unselected:","DDH07ARE1218R
:selected:",DDW07ARE1218R,"DDI07ARE1218R
:unselected:","DD307ARE1218R
:unselected:",DD407ARE1218R,DD207ARE1218R,DDS07ARE1218R,DNS07ARE1218R,DNC07ARE1218R,DNM07ARE1218R,DDE07ARE1218R,DD007ARE1218R
At Masters Grade Level,2019,SDA07ARE1319R,RDA07ARE1319R,DDA07ARE1319R,"DDB07ARE1319R
:unselected:","DDH07ARE1319R
:unselected:","DDW07ARE1319R
:unselected:","DDI07ARE1319R
:unselected:","DD307ARE1319R
:unselected:",DD407ARE1319R,DD207ARE1319R,DDS07ARE1319R,DNS07ARE1319R,DNC07ARE1319R,DNM07ARE1319R,DDE07ARE1319R,DD007ARE1319R
,2018,SDA07ARE1318R,RDA07ARE1318R,DDA07ARE1318R,"DDB07ARE1318R
:unselected:","DDH07ARE1318R
:unselected:","DDW07ARE1318R
:unselected:","DDI07ARE1318R
:unselected:","DD307ARE1318R
:unselected:",DD407ARE1318R,DD207ARE1318R,DDS07ARE1318R,DNS07ARE1318R,DNC07ARE1318R,DNM07ARE1318R,DDE07ARE1318R,DD007ARE1318R
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA07AMA1S19R,RDA07AMA1S19R,DDA07AMA1S19R,"DDB07AMA1S19R
:selected:","DDH07AMA1S19R
:selected:","DDW07AMA1S19R
:unselected:","DDI07AMA1S19R
:selected:","DD307AMA1S19R
:selected:",DD407AMA1S19R,DD207AMA1S19R,DDS07AMA1S19R,DNS07AMA1S19R,"DNC07AMA1S19R
:unselected:",DNM07AMA1S19R,DDE07AMA1S19R,DD007AMA1S19R
,2018,SDA07AMA1S18R,RDA07AMA1S18R,DDA07AMA1S18R,"DDB07AMA1S18R
:unselected:","DDH07AMA1S18R
:unselected:","DDW07AMA1S18R
:unselected:","DDI07AMA1S18R
:selected:","DD307AMA1S18R
:unselected:",DD407AMA1S18R,DD207AMA1S18R,DDS07AMA1S18R,DNS07AMA1S18R,"DNC07AMA1S18R
:unselected:",DNM07AMA1S18R,DDE07AMA1S18R,DD007AMA1S18R
At Meets Grade Level or Above,2019,SDA07AMA1219R,RDA07AMA1219R,DDA07AMA1219R,"DDB07AMA1219R
:unselected:","DDH07AMA1219R
:unselected:","DDW07AMA1219R
:unselected:","DDI07AMA1219R
:unselected:","DD307AMA1219R
:unselected:",DD407AMA1219R,DD207AMA1219R,DDS07AMA1219R,DNS07AMA1219R,"DNC07AMA1219R
:unselected:",DNM07AMA1219R,DDE07AMA1219R,DD007AMA1219R
,2018,SDA07AMA1218R,RDA07AMA1218R,DDA07AMA1218R,"DDB07AMA1218R
:unselected:","DDH07AMA1218R
:unselected:","DDW07AMA1218R
:unselected:","DDI07AMA1218R
:unselected:","DD307AMA1218R
:unselected:",DD407AMA1218R,DD207AMA1218R,DDS07AMA1218R,DNS07AMA1218R,"DNC07AMA1218R
:unselected:",DNM07AMA1218R,DDE07AMA1218R,DD007AMA1218R
At Masters Grade Level,2019,SDA07AMA1319R,RDA07AMA1319R,DDA07AMA1319R,"DDB07AMA1319R
:unselected:","DDH07AMA1319R
:unselected:","DDW07AMA1319R
:unselected:","DDI07AMA1319R
:unselected:","DD307AMA1319R
:unselected:",DD407AMA1319R,DD207AMA1319R,DDS07AMA1319R,DNS07AMA1319R,DNC07AMA1319R,DNM07AMA1319R,DDE07AMA1319R,DD007AMA1319R
,2018,SDA07AMA1318R,RDA07AMA1318R,"DDA07AMA1318R
:unselected:","DDB07AMA1318R
:unselected:","DDH07AMA1318R
:unselected:","DDW07AMA1318R
:unselected:","DDI07AMA1318R
:unselected:","DD307AMA1318R
:unselected:",DD407AMA1318R,DD207AMA1318R,DDS07AMA1318R,DNS07AMA1318R,DNC07AMA1318R,DNM07AMA1318R,DDE07AMA1318R,DD007AMA1318R
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA07AWR1S19R,RDA07AWR1S19R,"DDA07AWR1S19R
:unselected:","DDB07AWR1S19R
:unselected:","DDH07AWR1S19R
:unselected:","DDW07AWR1S19R
:unselected:","DDI07AWR1S19R
:unselected:","DD307AWR1S19R
:unselected:",DD407AWR1S19R,DD207AWR1S19R,DDS07AWR1S19R,DNS07AWR1S19R,DNC07AWR1S19R,DNM07AWR1S19R,DDE07AWR1S19R,DD007AWR1S19R
,2018,SDA07AWR1S18R,RDA07AWR1S18R,"DDA07AWR1S18R
:unselected:","DDB07AWR1S18R
:unselected:","DDH07AWR1S18R
:unselected:","DDW07AWR1S18R
:unselected:","DDI07AWR1S18R
:unselected:","DD307AWR1S18R
:unselected:",DD407AWR1S18R,DD207AWR1S18R,DDS07AWR1S18R,DNS07AWR1S18R,DNC07AWR1S18R,DNM07AWR1S18R,DDE07AWR1S18R,DD007AWR1S18R
At Meets Grade Level or Above,2019,SDA07AWR1219R,RDA07AWR1219R,"DDA07AWR1219R
:unselected:","DDB07AWR1219R
:unselected:","DDH07AWR1219R
:unselected:","DDW07AWR1219R
:unselected:","DDI07AWR1219R
:unselected:","DD307AWR1219R
:unselected:",DD407AWR1219R,DD207AWR1219R,DDS07AWR1219R,DNS07AWR1219R,DNC07AWR1219R,DNM07AWR1219R,DDE07AWR1219R,DD007AWR1219R
,2018,SDA07AWR1218R,RDA07AWR1218R,"DDA07AWR1218R
:unselected:","DDB07AWR1218R
:unselected:","DDH07AWR1218R
:unselected:","DDW07AWR1218R
:unselected:","DDI07AWR1218R
:unselected:","DD307AWR1218R
:unselected:",DD407AWR1218R,DD207AWR1218R,DDS07AWR1218R,DNS07AWR1218R,DNC07AWR1218R,DNM07AWR1218R,DDE07AWR1218R,DD007AWR1218R
At Masters Grade Level,2019,SDA07AWR1319R,RDA07AWR1319R,"DDA07AWR1319R
:unselected:","DDB07AWR1319R
:unselected:","DDH07AWR1319R
:unselected:","DDW07AWR1319R
:selected:","DDI07AWR1319R
:unselected:","DD307AWR1319R
:unselected:",DD407AWR1319R,DD207AWR1319R,DDS07AWR1319R,DNS07AWR1319R,DNC07AWR1319R,DNM07AWR1319R,DDE07AWR1319R,DD007AWR1319R
Grade 8 Reading^ At Approaches Grade Level or Above,2018 2019,SDA07AWR1318R SDA08ARE1S19R,RDA07AWR1318R RDA08ARE1S19R,"DDA07AWR1318R DDA08ARE1S19R
:unselected:","DDB07AWR1318R DDB08ARE1S19R
:unselected:
:unselected:","DDH07AWR1318R DDH08ARE1S19R
:unselected:
:unselected:","DDW07AWR1318R DDW08ARE1S19R
:unselected:
:unselected:","DDI07AWR1318R DDI08ARE1S19R
:unselected:","DD307AWR1318R DD308ARE1S19R
:unselected:
:unselected:",DD407AWR1318R DD408ARE1S19R,DD207AWR1318R DD208ARE1S19R,DDS07AWR1318R DDS08ARE1S19R,DNS07AWR1318R DNS08ARE1S19R,DNC07AWR1318R DNC08ARE1S19R,DNM07AWR1318R DNM08ARE1S19R,DDE07AWR1318R DDE08ARE1S19R,DD007AWR1318R DD008ARE1S19R
At Meets Grade Level or Above,2018 2019,SDA08ARE1S18R SDA08ARE1219R,RDA08ARE1S18R RDA08ARE1219R,DDA08ARE1S18R DDA08ARE1219R,"DDB08ARE1S18R DDB08ARE1219R
:unselected:","DDH08ARE1S18R DDH08ARE1219R
:unselected:
:unselected:","DDW08ARE1S18R DDW08ARE1219R
:unselected:
:unselected:","DDI08ARE1S18R DDI08ARE1219R
:unselected:
:unselected:","DD308ARE1S18R DD308ARE1219R
:unselected:
:unselected:",DD408ARE1S18R DD408ARE1219R,DD208ARE1S18R DD208ARE1219R,DDS08ARE1S18R DDS08ARE1219R,DNS08ARE1S18R DNS08ARE1219R,DNC08ARE1S18R DNC08ARE1219R,DNM08ARE1S18R DNM08ARE1219R,DDE08ARE1S18R DDE08ARE1219R,DD008ARE1S18R DD008ARE1219R
,2018,SDA08ARE1218R,RDA08ARE1218R,DDA08ARE1218R,DDB08ARE1218R,"DDH08ARE1218R
:unselected:",DDW08ARE1218R,"DDI08ARE1218R
:unselected:","DD308ARE1218R
:unselected:",DD408ARE1218R,DD208ARE1218R,DDS08ARE1218R,DNS08ARE1218R,DNC08ARE1218R,DNM08ARE1218R,DDE08ARE1218R,DD008ARE1218R
At Masters Grade Level,2019,SDA08ARE1319R,RDA08ARE1319R,DDA08ARE1319R,"DDB08ARE1319R
:unselected:","DDH08ARE1319R
:unselected:","DDW08ARE1319R
:unselected:","DDI08ARE1319R
:unselected:","DD308ARE1319R
:unselected:",DD408ARE1319R,DD208ARE1319R,DDS08ARE1319R,DNS08ARE1319R,DNC08ARE1319R,DNM08ARE1319R,DDE08ARE1319R,DD008ARE1319R
,2018,SDA08ARE1318R,RDA08ARE1318R,DDA08ARE1318R,DDB08ARE1318R,"DDH08ARE1318R
:unselected:","DDW08ARE1318R
:unselected:","DDI08ARE1318R
:unselected:",DD308ARE1318R,DD408ARE1318R,DD208ARE1318R,DDS08ARE1318R,DNS08ARE1318R,DNC08ARE1318R,DNM08ARE1318R,DDE08ARE1318R,DD008ARE1318R
Grade 8 Mathematics^,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA08AMA1S19R,RDA08AMA1S19R,DDA08AMA1S19R,DDB08AMA1S19R,DDH08AMA1S19R,"DDW08AMA1S19R
:unselected:",DDI08AMA1S19R,DD308AMA1S19R,DD408AMA1S19R,DD208AMA1S19R,DDS08AMA1S19R,DNS08AMA1S19R,DNC08AMA1S19R,DNM08AMA1S19R,DDE08AMA1S19R,DD008AMA1S19R
,2018,SDA08AMA1S18R,RDA08AMA1S18R,DDA08AMA1S18R,DDB08AMA1S18R,"DDH08AMA1S18R
:unselected:","DDW08AMA1S18R
:unselected:","DDI08AMA1S18R
:selected:",DD308AMA1S18R,DD408AMA1S18R,DD208AMA1S18R,DDS08AMA1S18R,DNS08AMA1S18R,"DNC08AMA1S18R
:unselected:",DNM08AMA1S18R,DDE08AMA1S18R,DD008AMA1S18R
At Meets Grade Level or Above,2019,SDA08AMA1219R,RDA08AMA1219R,DDA08AMA1219R,"DDB08AMA1219R
:unselected:","DDH08AMA1219R
:unselected:","DDW08AMA1219R
:unselected:","DDI08AMA1219R
:unselected:","DD308AMA1219R
:unselected:",DD408AMA1219R,DD208AMA1219R,DDS08AMA1219R,DNS08AMA1219R,"DNC08AMA1219R
:unselected:",DNM08AMA1219R,DDE08AMA1219R,DD008AMA1219R
,2018,SDA08AMA1218R,RDA08AMA1218R,DDA08AMA1218R,"DDB08AMA1218R
:unselected:","DDH08AMA1218R
:unselected:","DDW08AMA1218R
:unselected:","DDI08AMA1218R
:unselected:","DD308AMA1218R
:unselected:",DD408AMA1218R,DD208AMA1218R,DDS08AMA1218R,DNS08AMA1218R,DNC08AMA1218R,DNM08AMA1218R,DDE08AMA1218R,DD008AMA1218R
At Masters Grade Level,2019,SDA08AMA1319R,RDA08AMA1319R,DDA08AMA1319R,"DDB08AMA1319R
:unselected:","DDH08AMA1319R
:unselected:","DDW08AMA1319R
:unselected:","DDI08AMA1319R
:unselected:","DD308AMA1319R
:unselected:",DD408AMA1319R,DD208AMA1319R,DDS08AMA1319R,DNS08AMA1319R,DNC08AMA1319R,DNM08AMA1319R,DDE08AMA1319R,DD008AMA1319R
,2018,SDA08AMA1318R,RDA08AMA1318R,DDA08AMA1318R,"DDB08AMA1318R
:unselected:","DDH08AMA1318R
:unselected:","DDW08AMA1318R
:unselected:","DDI08AMA1318R
:unselected:","DD308AMA1318R
:unselected:",DD408AMA1318R,DD208AMA1318R,DDS08AMA1318R,DNS08AMA1318R,DNC08AMA1318R,DNM08AMA1318R,DDE08AMA1318R,DD008AMA1318R
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA08ASC1S19R,RDA08ASC1S19R,DDA08ASC1S19R,"DDB08ASC1S19R
:unselected:","DDH08ASC1S19R
:unselected:","DDW08ASC1S19R
:unselected:","DDI08ASC1S19R
:unselected:","DD308ASC1S19R
:unselected:",DD408ASC1S19R,DD208ASC1S19R,DDS08ASC1S19R,DNS08ASC1S19R,"DNC08ASC1S19R
:unselected:",DNM08ASC1S19R,DDE08ASC1S19R,DD008ASC1S19R
,2018,SDA08ASC1S18R,RDA08ASC1S18R,DDA08ASC1S18R,"DDB08ASC1S18R
:unselected:","DDH08ASC1S18R
:unselected:","DDW08ASC1S18R
:unselected:","DDI08ASC1S18R
:unselected:","DD308ASC1S18R
:unselected:",DD408ASC1S18R,DD208ASC1S18R,DDS08ASC1S18R,DNS08ASC1S18R,"DNC08ASC1S18R
:unselected:",DNM08ASC1S18R,DDE08ASC1S18R,DD008ASC1S18R
At Meets Grade Level or Above,2019,SDA08ASC1219R,RDA08ASC1219R,DDA08ASC1219R,DDB08ASC1219R,"DDH08ASC1219R
:unselected:","DDW08ASC1219R
:unselected:","DDI08ASC1219R
:unselected:","DD308ASC1219R
:unselected:",DD408ASC1219R,DD208ASC1219R,DDS08ASC1219R,DNS08ASC1219R,"DNC08ASC1219R
:unselected:",DNM08ASC1219R,DDE08ASC1219R,DD008ASC1219R
,2018,SDA08ASC1218R,RDA08ASC1218R,DDA08ASC1218R,"DDB08ASC1218R
:unselected:","DDH08ASC1218R
:unselected:","DDW08ASC1218R
:unselected:","DDI08ASC1218R
:unselected:","DD308ASC1218R
:unselected:",DD408ASC1218R,DD208ASC1218R,DDS08ASC1218R,DNS08ASC1218R,"DNC08ASC1218R
:unselected:",DNM08ASC1218R,"DDE08ASC1218R
:unselected:",DD008ASC1218R
At Masters Grade Level,2019,SDA08ASC1319R,RDA08ASC1319R,DDA08ASC1319R,DDB08ASC1319R,"DDH08ASC1319R
:unselected:","DDW08ASC1319R
:unselected:","DDI08ASC1319R
:unselected:","DD308ASC1319R
:unselected:",DD408ASC1319R,DD208ASC1319R,DDS08ASC1319R,DNS08ASC1319R,"DNC08ASC1319R
:unselected:",DNM08ASC1319R,DDE08ASC1319R,DD008ASC1319R
,2018,SDA08ASC1318R,RDA08ASC1318R,DDA08ASC1318R,DDB08ASC1318R,"DDH08ASC1318R
:unselected:","DDW08ASC1318R
:unselected:","DDI08ASC1318R
:unselected:",DD308ASC1318R,DD408ASC1318R,DD208ASC1318R,DDS08ASC1318R,DNS08ASC1318R,"DNC08ASC1318R
:unselected:",DNM08ASC1318R,DDE08ASC1318R,DD008ASC1318R
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA08ASS1S19R,RDA08ASS1S19R,DDA08ASS1S19R,DDB08ASS1S19R,"DDH08ASS1S19R
:unselected:","DDW08ASS1S19R
:unselected:",DDI08ASS1S19R,"DD308ASS1S19R
:unselected:",DD408ASS1S19R,DD208ASS1S19R,DDS08ASS1S19R,DNS08ASS1S19R,"DNC08ASS1S19R
:unselected:",DNM08ASS1S19R,DDE08ASS1S19R,DD008ASS1S19R
,2018,SDA08ASS1S18R,RDA08ASS1S18R,DDA08ASS1S18R,"DDB08ASS1S18R
:unselected:","DDH08ASS1S18R
:unselected:","DDW08ASS1S18R
:unselected:","DDI08ASS1S18R
:unselected:","DD308ASS1S18R
:unselected:",DD408ASS1S18R,"DD208ASS1S18R
:unselected:",DDS08ASS1S18R,DNS08ASS1S18R,"DNC08ASS1S18R
:unselected:",DNM08ASS1S18R,"DDE08ASS1S18R
:unselected:",DD008ASS1S18R
At Meets Grade Level or Above,2019,SDA08ASS1219R,RDA08ASS1219R,DDA08ASS1219R,"DDB08ASS1219R
:selected:","DDH08ASS1219R
:unselected:","DDW08ASS1219R
:unselected:","DDI08ASS1219R
:unselected:","DD308ASS1219R
:unselected:",DD408ASS1219R,"DD208ASS1219R
:unselected:","DDS08ASS1219R
:unselected:","DNS08ASS1219R
:unselected:","DNC08ASS1219R
:unselected:","DNM08ASS1219R
:unselected:","DDE08ASS1219R
:unselected:",DD008ASS1219R
,2018,SDA08ASS1218R,RDA08ASS1218R,DDA08ASS1218R,"DDB08ASS1218R
:selected:","DDH08ASS1218R
:unselected:","DDW08ASS1218R
:unselected:","DDI08ASS1218R
:unselected:","DD308ASS1218R
:unselected:",DD408ASS1218R,"DD208ASS1218R
:unselected:",DDS08ASS1218R,"DNS08ASS1218R
:unselected:",DNC08ASS1218R,"DNM08ASS1218R
:unselected:",DDE08ASS1218R,DD008ASS1218R
At Masters Grade Level,2019,SDA08ASS1319R,RDA08ASS1319R,DDA08ASS1319R,"DDB08ASS1319R
:unselected:","DDH08ASS1319R
:unselected:","DDW08ASS1319R
:unselected:","DDI08ASS1319R
:unselected:","DD308ASS1319R
:unselected:","DD408ASS1319R
:unselected:","DD208ASS1319R
:unselected:","DDS08ASS1319R
:unselected:","DNS08ASS1319R
:unselected:",DNC08ASS1319R,"DNM08ASS1319R
:unselected:",DDE08ASS1319R,DD008ASS1319R
,2018,SDA08ASS1318R,RDA08ASS1318R,DDA08ASS1318R,"DDB08ASS1318R
:unselected:","DDH08ASS1318R
:unselected:","DDW08ASS1318R
:unselected:","DDI08ASS1318R
:unselected:","DD308ASS1318R
:unselected:","DD408ASS1318R
:unselected:","DD208ASS1318R
:unselected:","DDS08ASS1318R
:unselected:","DNS08ASS1318R
:unselected:","DNC08ASS1318R
:unselected:","DNM08ASS1318R
:unselected:",DDE08ASS1318R,DD008ASS1318R
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AR11S19R,RDA00AR11S19R,DDA00AR11S19R,"DDB00AR11S19R
:unselected:","DDH00AR11S19R
:unselected:","DDW00AR11S19R
:unselected:","DDI00AR11S19R
:unselected:","DD300AR11S19R
:unselected:","DD400AR11S19R
:unselected:","DD200AR11S19R
:unselected:","DDS00AR11S19R
:unselected:","DNS00AR11S19R
:unselected:","DNC00AR11S19R
:unselected:",DNM00AR11S19R,DDE00AR11S19R,DD000AR11S19R
At Meets Grade Level or Above,2018 2019,SDA00AR11S18R SDA00AR11219R,RDA00AR11S18R RDA00AR11219R,DDA00AR11S18R DDA00AR11219R,"DDB00AR11S18R DDB00AR11219R
:unselected:
:unselected:","DDH00AR11S18R DDH00AR11219R
:unselected:
:unselected:","DDW00AR11S18R DDW00AR11219R
:unselected:
:unselected:","DDI00AR11S18R DDI00AR11219R
:unselected:
:unselected:","DD300AR11S18R DD300AR11219R
:unselected:
:unselected:","DD400AR11S18R DD400AR11219R
:unselected:
:unselected:","DD200AR11S18R DD200AR11219R
:unselected:
:unselected:","DDS00AR11S18R DDS00AR11219R
:unselected:
:unselected:","DNS00AR11S18R DNS00AR11219R
:unselected:
:unselected:","DNC00AR11S18R DNC00AR11219R
:unselected:
:unselected:","DNM00AR11S18R DNM00AR11219R
:unselected:
:unselected:",DDE00AR11S18R DDE00AR11219R,DD000AR11S18R DD000AR11219R
,2018,SDA00AR11218R,RDA00AR11218R,DDA00AR11218R,"DDB00AR11218R
:unselected:","DDH00AR11218R
:unselected:","DDW00AR11218R
:unselected:","DDI00AR11218R
:unselected:","DD300AR11218R
:unselected:","DD400AR11218R
:unselected:","DD200AR11218R
:unselected:","DDS00AR11218R
:unselected:","DNS00AR11218R
:unselected:","DNC00AR11218R
:unselected:","DNM00AR11218R
:unselected:",DDE00AR11218R,DD000AR11218R
At Masters Grade Level,2019,SDA00AR11319R,RDA00AR11319R,DDA00AR11319R,"DDB00AR11319R
:unselected:","DDH00AR11319R
:unselected:","DDW00AR11319R
:unselected:","DDI00AR11319R
:unselected:","DD300AR11319R
:unselected:","DD400AR11319R
:unselected:","DD200AR11319R
:unselected:","DDS00AR11319R
:unselected:","DNS00AR11319R
:unselected:",DNC00AR11319R,"DNM00AR11319R
:unselected:",DDE00AR11319R,DD000AR11319R
,2018,SDA00AR11318R,RDA00AR11318R,DDA00AR11318R,"DDB00AR11318R
:unselected:","DDH00AR11318R
:unselected:","DDW00AR11318R
:unselected:","DDI00AR11318R
:unselected:","DD300AR11318R
:unselected:","DD400AR11318R
:unselected:","DD200AR11318R
:unselected:","DDS00AR11318R
:unselected:","DNS00AR11318R
:unselected:","DNC00AR11318R
:unselected:","DNM00AR11318R
:unselected:",DDE00AR11318R,DD000AR11318R
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AR21S19R,RDA00AR21S19R,DDA00AR21S19R,DDB00AR21S19R,"DDH00AR21S19R
:unselected:","DDW00AR21S19R
:unselected:","DDI00AR21S19R
:unselected:","DD300AR21S19R
:unselected:","DD400AR21S19R
:unselected:","DD200AR21S19R
:unselected:","DDS00AR21S19R
:unselected:","DNS00AR21S19R
:unselected:","DNC00AR21S19R
:unselected:",DNM00AR21S19R,DDE00AR21S19R,DD000AR21S19R
,2018,SDA00AR21S18R,RDA00AR21S18R,DDA00AR21S18R,DDB00AR21S18R,DDH00AR21S18R,DDW00AR21S18R,"DDI00AR21S18R
:unselected:","DD300AR21S18R
:unselected:","DD400AR21S18R
:unselected:","DD200AR21S18R
:unselected:","DDS00AR21S18R
:unselected:","DNS00AR21S18R
:unselected:","DNC00AR21S18R
:unselected:","DNM00AR21S18R
:unselected:",DDE00AR21S18R,DD000AR21S18R
At Meets Grade Level or Above,2019,SDA00AR21219R,RDA00AR21219R,DDA00AR21219R,DDB00AR21219R,DDH00AR21219R,DDW00AR21219R,"DDI00AR21219R
:unselected:","DD300AR21219R
:unselected:","DD400AR21219R
:unselected:","DD200AR21219R
:unselected:","DDS00AR21219R
:unselected:","DNS00AR21219R
:unselected:",DNC00AR21219R,"DNM00AR21219R
:unselected:",DDE00AR21219R,DD000AR21219R
,2018,SDA00AR21218R,RDA00AR21218R,DDA00AR21218R,DDB00AR21218R,DDH00AR21218R,DDW00AR21218R,"DDI00AR21218R
:unselected:","DD300AR21218R
:unselected:","DD400AR21218R
:unselected:","DD200AR21218R
:unselected:","DDS00AR21218R
:unselected:","DNS00AR21218R
:unselected:","DNC00AR21218R
:unselected:","DNM00AR21218R
:unselected:",DDE00AR21218R,DD000AR21218R
At Masters Grade Level,2019,SDA00AR21319R,RDA00AR21319R,DDA00AR21319R,DDB00AR21319R,DDH00AR21319R,DDW00AR21319R,"DDI00AR21319R
:unselected:","DD300AR21319R
:unselected:","DD400AR21319R
:unselected:","DD200AR21319R
:unselected:","DDS00AR21319R
:unselected:","DNS00AR21319R
:unselected:","DNC00AR21319R
:unselected:","DNM00AR21319R
:unselected:",DDE00AR21319R,DD000AR21319R
,2018,SDA00AR21318R,RDA00AR21318R,DDA00AR21318R,DDB00AR21318R,DDH00AR21318R,"DDW00AR21318R
:unselected:","DDI00AR21318R
:unselected:","DD300AR21318R
:unselected:","DD400AR21318R
:unselected:","DD200AR21318R
:unselected:","DDS00AR21318R
:unselected:","DNS00AR21318R
:unselected:","DNC00AR21318R
:unselected:","DNM00AR21318R
:unselected:",DDE00AR21318R,DD000AR21318R
,,,,,,,,,,,,,,,,,
,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored)
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AA11S19R,RDA00AA11S19R,DDA00AA11S19R,"DDB00AA11S19R
:unselected:","DDH00AA11S19R
:unselected:","DDW00AA11S19R
:unselected:",DDI00AA11S19R,"DD300AA11S19R
:unselected:",DD400AA11S19R,"DD200AA11S19R
:unselected:","DDS00AA11S19R
:unselected:","DNS00AA11S19R
:unselected:","DNC00AA11S19R
:unselected:","DNM00AA11S19R
:unselected:","DDE00AA11S19R
:unselected:",DD000AA11S19R
,2018,SDA00AA11S18R,RDA00AA11S18R,DDA00AA11S18R,"DDB00AA11S18R
:selected:","DDH00AA11S18R
:unselected:","DDW00AA11S18R
:unselected:","DDI00AA11S18R
:unselected:","DD300AA11S18R
:unselected:",DD400AA11S18R,"DD200AA11S18R
:unselected:","DDS00AA11S18R
:unselected:","DNS00AA11S18R
:unselected:","DNC00AA11S18R
:unselected:","DNM00AA11S18R
:unselected:","DDE00AA11S18R
:unselected:",DD000AA11S18R
At Meets Grade Level or Above,2019,SDA00AA11219R,RDA00AA11219R,DDA00AA11219R,"DDB00AA11219R
:unselected:","DDH00AA11219R
:unselected:","DDW00AA11219R
:unselected:","DDI00AA11219R
:unselected:","DD300AA11219R
:unselected:",DD400AA11219R,"DD200AA11219R
:unselected:","DDS00AA11219R
:unselected:","DNS00AA11219R
:unselected:","DNC00AA11219R
:unselected:","DNM00AA11219R
:unselected:","DDE00AA11219R
:unselected:",DD000AA11219R
,2018,SDA00AA11218R,RDA00AA11218R,DDA00AA11218R,"DDB00AA11218R
:unselected:","DDH00AA11218R
:unselected:",DDW00AA11218R,"DDI00AA11218R
:unselected:","DD300AA11218R
:unselected:",DD400AA11218R,"DD200AA11218R
:unselected:","DDS00AA11218R
:unselected:","DNS00AA11218R
:unselected:","DNC00AA11218R
:unselected:","DNM00AA11218R
:unselected:","DDE00AA11218R
:unselected:",DD000AA11218R
At Masters Grade Level,2019,SDA00AA11319R,RDA00AA11319R,DDA00AA11319R,"DDB00AA11319R
:unselected:","DDH00AA11319R
:unselected:","DDW00AA11319R
:unselected:","DDI00AA11319R
:unselected:","DD300AA11319R
:unselected:","DD400AA11319R
:unselected:","DD200AA11319R
:unselected:","DDS00AA11319R
:unselected:",DNS00AA11319R,"DNC00AA11319R
:unselected:","DNM00AA11319R
:unselected:","DDE00AA11319R
:unselected:",DD000AA11319R
,2018,SDA00AA11318R,RDA00AA11318R,DDA00AA11318R,"DDB00AA11318R
:unselected:","DDH00AA11318R
:unselected:","DDW00AA11318R
:unselected:","DDI00AA11318R
:unselected:","DD300AA11318R
:unselected:",DD400AA11318R,"DD200AA11318R
:unselected:","DDS00AA11318R
:unselected:","DNS00AA11318R
:unselected:","DNC00AA11318R
:unselected:","DNM00AA11318R
:unselected:","DDE00AA11318R
:unselected:",DD000AA11318R
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00ABI1S19R,RDA00ABI1S19R,"DDA00ABI1S19R
:unselected:","DDB00ABI1S19R
:unselected:",DDH00ABI1S19R,DDW00ABI1S19R,"DDI00ABI1S19R
:unselected:","DD300ABI1S19R
:unselected:","DD400ABI1S19R
:unselected:","DD200ABI1S19R
:unselected:","DDS00ABI1S19R
:unselected:","DNS00ABI1S19R
:unselected:","DNC00ABI1S19R
:unselected:","DNM00ABI1S19R
:unselected:",DDE00ABI1S19R,DD000ABI1S19R
