DISTRICT,DD000AA01221R,DD000AA01321R,DD000AA01S21R,DD000AA11221R,DD000AA11321R,DD000AA11S21R,DD000ABI1221R,DD000ABI1321R,DD000ABI1S21R,DD000AR11221R,DD000AR11321R,DD000AR11S21R,DD000AR21221R,DD000AR21321R,DD000AR21S21R,DD000AUS1221R,DD000AUS1321R,DD000AUS1S21R,DD200AA01221R,DD200AA01321R,DD200AA01S21R,DD200AA11221R,DD200AA11321R,DD200AA11S21R,DD200ABI1221R,DD200ABI1321R,DD200ABI1S21R,DD200AR11221R,DD200AR11321R,DD200AR11S21R,DD200AR21221R,DD200AR21321R,DD200AR21S21R,DD200AUS1221R,DD200AUS1321R,DD200AUS1S21R,DD300AA01221R,DD300AA01321R,DD300AA01S21R,DD300AA11221R,DD300AA11321R,DD300AA11S21R,DD300ABI1221R,DD300ABI1321R,DD300ABI1S21R,DD300AR11221R,DD300AR11321R,DD300AR11S21R,DD300AR21221R,DD300AR21321R,DD300AR21S21R,DD300AUS1221R,DD300AUS1321R,DD300AUS1S21R,DD400AA01221R,DD400AA01321R,DD400AA01S21R,DD400AA11221R,DD400AA11321R,DD400AA11S21R,DD400ABI1221R,DD400ABI1321R,DD400ABI1S21R,DD400AR11221R,DD400AR11321R,DD400AR11S21R,DD400AR21221R,DD400AR21321R,DD400AR21S21R,DD400AUS1221R,DD400AUS1321R,DD400AUS1S21R,DDA00AA01221R,DDA00AA01321R,DDA00AA01S21R,DDA00AA11221R,DDA00AA11321R,DDA00AA11S21R,DDA00ABI1221R,DDA00ABI1321R,DDA00ABI1S21R,DDA00AR11221R,DDA00AR11321R,DDA00AR11S21R,DDA00AR21221R,DDA00AR21321R,DDA00AR21S21R,DDA00AUS1221R,DDA00AUS1321R,DDA00AUS1S21R,DDB00AA01221R,DDB00AA01321R,DDB00AA01S21R,DDB00AA11221R,DDB00AA11321R,DDB00AA11S21R,DDB00ABI1221R,DDB00ABI1321R,DDB00ABI1S21R,DDB00AR11221R,DDB00AR11321R,DDB00AR11S21R,DDB00AR21221R,DDB00AR21321R,DDB00AR21S21R,DDB00AUS1221R,DDB00AUS1321R,DDB00AUS1S21R,DDE00AA01221R,DDE00AA01321R,DDE00AA01S21R,DDE00AA11221R,DDE00AA11321R,DDE00AA11S21R,DDE00ABI1221R,DDE00ABI1321R,DDE00ABI1S21R,DDE00AR11221R,DDE00AR11321R,DDE00AR11S21R,DDE00AR21221R,DDE00AR21321R,DDE00AR21S21R,DDE00AUS1221R,DDE00AUS1321R,DDE00AUS1S21R,DDF00AA01221R,DDF00AA01321R,DDF00AA01S21R,DDF00AA11221R,DDF00AA11321R,DDF00AA11S21R,DDF00ABI1221R,DDF00ABI1321R,DDF00ABI1S21R,DDF00AR11221R,DDF00AR11321R,DDF00AR11S21R,DDF00AR21221R,DDF00AR21321R,DDF00AR21S21R,DDF00AUS1221R,DDF00AUS1321R,DDF00AUS1S21R,DDH00AA01221R,DDH00AA01321R,DDH00AA01S21R,DDH00AA11221R,DDH00AA11321R,DDH00AA11S21R,DDH00ABI1221R,DDH00ABI1321R,DDH00ABI1S21R,DDH00AR11221R,DDH00AR11321R,DDH00AR11S21R,DDH00AR21221R,DDH00AR21321R,DDH00AR21S21R,DDH00AUS1221R,DDH00AUS1321R,DDH00AUS1S21R,DDI00AA01221R,DDI00AA01321R,DDI00AA01S21R,DDI00AA11221R,DDI00AA11321R,DDI00AA11S21R,DDI00ABI1221R,DDI00ABI1321R,DDI00ABI1S21R,DDI00AR11221R,DDI00AR11321R,DDI00AR11S21R,DDI00AR21221R,DDI00AR21321R,DDI00AR21S21R,DDI00AUS1221R,DDI00AUS1321R,DDI00AUS1S21R,DDL00AA01221R,DDL00AA01321R,DDL00AA01S21R,DDL00AA11221R,DDL00AA11321R,DDL00AA11S21R,DDL00ABI1221R,DDL00ABI1321R,DDL00ABI1S21R,DDL00AR11221R,DDL00AR11321R,DDL00AR11S21R,DDL00AR21221R,DDL00AR21321R,DDL00AR21S21R,DDL00AUS1221R,DDL00AUS1321R,DDL00AUS1S21R,DDM00AA01221R,DDM00AA01321R,DDM00AA01S21R,DDM00AA11221R,DDM00AA11321R,DDM00AA11S21R,DDM00ABI1221R,DDM00ABI1321R,DDM00ABI1S21R,DDM00AR11221R,DDM00AR11321R,DDM00AR11S21R,DDM00AR21221R,DDM00AR21321R,DDM00AR21S21R,DDM00AUS1221R,DDM00AUS1321R,DDM00AUS1S21R,DDR00AA01221R,DDR00AA01321R,DDR00AA01S21R,DDR00AA11221R,DDR00AA11321R,DDR00AA11S21R,DDR00ABI1221R,DDR00ABI1321R,DDR00ABI1S21R,DDR00AR11221R,DDR00AR11321R,DDR00AR11S21R,DDR00AR21221R,DDR00AR21321R,DDR00AR21S21R,DDR00AUS1221R,DDR00AUS1321R,DDR00AUS1S21R,DDS00AA01221R,DDS00AA01321R,DDS00AA01S21R,DDS00AA11221R,DDS00AA11321R,DDS00AA11S21R,DDS00ABI1221R,DDS00ABI1321R,DDS00ABI1S21R,DDS00AR11221R,DDS00AR11321R,DDS00AR11S21R,DDS00AR21221R,DDS00AR21321R,DDS00AR21S21R,DDS00AUS1221R,DDS00AUS1321R,DDS00AUS1S21R,DDW00AA01221R,DDW00AA01321R,DDW00AA01S21R,DDW00AA11221R,DDW00AA11321R,DDW00AA11S21R,DDW00ABI1221R,DDW00ABI1321R,DDW00ABI1S21R,DDW00AR11221R,DDW00AR11321R,DDW00AR11S21R,DDW00AR21221R,DDW00AR21321R,DDW00AR21S21R,DDW00AUS1221R,DDW00AUS1321R,DDW00AUS1S21R,DISTNAME,DNC00AA01221R,DNC00AA01321R,DNC00AA01S21R,DNC00AA11221R,DNC00AA11321R,DNC00AA11S21R,DNC00ABI1221R,DNC00ABI1321R,DNC00ABI1S21R,DNC00AR11221R,DNC00AR11321R,DNC00AR11S21R,DNC00AR21221R,DNC00AR21321R,DNC00AR21S21R,DNC00AUS1221R,DNC00AUS1321R,DNC00AUS1S21R,DNM00AA01221R,DNM00AA01321R,DNM00AA01S21R,DNM00AA11221R,DNM00AA11321R,DNM00AA11S21R,DNM00ABI1221R,DNM00ABI1321R,DNM00ABI1S21R,DNM00AR11221R,DNM00AR11321R,DNM00AR11S21R,DNM00AR21221R,DNM00AR21321R,DNM00AR21S21R,DNM00AUS1221R,DNM00AUS1321R,DNM00AUS1S21R,DNS00AA01221R,DNS00AA01321R,DNS00AA01S21R,DNS00AA11221R,DNS00AA11321R,DNS00AA11S21R,DNS00ABI1221R,DNS00ABI1321R,DNS00ABI1S21R,DNS00AR11221R,DNS00AR11321R,DNS00AR11S21R,DNS00AR21221R,DNS00AR21321R,DNS00AR21S21R,DNS00AUS1221R,DNS00AUS1321R,DNS00AUS1S21R
"'015807",.,.,.,29,14,57,13,0,50,30,0,50,50,8,67,40,0,80,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,11,4,43,23,5,61,22,1,39,35,5,56,41,15,80,-1,-1,-1,0,0,50,0,0,40,40,0,40,38,0,38,60,40,100,-1,-1,-1,12,4,43,16,0,58,22,1,40,32,6,54,42,16,80,.,.,.,17,4,48,25,11,68,15,0,38,41,7,59,47,13,88,-1,-1,-1,7,2,37,18,2,55,17,2,33,32,5,57,36,9,74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,14,57,13,0,50,30,0,50,50,10,60,40,0,80,-1,-1,-1,7,3,40,21,0,55,29,3,39,29,4,54,33,19,70,-1,-1,-1,7,5,37,15,2,56,17,2,34,30,2,55,36,6,80,-1,-1,-1,14,14,14,0,0,60,11,0,22,-1,-1,-1,14,0,57,.,.,.,60,20,100,67,22,100,50,0,83,-1,-1,-1,-1,-1,-1,"SOUTHWEST PREPARATORY SCHOOL",-1,-1,-1,8,4,54,14,5,67,33,0,58,42,8,71,36,20,84,-1,-1,-1,14,3,34,27,4,58,17,2,29,29,3,45,44,12,76,.,.,.,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
"'015808",.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,0,91,6,6,42,26,6,81,34,10,55,41,9,64,87,61,91,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,10,10,40,18,9,55,56,22,67,22,0,44,83,67,100,40,0,80,0,0,43,20,7,67,50,17,58,50,10,70,80,50,90,50,0,83,10,10,30,11,6,67,24,6,47,47,13,73,80,60,80,.,.,.,0,0,70,50,8,100,55,18,73,40,0,60,90,60,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,50,0,100,12,12,41,31,6,94,24,6,53,33,8,58,92,69,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,0,0,25,29,0,71,25,0,38,11,0,33,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"INSPIRE ACADEMIES",60,0,100,0,0,36,30,0,90,45,9,55,50,13,75,85,69,92,33,0,83,10,10,45,24,10,76,28,11,56,36,7,57,90,50,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1
"'015809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BEXAR COUNTY ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015814",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,25,9,0,50,14,0,22,24,3,45,27,15,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,0,0,29,11,0,48,13,0,23,26,4,44,32,18,68,.,.,.,0,0,30,6,0,63,20,0,20,28,6,61,25,13,56,.,.,.,0,0,26,9,0,50,14,0,23,23,3,43,23,14,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,0,0,20,11,0,39,10,0,24,20,0,27,30,20,70,.,.,.,0,0,26,9,0,53,14,0,23,25,4,43,26,11,68,.,.,.,-1,-1,-1,0,0,17,0,0,0,17,0,17,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,"POSITIVE SOLUTIONS CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,0,0,25,9,0,50,14,0,22,24,3,45,28,16,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015815",.,.,.,14,7,82,36,0,75,19,0,50,31,8,46,88,38,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,13,85,41,3,78,25,2,55,45,5,60,90,43,100,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,27,87,25,0,83,18,0,59,20,10,60,83,42,100,.,.,.,38,15,85,25,0,58,13,6,44,72,0,83,84,37,100,.,.,.,19,6,83,42,3,78,26,2,56,47,5,63,89,43,100,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,15,7,81,37,0,74,17,0,49,28,8,44,86,32,100,.,.,.,19,11,85,48,4,88,31,0,60,25,8,42,93,47,100,.,.,.,19,14,83,33,0,76,19,0,51,36,6,52,89,36,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HERITAGE ACADEMY",.,.,.,36,36,82,63,0,88,25,0,65,41,7,52,94,39,100,.,.,.,21,3,86,34,3,76,26,3,48,53,0,73,81,50,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015822",7,0,50,4,3,24,13,3,54,18,1,31,24,2,37,45,16,75,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,0,49,7,3,34,22,4,65,35,3,50,36,5,52,63,26,84,-1,-1,-1,20,10,60,22,0,44,25,8,25,36,0,55,67,0,100,14,0,48,5,3,30,19,3,61,29,3,46,36,3,52,60,23,83,17,0,56,8,3,36,18,2,62,35,4,50,39,10,55,54,18,79,16,0,51,5,1,32,21,3,65,35,3,50,34,5,51,63,27,83,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,11,0,44,3,2,27,12,3,51,13,1,26,20,0,34,36,8,69,13,0,41,6,3,32,25,7,68,34,3,50,33,1,50,72,33,90,2,0,27,2,1,27,13,2,56,21,1,38,22,2,39,47,15,76,0,0,0,5,0,21,4,4,30,7,4,11,11,0,16,42,17,67,-1,-1,-1,23,23,38,15,8,69,33,0,58,50,0,50,67,17,100,"JUBILEE ACADEMIES",15,0,47,5,3,30,22,5,68,36,3,49,40,8,59,72,30,87,15,0,62,10,2,39,21,3,60,32,4,52,29,0,41,45,16,80,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'015825",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LIGHTHOUSE PUBLIC SCHOOLS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015827",-1,-1,-1,38,38,63,42,17,92,64,0,73,36,0,64,71,43,86,-1,-1,-1,33,17,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,60,20,100,33,33,100,-1,-1,-1,-1,-1,-1,86,14,100,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76,10,100,24,16,69,55,16,81,56,5,68,71,3,86,83,55,90,-1,-1,-1,23,15,77,38,13,63,29,0,57,83,0,100,-1,-1,-1,78,11,100,17,14,66,54,14,75,59,3,66,77,0,92,78,44,89,69,13,100,19,11,73,45,15,75,47,0,59,77,3,89,68,36,82,76,12,100,23,14,61,44,8,78,59,3,68,68,0,83,78,49,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,40,20,80,40,0,60,0,0,33,67,33,83,85,8,100,28,20,65,59,16,84,59,6,71,66,3,84,92,67,94,-1,-1,-1,22,22,50,35,13,74,43,0,65,46,0,75,70,43,83,.,.,.,0,0,15,29,0,43,8,0,15,29,0,57,-1,-1,-1,-1,-1,-1,21,14,71,68,26,89,58,11,74,74,5,84,93,79,100,"SCHOOL OF SCIENCE AND TECHNOLOGY",74,11,100,27,21,70,58,6,81,63,0,73,74,0,90,80,52,89,-1,-1,-1,22,12,68,53,24,82,50,8,64,68,6,81,93,64,93,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'015828",-1,-1,-1,18,8,46,33,10,64,28,4,49,31,3,52,59,30,85,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,4,94,23,12,56,42,13,73,41,7,59,51,6,68,65,38,87,-1,-1,-1,17,8,92,38,0,88,44,0,67,50,0,63,67,56,89,61,3,94,20,11,53,43,13,72,41,8,60,49,6,65,59,33,86,65,0,95,27,15,62,49,19,72,47,11,67,55,7,72,57,30,83,65,4,93,23,12,54,42,13,71,41,8,59,50,5,66,63,35,87,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,16,7,40,26,6,59,20,2,43,21,2,44,52,28,81,70,7,93,20,10,50,38,8,73,36,4,53,49,5,64,72,46,91,86,0,86,15,7,43,25,5,60,21,1,44,34,2,55,54,26,83,.,.,.,10,8,28,13,11,40,17,2,23,32,11,39,38,19,54,-1,-1,-1,28,22,67,57,0,100,43,0,57,81,19,81,85,69,85,"HARMONY SCIENCE ACAD (SAN ANTONIO)",71,4,96,23,13,58,46,14,77,48,9,65,58,8,71,68,41,89,40,0,80,24,11,53,36,10,62,27,4,48,37,2,60,52,30,82,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'015830",-1,-1,-1,8,0,50,27,0,73,8,0,58,36,0,50,50,13,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,21,0,75,4,0,38,38,6,80,41,6,65,49,4,66,66,34,88,.,.,.,0,0,17,20,0,60,17,0,67,17,0,50,-1,-1,-1,29,0,79,4,0,29,29,4,78,37,3,62,42,4,62,65,31,86,25,0,75,4,0,41,40,8,82,52,10,73,52,6,64,63,30,91,17,0,78,4,0,36,38,5,79,40,5,64,49,4,65,66,33,89,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,9,0,45,27,0,73,8,0,58,36,0,50,50,13,50,19,0,75,5,0,36,35,4,78,31,2,59,46,2,67,71,37,84,21,0,79,1,0,26,18,0,71,22,0,52,35,1,55,56,24,85,-1,-1,-1,0,0,25,18,5,50,18,3,33,15,0,27,50,20,80,-1,-1,-1,13,0,67,36,14,86,50,14,64,65,12,71,64,36,82,"BROOKS ACADEMIES OF TEXAS",17,0,74,3,0,36,30,10,76,40,9,65,53,7,66,73,37,93,-1,-1,-1,5,0,41,43,2,82,42,2,66,43,0,66,55,28,80,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'015831",.,.,.,27,20,80,67,0,67,67,17,67,29,0,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,50,40,90,100,20,100,100,40,100,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,0,100,30,17,59,40,1,76,59,10,78,62,9,82,80,58,93,.,.,.,60,10,80,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,16,61,35,0,77,58,4,76,56,6,79,71,54,89,-1,-1,-1,37,23,61,33,2,74,55,7,74,61,16,84,85,62,100,-1,-1,-1,21,10,51,32,0,73,50,6,72,67,8,84,76,55,91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,40,-1,-1,-1,-1,-1,-1,29,0,57,-1,-1,-1,-1,-1,-1,24,13,58,48,0,78,63,12,82,62,3,81,78,56,91,.,.,.,13,9,52,47,0,68,55,0,70,42,4,75,77,59,95,-1,-1,-1,0,0,24,6,0,50,17,0,50,38,0,75,67,33,67,-1,-1,-1,35,29,62,59,0,82,82,18,94,33,8,67,100,80,100,"SCHOOL OF SCIENCE AND TECHNOLOGY D",83,0,100,26,22,56,39,2,72,55,13,75,70,10,86,79,57,93,.,.,.,36,11,64,43,0,86,70,4,85,39,6,72,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'015833",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,0,0,38,59,0,88,70,5,90,77,14,82,84,45,97,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,0,0,20,80,0,80,67,17,100,71,0,71,79,43,100,-1,-1,-1,0,0,31,60,0,87,76,6,88,88,12,94,83,42,100,-1,-1,-1,0,0,36,58,0,100,75,6,94,72,6,78,82,43,96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,20,40,86,57,86,-1,-1,-1,0,0,22,56,0,78,64,7,86,62,8,69,74,26,95,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HENRY FORD ACADEMY ALAMEDA SCHOOL",-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,0,0,38,59,0,88,78,6,94,85,15,85,84,45,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1
"'015834",.,.,.,66,55,86,100,33,100,78,11,100,78,11,89,.,.,.,-1,-1,-1,75,38,88,100,83,100,100,33,100,100,33,100,.,.,.,100,69,100,78,61,96,100,87,100,100,46,100,100,42,100,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,99,42,100,63,44,87,100,79,100,96,44,99,95,27,99,.,.,.,-1,-1,-1,50,40,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,28,11,83,100,53,100,86,36,93,79,7,93,.,.,.,100,35,100,61,45,85,100,79,100,97,44,97,94,32,100,.,.,.,96,25,100,41,23,74,100,65,100,95,42,95,84,21,100,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,42,25,83,-1,-1,-1,71,0,100,71,0,86,.,.,.,97,49,100,66,44,89,100,78,100,95,43,100,95,23,98,.,.,.,.,.,.,24,15,68,100,22,100,78,0,100,78,0,89,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,100,38,100,73,48,94,100,77,100,95,49,100,97,23,97,.,.,.,"BASIS TEXAS",99,42,100,64,46,90,100,81,100,97,42,100,97,26,99,.,.,.,.,.,.,63,43,84,100,50,100,88,53,94,82,29,100,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'015835",-1,-1,-1,30,14,73,58,16,89,50,10,75,43,0,57,61,17,83,-1,-1,-1,67,33,100,100,86,100,100,43,100,100,43,100,100,86,100,-1,-1,-1,66,49,91,82,39,96,86,43,96,100,39,100,82,50,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,16,93,42,22,83,76,33,96,80,31,91,91,33,95,82,55,95,0,0,80,21,21,79,44,11,100,67,0,67,-1,-1,-1,44,22,89,56,6,83,28,11,74,63,20,92,69,16,86,82,12,91,70,32,94,70,16,93,37,21,83,74,31,94,82,38,93,94,35,98,79,50,95,58,15,77,27,13,77,65,20,93,74,20,91,83,17,92,78,47,94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,18,6,65,44,0,78,30,0,50,-1,-1,-1,50,0,63,76,16,92,47,24,84,79,34,99,77,24,90,88,30,92,86,60,95,50,0,82,26,10,66,49,11,85,59,10,73,80,10,88,63,29,83,-1,-1,-1,24,14,55,22,4,96,42,4,54,47,18,65,41,9,77,84,17,100,47,21,85,85,39,98,83,39,92,94,39,96,87,63,95,"GREAT HEARTS TEXAS",73,16,92,46,24,87,79,39,97,88,35,94,92,30,96,84,63,97,-1,-1,-1,37,21,79,73,23,95,68,25,87,86,43,92,79,43,92,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
