DISTRICT,D20GJ19R,D20GJ20R,D20GUA19R,D20GUA20R,D20GY19R,D20GY20R,D20GZ19R,D20GZ20R,D30GJ19R,D30GJ20R,D30GUA19R,D30GUA20R,D30GY19R,D30GY20R,D30GZ19R,D30GZ20R,D40GJ19R,D40GJ20R,D40GUA19R,D40GUA20R,D40GY19R,D40GY20R,D40GZ19R,D40GZ20R,DA0GJ19R,DA0GJ20R,DA0GUA19R,DA0GUA20R,DA0GY19R,DA0GY20R,DA0GZ19R,DA0GZ20R,DB0GJ19R,DB0GJ20R,DB0GUA19R,DB0GUA20R,DB0GY19R,DB0GY20R,DB0GZ19R,DB0GZ20R,DE0GJ19R,DE0GJ20R,DE0GUA19R,DE0GUA20R,DE0GY19R,DE0GY20R,DE0GZ19R,DE0GZ20R,DF0GJ19R,DF0GJ20R,DF0GUA19R,DF0GUA20R,DF0GY19R,DF0GY20R,DF0GZ19R,DF0GZ20R,DH0GJ19R,DH0GJ20R,DH0GUA19R,DH0GUA20R,DH0GY19R,DH0GY20R,DH0GZ19R,DH0GZ20R,DI0GJ19R,DI0GJ20R,DI0GUA19R,DI0GUA20R,DI0GY19R,DI0GY20R,DI0GZ19R,DI0GZ20R,DISTNAME,DL0GJ19R,DL0GJ20R,DL0GUA19R,DL0GUA20R,DL0GY19R,DL0GY20R,DL0GZ19R,DL0GZ20R,DM0GJ19R,DM0GJ20R,DM0GUA19R,DM0GUA20R,DM0GY19R,DM0GY20R,DM0GZ19R,DM0GZ20R,DR0GJ19R,DR0GJ20R,DR0GUA19R,DR0GUA20R,DR0GY19R,DR0GY20R,DR0GZ19R,DR0GZ20R,DS0GJ19R,DS0GJ20R,DS0GUA19R,DS0GUA20R,DS0GY19R,DS0GY20R,DS0GZ19R,DS0GZ20R,DW0GJ19R,DW0GJ20R,DW0GUA19R,DW0GUA20R,DW0GY19R,DW0GY20R,DW0GZ19R,DW0GZ20R
"'018902",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,36.7,60.7,0,0,0,0,.,-1,.,-1,.,-1,.,-1,0,0,17.6,40,0,0,0,0,0,0,37.5,68.8,0,0,0,0,0,0,21.4,50,0,0,0,0,.,.,.,.,.,.,.,.,"MERIDIAN ISD",-1,.,-1,.,-1,.,-1,.,0,0,36.4,50,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,53.3,73.3,0,0,0,0
"'018903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1,50,-1,0,-1,0,-1,-1,.,-1,.,-1,.,-1,.,0,-1,44.4,-1,0,-1,0,-1,0,-1,60,-1,0,-1,0,-1,0,.,50,.,0,.,0,.,.,.,.,.,.,.,.,.,"MORGAN ISD",-1,.,-1,.,-1,.,-1,.,0,-1,42.9,-1,0,-1,0,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1
"'018904",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,35.9,31.4,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,27.8,23.7,0,0,0,0,0,0,54.5,45.2,0,0,0,0,0,0,16.7,23.8,0,0,0,0,.,.,.,.,.,.,.,.,"VALLEY MILLS ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,11.8,20.5,0,0,0,0,0,0,17.6,15.6,0,0,0,0,-1,0,-1,10,-1,0,-1,0,0,0,41.9,35.6,0,0,0,0
"'018905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,20,10,0,0,0,0,.,.,.,.,.,.,.,.,0,0,20,14.3,0,0,0,0,0,0,40,20,0,0,0,0,-1,0,-1,20,-1,0,-1,0,.,.,.,.,.,.,.,.,"WALNUT SPRINGS ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,0,0,16.7,0,0,0,0,0
"'018906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,57.1,14.3,0,0,0,0,.,.,.,.,.,.,.,.,-1,0,-1,16.7,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,"IREDELL ISD",.,.,.,.,.,.,.,.,0,0,60,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,0,-1,0,-1,0,-1,0
"'018907",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,33.3,22.2,0,0,0,0,.,.,.,.,.,.,.,.,-1,0,-1,14.3,-1,0,-1,0,0,0,20,33.3,0,0,0,0,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,"KOPPERL ISD",.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,0,0,33.3,14.3,0,0,0,0
"'018908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,22.2,33.3,0,0,0,0,.,.,.,.,.,.,.,.,0,0,14.3,20,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,"CRANFILLS GAP ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,20,40,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,0,0,28.6,50,0,0,0,0
"'019901",-1,0,-1,60,-1,0,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,62.8,62.3,0,0,0,0,0,0,71.4,33.3,0,0,0,0,0,0,61.9,50,0,0,0,0,0,0,73.1,69,0,0,0,0,-1,0,-1,66.7,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,"DEKALB ISD",-1,.,-1,.,-1,.,-1,.,0,0,47.1,56.3,0,0,0,0,0,0,60,18.2,0,0,0,0,-1,0,-1,16.7,-1,0,-1,0,0,0,60,67.4,0,0,0,0
"'019902",0,-1,16.7,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,38,45.5,0,0,0,0,0,0,16.7,7.7,0,0,0,0,0,0,22.8,32.5,0,0,0,0,0,0,36.1,50,0,0,0,0,0,0,50,50,0,0,0,0,.,-1,.,-1,.,-1,.,-1,"HOOKS ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,39.1,42.6,0,0,0,0,0,0,14.8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,50.9,0,0,0,0
"'019903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,44.8,45.2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,35.7,37.5,0,0,0,0,0,0,52.6,50,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,"MAUD ISD",.,.,.,.,.,.,.,.,0,0,30,42.9,0,0,0,0,0,-1,22.2,-1,0,-1,0,-1,0,.,0,.,0,.,0,.,0,0,48,42.9,0,0,0,0
"'019905",-1,0,-1,0,-1,0,-1,0,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,0,0,46.9,48.1,8.6,10.4,0,0,0,0,33.3,33.3,0,4.8,0,0,0,0,44.2,29.4,0,5.9,0,0,0,0,60,56.7,8.9,10,0,0,-1,0,-1,50,-1,0,-1,0,.,.,.,.,.,.,.,.,"NEW BOSTON ISD",.,.,.,.,.,.,.,.,0,0,30.6,37,8.3,10.9,0,0,0,0,14.7,24.4,0,2.2,0,0,0,0,0,7.1,0,0,0,0,0,0,50,56.2,13,13.7,0,0
"'019906",-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,0,0,62.2,70.7,0,0,0,0,.,-1,.,-1,.,-1,.,-1,0,0,44.8,44.4,0,0,0,0,0,0,73.3,82.9,0,0,0,0,-1,0,-1,66.7,-1,0,-1,0,.,.,.,.,.,.,.,.,"REDWATER ISD",.,-1,.,-1,.,-1,.,-1,0,0,52.8,58.5,0,0,0,0,0,0,36.4,32,0,0,0,0,0,0,57.1,0,0,0,0,0,0,0,63.8,72.9,0,0,0,0
"'019907",0,0,62.5,30.8,25,23.1,0,0,0,0,66.7,75,66.7,37.5,0,0,-1,.,-1,.,-1,.,-1,.,2,2.7,50.9,45.3,16.4,14.7,0,0,1.9,1.8,30.8,21.1,5.8,2.3,0,0,1,1.8,33.3,24.8,5.6,5.3,0,0,2.8,2.2,55.9,52.9,16.6,18.1,0,0,1.6,2.9,47.5,48.6,16.4,14.3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,"TEXARKANA ISD",0,0,22.2,50,0,0,0,0,1,3.2,45.5,37.6,16.2,11.3,0,0,0,0,10.7,13.4,1,1.7,0,0,0,0,3.6,0,0,0,0,0,2.5,3.8,69.9,66.5,22.1,24.9,0,0
"'019908",0,-1,46.7,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,34.6,33.6,0,0,0,0,0,0,23.6,26.4,0,0,0,0,0,0,31.3,25.7,0,0,0,0,0,0,45,47.2,0,0,0,0,0,0,50,50,0,0,0,0,-1,.,-1,.,-1,.,-1,.,"LIBERTY-EYLAU ISD",.,.,.,.,.,.,.,.,0,0,24.1,19.7,0,0,0,0,0,0,9,11,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,41.3,44.4,0,0,0,0
"'019909",.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,42.9,36.1,0,0,0,0,.,.,.,.,.,.,.,.,0,0,33.3,40,0,0,0,0,0,0,44.4,50,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,"SIMMS ISD",.,.,.,.,.,.,.,.,0,0,41.2,22.2,0,0,0,0,0,0,20,16.7,0,0,0,0,0,-1,14.3,-1,0,-1,0,-1,0,0,37.5,36.4,0,0,0,0
"'019910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MALTA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019911",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RED LICK ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019912",-1,0,-1,57.1,-1,14.3,-1,0,0,0,100,100,57.1,25,0,0,-1,.,-1,.,-1,.,-1,.,0,0,86,74.7,16.4,15.2,0,0,0,0,61.1,42.3,5.6,0,0,0,0,0,71.4,61.1,11.4,11.1,0,0,0,0,88.8,75,21.3,19.4,0,0,0,0,92.9,85.7,21.4,14.3,0,0,-1,.,-1,.,-1,.,-1,.,"PLEASANT GROVE ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,83.5,74.4,12.1,11.6,0,0,0,0,43.3,41.2,6.7,0,0,0,0,0,25,12.5,0,6.3,0,0,0,0,88.2,80.6,15.7,18.4,0,0
"'019913",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HUBBARD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019914",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LEARY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'020901",2.6,6.1,23.1,36.4,10.3,21.2,0,0,10.3,4.4,36.5,25,61.1,65.6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,3.4,4.1,21.9,24.4,20.2,20.9,0,0,0.8,2.4,17.1,19.9,12.1,10.2,0,0,1.6,3.9,17.8,20,14.9,12.6,0,0,5.4,6.1,26.9,27.2,22.5,22.9,0,0,3.3,5.2,22.1,24.3,17.5,17.5,0,0,0,-1,22.2,-1,11.1,-1,0,-1,"ALVIN ISD",0,1.2,6.5,11.9,18.2,16.7,0,0,1.3,2.1,16.9,21.7,17.8,18.9,0,0,0.6,1,8.8,13.9,6.5,6.8,0,0,0,0,10.6,9.9,1.4,1.7,0,0,3.8,3.7,21.6,28.4,20.4,20,0,0
