DISTRICT,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDC00A001221R,DDC00A001321R,DDC00A001S21R,DDC00AC01221R,DDC00AC01321R,DDC00AC01S21R,DDC00AM01221R,DDC00AM01321R,DDC00AM01S21R,DDC00AR01221R,DDC00AR01321R,DDC00AR01S21R,DDC00AS01221R,DDC00AS01321R,DDC00AS01S21R,DDC00AW01221R,DDC00AW01321R,DDC00AW01S21R,DDJ00A001221R,DDJ00A001321R,DDJ00A001S21R,DDJ00AC01221R,DDJ00AC01321R,DDJ00AC01S21R,DDJ00AM01221R,DDJ00AM01321R,DDJ00AM01S21R,DDJ00AR01221R,DDJ00AR01321R,DDJ00AR01S21R,DDJ00AS01221R,DDJ00AS01321R,DDJ00AS01S21R,DDJ00AW01221R,DDJ00AW01321R,DDJ00AW01S21R,DDK00A001221R,DDK00A001321R,DDK00A001S21R,DDK00AC01221R,DDK00AC01321R,DDK00AC01S21R,DDK00AM01221R,DDK00AM01321R,DDK00AM01S21R,DDK00AR01221R,DDK00AR01321R,DDK00AR01S21R,DDK00AS01221R,DDK00AS01321R,DDK00AS01S21R,DDK00AW01221R,DDK00AW01321R,DDK00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDQ00A001221R,DDQ00A001321R,DDQ00A001S21R,DDQ00AC01221R,DDQ00AC01321R,DDQ00AC01S21R,DDQ00AM01221R,DDQ00AM01321R,DDQ00AM01S21R,DDQ00AR01221R,DDQ00AR01321R,DDQ00AR01S21R,DDQ00AS01221R,DDQ00AS01321R,DDQ00AS01S21R,DDQ00AW01221R,DDQ00AW01321R,DDQ00AW01S21R,DDT00A001221R,DDT00A001321R,DDT00A001S21R,DDT00AC01221R,DDT00AC01321R,DDT00AC01S21R,DDT00AM01221R,DDT00AM01321R,DDT00AM01S21R,DDT00AR01221R,DDT00AR01321R,DDT00AR01S21R,DDT00AS01221R,DDT00AS01321R,DDT00AS01S21R,DDT00AW01221R,DDT00AW01321R,DDT00AW01S21R,DDU00A001221R,DDU00A001321R,DDU00A001S21R,DDU00AC01221R,DDU00AC01321R,DDU00AC01S21R,DDU00AM01221R,DDU00AM01321R,DDU00AM01S21R,DDU00AR01221R,DDU00AR01321R,DDU00AR01S21R,DDU00AS01221R,DDU00AS01321R,DDU00AS01S21R,DDU00AW01221R,DDU00AW01321R,DDU00AW01S21R,DDX00A001221R,DDX00A001321R,DDX00A001S21R,DDX00AC01221R,DDX00AC01321R,DDX00AC01S21R,DDX00AM01221R,DDX00AM01321R,DDX00AM01S21R,DDX00AR01221R,DDX00AR01321R,DDX00AR01S21R,DDX00AS01221R,DDX00AS01321R,DDX00AS01S21R,DDX00AW01221R,DDX00AW01321R,DDX00AW01S21R,DDY00A001221R,DDY00A001321R,DDY00A001S21R,DDY00AC01221R,DDY00AC01321R,DDY00AC01S21R,DDY00AM01221R,DDY00AM01321R,DDY00AM01S21R,DDY00AR01221R,DDY00AR01321R,DDY00AR01S21R,DDY00AS01221R,DDY00AS01321R,DDY00AS01S21R,DDY00AW01221R,DDY00AW01321R,DDY00AW01S21R,DDZ00A001221R,DDZ00A001321R,DDZ00A001S21R,DDZ00AC01221R,DDZ00AC01321R,DDZ00AC01S21R,DDZ00AM01221R,DDZ00AM01321R,DDZ00AM01S21R,DDZ00AR01221R,DDZ00AR01321R,DDZ00AR01S21R,DDZ00AS01221R,DDZ00AS01321R,DDZ00AS01S21R,DDZ00AW01221R,DDZ00AW01321R,DDZ00AW01S21R,DISTNAME,DNB00A001221R,DNB00A001321R,DNB00A001S21R,DNB00AC01221R,DNB00AC01321R,DNB00AC01S21R,DNB00AM01221R,DNB00AM01321R,DNB00AM01S21R,DNB00AR01221R,DNB00AR01321R,DNB00AR01S21R,DNB00AS01221R,DNB00AS01321R,DNB00AS01S21R,DNB00AW01221R,DNB00AW01321R,DNB00AW01S21R,DNE00A001221R,DNE00A001321R,DNE00A001S21R,DNE00AC01221R,DNE00AC01321R,DNE00AC01S21R,DNE00AM01221R,DNE00AM01321R,DNE00AM01S21R,DNE00AR01221R,DNE00AR01321R,DNE00AR01S21R,DNE00AS01221R,DNE00AS01321R,DNE00AS01S21R,DNE00AW01221R,DNE00AW01321R,DNE00AW01S21R,DNN00A001221R,DNN00A001321R,DNN00A001S21R,DNN00AC01221R,DNN00AC01321R,DNN00AC01S21R,DNN00AM01221R,DNN00AM01321R,DNN00AM01S21R,DNN00AR01221R,DNN00AR01321R,DNN00AR01S21R,DNN00AS01221R,DNN00AS01321R,DNN00AS01S21R,DNN00AW01221R,DNN00AW01321R,DNN00AW01S21R,DNT00A001221R,DNT00A001321R,DNT00A001S21R,DNT00AC01221R,DNT00AC01321R,DNT00AC01S21R,DNT00AM01221R,DNT00AM01321R,DNT00AM01S21R,DNT00AR01221R,DNT00AR01321R,DNT00AR01S21R,DNT00AS01221R,DNT00AS01321R,DNT00AS01S21R,DNT00AW01221R,DNT00AW01321R,DNT00AW01S21R
"'030906",51,24,76,65,24,85,44,18,73,53,24,76,59,45,80,38,17,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EULA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,24,76,65,24,85,44,18,73,53,24,76,59,45,80,38,17,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'031901",31,11,59,31,10,62,21,7,51,38,12,63,44,21,68,23,5,51,13,3,38,17,3,46,10,3,35,14,2,37,17,6,40,5,1,31,10,3,35,7,1,29,10,3,32,13,5,44,.,.,.,6,1,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,3,37,13,2,40,10,3,34,14,3,40,17,6,40,6,1,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,3,35,7,1,30,10,4,32,14,5,44,.,.,.,6,1,23,27,11,48,31,8,69,32,16,48,24,11,45,.,.,.,-1,-1,-1,13,3,38,17,3,46,10,3,35,14,2,37,17,6,39,6,1,32,16,4,41,17,4,40,14,3,42,21,5,47,26,5,42,4,0,23,"BROWNSVILLE ISD",19,8,39,11,0,47,22,11,40,20,9,41,.,.,.,16,5,26,15,4,37,18,4,42,11,5,29,15,1,35,18,7,48,0,0,26,43,16,71,43,15,74,26,9,60,52,17,75,56,29,81,32,8,63,38,14,70,32,11,68,30,11,63,49,19,79,28,11,56,36,9,74
"'031903",33,12,61,36,11,65,25,10,56,38,13,64,47,23,72,21,5,50,14,3,40,16,3,48,14,3,41,14,3,40,19,4,41,5,1,30,17,5,45,10,1,34,19,5,46,21,6,53,-1,-1,-1,9,2,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,4,43,14,3,43,17,5,44,17,5,45,18,4,41,7,1,29,22,9,50,20,5,47,23,10,54,26,12,54,.,.,.,11,3,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,6,47,13,2,38,20,7,49,23,8,53,-1,-1,-1,10,2,29,50,13,75,.,.,.,43,0,71,57,29,71,.,.,.,-1,-1,-1,13,3,40,16,3,48,13,3,41,13,3,40,19,4,41,5,1,29,13,0,40,0,0,50,12,0,38,19,0,44,-1,-1,-1,14,0,36,"HARLINGEN CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,13,64,39,13,68,26,11,57,41,14,66,52,27,76,22,6,53,49,14,81,50,13,81,37,15,72,60,16,86,34,11,78,53,10,87
"'031905",34,11,63,32,10,63,27,9,58,39,11,65,48,20,77,24,7,54,10,2,28,10,2,29,13,5,36,9,1,24,12,0,33,0,0,12,15,4,39,27,4,50,18,4,40,12,4,39,.,.,.,7,3,31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,4,36,16,3,37,16,5,41,13,3,34,12,0,33,9,5,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,4,39,27,4,50,18,4,40,12,4,39,.,.,.,7,3,31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,2,28,10,2,29,13,5,36,9,1,24,12,0,33,0,0,12,23,9,50,-1,-1,-1,16,10,52,30,6,45,.,.,.,27,18,64,"LA FERIA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,12,66,33,11,65,30,10,61,42,13,69,51,21,81,28,8,61,45,14,76,44,13,78,30,9,66,57,13,84,51,31,82,29,4,46
"'031906",42,17,71,47,19,78,35,16,65,47,17,74,49,27,74,32,9,63,12,3,40,17,3,55,13,4,40,8,2,36,24,7,48,3,0,26,24,9,57,20,5,56,23,10,55,27,10,63,.,.,.,20,4,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,6,49,18,4,56,19,7,48,19,6,50,24,8,47,14,3,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,9,57,20,5,56,23,10,55,27,10,63,.,.,.,21,4,44,0,0,40,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,12,3,40,17,3,55,13,4,40,8,2,36,24,7,48,3,0,26,23,8,50,11,4,63,19,8,40,31,8,59,25,19,38,14,5,38,"LOS FRESNOS CISD",75,0,75,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,20,75,53,23,81,38,17,68,54,21,79,58,34,81,35,10,69,52,20,82,56,21,89,46,22,77,61,20,87,31,13,67,51,16,82
"'031909",25,8,55,23,7,62,15,4,47,33,10,60,35,17,58,20,3,52,7,1,38,5,0,42,4,0,30,11,2,43,4,1,29,8,2,50,13,5,51,14,5,46,13,5,55,13,6,54,.,.,.,10,2,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,3,44,9,2,46,9,3,43,13,4,47,5,1,30,9,2,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,5,51,14,5,46,13,5,55,13,6,54,.,.,.,10,2,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,1,39,5,0,42,4,0,31,12,2,44,4,1,29,8,2,52,20,4,55,25,0,88,18,12,65,24,0,38,-1,-1,-1,0,0,40,"POINT ISABEL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,36,12,63,32,11,76,20,5,50,48,16,69,48,26,70,29,6,58,44,12,73,42,11,74,22,11,60,61,16,81,43,14,68,38,0,81
"'031911",25,6,54,30,8,59,15,4,45,32,7,57,35,13,67,15,3,46,7,1,22,10,0,30,0,0,17,9,0,23,13,7,27,0,0,14,15,0,38,.,.,.,15,0,26,15,0,44,.,.,.,17,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,0,27,6,0,21,6,0,26,10,0,28,13,7,27,9,0,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,0,30,0,0,0,11,0,26,12,0,35,.,.,.,17,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,1,22,10,0,30,0,0,16,9,0,22,13,7,27,0,0,14,8,0,38,0,0,20,13,0,63,10,0,30,.,.,.,-1,-1,-1,"RIO HONDO ISD",0,0,9,0,0,0,0,0,25,0,0,0,.,.,.,.,.,.,5,0,23,.,.,.,0,0,20,8,0,25,.,.,.,.,.,.,27,7,57,30,9,62,16,5,49,33,7,60,39,14,73,16,4,46,36,9,65,45,10,74,20,2,49,46,12,71,25,15,60,22,0,67
"'031912",23,7,49,21,5,51,14,4,40,29,9,55,28,11,57,19,3,50,6,1,27,7,0,31,5,1,25,8,1,26,6,1,25,5,0,34,10,3,36,6,0,28,9,3,35,14,5,42,.,.,.,5,0,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,2,31,7,0,30,7,2,30,11,3,33,7,2,26,5,0,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,3,36,6,0,28,9,3,35,14,5,42,.,.,.,5,0,25,0,0,10,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,.,.,.,6,1,27,7,0,31,5,1,25,8,1,27,6,1,25,5,0,34,12,3,36,9,0,36,13,3,32,14,2,37,10,10,40,5,2,37,"SAN BENITO CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,8,53,25,6,54,16,5,42,33,11,59,35,14,65,22,4,55,34,10,68,31,9,72,23,5,56,47,14,77,18,6,60,30,7,64
"'031913",14,4,42,8,0,38,10,3,39,19,5,45,24,13,50,8,1,38,5,1,22,3,0,25,4,0,28,7,2,22,8,4,19,0,0,0,17,6,45,0,0,19,21,7,53,21,9,48,.,.,.,13,4,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,3,31,2,0,23,13,3,40,12,5,31,7,4,22,8,3,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,6,45,0,0,19,21,7,53,21,9,48,.,.,.,13,4,33,3,2,25,0,0,31,-1,-1,-1,0,0,15,14,7,36,.,.,.,6,1,22,4,0,21,4,0,27,11,4,25,0,0,0,0,0,0,6,0,24,.,.,.,20,0,20,0,0,14,-1,-1,-1,-1,-1,-1,"SANTA MARIA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,5,48,10,0,46,7,3,37,24,6,52,36,20,66,9,0,49,23,3,71,30,0,80,10,0,43,40,8,92,0,0,60,0,0,80
"'031914",26,8,56,30,11,62,17,5,50,33,11,60,37,11,64,10,1,43,10,2,41,12,0,48,8,2,45,10,3,40,18,0,27,0,0,25,15,8,40,13,6,38,18,6,41,16,12,43,.,.,.,0,0,31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,4,42,13,2,42,15,5,45,14,6,43,15,0,23,7,0,34,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,8,44,18,6,41,23,8,44,21,12,46,.,.,.,13,0,40,8,3,38,17,0,33,8,4,33,8,4,46,0,0,20,.,.,.,13,0,39,11,0,53,14,0,50,11,0,25,33,0,33,.,.,.,0,0,37,-1,-1,-1,0,0,50,0,0,50,-1,-1,-1,-1,-1,-1,"SANTA ROSA ISD",100,11,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,5,3,50,.,.,.,0,0,62,15,8,62,.,.,.,0,0,25,29,9,59,31,13,64,17,4,50,37,12,64,40,12,66,11,1,46,53,20,90,64,21,100,50,21,86,55,20,85,36,18,91,.,.,.
"'031916",68,30,89,70,35,93,55,24,83,77,29,92,65,40,87,62,25,93,41,12,73,44,17,80,33,11,71,46,12,73,34,6,66,40,15,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,11,73,43,17,80,32,11,71,45,11,73,33,5,65,37,14,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,12,73,44,17,80,33,11,71,46,12,73,34,6,66,40,15,83,21,4,71,-1,-1,-1,14,14,71,22,0,78,-1,-1,-1,-1,-1,-1,"SOUTH TEXAS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,71,33,91,73,37,96,57,25,84,81,31,94,69,44,89,65,26,94,69,31,93,72,41,92,53,31,90,80,27,95,64,34,88,64,34,94
"'032902",50,21,81,60,23,88,55,26,85,46,17,77,54,29,80,34,6,72,25,8,63,36,11,67,41,14,76,15,2,59,15,8,51,6,3,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,7,65,38,11,75,39,11,76,15,4,58,15,8,51,14,1,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,7,67,44,13,100,36,10,76,16,7,56,.,.,.,18,0,56,24,6,71,.,.,.,50,17,67,17,0,83,.,.,.,0,0,60,25,8,63,36,11,67,40,13,77,15,2,57,15,8,51,7,4,48,33,0,75,.,.,.,60,0,60,0,0,80,.,.,.,-1,-1,-1,"PITTSBURG ISD",26,7,67,44,13,100,36,10,76,16,7,56,.,.,.,18,0,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,22,82,61,25,88,56,26,85,49,19,79,57,32,83,40,8,74,65,26,91,67,23,96,75,46,94,63,16,88,66,30,89,33,5,90
"'033901",66,30,89,78,47,94,69,34,94,64,25,90,71,43,95,33,0,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GROOM ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66,30,89,77,45,94,69,35,95,64,24,89,71,43,95,32,0,53,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'033902",66,35,90,67,31,92,74,44,94,62,30,87,66,40,90,58,23,82,83,17,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,17,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,17,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PANHANDLE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66,35,90,67,31,92,74,44,94,61,30,87,66,40,90,56,22,81,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'033904",45,16,76,49,17,81,41,14,76,48,15,76,53,36,84,32,7,61,31,15,62,.,.,.,20,0,80,33,17,50,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,13,63,.,.,.,17,0,67,29,14,57,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,14,43,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"WHITE DEER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,17,83,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,46,16,76,49,17,81,42,15,77,49,15,76,52,34,84,33,7,61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'034901",44,20,74,45,15,77,37,18,72,49,21,74,56,33,79,35,10,64,39,22,61,-1,-1,-1,50,25,75,38,25,63,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,22,61,-1,-1,-1,50,25,75,38,25,63,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,22,61,-1,-1,-1,50,25,75,38,25,63,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ATLANTA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,19,73,44,15,77,37,18,72,49,21,74,56,33,78,35,10,63,59,32,92,62,23,85,48,33,86,75,38,96,57,43,100,33,17,100
"'034902",35,12,67,28,5,68,29,4,62,38,19,70,46,23,73,53,6,65,50,33,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,33,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,33,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"AVINGER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,11,67,29,5,68,28,4,61,37,18,71,44,20,72,53,6,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'034903",46,19,74,51,20,80,44,17,75,48,19,74,55,33,82,27,7,56,23,15,67,14,14,86,42,33,75,19,6,56,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,8,56,9,9,73,28,16,64,10,3,53,0,0,43,0,0,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,35,82,-1,-1,-1,71,57,86,43,14,86,.,.,.,.,.,.,0,0,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,5,0,46,-1,-1,-1,15,0,54,0,0,50,-1,-1,-1,0,0,20,"HUGHES SPRINGS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,36,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,.,.,.,47,19,75,54,21,80,44,17,75,49,20,75,57,35,84,28,7,56,44,9,85,0,0,100,56,22,100,55,0,73,57,14,71,-1,-1,-1
"'034905",42,14,71,48,13,82,40,12,72,44,15,72,58,28,75,20,6,49,24,4,67,20,0,100,35,5,75,24,5,57,-1,-1,-1,0,0,57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,4,65,20,0,100,33,5,71,23,5,59,-1,-1,-1,0,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,22,4,70,-1,-1,-1,35,6,76,24,6,65,-1,-1,-1,0,0,57,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"LINDEN-KILDARE CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,15,71,50,13,81,40,12,72,46,16,73,58,28,75,22,6,49,67,33,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
