DISTRICT,DD003AMA1221R,DD003AMA1321R,DD003AMA1S21R,DD003ARE1221R,DD003ARE1321R,DD003ARE1S21R,DD203AMA1221R,DD203AMA1321R,DD203AMA1S21R,DD203ARE1221R,DD203ARE1321R,DD203ARE1S21R,DD303AMA1221R,DD303AMA1321R,DD303AMA1S21R,DD303ARE1221R,DD303ARE1321R,DD303ARE1S21R,DD403AMA1221R,DD403AMA1321R,DD403AMA1S21R,DD403ARE1221R,DD403ARE1321R,DD403ARE1S21R,DDA03AMA1221R,DDA03AMA1321R,DDA03AMA1S21R,DDA03ARE1221R,DDA03ARE1321R,DDA03ARE1S21R,DDB03AMA1221R,DDB03AMA1321R,DDB03AMA1S21R,DDB03ARE1221R,DDB03ARE1321R,DDB03ARE1S21R,DDE03AMA1221R,DDE03AMA1321R,DDE03AMA1S21R,DDE03ARE1221R,DDE03ARE1321R,DDE03ARE1S21R,DDF03AMA1221R,DDF03AMA1321R,DDF03AMA1S21R,DDF03ARE1221R,DDF03ARE1321R,DDF03ARE1S21R,DDH03AMA1221R,DDH03AMA1321R,DDH03AMA1S21R,DDH03ARE1221R,DDH03ARE1321R,DDH03ARE1S21R,DDI03AMA1221R,DDI03AMA1321R,DDI03AMA1S21R,DDI03ARE1221R,DDI03ARE1321R,DDI03ARE1S21R,DDL03AMA1221R,DDL03AMA1321R,DDL03AMA1S21R,DDL03ARE1221R,DDL03ARE1321R,DDL03ARE1S21R,DDM03AMA1221R,DDM03AMA1321R,DDM03AMA1S21R,DDM03ARE1221R,DDM03ARE1321R,DDM03ARE1S21R,DDR03AMA1221R,DDR03AMA1321R,DDR03AMA1S21R,DDR03ARE1221R,DDR03ARE1321R,DDR03ARE1S21R,DDS03AMA1221R,DDS03AMA1321R,DDS03AMA1S21R,DDS03ARE1221R,DDS03ARE1321R,DDS03ARE1S21R,DDW03AMA1221R,DDW03AMA1321R,DDW03AMA1S21R,DDW03ARE1221R,DDW03ARE1321R,DDW03ARE1S21R,DISTNAME,DNC03AMA1221R,DNC03AMA1321R,DNC03AMA1S21R,DNC03ARE1221R,DNC03ARE1321R,DNC03ARE1S21R,DNM03AMA1221R,DNM03AMA1321R,DNM03AMA1S21R,DNM03ARE1221R,DNM03ARE1321R,DNM03ARE1S21R,DNS03AMA1221R,DNS03AMA1321R,DNS03AMA1S21R,DNS03ARE1221R,DNS03ARE1321R,DNS03ARE1S21R
"'070801",3,0,27,10,1,26,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,6,1,32,16,5,36,5,3,31,15,10,36,6,1,31,17,5,36,8,1,27,22,4,41,3,0,29,14,2,34,.,.,.,.,.,.,3,0,27,10,1,26,5,1,37,10,6,31,4,1,27,10,1,30,4,0,9,4,4,9,63,13,88,63,38,75,"WAXAHACHIE FAITH FAMILY ACADEMY",6,2,29,15,3,35,8,0,37,18,9,38,-1,-1,-1,-1,-1,-1
"'070901",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,24,82,36,21,64,-1,-1,-1,-1,-1,-1,29,7,79,21,7,50,39,22,78,44,22,78,27,18,91,36,27,64,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,40,27,87,27,20,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,29,81,38,19,67,"AVALON ISD",31,23,81,38,23,62,71,29,86,29,14,71,.,.,.,.,.,.
"'070903",33,13,81,28,10,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,0,40,40,0,60,39,19,78,40,18,75,17,11,49,21,6,47,33,15,74,33,13,69,30,13,72,42,18,77,33,16,80,31,13,75,-1,-1,-1,-1,-1,-1,18,4,70,14,2,54,47,25,84,38,18,73,17,6,62,14,2,55,16,5,55,13,3,45,58,29,87,63,33,88,"ENNIS ISD",38,18,79,38,18,76,45,25,75,53,22,73,22,0,67,11,0,67
"'070905",37,25,78,24,11,67,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,39,22,77,29,11,67,0,0,43,14,0,86,40,23,76,30,12,67,38,19,71,33,17,72,41,25,77,29,11,69,-1,-1,-1,-1,-1,-1,37,25,78,24,11,67,41,24,82,26,7,62,31,17,70,20,7,58,26,15,52,19,4,41,50,17,90,37,17,60,"FERRIS ISD",39,21,78,31,12,67,43,26,74,22,9,65,33,17,83,50,17,67
"'070907",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,0,50,18,9,53,20,0,60,20,0,60,14,0,52,19,10,52,15,0,77,15,8,69,0,0,33,0,0,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,0,33,19,10,43,33,0,50,33,17,67,14,0,29,14,0,14,18,0,50,23,14,59,"ITALY ISD",14,0,46,14,7,46,17,0,67,33,17,83,-1,-1,-1,-1,-1,-1
"'070908",35,14,63,14,9,44,42,24,76,53,24,79,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,49,26,78,49,23,76,28,14,60,35,12,70,32,14,62,30,12,59,49,22,78,51,25,80,41,21,72,31,15,64,.,.,.,.,.,.,33,12,62,12,7,43,49,30,78,46,22,71,23,10,54,17,6,49,20,8,44,21,12,41,55,30,82,56,28,80,"MIDLOTHIAN ISD",49,27,79,48,22,75,50,25,74,49,30,76,22,22,78,22,11,67
"'070909",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,17,0,25,17,8,42,0,0,20,20,0,20,18,0,27,18,9,36,-1,-1,-1,-1,-1,-1,20,0,20,20,20,80,.,.,.,.,.,.,.,.,.,.,.,.,25,0,25,13,13,38,11,0,11,0,0,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"MILFORD ISD",10,0,20,10,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'070910",21,14,57,36,7,64,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,24,5,65,49,29,80,-1,-1,-1,-1,-1,-1,13,4,57,38,17,75,19,6,65,58,33,81,16,5,55,34,16,66,.,.,.,.,.,.,21,14,57,36,7,64,29,4,65,41,24,80,14,7,50,31,16,67,5,5,45,36,27,64,33,6,73,63,43,92,"PALMER ISD",21,6,65,48,24,80,35,0,65,59,53,82,-1,-1,-1,-1,-1,-1
"'070911",30,12,73,34,15,75,47,11,63,37,5,74,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,34,10,68,36,16,73,23,7,55,28,8,61,25,7,59,26,10,69,31,11,68,39,20,76,32,10,68,37,17,74,.,.,.,.,.,.,30,12,73,34,15,75,37,9,68,33,12,71,20,6,55,20,7,63,8,3,29,13,3,32,43,12,76,41,22,81,"RED OAK ISD",40,12,73,40,19,78,22,6,54,27,9,62,36,0,91,45,18,82
"'070912",24,11,68,19,6,60,34,14,69,45,17,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,18,75,46,23,78,20,6,52,26,12,59,31,13,65,34,16,68,40,18,76,51,27,81,41,17,79,44,20,78,.,.,.,.,.,.,24,10,68,20,7,59,43,18,75,41,19,74,16,5,51,19,7,56,20,7,43,25,7,48,49,23,80,55,30,82,"WAXAHACHIE ISD",41,19,74,48,24,76,43,18,77,42,21,80,78,44,100,78,56,100
