City_1,State,Zip5,Zip4,District_N,District_1
CEDAR PARK,TX,78613, ,LEANDER ISD,246913
DALLAS,TX,75211, ,DALLAS ISD,57905
MANSFIELD,TX,76063,1794,MANSFIELD ISD,220908
EL PASO,TX,79915, ,YSLETA ISD,71905
DALLAS,TX,75227,6311,DALLAS ISD,57905
BAYTOWN,TX,77522,30,GOOSE CREEK CISD,101911
HOUSTON,TX,77077,4998,HOUSTON ISD,101912
FRISCO,TX,75035,3653,FRISCO ISD,43905
ARLINGTON,TX,76002, ,ARLINGTON ISD,220901
HOUSTON,TX,77077,4237,HOUSTON ISD,101912
ASPERMONT,TX,79502,549,ASPERMONT ISD,217901
ASPERMONT,TX,79502,549,ASPERMONT ISD,217901
FORT WORTH,TX,76107,3010,FORT WORTH ISD,220905
HUMBLE,TX,77346, ,HUMBLE ISD,101913
HUMBLE,TX,77346,3186,HUMBLE ISD,101913
HUMBLE,TX,77346, ,HUMBLE ISD,101913
JOURDANTON,TX,78026,3408,CHARLOTTE ISD,7901
JOURDANTON,TX,78026,3408,PLEASANTON ISD,7905
JOURDANTON,TX,78026,3439,SOMERSET ISD,15909
POTEET,TX,78065,138,POTEET ISD,7906
GEORGE WEST,TX,78022,3416,GEORGE WEST ISD,149901
JOURDANTON,TX,78026, ,DEVINE ISD,163901
JOURDANTON,TX,78026, ,JOURDANTON ISD,7902
JOURDANTON,TX,78026,3403,PEARSALL ISD,82903
SAN ANTONIO,TX,78211, ,SOUTH SAN ANTONIO ISD,15908
ATHENS,TX,75751,2687,ATHENS ISD,107901
ATHENS,TX,75751,8922,ATHENS ISD,107901
HOUSTON,TX,77020,4223,HOUSTON ISD,101912
ARLINGTON,TX,76014,2639,ARLINGTON ISD,220901
LUBBOCK,TX,79412, ,LUBBOCK ISD,152901
HOUSTON,TX,77075,5144,PASADENA ISD,101917
ATLANTA,TX,75551,2299,ATLANTA ISD,34901
ATLANTA,TX,75551,2299,ATLANTA ISD,34901
ATLANTA,TX,75551,2299,ATLANTA ISD,34901
ATLANTA,TX,75551,2299,ATLANTA ISD,34901
HOUSTON,TX,77051,1802,HOUSTON ISD,101912
FORT WORTH,TX,76112,4299,FORT WORTH ISD,220905
AUBREY,TX,76227,9619,AUBREY ISD,61907
AUBREY,TX,76227,9619,AUBREY ISD,61907
DALLAS,TX,75243, ,RICHARDSON ISD,57916
FORT HOOD,TX,76544,4001,KILLEEN ISD,14906
ALAMO,TX,78516, ,PHARR-SAN JUAN-ALAMO ISD,108909
WACO,TX,76704, ,RAPOPORT ACADEMY PUBLIC SCHOOL,161802
SAN ANTONIO,TX,78255, ,NORTHSIDE ISD,15915
ALAMO,TX,78516, ,PHARR-SAN JUAN-ALAMO ISD,108909
CYPRESS,TX,77429,5722,CYPRESS-FAIRBANKS ISD,101907
GARLAND,TX,75040,8126,GARLAND ISD,57909
AUSTIN,TX,78723, ,AUSTIN ACHIEVE PUBLIC SCHOOLS,227825
AUSTIN,TX,78723, ,AUSTIN ACHIEVE PUBLIC SCHOOLS,227825
AUSTIN,TX,78723, ,AUSTIN ACHIEVE PUBLIC SCHOOLS,227825
AUSTIN,TX,78724, ,AUSTIN DISCOVERY SCHOOL,227821
COPPELL,TX,75019,5750,COPPELL ISD,57922
ENNIS,TX,75119,7599,ENNIS ISD,70903
MEMPHIS,TX,79245,460,MEMPHIS ISD,96904
PAMPA,TX,79065,3799,PAMPA ISD,90904
HARLINGEN,TX,78550, ,HARLINGEN CISD,31903
EDINBURG,TX,78540,990,EDINBURG CISD,108904
CONROE,TX,77306,5329,CONROE ISD,170902
ABILENE,TX,79605,5623,ABILENE ISD,221901
DAYTON,TX,77535,248,DAYTON ISD,146902
PECOS,TX,79772,869,PECOS-BARSTOW-TOYAH ISD,195901
WEATHERFORD,TX,76086,439,WEATHERFORD ISD,184903
SAN ANGELO,TX,76901,2530,SAN ANGELO ISD,226903
MESQUITE,TX,75150,4762,MESQUITE ISD,57914
GREGORY,TX,78359,338,GREGORY-PORTLAND ISD,205902
AUSTIN,TX,78703,4699,AUSTIN ISD,227901
HOUSTON,TX,77023,3139,HOUSTON ISD,101912
EL PASO,TX,79930,5399,EL PASO ISD,71902
AUSTIN,TX,78702, ,AUSTIN ISD,227901
SAN JUAN,TX,78589,1269,PHARR-SAN JUAN-ALAMO ISD,108909
GALVESTON,TX,77550,8198,GALVESTON ISD,84902
IRVING,TX,75061,4999,IRVING ISD,57912
AMARILLO,TX,79109,2137,AMARILLO ISD,188901
ODESSA,TX,79760,3912,ECTOR COUNTY ISD,68901
AUSTIN,TX,78745, ,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,227806
SUGAR LAND,TX,77479,2141,FORT BEND ISD,79907
AUSTIN,TX,78703,5300,AUSTIN ISD,227901
TIVOLI,TX,77990,4500,AUSTWELL-TIVOLI ISD,196901
TIVOLI,TX,77990,4500,AUSTWELL-TIVOLI ISD,196901
AVALON,TX,76623,455,AVALON ISD,70901
HOUSTON,TX,77039, ,ALDINE ISD,101902
AVERY,TX,75554, ,AVERY ISD,194902
AVERY,TX,75554, ,AVERY ISD,194902
AVINGER,TX,75630,9501,AVINGER ISD,34902
AMARILLO,TX,79106,4421,AMARILLO ISD,188901
WACO,TX,76710, ,AXTELL ISD,161918
AXTELL,TX,76624, ,AXTELL ISD,161918
AXTELL,TX,76624, ,AXTELL ISD,161918
AXTELL,TX,76624, ,AXTELL ISD,161918
EDDY,TX,76524, ,BRUCEVILLE-EDDY ISD,161919
EDDY,TX,76524, ,BRUCEVILLE-EDDY ISD,161919
AZLE,TX,76020,3111,AZLE ISD,220915
AZLE,TX,76020,2599,AZLE ISD,220915
AZLE,TX,76020, ,AZLE ISD,220915
AZLE,TX,76020,3337,AZLE ISD,220915
BIG SANDY,TX,75755, ,TRINITY CHARTER SCHOOL,46802
TYLER,TX,75702, ,TRINITY CHARTER SCHOOL,46802
THE COLONY,TX,75056,1465,LEWISVILLE ISD,61902
ROSENBERG,TX,77471,5694,LAMAR CISD,79901
SACHSE,TX,75048,4631,GARLAND ISD,57909
CHANNELVIEW,TX,77530, ,CHANNELVIEW ISD,101905
DALLAS,TX,75217,4409,DALLAS ISD,57905
EDINBURG,TX,78540,990,EDINBURG CISD,108904
MISSION,TX,78572,4652,SHARYLAND ISD,108911
DENISON,TX,75020, ,DENISON ISD,91903
ROWLETT,TX,75089,6700,GARLAND ISD,57909
LEANDER,TX,78641, ,LEANDER ISD,246913
