DISTRICT,DD003AMA1222R,DD003AMA1322R,DD003AMA1S22R,DD003ARE1222R,DD003ARE1322R,DD003ARE1S22R,DD203AMA1222R,DD203AMA1322R,DD203AMA1S22R,DD203ARE1222R,DD203ARE1322R,DD203ARE1S22R,DD303AMA1222R,DD303AMA1322R,DD303AMA1S22R,DD303ARE1222R,DD303ARE1322R,DD303ARE1S22R,DD403AMA1222R,DD403AMA1322R,DD403AMA1S22R,DD403ARE1222R,DD403ARE1322R,DD403ARE1S22R,DDA03AMA1222R,DDA03AMA1322R,DDA03AMA1S22R,DDA03ARE1222R,DDA03ARE1322R,DDA03ARE1S22R,DDB03AMA1222R,DDB03AMA1322R,DDB03AMA1S22R,DDB03ARE1222R,DDB03ARE1322R,DDB03ARE1S22R,DDE03AMA1222R,DDE03AMA1322R,DDE03AMA1S22R,DDE03ARE1222R,DDE03ARE1322R,DDE03ARE1S22R,DDF03AMA1222R,DDF03AMA1322R,DDF03AMA1S22R,DDF03ARE1222R,DDF03ARE1322R,DDF03ARE1S22R,DDH03AMA1222R,DDH03AMA1322R,DDH03AMA1S22R,DDH03ARE1222R,DDH03ARE1322R,DDH03ARE1S22R,DDI03AMA1222R,DDI03AMA1322R,DDI03AMA1S22R,DDI03ARE1222R,DDI03ARE1322R,DDI03ARE1S22R,DDL03AMA1222R,DDL03AMA1322R,DDL03AMA1S22R,DDL03ARE1222R,DDL03ARE1322R,DDL03ARE1S22R,DDM03AMA1222R,DDM03AMA1322R,DDM03AMA1S22R,DDM03ARE1222R,DDM03ARE1322R,DDM03ARE1S22R,DDR03AMA1222R,DDR03AMA1322R,DDR03AMA1S22R,DDR03ARE1222R,DDR03ARE1322R,DDR03ARE1S22R,DDS03AMA1222R,DDS03AMA1322R,DDS03AMA1S22R,DDS03ARE1222R,DDS03ARE1322R,DDS03ARE1S22R,DDW03AMA1222R,DDW03AMA1322R,DDW03AMA1S22R,DDW03ARE1222R,DDW03ARE1322R,DDW03ARE1S22R,DISTNAME,DNC03AMA1222R,DNC03AMA1322R,DNC03AMA1S22R,DNC03ARE1222R,DNC03ARE1322R,DNC03ARE1S22R,DNM03AMA1222R,DNM03AMA1322R,DNM03AMA1S22R,DNM03ARE1222R,DNM03ARE1322R,DNM03ARE1S22R,DNS03AMA1222R,DNS03AMA1322R,DNS03AMA1S22R,DNS03ARE1222R,DNS03ARE1322R,DNS03ARE1S22R
"'001902",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,63,40,86,74,57,83,.,.,.,.,.,.,44,28,78,56,44,72,63,42,84,68,53,74,50,50,83,50,50,50,.,.,.,.,.,.,.,.,.,.,.,.,63,38,88,81,63,94,33,17,83,33,33,67,0,0,17,0,0,33,63,37,85,78,56,89,"CAYUGA ISD",65,38,88,77,58,85,56,44,78,67,56,78,.,.,.,.,.,.
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,49,28,88,58,34,89,-1,-1,-1,-1,-1,-1,32,16,78,41,27,84,44,29,88,62,38,88,50,13,100,63,38,100,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,53,28,88,55,30,90,27,5,68,27,0,73,27,9,73,36,18,73,49,29,90,59,32,92,"ELKHART ISD",43,25,83,53,30,87,62,38,100,71,43,95,71,43,100,57,14,86
"'001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,40,16,81,53,18,89,-1,-1,-1,-1,-1,-1,29,6,71,35,6,79,41,22,78,66,22,94,0,0,43,14,0,57,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,40,10,83,40,13,83,26,12,68,35,9,82,20,0,50,30,0,70,47,18,86,63,20,94,"FRANKSTON ISD",45,17,85,53,17,94,27,13,67,53,20,73,-1,-1,-1,-1,-1,-1
"'001906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65,30,90,65,30,90,-1,-1,-1,-1,-1,-1,55,18,91,45,9,91,40,20,80,50,30,90,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,90,40,100,80,30,90,50,17,83,33,17,67,-1,-1,-1,-1,-1,-1,65,35,94,65,35,88,"NECHES ISD",50,30,90,60,50,100,80,30,90,70,10,80,.,.,.,.,.,.
"'001907",29,15,56,31,18,58,29,14,57,29,29,43,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,43,20,67,48,28,72,33,10,60,38,19,62,36,14,61,41,23,67,37,20,63,50,34,75,34,15,59,40,20,68,-1,-1,-1,-1,-1,-1,29,15,56,31,18,58,48,19,70,46,23,69,26,12,52,29,12,58,33,12,45,39,18,55,68,37,85,73,47,90,"PALESTINE ISD",44,20,64,46,29,70,41,19,78,59,24,81,67,25,75,50,8,83
"'001908",-1,-1,-1,-1,-1,-1,20,20,40,40,20,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,45,28,70,51,26,79,37,16,63,26,11,58,40,22,65,46,17,79,40,24,64,52,26,81,57,33,76,57,19,90,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,49,32,74,49,26,77,25,13,44,38,13,75,33,20,53,33,7,53,44,33,72,58,35,79,"WESTWOOD ISD",48,30,71,54,23,81,35,20,65,40,35,70,-1,-1,-1,-1,-1,-1
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,13,77,63,23,93,.,.,.,.,.,.,7,7,71,64,14,86,27,13,67,73,20,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,33,13,87,53,27,87,20,0,40,40,20,80,-1,-1,-1,-1,-1,-1,33,15,81,63,26,96,"SLOCUM ISD",26,13,74,61,22,96,43,14,86,71,29,86,-1,-1,-1,-1,-1,-1
"'002901",38,10,67,45,16,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,45,18,76,58,30,83,.,.,.,.,.,.,39,12,71,50,24,76,38,14,72,55,28,81,39,13,72,52,26,80,.,.,.,.,.,.,38,10,67,45,16,72,53,21,79,62,33,85,32,11,64,39,19,71,38,18,68,40,17,57,59,28,84,73,40,89,"ANDREWS ISD",45,17,75,59,31,83,44,23,77,52,25,83,-1,-1,-1,-1,-1,-1
"'003801",14,14,43,43,14,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,35,11,78,53,31,78,23,0,46,15,8,54,33,12,73,50,27,75,33,12,74,56,30,81,25,4,67,46,17,71,.,.,.,.,.,.,14,14,43,43,14,86,38,10,83,48,31,72,22,4,68,42,24,72,38,13,50,50,38,50,47,20,97,70,47,90,"PINEYWOODS COMMUNITY ACADEMY",33,12,77,53,33,75,40,7,80,53,20,87,-1,-1,-1,-1,-1,-1
"'003902",45,17,76,48,28,76,43,43,86,71,57,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,48,22,79,55,28,81,29,14,43,29,14,43,32,10,71,42,19,73,48,24,78,59,31,84,35,14,74,43,22,77,-1,-1,-1,-1,-1,-1,43,18,75,46,25,75,47,20,79,51,25,78,33,13,69,37,18,74,19,12,31,28,12,48,57,27,83,63,31,85,"HUDSON ISD",51,25,76,55,28,80,38,15,87,54,29,87,-1,-1,-1,-1,-1,-1
"'003903",26,9,57,37,16,75,33,19,59,30,15,70,80,40,80,80,80,80,.,.,.,.,.,.,36,15,61,41,23,74,24,9,50,36,15,60,31,11,57,37,17,70,32,12,58,42,23,75,29,9,59,35,16,75,-1,-1,-1,-1,-1,-1,26,9,57,37,16,75,39,18,64,41,22,73,24,7,52,31,14,68,22,7,30,24,7,39,59,32,77,59,43,86,"LUFKIN ISD",37,15,63,42,23,74,29,14,51,40,21,70,50,25,63,50,25,75
"'003904",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,47,21,77,51,25,81,-1,-1,-1,-1,-1,-1,34,13,68,36,12,75,48,22,81,49,26,82,43,14,86,100,57,100,.,.,.,.,.,.,.,.,.,.,.,.,46,19,73,54,23,79,23,2,53,26,12,65,13,9,30,14,0,41,49,21,77,48,23,79,"HUNTINGTON ISD",50,22,76,52,26,79,39,18,82,50,21,86,-1,-1,-1,-1,-1,-1
"'003905",40,12,84,48,16,84,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,45,14,82,56,23,85,42,0,92,42,0,75,42,13,83,54,20,84,44,18,85,58,29,89,42,16,78,55,23,86,.,.,.,.,.,.,38,8,83,46,17,83,47,10,79,53,18,82,32,4,72,38,9,74,33,0,52,43,5,76,50,15,85,61,30,87,"DIBOLL ISD",44,15,79,57,25,85,50,9,95,50,18,86,-1,-1,-1,-1,-1,-1
"'003906",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,17,11,67,44,22,83,.,.,.,.,.,.,15,8,62,46,23,92,0,0,17,17,17,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,17,92,58,25,83,18,9,73,36,9,73,-1,-1,-1,-1,-1,-1,18,12,71,41,18,82,"ZAVALLA ISD",21,14,71,43,14,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
