DISTRICT,DEXPAVGP,DEXPHCNT,DISTNAME,DMSTAVGP,DMSTHCNT,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSBTOFC,DPSBTOPC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSHEXPA,DPSHTENA,DPSLEXPA,DPSLTENA,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSRTOFC,DPSRTOPC,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST21FC,DPST21FP,DPST21SA,DPST30FC,DPST30FP,DPST30SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,DRECAVGP,DRECHCNT
"'227803",.,.,"WAYSIDE SCHOOLS",.,.,59.6,77.7,105.9,52.2,203,0,0,7.3,3.6,94996,0,22.9,11.3,2.8,2.2,2.3,2.3,0,0,169.5,83.5,2,0,19.2,9.5,69125,5.7,4.7,47826,75.2,62,48221,19.9,16.4,48063,16.4,13.5,50834,3.1,2.5,57371,1,0.8,64484,2,1.6,103.4,85.2,1.6,1.4,6.4,5.3,3,2.5,5.8,99.6,82.1,0,0,44.1,36.3,0,0,13.5,21.8,17.9,15.6,12.9,0,0,0,0,2.3,1.9,0,0,104.1,85.8,11.1,9.1,2.5,121.4,59.8,48897,0,0,42.7,1.6,1.3,68.9,56.7,21.5,10.6,54977,0,10.6,5.2,.,.
"'227804",.,.,"NYOS CHARTER SCHOOL",.,.,67.2,75.9,60.4,37.4,161.5,0,0,3,1.9,118160,0,15,9.3,9,9,2.3,1.8,3,0,131.8,81.6,2,2,6.2,3.8,75305,10.2,9.2,52827,36.6,33,50805,25,22.6,51830,32.1,29,53016,7,6.3,59038,0,0,.,5.9,5.3,69.4,62.6,0,0,12,10.9,5,4.5,8.2,88.8,80.2,0,0,16,14.4,0,0,12.8,22,19.8,37.6,34,1,0.9,0,0,2.8,2.5,0,0,90.9,82.1,8,7.3,4.5,110.8,68.6,52382,2,1.8,17.9,6.8,6.1,74.9,67.6,11.8,7.3,59010,0,14.7,9.1,-1,-1
"'227805",.,.,"TEXAS EMPOWERMENT ACADEMY",.,.,56.3,59.3,53.7,98.7,54.5,0,0,1,1.9,72367,0,6.8,12.5,22,22,0,0,0,0,37.3,68.4,0,1,0,0.1,92768,4.9,18.5,46607,15.7,59.5,53141,2,7.4,55786,2.9,11.1,53538,0.9,3.4,92768,0,0,.,0,0,21.5,81.5,0,0,26.4,100,0,0,5.3,15.7,59.5,0,0,0,0,0,0,14.9,10.7,40.5,2.9,11.1,1.9,7.4,0,0,0,0,0,0,26.3,99.7,0,0,4.1,26.4,48.4,53535,0,0,36.3,0.1,0.3,0,0,9.8,18,52434,0,10.4,19.1,.,.
"'227806",.,.,"UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL",.,.,72.2,80.2,48.3,35.9,134.6,0,1,11.5,8.5,89225,0,20.3,15.1,5.8,5.5,0,0,0,0,99.2,73.7,1,0,6.8,5.1,85674,3,4.4,20302,13,19,51718,12.1,17.6,53288,22.5,33,57746,13.2,19.3,62523,4.5,6.6,78199,1,1.5,40.6,59.4,0,0,4.3,6.3,0,0,14.7,46.7,68.3,0,0,9,13.2,0,0,7.8,21.6,31.7,25.7,37.6,0,0,0,0,2,2.9,0,0,53.7,78.6,12.2,17.9,5,68.3,50.8,56447,0,0,24.6,2.4,3.5,54,79,12.5,9.3,76018,0,15.1,11.2,.,.
"'227814",.,.,"CHAPARRAL STAR ACADEMY",.,.,75.5,85.6,5,15.5,32.2,0,0,0.1,0.2,101646,0,0,0,17,14,15,15,0,0,32.2,100,1,0,2,6.1,76021,0,0,.,8,30.8,47112,7,27,52479,7.1,27.3,55404,2,7.7,60069,1.9,7.2,82748,1,3.9,15.1,58.2,0,0,0,0,0,0,11.9,14.9,57.2,0,0,3,11.6,0,0,13.6,11.1,42.8,9.9,38,1,3.9,0,0,0,0,1,3.9,23.3,89.8,0,0,7.8,26,80.5,54378,0,0,7.2,2.7,10.2,21,80.7,4.2,13.1,49285,0,0,0,.,.
"'227816",9500,38,"HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS",16254,10,65.6,81.4,224.1,44,509.7,0,0,5,1,114336,0,45.4,8.9,3.7,3.7,4.5,4.3,0,0,429,84.2,5,0,28.5,5.6,83744,37.9,11.7,56284,132.6,41,58863,94.5,29.2,61673,51.5,15.9,65727,6,1.9,66667,1,0.3,68250,17.6,5.4,230.7,71.3,15.8,4.9,28,8.7,6.6,2,6.2,236.2,73,2.8,0.9,87.7,27.1,1,0.3,13.1,87.3,27,87.4,27,0,0,4.7,1.4,5.3,1.6,1,0.3,265.4,82,16.9,5.2,3.5,323.5,63.5,60649,9,2.8,16.2,11.3,3.5,179.2,55.4,72,14.1,68927,0,35.3,6.9,4807,44
"'227817",.,.,"CEDARS INTERNATIONAL ACADEMY",.,.,66.1,73.4,39.4,51,77.3,0,0,1,1.3,135240,0,8.4,10.9,16.5,9,14,5,0,0,57.8,74.9,1,1,3.5,4.5,89456,3.5,7.8,47033,15,33,52620,8.4,18.4,55792,13.6,29.9,55686,5,11,64100,0,0,.,4,8.8,28.1,61.8,0,0,1,2.2,2,4.3,9.7,30.9,67.8,0,0,15.6,34.3,0,0,10.9,14.6,32.2,15.4,33.8,0,0,0,0,2,4.4,0,0,38.6,84.9,3.5,7.7,3.5,45.5,58.9,54946,3,6.6,21.4,1.4,3.1,21.9,48.1,7.9,10.2,68106,0,11,14.2,.,.
"'227819",.,.,"UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL",.,.,68.8,73,18.5,49,37.7,0,1,0.8,2,116283,0,3,8,1,1,0,0,0,0,27.7,73.5,0,0,1.3,3.3,88966,0,0,.,6,25.1,51536,8.9,37.3,54381,6,25.1,60320,2,8.4,58957,1,4.2,29043,2,8.4,12,50.1,0,0,2,8.4,0,0,11.3,20.9,87.5,0,0,6,25.1,0,0,12.6,3,12.5,11.9,49.9,0,0,0,0,0,0,0,0,20.9,87.5,3,12.5,2.7,23.9,63.5,54480,1,4.2,16.7,0,0,12.9,54,1.8,4.7,59983,0,7,18.5,-1,-1
"'227820",.,.,"KIPP TEXAS PUBLIC SCHOOLS",.,.,57.6,66.7,2944.9,77.7,3791.7,4,0,29.1,0.8,120125,0,574.5,15.2,3.6,2.6,2.2,1.9,0,0,2763.9,72.9,48,17,251,6.6,75421,247.3,15.6,51912,901.6,56.8,56956,307.4,19.4,59051,110.6,7,62945,18.1,1.1,67905,1,0.1,74199,37.8,2.4,1186.5,74.8,1.3,0.1,670.4,42.3,0.2,0,4.3,1170.4,73.8,0,0,468.7,29.6,5,0.3,20.4,415.6,26.2,346.4,21.8,42.2,2.7,0,0,10.9,0.7,19.1,1.2,1527.8,96.3,30.3,1.9,2.4,1586,41.8,57129,53.3,3.4,34.8,26.4,1.7,331.8,20.9,897.8,23.7,69772,0,453.3,12,-1,-1
"'227821",.,.,"AUSTIN DISCOVERY SCHOOL",.,.,67.7,85.7,12.1,21.7,55.8,0,0,2,3.6,64100,0,7.6,13.6,0,0,3,3,0,0,46.8,83.9,1,0,2,3.6,56600,2.5,6.6,38546,13.9,37.3,46468,10.2,27.3,46053,10.7,28.8,52450,0,0,.,0,0,.,0,0,24.3,65.4,0,0,1.8,4.9,0,0,7.4,31.7,85.3,0,0,4.3,11.7,0,0,11.6,5.5,14.7,12.9,34.6,0,0,0,0,0,0,0,0,33.3,89.5,3.9,10.5,3.3,37.2,66.7,47556,0,0,36.8,0,0,31,83.4,5.6,10,60638,0,1.4,2.4,.,.
