DISTRICT,DEXPAVGP,DEXPHCNT,DISTNAME,DMSTAVGP,DMSTHCNT,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSBTOFC,DPSBTOPC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSHEXPA,DPSHTENA,DPSLEXPA,DPSLTENA,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSRTOFC,DPSRTOPC,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST21FC,DPST21FP,DPST21SA,DPST30FC,DPST30FP,DPST30SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,DRECAVGP,DRECHCNT
"'001902",.,.,"CAYUGA ISD",.,.,57.8,69.3,15.6,15.6,99.9,0,1,1.5,1.5,93333,0,14.8,14.8,9.3,7,0,0,0.8,17.2,58.6,58.7,3,2,5,5,73300,0,0,.,4.8,10.4,40667,7.8,16.6,48523,14.6,31.2,55457,14.6,31.2,61895,5,10.6,62936,0,0,39.8,85.2,0,0,3.9,8.3,0,0,16.7,38.9,83.4,0,0,0,0,0,0,12.3,7.8,16.6,6.9,14.8,0,0,0,0,0,0,0,0,38.1,81.6,4.6,9.9,9.9,46.7,46.8,55570,0,0,19.1,4,8.5,42.8,91.7,5.4,5.4,59550,2,26.5,26.5,.,.
"'001903",.,.,"ELKHART ISD",.,.,63.4,69.3,25,13.4,186.6,0,1,2,1.1,100313,0,30.2,16.2,3.5,3.5,0,0,0,0,120,64.3,3,0,4,2.1,79305,3,2.9,34140,22,21,37671,17,16.2,43504,39.9,38,51813,17,16.2,55179,6,5.7,58387,0,0,83,79.1,0.7,0.7,3,2.9,5.1,4.9,13.5,82.9,79,0.7,0.6,7,6.7,0,0,11,22,21,19.9,19,2,1.9,0.9,0.9,0,0,0,0,75,71.5,8.8,8.4,7.6,104.9,56.2,47916,0,0,13.9,13.7,13,94.9,90.5,9.1,4.9,60616,0,36.4,19.5,.,.
"'001904",.,.,"FRANKSTON ISD",.,.,57.5,60.3,16,10.9,146.7,0,0,2,1.4,98293,0,22,15,4.3,4,2.5,2.5,0,0,84.5,57.6,2,1,5.1,3.5,71215,2.3,3.1,43792,22,29.5,44043,14,18.8,47406,17.9,24,55698,12.7,17.1,58742,5.5,7.4,49434,0,0,50.7,68,0,0,3,4,2,2.7,12.8,57.6,77.3,0,0,1,1.3,0,0,10.8,16.9,22.7,22.8,30.7,1,1.3,0,0,0,0,0,0,65.2,87.6,5.6,7.5,5.1,74.5,50.8,50382,1,1.3,21.6,1.7,2.2,69.5,93.3,2.9,2,58022,0,40.2,27.4,.,.
"'001906",-1,-1,"NECHES ISD",.,.,56,60.7,9.8,16.3,60.1,0,0,1.9,3.1,85537,0,8.2,13.7,16,15,1,1,0,0,36.1,60.1,1,0,3,5,81593,0,0,.,2.9,9.7,48836,8.7,28.7,46205,9,29.8,59396,7.7,25.5,61848,1.9,6.4,61414,0,0,27.3,90.4,0,0,2,6.5,3.6,12,14.8,23.1,76.4,0.5,1.7,0,0,0,0,11.3,7.1,23.6,2.9,9.6,0,0,0,0,0,0,0,0,21.2,70,1.7,5.5,7.8,30.2,50.3,55346,0,0,18.3,3.3,10.8,28.3,93.5,1,1.7,77642,0,15.8,26.2,.,.
"'001907",11571,5,"PALESTINE ISD",.,.,61.4,71.4,177.9,32.1,553.4,1,0,11.5,2.1,99324,0,108.9,19.7,6,4.7,4.4,3.5,0,0,336.6,60.8,8,0,19,3.4,80415,21,8.1,35960,67,25.7,41037,46.6,17.9,47126,72.4,27.8,53211,26,10,58624,27.3,10.5,59777,0,0,217.3,83.5,6.9,2.6,25,9.6,13.1,5,12.7,190.3,73.1,3.8,1.4,36,13.8,0,0,12.9,70,26.9,40,15.4,3,1.2,0.9,0.3,0,0,0,0,185.8,71.4,26.5,10.2,7,260.3,47,48825,5,1.9,17.9,23.3,9,194.3,74.6,45.8,8.3,63829,0,107.9,19.5,5799,12
"'001908",.,.,"WESTWOOD ISD",.,.,56.5,61.1,79.1,29.9,265.1,1,0,3,1.1,121228,0,51,19.2,6.5,6,1.4,1.4,0,0,147.3,55.6,4,0,12.1,4.6,69527,12,9.9,29672,42.1,34.9,39253,21,17.4,43155,23.6,19.5,52525,17,14.1,57159,5,4.1,54824,0,0,97.7,80.9,0,0,14,11.6,7.4,6.1,10.3,90.2,74.7,0,0,8,6.6,1,0.8,11,30.5,25.3,19,15.7,2,1.7,6.4,5.3,2,1.6,0,0,86.2,71.4,7.7,6.4,3.6,120.6,45.5,44741,0,0,30.6,13,10.8,97.7,80.9,11.6,4.4,63612,0,66.8,25.2,.,.
"'001909",.,.,"SLOCUM ISD",.,.,66.5,66.8,1.3,1.9,68.8,1,0,2.9,4.1,81398,0,6.7,9.8,9.3,9.3,0,0,0,0,46.3,67.2,1,1,2.3,3.4,84885,3,7.7,39533,4,10.3,42305,7,17.9,46369,11,28.2,56836,13,33.3,60664,1,2.6,65560,0,0,32.4,83.1,0,0,0,0,7.5,19.2,15.4,31.3,80.3,0,0,0,0,0,0,9.3,7.7,19.7,6.6,16.9,0,0,1.3,3.4,0,0,0,0,23.8,61,2.3,5.8,9.1,39,56.7,53637,0,0,14.6,4.1,10.5,39,100,2.1,3,59419,0,15.8,23,.,.
"'002901",.,.,"ANDREWS ISD",.,.,62,64.9,234,41.3,566.4,2,1,8.5,1.5,120931,0,87.2,15.4,4.3,3.3,3.7,2.4,0,0,343.9,60.7,7,2,15,2.6,85630,10,3.5,56152,52,18.1,56354,69.6,24.2,59371,90.9,31.6,64326,48.5,16.8,68368,16.9,5.9,76565,2,0.7,215.8,75,25.9,9,4,1.4,18.6,6.5,13.8,215.7,74.9,61.4,21.3,74.1,25.7,1,0.3,14.4,72.1,25.1,69,24,2,0.7,3.2,1.1,1,0.3,0,0,120.2,41.7,41.4,14.4,7.3,287.9,50.8,62805,8,2.8,11.5,17.2,6,198.7,69,32.6,5.8,71267,0,135.2,23.9,.,.
"'003801",.,.,"PINEYWOODS COMMUNITY ACADEMY",.,.,64.6,68.3,29.8,22.2,134.3,0,0,6,4.5,98684,0,14.9,11.1,2.8,2.8,1,1,0,0,90.7,67.5,2,0,4.1,3.1,81583,5,7.4,46350,18.5,27.5,47878,22.9,34.1,51665,10.9,16.3,58723,8.9,13.2,62853,1,1.5,64120,0,0,54.7,81.5,0,0,3,4.4,5,7.4,10.2,56.2,83.7,0,0,6,8.9,0,0,14.8,11,16.3,12.4,18.5,0,0,0,0,0,0,0,0,55.5,82.7,4.5,6.8,4.1,67.2,50,53037,0,0,17,2.1,3.1,58.2,86.7,13.4,10,62481,0,28.7,21.4,.,.
"'003902",.,.,"HUDSON ISD",.,.,64.2,61,80.3,18.8,427.8,2,2,4,0.9,133169,0,34.9,8.2,4.4,4.4,4.3,3.4,0.7,0,259,60.5,7,0,16.7,3.9,78880,5.5,2.6,46102,41,19.3,47433,50.3,23.7,50845,69.4,32.6,55461,30.3,14.3,62015,16,7.5,62665,0,0,163,76.7,1.4,0.7,1,0.5,19.5,9.2,13.8,164.7,77.5,9.9,4.6,12,5.6,0,0,13.2,47.8,22.5,45.5,21.4,2,0.9,4.4,2.1,2,0.9,0,0,141.1,66.4,20.4,9.6,8.4,212.5,49.7,54054,0,0,9.5,15.7,7.4,199.5,93.9,25.8,6,66985,3.3,133.9,31.3,-1,-1
"'003903",.,.,"LUFKIN ISD",.,.,60.9,61.9,538.7,40.8,1321.5,7,0,19,1.4,99981,0,180.6,13.7,5.5,5.2,5.1,3.8,0,0,782.4,59.2,24,1,53.6,4.1,75632,40.6,6.9,41332,168.2,28.4,48113,125.6,21.2,49634,149.5,25.2,54355,86.7,14.6,63365,22.4,3.8,70552,2,0.3,457.1,77.1,33.2,5.6,71.7,12.1,5.5,0.9,11.5,480.9,81.1,13.7,2.3,71.7,12.1,3,0.5,12.3,112.1,18.9,131,22.1,4,0.7,41.3,7,1,0.2,0,0,408.5,68.9,57.6,9.7,8,593,44.9,52619,7,1.2,16.4,33.3,5.6,437.6,73.8,116.7,8.8,62769,0.5,358.6,27.1,-1,-1
"'003904",.,.,"HUNTINGTON ISD",.,.,57.3,59.5,10.4,4.1,250.4,1,0,4,1.6,115875,0,30,12,7.4,5,2,1.3,0,0,156,62.3,4,0,7.7,3.1,69406,9,7.3,41764,27,21.8,42811,22.6,18.2,47721,34.9,28.2,54481,25.4,20.5,59567,5,4,59700,0,0,103.4,83.5,0,0,0,0,11.3,9.1,12.6,95.1,76.8,0.2,0.2,2,1.6,0,0,13,28.8,23.2,19.4,15.7,1,0.8,2.1,1.7,0,0,0,0,91.1,73.6,10,8.1,7.5,123.8,49.5,51033,0,0,21.3,9,7.3,121.8,98.4,20.5,8.2,58078,0,64.4,25.7,.,.
"'003905",.,.,"DIBOLL ISD",.,.,61.3,57.1,100.2,34,294.7,2,2,4,1.4,114925,0,33,11.2,6.3,4.3,5.5,4.8,0,0,183.6,62.3,6,1,8.5,2.9,78977,9.5,6.9,49942,33.1,24.1,48175,28.1,20.5,51980,45.8,33.3,56919,13.3,9.7,63658,7.6,5.6,65565,0,0,116,84.4,3,2.2,7.8,5.7,17,12.4,11.9,110.3,80.2,0.9,0.6,24.3,17.7,0,0,12.7,27.2,19.8,21,15.2,0.5,0.4,6.9,5,0,0,0,0,90.6,65.8,7.2,5.2,7,137.5,46.7,54453,1,0.7,16.5,11.9,8.7,104.4,75.9,33.6,11.4,65489,0,78.1,26.5,.,.
"'003906",.,.,"ZAVALLA ISD",.,.,60.4,70.4,0,0,60.8,0,0,1,1.6,107500,0,7.8,12.8,1.5,1.5,0,0,0,0,38.7,63.6,0,0,4,6.6,75410,1,3,39819,8.8,27.2,44060,0,0,.,11.7,36.4,59301,10.7,33.3,66649,0,0,.,0,0,24.3,75.6,0,0,0,0,1.6,5,15.1,27.3,84.7,0,0,0,0,0,0,9.3,4.9,15.3,7.9,24.4,0,0,0,0,0,0,0,0,23.9,74.1,3.7,11.5,7,32.2,53,57015,1,3,21.2,3,9.3,31.2,97,1.5,2.4,38188,0,14.3,23.6,.,.
"'003907",.,.,"CENTRAL ISD",.,.,59.9,62.1,31.7,12.5,252.5,2,2,6.5,2.6,92796,0,30.1,11.9,5.5,3.3,4,4,0,0,155.7,61.7,3,0,11,4.4,65817,7,6,57478,38.3,32.6,48553,22,18.7,50319,29.5,25.1,58571,18.6,15.8,66859,2.2,1.9,66036,0,0,97.1,82.6,0.8,0.7,0,0,3.5,3,10.4,96.2,81.9,2,1.7,4.9,4.1,1,0.9,12.3,21.3,18.1,19,16.2,1.4,1.2,0.3,0.3,0,0,0,0,93.2,79.3,8.6,7.3,5.8,117.5,46.5,55145,1,0.9,17.2,9.1,7.7,110.6,94.2,20.7,8.2,60923,0,66.7,26.4,.,.
"'004901",.,.,"ARANSAS COUNTY ISD",.,.,59.6,62.9,128.9,29.4,438.8,3,0,6.4,1.5,104436,0,47.6,10.9,3.6,3.6,2.5,2.3,0,0,264.6,60.3,7,0,11,2.5,75457,22.9,11.1,47070,46,22.2,50973,31.7,15.3,51195,65.6,31.6,56300,29.1,14,63466,12,5.8,67600,2,1,158.8,76.6,1.4,0.7,3,1.4,6.6,3.2,12.3,160.8,77.5,0,0,39,18.8,1,0.5,14.5,46.6,22.5,43.5,21,5,2.4,0,0,0,0,0,0,167.6,80.9,23.6,11.4,7.4,207.4,47.3,54977,1,0.5,25.2,8.1,3.9,161.4,77.8,39.8,9.1,59523,1,126.5,28.8,.,.
"'005901",.,.,"ARCHER CITY ISD",.,.,63,70.5,4.9,5.2,94.1,1,0,1,1.1,155100,0,18.4,19.6,6.3,4.3,0,0,1,0,56.9,60.5,2,0,1.8,1.9,87870,3.1,6.3,44887,6,12.4,41966,8.8,18,49815,17.5,35.9,58556,10.1,20.7,63925,3.2,6.6,67148,0,0,42,86.3,0,0,0,0,0,0,14.8,33.8,69.5,0,0,2,4,0,0,10.4,14.9,30.5,6.6,13.5,0.1,0.2,0,0,0,0,0,0,38.6,79.4,3.7,7.7,9.5,48.6,51.7,55742,2,4.2,13.2,6.3,12.9,44.6,91.8,5.5,5.8,58616,0,18.7,19.9,.,.
"'005902",.,.,"HOLLIDAY ISD",.,.,65.7,72,12.4,8.8,141.4,1,0,2,1.4,116650,0,22.3,15.7,9,8,0,0,0,0,94.5,66.8,4,0,3,2.1,90233,0,0,.,12.5,15.3,41785,12,14.7,48951,30,36.8,58524,23,28.2,62427,4,4.9,74354,0,0,63.5,77.9,0.2,0.2,0,0,4.2,5.2,15.8,60.5,74.2,0.4,0.5,4,4.9,0,0,13.8,21,25.8,18,22.1,0,0,0,0,0,0,0,0,66.5,81.6,4.2,5.1,8.4,81.5,57.6,56425,1,1.2,2.5,6,7.4,76.5,93.9,8,5.6,67858,0,24.7,17.5,.,.
"'005904",.,.,"WINDTHORST ISD",.,.,60.5,63.4,11.1,15.5,71.3,0,0,2,2.8,93472,0,8.8,12.3,3.7,3.7,0,0,0,0,43.3,60.7,1,0,2,2.9,77603,0,0,.,4,11.1,40722,7.9,21.8,46309,9.7,26.8,53175,14.6,40.3,60056,0,0,.,0,0,32.3,89.1,0,0,0,0,2.9,8.1,16.5,27.4,75.5,0,0,1.9,5.4,0,0,14.6,8.9,24.5,3.9,10.9,0,0,0,0,0,0,0,0,27.9,77,1.5,4.3,10.6,36.3,50.9,53076,0,0,8.2,3.9,10.6,34.3,94.6,3,4.2,62793,0,19.2,26.9,.,.
"'006902",.,.,"CLAUDE ISD",.,.,55,67.3,4.7,9.3,50.3,0,1,1,2,117700,0,4.8,9.6,2.5,2.5,0,0,0,0,36,71.6,0,1,1.7,3.3,75117,0,0,.,7,23.5,35168,4.4,14.9,43072,10.3,34.7,52327,7,23.5,50644,1,3.4,54540,0,0,26,87.3,0,0,0,0,1.2,3.9,13.7,25.4,85.5,0,0,1,3.4,0,0,10.3,4.3,14.5,3.8,12.7,0,0,0,0,0,0,0,0,24.6,82.7,1.8,5.9,7.6,29.8,59.2,46591,0,0,26.4,2.2,7.5,28.8,96.6,3.6,7.1,50139,0,9.4,18.7,.,.
"'007901",.,.,"CHARLOTTE ISD",.,.,57.4,58.5,66.8,73.2,91.3,0,0,2,2.2,111200,0,11,12,7.5,7,0,0,0,0,55.5,60.8,3,0,2,2.2,87996,3,6.3,48510,12.5,26.3,49887,9.8,20.7,59903,10,21.1,61158,11.1,23.4,64004,1,2.1,65728,0,0,33.5,70.6,0,0,0,0,1.5,3.2,11.7,33,69.4,0,0,27.6,58.2,0,0,8.4,14.5,30.6,11,23.1,3,6.3,0,0,0,0,0,0,45.6,96.1,0.1,0.3,5.7,47.5,52,57893,0,0,20.5,0.2,0.4,19.8,41.8,4,4.4,59413,0,24.8,27.2,.,.
"'007902",.,.,"JOURDANTON ISD",.,.,61,64,89.3,38.8,230.3,0,0,3,1.3,113968,0,31.7,13.8,4,2.5,6.2,3.4,0,0,136.5,59.3,4,0,10,4.3,92723,8.1,6.9,46386,22,18.9,48932,22,18.9,53215,36,30.9,61523,24.4,21,72798,4,3.4,78224,0,0,89.4,76.8,0.1,0.1,0,0,4.9,4.2,12.7,91,78.1,0.2,0.1,27.4,23.5,0,0,13.5,25.5,21.9,27,23.2,0.1,0.1,2.1,1.8,0,0,0,0,88.9,76.3,11.1,9.5,4.7,116.5,50.6,59464,1,0.9,17,9.3,8,88.1,75.6,7,3,80505,0,62.1,27,.,.
"'007904",.,.,"LYTLE ISD",.,.,64.4,61.6,176.7,61.8,285.9,0,0,7,2.4,101274,0,43.7,15.3,3,3,2,1.8,0,0,163.8,57.3,7,1,10,3.5,75554,5.7,4.5,53349,35,27.8,52502,22.9,18.2,56869,42.4,33.7,59737,17,13.5,62969,3,2.4,62656,0,0,93.6,74.3,0.8,0.6,3,2.4,9.5,7.5,11.4,90.7,72,0,0,54.6,43.3,0,0,13.8,35.3,28,30.4,24.1,1,0.8,2.9,2.3,1,0.8,1,0.8,89.6,71.1,12.1,9.6,6.9,126,44.1,57421,0,0,22,11.1,8.8,67.4,53.5,20.8,7.3,66578,0,78.4,27.4,.,.
"'007905",.,.,"PLEASANTON ISD",.,.,61.9,68.2,272.2,54.2,501.9,4,0,8,1.6,108251,1,72,14.4,8.3,8.3,5.4,5.1,0,25.2,299.2,59.6,9,0,12.8,2.5,86389,26,10.7,54763,66.8,27.4,54098,45.7,18.8,57741,63.2,26,62712,35.9,14.7,69402,5.9,2.4,75514,0,0,177.5,72.9,4,1.7,3,1.2,6,2.5,10.9,189.5,77.8,2,0.8,95.4,39.2,0,0,13.9,54,22.2,65,26.7,0,0,6.8,2.8,1,0.4,0,0,178.3,73.2,34.9,14.3,7.5,243.5,48.5,59862,4,1.6,16.1,11.5,4.7,141.1,57.9,34.9,7,70546,4.4,130.7,26,.,.
"'007906",.,.,"POTEET ISD",.,.,60.3,60.9,170.7,66.2,257.9,0,1,4,1.6,104062,0,30.3,11.7,7.3,5.8,4.5,2.8,0,0,158.6,61.5,6,0,7.9,3.1,79848,7.3,5.8,44722,40.9,32.7,44921,24.1,19.2,51417,31.9,25.5,55961,15.9,12.7,61560,5,4,62050,0,0,92.9,74.2,0.5,0.4,1,0.8,7.7,6.2,10.8,93,74.3,0,0,65.2,52.1,0,0,13.4,32.1,25.7,30,24,1.2,1,0,0,1,0.8,0,0,91.8,73.3,13.8,11,5.3,125.2,48.5,51774,0,0,18.7,11.3,9,58.9,47.1,21.6,8.4,61026,0,69,26.8,.,.
"'008901",.,.,"BELLVILLE ISD",.,.,63.5,66.1,70.6,20.9,337.6,2,2,5,1.5,111813,0,37.3,11.1,4.8,3.8,4.2,2.7,2,0,207.1,61.3,3,2,11,3.3,82154,5.6,3.3,47795,47.1,28.1,48783,23,13.7,50457,52.2,31.1,54031,28.7,17.1,60777,11.4,6.8,70152,0,0,143.6,85.5,1.9,1.1,5,3,2,1.2,13.3,139.6,83.1,1.2,0.7,8,4.8,0,0,13,28.5,16.9,21.5,12.8,2.5,1.5,5,2.9,0.4,0.2,0,0,131.9,78.5,16.1,9.6,7.4,168,49.8,54109,1,0.6,21.5,10,5.9,154,91.7,23.1,6.8,64636,0,93.2,27.6,.,.
"'008902",.,.,"SEALY ISD",.,.,59.9,70.8,104.1,28.4,366.9,2,0,8,2.2,103512,0,37.7,10.3,5,3.8,4.4,3.1,0,0,252.6,68.8,6,0,13,3.5,80402,12,5.9,52965,59,29,51149,44,21.6,53625,55,27,55720,29.5,14.5,62629,4,2,68262,0,0,172.7,84.8,19,9.3,13,6.4,0,0,11,154.5,75.9,0,0,36,17.7,0,0,13.8,49,24.1,29.8,14.7,1,0.5,11.7,5.8,0,0,0,0,130.3,64,31,15.2,7.2,203.5,55.5,55027,2,1,14.6,11.4,5.6,152.5,74.9,28.1,7.7,64933,0,76.6,20.9,.,.
"'008903",.,.,"BRAZOS ISD",.,.,55.5,55.8,32.9,25.6,128.4,1,0,3.4,2.6,90651,0,18.3,14.3,9.7,7,0,0,0,0,73.4,57.2,1,2,3,2.3,87205,2.9,4.9,43044,12,20.1,45801,10,16.7,51091,22.9,38.2,56576,8,13.4,60920,4,6.7,63482,1,1.7,48.6,81.3,0,0,2,3.3,3.9,6.6,13.5,41.2,68.9,0,0,2,3.3,0,0,12.8,18.6,31.1,11.2,18.7,0,0,2.5,4.2,0,0,0,0,42.9,71.7,5.7,9.5,6.4,59.8,46.5,53874,1,1.7,31,4.8,8,53.8,90,7.3,5.7,60406,0,36.7,28.5,.,.
"'009901",.,.,"MULESHOE ISD",.,.,63,70.9,107.4,46.6,230.7,0,0,4,1.7,110425,0,43.3,18.8,6,6,2,2,1.4,0,144.2,62.5,6,1,8,3.5,80969,11.9,10.3,41545,37,31.8,41973,16.1,13.9,44447,28.9,24.9,52359,15.3,13.2,58422,7,6,62044,0,0,98.3,84.6,3.8,3.2,0,0,16.5,14.2,11.3,92.3,79.4,0,0,39.3,33.8,0,0,11.6,24,20.6,17,14.6,0.9,0.8,3.9,3.4,0,0,0,0,71.2,61.2,12.2,10.5,5.6,116.3,50.4,48228,1,0.9,17.6,8.6,7.4,76,65.3,16,6.9,55953,0,43.1,18.7,.,.
"'010901",.,.,"MEDINA ISD",.,.,57.4,58.4,17.8,22.9,77.5,0,0,2,2.6,104667,0,3.8,4.9,3,3,0,0,0,0,45.5,58.7,1,0,2.1,2.8,84244,3,8,40152,13.2,35.2,37135,3,8,44810,12.4,32.9,53749,3,8,51490,3,8,59696,0,0,31.2,83.1,1,2.7,0,0,4.9,13.1,12.4,26.1,69.4,0,0,7,18.6,0,0,7,11.5,30.6,6.4,16.9,0,0,1.5,4.1,0,0,0,0,22.9,60.9,2.8,7.4,4.3,37.6,48.5,46394,1,2.7,26.9,4.5,11.9,29.6,78.7,3.8,4.9,49883,0,28.2,36.4,.,.
"'010902",11323,18,"BANDERA ISD",-1,-1,60,60.9,59,19.3,305.2,4,0,4,1.3,108349,0,33.7,11.1,2.5,2.5,1.4,1.4,2.5,0,185.1,60.7,5,0,11.5,3.8,79177,11.8,7.8,49947,42,27.8,48731,22,14.6,51680,46.4,30.7,56723,25.8,17.1,62714,3,2,65582,0,0,115.2,76.3,0.2,0.2,3,2,9.3,6.2,11.7,117.2,77.6,0.6,0.4,24.4,16.2,0,0,15.2,33.9,22.4,35.8,23.7,0,0,5.9,3.9,0,0,0,0,113.7,75.3,14.9,9.9,6,151,49.5,54438,1,0.7,21.8,6.3,4.2,122.6,81.2,18.6,6.1,65274,0,86.3,28.3,5808,5
"'011901",.,.,"BASTROP ISD",.,.,66.8,79.3,432.1,32.8,1316,12,0,17,1.3,122079,0,238.5,18.1,4.9,4.3,4.5,4,0,0,956.8,72.7,21,3,45,3.4,85575,68.7,9.4,50914,254.9,34.9,52536,123.6,16.9,55103,153.2,21,56545,106,14.5,63370,23.5,3.2,73892,7.5,1,569.5,78,56.8,7.8,35.4,4.9,78.6,10.8,10.5,562.1,77,7,1,134.6,18.4,1,0.1,16.4,167.7,23,143.5,19.7,7.9,1.1,53.2,7.3,8.9,1.2,0,0,402.1,55.1,100.5,13.8,6,729.8,55.5,55921,18,2.5,23.1,31.7,4.3,533.3,73.1,165,12.5,65798,0,120.6,9.2,.,.
"'011902",.,.,"ELGIN ISD",.,.,60.1,57.7,355.9,48.5,734.4,4,2,13.9,1.9,109204,0,108.2,14.7,5.5,4.8,3.7,3.2,1.7,0,440.8,60,13,5,24.4,3.3,82614,36.3,11.5,52020,133.9,42.5,52533,61.6,19.6,55597,61.1,19.4,60411,17.9,5.7,67442,4,1.3,66080,0,0,247.5,78.6,29.8,9.5,20.8,6.6,8.2,2.6,7.6,239.7,76.1,3.3,1.1,102.5,32.5,1,0.3,15.8,75.2,23.9,64.3,20.4,2,0.6,0,0,1,0.3,0,0,231.6,73.6,24.4,7.7,3.6,314.8,42.9,55622,1,0.3,26.5,17.6,5.6,189.6,60.2,87.7,11.9,65660,0,185.4,25.2,.,.
"'011904",.,.,"SMITHVILLE ISD",.,.,56.5,65.9,41,16.1,254.7,3,1,5,2,104613,0,36.1,14.2,2.8,2.8,5.8,2,0,0,164,64.4,4,1,8.4,3.3,76940,8,6.3,44189,37,29,46876,31,24.3,50126,29.5,23.1,54471,18.9,14.8,63181,3.4,2.6,64909,0,0,99.6,78,0.2,0.2,4.6,3.6,6.2,4.8,11.7,101.8,79.7,0.2,0.2,12,9.4,0,0,13.9,25.9,20.3,26.2,20.5,2,1.6,0,0,0,0,0,0,100.7,78.8,15.2,11.9,7.2,127.7,50.1,52134,3,2.3,22.4,5.2,4.1,108.1,84.7,22.9,9,60028,0,54.5,21.4,.,.
"'011905",.,.,"MCDADE ISD",.,.,59,59,14.7,23.2,63.2,0,1,2,3.2,68403,0,11.4,18,2,1,3,3,0,0,35,55.4,0,2,1.1,1.7,66000,4,12.5,45452,8.9,28.3,39929,5,15.7,46488,8.9,28.2,55358,3,9.5,55086,1.9,5.9,55085,0,0,25.1,79.1,0,0,1,3.2,0,0,10.4,21.7,68.5,0,0,2,6.3,1,3,10.1,10,31.5,6.6,20.9,0,0,0,0,0,0,0,0,27.5,86.8,1.1,3.3,4.4,31.7,50.1,48329,0,0,40.4,3.1,9.8,27.7,87.5,0.2,0.4,51407,0,16.8,26.6,.,.
"'012901",.,.,"SEYMOUR ISD",.,.,59,65.3,12.8,12.4,103.2,1,0,1,1,104000,0,14.8,14.3,4.3,3.7,0,0,1,0,64.3,62.3,2,0,3.5,3.4,74966,0,0,.,14.7,27.6,38869,10.7,20.2,45399,13.2,24.9,54685,12.5,23.6,61144,1.9,3.7,60663,0,0,45.9,86.5,0,0,1,1.8,0,0,14.5,42,79.2,0,0,2.9,5.5,0,0,11.7,11,20.8,7.2,13.5,0,0,0,0,0,0,0,0,44.4,83.7,3.3,6.2,8.9,53,51.4,50186,0,0,5.9,5.4,10.1,49.1,92.7,6.8,6.6,53980,0,24.2,23.4,.,.
"'013801",.,.,"ST MARY'S ACADEMY CHARTER SCHOOL",.,.,55.2,57.3,49.6,69.1,71.8,0,0,1.8,2.4,85808,0,16.1,22.4,9,9,0,0,0.5,0,35.8,49.9,0,3,1.8,2.5,75529,1.9,7.9,43440,4.9,20.1,44483,3.9,16.1,46803,8.8,36.3,53282,2.9,12.1,53994,1.8,7.4,56254,1,4,20.6,84.6,0,0,0,0,3.7,15.4,13.5,23.3,96,0,0,10.7,44.2,0,0,16.5,1,4,2.8,11.5,1,3.9,0,0,0,0,0,0,19.6,80.6,1,4,6.4,24.3,33.8,49990,0,0,20.2,0,0,12.6,51.8,8,11.1,65341,0,19.8,27.6,.,.
"'013901",.,.,"BEEVILLE ISD",.,.,59.4,58.7,318.3,69.8,456,0,2,7,1.5,125195,0,63.9,14,12.2,8.6,4.1,3.4,0,0,255,55.9,10,0,16.6,3.6,82560,19.7,10.3,50162,54.3,28.5,49684,48.9,25.7,52253,33.9,17.8,54770,29.7,15.6,64822,3.9,2,69493,5,2.6,149.6,78.6,0,0,3,1.6,0,0,10.1,139,73,1,0.5,107.3,56.4,1,0.5,15.7,51.4,27,32.8,17.3,7.9,4.2,0,0,0,0,0,0,159.8,83.9,11.2,5.9,7.1,190.4,41.7,54063,0,0,22.7,18.4,9.7,74.1,38.9,41.1,9,66220,0,137.1,30.1,.,.
