DISTRICT,DD000A00T022R,DD0NAA00T022R,DD0NOA00T022R,DD0NTA00T022R,DD0YAA00T022R,DD0YMA00T022R,DD0YXA00T022R,DD200A00T022R,DD2NAA00T022R,DD2NOA00T022R,DD2NTA00T022R,DD2YAA00T022R,DD2YMA00T022R,DD2YXA00T022R,DD300A00T022R,DD3NAA00T022R,DD3NOA00T022R,DD3NTA00T022R,DD3YAA00T022R,DD3YMA00T022R,DD3YXA00T022R,DD400A00T022R,DD4NAA00T022R,DD4NOA00T022R,DD4NTA00T022R,DD4YAA00T022R,DD4YMA00T022R,DD4YXA00T022R,DDA00A00T022R,DDANAA00T022R,DDANOA00T022R,DDANTA00T022R,DDAYAA00T022R,DDAYMA00T022R,DDAYXA00T022R,DDB00A00T022R,DDBNAA00T022R,DDBNOA00T022R,DDBNTA00T022R,DDBYAA00T022R,DDBYMA00T022R,DDBYXA00T022R,DDE00A00T022R,DDENAA00T022R,DDENOA00T022R,DDENTA00T022R,DDEYAA00T022R,DDEYMA00T022R,DDEYXA00T022R,DDF00A00T022R,DDFNAA00T022R,DDFNOA00T022R,DDFNTA00T022R,DDFYAA00T022R,DDFYMA00T022R,DDFYXA00T022R,DDH00A00T022R,DDHNAA00T022R,DDHNOA00T022R,DDHNTA00T022R,DDHYAA00T022R,DDHYMA00T022R,DDHYXA00T022R,DDI00A00T022R,DDINAA00T022R,DDINOA00T022R,DDINTA00T022R,DDIYAA00T022R,DDIYMA00T022R,DDIYXA00T022R,DDL00A00T022R,DDLNAA00T022R,DDLNOA00T022R,DDLNTA00T022R,DDLYAA00T022R,DDLYMA00T022R,DDLYXA00T022R,DDM00A00T022R,DDMNAA00T022R,DDMNOA00T022R,DDMNTA00T022R,DDMYAA00T022R,DDMYMA00T022R,DDMYXA00T022R,DDR00A00T022R,DDRNAA00T022R,DDRNOA00T022R,DDRNTA00T022R,DDRYAA00T022R,DDRYMA00T022R,DDRYXA00T022R,DDS00A00T022R,DDSNAA00T022R,DDSNOA00T022R,DDSNTA00T022R,DDSYAA00T022R,DDSYMA00T022R,DDSYXA00T022R,DDW00A00T022R,DDWNAA00T022R,DDWNOA00T022R,DDWNTA00T022R,DDWYAA00T022R,DDWYMA00T022R,DDWYXA00T022R,DISTNAME,DNC00A00T022R,DNCNAA00T022R,DNCNOA00T022R,DNCNTA00T022R,DNCYAA00T022R,DNCYMA00T022R,DNCYXA00T022R,DNM00A00T022R,DNMNAA00T022R,DNMNOA00T022R,DNMNTA00T022R,DNMYAA00T022R,DNMYMA00T022R,DNMYXA00T022R,DNS00A00T022R,DNSNAA00T022R,DNSNOA00T022R,DNSNTA00T022R,DNSYAA00T022R,DNSYMA00T022R,DNSYXA00T022R
"'198901",100,0,0,0,90,8,2,100,0,0,0,100,0,0,100,0,0,0,85,15,0,.,.,.,.,.,.,.,100,0,0,0,95,3,1,100,0,0,0,98,2,0,100,0,0,0,95,5,1,100,0,0,0,93,4,3,100,0,0,0,87,7,7,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,88,9,2,100,0,0,0,97,3,0,100,0,0,0,96,1,3,100,0,0,0,86,0,14,100,0,0,0,97,2,0,"BREMOND ISD",100,0,0,0,97,2,1,99,1,0,1,89,9,2,100,0,0,0,76,24,0
"'198902",100,0,0,0,95,0,5,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,99,1,0,1,94,4,0,98,2,0,2,92,6,0,98,2,0,2,95,3,1,99,1,0,1,96,2,1,100,0,0,0,97,0,3,.,.,.,.,.,.,.,100,0,0,0,95,0,5,98,2,0,2,90,7,0,95,5,0,5,91,5,0,97,3,0,3,97,0,0,100,0,0,0,100,0,0,"CALVERT ISD",99,1,0,1,94,4,0,98,2,0,2,92,5,2,100,0,0,0,100,0,0
"'198903",100,0,0,0,83,2,15,100,0,0,0,96,4,0,100,0,0,0,87,0,13,100,0,0,0,100,0,0,100,0,0,0,96,3,1,100,0,0,0,90,10,0,100,0,0,0,96,4,0,100,0,0,0,96,3,1,100,0,0,0,95,2,2,100,0,0,0,100,0,0,100,0,0,0,80,3,18,100,0,0,0,96,2,1,100,0,0,0,93,5,2,99,1,0,1,94,5,0,100,0,0,0,98,2,0,"FRANKLIN ISD",100,0,0,0,98,2,0,99,1,0,1,92,5,2,100,0,0,0,95,5,0
"'198905",100,0,0,0,86,8,7,100,0,0,0,95,5,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,100,0,0,0,92,5,2,100,0,0,0,96,4,0,100,0,0,0,93,5,2,100,0,0,0,92,6,3,100,0,0,0,91,6,4,.,.,.,.,.,.,.,100,0,0,0,85,7,7,99,1,0,1,93,5,1,100,0,0,0,93,4,2,100,0,0,0,94,4,2,96,4,0,4,86,7,3,"HEARNE ISD",100,0,0,0,97,1,1,99,1,0,1,83,13,3,100,0,0,0,91,6,3
"'198906",100,0,0,0,98,0,2,100,0,0,0,69,31,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,99,0,1,1,98,1,0,100,0,0,0,96,4,0,100,0,0,0,98,1,1,100,0,0,0,99,0,0,99,0,1,1,99,0,1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,98,0,2,98,0,2,2,97,1,1,100,0,0,0,99,0,1,98,0,2,2,98,0,0,99,0,1,1,99,0,0,"MUMFORD ISD",99,0,1,1,98,1,0,100,0,0,0,99,0,1,100,0,0,0,100,0,0
"'199901",99,0,0,1,90,4,5,99,1,0,1,96,4,0,100,0,0,0,93,5,2,100,0,0,0,98,2,0,99,1,0,1,95,4,0,99,1,0,1,90,9,0,99,1,0,1,95,3,1,99,1,0,1,95,4,0,99,1,0,1,94,4,2,98,2,0,2,94,1,2,100,0,0,0,90,4,5,99,1,0,1,95,4,0,99,1,0,1,96,2,1,99,1,0,1,95,4,1,99,1,0,1,96,3,0,"ROCKWALL ISD",99,1,0,1,97,1,0,99,1,0,1,89,9,1,99,1,0,1,95,4,0
"'199902",100,0,0,0,89,8,3,98,1,0,2,93,5,0,100,0,0,0,88,11,1,100,0,0,0,100,0,0,99,1,0,1,92,7,0,99,1,0,1,85,14,0,99,1,0,1,93,5,1,99,1,0,1,93,6,0,99,1,0,1,92,7,1,95,5,0,5,95,0,0,100,0,0,0,88,9,3,99,1,0,1,92,7,0,99,1,0,1,98,0,1,98,1,0,2,91,7,0,99,1,0,1,95,4,0,"ROYSE CITY ISD",99,1,0,1,95,4,0,99,1,0,1,88,10,1,99,1,0,1,88,11,0
"'200901",100,0,0,0,93,0,7,100,0,0,0,88,13,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,100,0,0,0,95,5,0,100,0,0,0,87,13,0,100,0,0,0,94,5,0,100,0,0,0,94,6,0,100,0,0,0,96,3,0,.,.,.,.,.,.,.,100,0,0,0,91,0,9,100,0,0,0,96,4,0,100,0,0,0,96,4,0,99,1,0,1,97,2,0,100,0,0,0,94,6,0,"BALLINGER ISD",100,0,0,0,100,0,0,100,0,0,0,80,19,0,100,0,0,0,88,12,0
"'200902",100,0,0,0,82,8,10,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,95,4,1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,94,4,2,100,0,0,0,95,3,2,100,0,0,0,95,2,3,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,75,9,15,100,0,0,0,94,6,0,100,0,0,0,91,6,3,100,0,0,0,94,6,0,100,0,0,0,95,5,0,"MILES ISD",100,0,0,0,100,0,0,100,0,0,0,83,14,3,100,0,0,0,73,27,0
"'200904",100,0,0,0,96,0,4,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,100,0,0,0,97,2,0,-1,-1,-1,-1,-1,-1,-1,99,1,0,1,96,3,0,100,0,0,0,96,3,0,100,0,0,0,97,2,0,.,.,.,.,.,.,.,100,0,0,0,96,0,4,100,0,0,0,98,1,0,99,1,0,1,97,2,0,98,2,0,2,95,3,0,100,0,0,0,98,2,0,"WINTERS ISD",100,0,0,0,99,1,0,99,1,0,1,94,5,0,100,0,0,0,73,27,0
"'200906",100,0,0,0,100,0,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,92,8,0,.,.,.,.,.,.,.,100,0,0,0,100,0,0,100,0,0,0,87,13,0,100,0,0,0,94,6,0,.,.,.,.,.,.,.,100,0,0,0,100,0,0,100,0,0,0,96,4,0,100,0,0,0,98,2,0,100,0,0,0,100,0,0,100,0,0,0,90,10,0,"OLFEN ISD",100,0,0,0,96,4,0,100,0,0,0,90,10,0,100,0,0,0,67,33,0
"'201902",100,0,0,0,94,4,2,99,1,0,1,98,1,0,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,99,1,0,1,94,5,1,99,0,0,1,95,5,0,99,1,0,1,97,2,0,99,1,0,1,95,4,0,100,1,0,1,93,5,2,100,0,0,0,87,13,0,100,0,0,0,94,4,2,99,1,0,1,93,6,1,99,1,0,1,96,3,1,100,0,0,0,95,2,2,99,1,0,1,94,5,0,"HENDERSON ISD",100,0,0,0,97,2,0,98,2,0,2,81,16,1,98,2,0,2,80,18,0
"'201903",100,0,0,0,100,0,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,96,4,0,100,0,0,0,100,0,0,100,0,0,0,95,5,0,100,0,0,0,97,3,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,100,0,0,0,100,0,0,100,0,0,0,95,5,0,100,0,0,0,89,11,0,100,0,0,0,100,0,0,100,0,0,0,78,22,0,"LANEVILLE ISD",100,0,0,0,98,2,0,100,0,0,0,91,9,0,-1,-1,-1,-1,-1,-1,-1
"'201904",100,0,0,0,95,2,3,100,0,0,0,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,99,1,0,1,91,6,1,88,12,0,12,88,0,0,100,0,0,0,93,6,1,98,2,0,2,92,4,3,100,0,0,0,91,6,3,.,.,.,.,.,.,.,100,0,0,0,95,2,3,99,0,1,1,91,8,0,99,1,0,1,93,4,2,100,0,0,0,98,0,2,99,0,1,1,92,7,0,"LEVERETTS CHAPEL ISD",100,0,0,0,93,5,1,97,3,0,3,87,8,1,100,0,0,0,100,0,0
"'201907",100,0,0,0,86,5,8,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,93,7,0,100,0,0,0,100,0,0,100,0,0,0,97,3,0,100,0,0,0,94,5,1,100,0,0,0,92,3,5,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,86,5,8,100,0,0,0,93,7,0,100,0,0,0,94,6,0,100,0,0,0,100,0,0,100,0,0,0,95,5,0,"MOUNT ENTERPRISE ISD",100,0,0,0,98,2,0,100,0,0,0,86,13,1,100,0,0,0,90,10,0
"'201908",100,0,0,0,100,0,0,100,0,0,0,89,11,0,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,100,0,0,99,1,0,1,94,5,0,98,2,0,2,96,1,0,99,1,0,1,94,5,0,100,0,0,0,98,2,0,100,0,0,0,97,3,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,98,1,1,2,91,7,0,99,1,0,1,96,3,0,100,0,0,0,100,0,0,99,0,1,1,95,4,0,"OVERTON ISD",99,0,0,1,98,1,0,99,1,0,1,88,11,0,100,0,0,0,80,20,0
"'201910",100,0,0,0,97,0,3,100,0,0,0,93,7,0,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,99,0,0,1,96,3,1,99,0,0,1,97,2,0,100,0,0,0,97,2,1,100,0,0,0,97,3,0,99,0,0,1,97,1,2,100,0,0,0,100,0,0,100,0,0,0,96,0,4,99,0,0,1,95,3,1,100,0,0,0,96,3,1,100,0,0,0,98,2,0,99,0,0,1,97,3,0,"TATUM ISD",99,0,0,1,97,1,1,100,0,0,0,92,8,0,100,0,0,0,100,0,0
"'201913",100,0,0,0,97,1,2,100,0,0,0,100,0,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,100,0,0,0,97,1,1,100,0,0,0,95,5,0,100,0,0,0,98,1,1,100,0,0,0,97,2,1,100,0,0,0,97,1,2,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,97,1,2,100,0,0,0,98,1,1,100,0,0,0,99,0,1,100,0,0,0,98,0,2,100,0,0,0,98,2,0,"CARLISLE ISD",100,0,0,0,98,1,1,100,0,0,0,95,4,0,100,0,0,0,100,0,0
"'201914",100,0,0,0,89,7,4,100,0,0,0,97,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,94,5,1,100,0,0,0,98,2,0,100,0,0,0,93,6,1,100,0,0,0,94,5,1,100,0,0,0,93,5,2,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,86,9,5,100,0,0,0,95,4,1,100,0,0,0,94,5,1,100,0,0,0,100,0,0,100,0,0,0,95,5,0,"WEST RUSK COUNTY CONSOLIDATED ISD",100,0,0,0,98,2,0,100,0,0,0,87,12,1,100,0,0,0,100,0,0
"'202903",100,0,0,0,85,0,15,100,0,0,0,93,7,0,100,0,0,0,86,0,14,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,93,6,0,100,0,0,0,93,7,0,99,1,0,1,94,5,0,100,0,0,0,92,7,1,100,0,0,0,91,6,3,100,0,0,0,100,0,0,100,0,0,0,85,0,15,99,1,0,1,93,6,0,100,0,0,0,94,4,1,100,0,0,0,88,11,1,99,1,0,1,93,6,0,"HEMPHILL ISD",99,1,0,1,96,3,1,100,0,0,0,85,15,0,100,0,0,0,100,0,0
"'202905",100,0,0,0,100,0,0,100,0,0,0,77,23,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,89,11,0,100,0,0,0,86,14,0,100,0,0,0,94,5,0,100,0,0,0,89,10,0,100,0,0,0,92,8,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,88,12,0,100,0,0,0,98,2,0,100,0,0,0,95,5,0,100,0,0,0,93,7,0,"WEST SABINE ISD",100,0,0,0,97,3,0,100,0,0,0,68,31,0,100,0,0,0,78,22,0
"'203901",100,0,0,0,96,2,2,100,0,0,0,93,7,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,100,0,0,0,96,4,0,100,0,0,0,97,3,0,100,0,0,0,96,4,0,100,0,0,0,97,3,0,100,0,0,0,98,1,1,.,.,.,.,.,.,.,100,0,0,0,95,3,2,100,0,0,0,94,5,1,100,0,0,0,99,1,0,100,0,0,0,93,7,0,100,0,0,0,88,12,0,"SAN AUGUSTINE ISD",100,0,0,0,98,2,0,100,0,0,0,83,16,1,100,0,0,0,100,0,0
"'203902",100,0,0,0,82,0,18,100,0,0,0,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,99,0,1,1,94,4,1,100,0,0,0,100,0,0,99,0,1,1,93,4,1,99,0,1,1,93,4,1,99,0,1,1,87,3,9,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,81,0,19,99,0,1,1,94,4,1,99,0,1,1,96,1,3,100,0,0,0,95,5,0,99,0,1,1,94,4,0,"BROADDUS ISD",98,0,2,2,94,3,1,100,0,0,0,93,6,0,100,0,0,0,100,0,0
"'204901",100,0,0,0,66,26,8,100,0,0,0,96,4,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,99,0,1,1,90,9,0,100,0,0,0,91,9,0,99,0,0,1,91,8,0,99,0,1,1,89,10,0,100,0,0,0,88,11,1,100,0,0,0,100,0,0,100,0,0,0,65,25,9,99,1,1,1,90,8,0,99,0,0,1,91,8,0,99,0,0,1,95,4,0,98,1,1,2,89,9,0,"COLDSPRING-OAKHURST CISD",98,1,1,2,95,3,0,100,0,0,0,82,17,0,98,2,0,2,70,27,2
"'204904",100,0,0,0,96,3,2,100,0,0,0,97,3,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,100,0,0,0,95,5,0,100,0,0,0,98,2,0,100,0,0,0,96,3,0,100,0,0,0,95,5,0,100,0,0,0,96,3,1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,95,3,2,100,0,0,0,95,4,0,100,0,0,0,98,2,0,100,0,0,0,93,6,1,100,0,0,0,95,5,0,"SHEPHERD ISD",100,0,0,0,98,2,0,100,0,0,0,88,11,0,100,0,0,0,81,19,0
"'205901",100,0,0,0,83,3,14,100,0,0,0,90,10,0,94,6,0,6,59,18,18,.,.,.,.,.,.,.,99,1,0,1,90,7,2,98,0,2,2,98,0,0,99,1,0,1,95,2,2,99,1,0,1,90,8,1,99,1,0,1,93,4,2,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,79,3,18,99,0,1,1,91,6,2,99,0,0,1,95,1,2,97,2,1,3,85,12,0,99,1,0,1,86,13,0,"ARANSAS PASS ISD",99,0,1,1,97,2,1,99,1,0,1,79,17,4,100,0,0,0,88,4,8
"'205902",100,0,0,0,91,6,3,100,0,0,0,89,11,0,100,0,0,0,93,7,0,100,0,0,0,100,0,0,99,1,0,1,93,5,0,99,1,0,1,87,12,0,98,2,0,2,95,3,0,99,1,0,1,94,5,0,98,1,0,2,93,5,0,100,0,0,0,100,0,0,100,0,0,0,89,7,3,98,1,0,2,93,6,0,98,2,0,2,93,5,0,98,2,0,2,92,6,0,99,1,0,1,96,3,0,"GREGORY-PORTLAND ISD",99,1,0,1,97,2,0,99,1,0,1,84,14,0,100,0,0,0,82,18,0
"'205903",100,0,0,0,87,9,4,100,0,0,0,100,0,0,100,0,0,0,88,13,0,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,94,5,0,100,0,0,0,100,0,0,100,0,0,0,94,5,1,100,0,0,0,94,5,1,100,0,0,0,94,6,1,100,0,0,0,100,0,0,100,0,0,0,86,9,4,100,0,0,0,95,5,0,100,0,0,0,93,6,1,100,0,0,0,93,7,1,100,0,0,0,95,5,0,"INGLESIDE ISD",100,0,0,0,98,2,0,100,0,0,0,84,15,1,100,0,0,0,67,33,0
"'205904",100,0,0,0,93,3,4,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,100,0,0,0,94,5,0,94,6,0,6,78,11,6,100,0,0,0,95,5,0,100,0,0,0,93,7,0,100,0,0,0,95,5,0,100,0,0,0,100,0,0,100,0,0,0,86,5,8,99,0,0,1,96,4,0,100,0,0,0,96,4,0,100,0,0,0,96,4,0,99,1,0,1,93,6,0,"MATHIS ISD",100,0,0,0,98,1,0,99,1,0,1,81,18,1,100,0,0,0,100,0,0
"'205905",100,0,0,0,100,0,0,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,99,0,0,1,95,5,0,100,0,0,0,100,0,0,99,1,0,1,94,5,0,99,1,0,1,96,4,0,99,0,0,1,95,5,0,.,.,.,.,.,.,.,100,0,0,0,100,0,0,99,0,0,1,94,6,0,99,1,0,1,97,2,0,98,1,1,2,96,2,0,100,0,0,0,93,7,0,"ODEM-EDROY ISD",100,0,0,0,97,3,0,99,1,0,1,86,12,0,100,0,0,0,82,18,0
