DISTRICT,DD004AMA1222R,DD004AMA1322R,DD004AMA1S22R,DD004ARE1222R,DD004ARE1322R,DD004ARE1S22R,DD204AMA1222R,DD204AMA1322R,DD204AMA1S22R,DD204ARE1222R,DD204ARE1322R,DD204ARE1S22R,DD304AMA1222R,DD304AMA1322R,DD304AMA1S22R,DD304ARE1222R,DD304ARE1322R,DD304ARE1S22R,DD404AMA1222R,DD404AMA1322R,DD404AMA1S22R,DD404ARE1222R,DD404ARE1322R,DD404ARE1S22R,DDA04AMA1222R,DDA04AMA1322R,DDA04AMA1S22R,DDA04ARE1222R,DDA04ARE1322R,DDA04ARE1S22R,DDB04AMA1222R,DDB04AMA1322R,DDB04AMA1S22R,DDB04ARE1222R,DDB04ARE1322R,DDB04ARE1S22R,DDE04AMA1222R,DDE04AMA1322R,DDE04AMA1S22R,DDE04ARE1222R,DDE04ARE1322R,DDE04ARE1S22R,DDF04AMA1222R,DDF04AMA1322R,DDF04AMA1S22R,DDF04ARE1222R,DDF04ARE1322R,DDF04ARE1S22R,DDH04AMA1222R,DDH04AMA1322R,DDH04AMA1S22R,DDH04ARE1222R,DDH04ARE1322R,DDH04ARE1S22R,DDI04AMA1222R,DDI04AMA1322R,DDI04AMA1S22R,DDI04ARE1222R,DDI04ARE1322R,DDI04ARE1S22R,DDL04AMA1222R,DDL04AMA1322R,DDL04AMA1S22R,DDL04ARE1222R,DDL04ARE1322R,DDL04ARE1S22R,DDM04AMA1222R,DDM04AMA1322R,DDM04AMA1S22R,DDM04ARE1222R,DDM04ARE1322R,DDM04ARE1S22R,DDR04AMA1222R,DDR04AMA1322R,DDR04AMA1S22R,DDR04ARE1222R,DDR04ARE1322R,DDR04ARE1S22R,DDS04AMA1222R,DDS04AMA1322R,DDS04AMA1S22R,DDS04ARE1222R,DDS04ARE1322R,DDS04ARE1S22R,DDW04AMA1222R,DDW04AMA1322R,DDW04AMA1S22R,DDW04ARE1222R,DDW04ARE1322R,DDW04ARE1S22R,DISTNAME,DNC04AMA1222R,DNC04AMA1322R,DNC04AMA1S22R,DNC04ARE1222R,DNC04ARE1322R,DNC04ARE1S22R,DNM04AMA1222R,DNM04AMA1322R,DNM04AMA1S22R,DNM04ARE1222R,DNM04ARE1322R,DNM04ARE1S22R,DNS04AMA1222R,DNS04AMA1322R,DNS04AMA1S22R,DNS04ARE1222R,DNS04ARE1322R,DNS04ARE1S22R
"'001902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,43,83,70,47,87,-1,-1,-1,-1,-1,-1,50,30,60,50,50,70,76,41,94,88,59,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,54,46,69,46,31,69,50,17,67,67,50,83,0,0,33,17,0,33,74,48,89,78,52,93,"CAYUGA ISD",82,65,94,76,59,94,46,15,69,62,31,77,.,.,.,.,.,.
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,66,34,90,56,24,88,.,.,.,.,.,.,57,25,84,52,16,82,64,27,87,58,22,89,50,17,67,33,0,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,40,92,54,25,87,40,13,73,30,0,67,40,20,70,10,10,50,67,35,91,57,25,88,"ELKHART ISD",66,30,91,53,16,86,67,44,85,63,44,93,-1,-1,-1,-1,-1,-1
"'001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,71,33,82,73,33,89,-1,-1,-1,-1,-1,-1,59,14,68,55,18,77,75,35,85,70,35,95,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,68,32,80,76,32,84,21,0,43,36,14,71,14,0,29,14,14,57,71,34,83,74,34,89,"FRANKSTON ISD",79,33,83,79,33,96,62,33,81,67,33,81,-1,-1,-1,-1,-1,-1
"'001906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,16,92,76,28,100,-1,-1,-1,-1,-1,-1,50,10,90,50,10,100,55,18,91,73,18,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,71,14,93,79,36,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,16,89,79,26,100,"NECHES ISD",62,15,100,85,31,100,67,17,83,67,25,100,-1,-1,-1,-1,-1,-1
"'001907",25,7,57,36,16,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,11,62,44,16,69,31,9,54,39,15,63,27,10,57,40,11,64,30,15,66,47,16,77,31,10,58,38,12,66,-1,-1,-1,-1,-1,-1,25,7,57,36,16,51,31,8,59,42,16,62,15,5,47,29,9,55,23,7,50,30,3,50,28,14,77,59,22,78,"PALESTINE ISD",32,13,63,44,17,69,24,3,55,46,14,68,25,0,88,50,0,75
"'001908",56,22,78,44,22,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,42,20,72,52,19,79,13,6,31,19,0,56,37,14,65,47,16,77,41,17,65,57,15,78,50,21,83,54,21,83,.,.,.,.,.,.,56,22,78,44,22,67,43,23,80,46,23,79,28,11,56,22,11,56,33,8,58,33,0,42,44,24,78,63,25,85,"WESTWOOD ISD",41,20,76,57,19,81,44,19,63,41,19,74,-1,-1,-1,-1,-1,-1
"'001909",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,23,10,53,57,30,73,.,.,.,.,.,.,13,6,50,50,38,63,14,0,50,50,29,79,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,31,19,56,63,31,69,0,0,25,25,8,42,0,0,20,20,20,20,26,11,56,59,33,78,"SLOCUM ISD",17,9,43,43,13,65,43,14,86,100,86,100,-1,-1,-1,-1,-1,-1
"'002901",13,7,53,39,9,64,20,20,80,40,20,80,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,31,13,66,51,22,81,-1,-1,-1,-1,-1,-1,17,6,50,38,11,69,25,10,61,48,25,79,28,11,63,45,19,78,.,.,.,.,.,.,13,7,53,39,9,64,37,16,70,53,19,83,12,5,46,30,6,68,15,3,41,24,3,55,39,17,71,63,27,88,"ANDREWS ISD",32,14,69,49,23,80,28,11,52,57,19,85,-1,-1,-1,-1,-1,-1
"'003801",20,0,80,20,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,50,34,76,60,37,78,40,20,60,47,27,53,43,29,71,51,27,73,47,29,71,55,37,78,46,33,88,42,29,88,-1,-1,-1,-1,-1,-1,20,0,80,20,0,80,55,42,82,67,36,79,21,11,54,25,11,57,14,0,43,21,14,36,53,34,74,74,45,82,"PINEYWOODS COMMUNITY ACADEMY",48,33,81,58,38,81,53,35,68,62,35,74,-1,-1,-1,-1,-1,-1
"'003902",40,13,80,60,13,67,60,20,100,40,20,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,23,86,55,21,85,27,0,73,45,0,82,41,15,82,44,16,78,43,19,88,54,19,88,33,11,82,56,20,87,.,.,.,.,.,.,40,13,80,60,13,67,53,26,84,56,22,82,30,9,64,38,9,66,23,0,55,23,0,52,54,28,88,56,22,85,"HUDSON ISD",47,21,87,53,19,84,55,29,83,62,29,86,56,33,100,56,0,100
