DISTRICT,DD005AMA1222R,DD005AMA1322R,DD005AMA1S22R,DD005ARE1222R,DD005ARE1322R,DD005ARE1S22R,DD005ASC1222R,DD005ASC1322R,DD005ASC1S22R,DD205AMA1222R,DD205AMA1322R,DD205AMA1S22R,DD205ARE1222R,DD205ARE1322R,DD205ARE1S22R,DD205ASC1222R,DD205ASC1322R,DD205ASC1S22R,DD305AMA1222R,DD305AMA1322R,DD305AMA1S22R,DD305ARE1222R,DD305ARE1322R,DD305ARE1S22R,DD305ASC1222R,DD305ASC1322R,DD305ASC1S22R,DD405AMA1222R,DD405AMA1322R,DD405AMA1S22R,DD405ARE1222R,DD405ARE1322R,DD405ARE1S22R,DD405ASC1222R,DD405ASC1322R,DD405ASC1S22R,DDA05AMA1222R,DDA05AMA1322R,DDA05AMA1S22R,DDA05ARE1222R,DDA05ARE1322R,DDA05ARE1S22R,DDA05ASC1222R,DDA05ASC1322R,DDA05ASC1S22R,DDB05AMA1222R,DDB05AMA1322R,DDB05AMA1S22R,DDB05ARE1222R,DDB05ARE1322R,DDB05ARE1S22R,DDB05ASC1222R,DDB05ASC1322R,DDB05ASC1S22R,DDE05AMA1222R,DDE05AMA1322R,DDE05AMA1S22R,DDE05ARE1222R,DDE05ARE1322R,DDE05ARE1S22R,DDE05ASC1222R,DDE05ASC1322R,DDE05ASC1S22R,DDF05AMA1222R,DDF05AMA1322R,DDF05AMA1S22R,DDF05ARE1222R,DDF05ARE1322R,DDF05ARE1S22R,DDF05ASC1222R,DDF05ASC1322R,DDF05ASC1S22R,DDH05AMA1222R,DDH05AMA1322R,DDH05AMA1S22R,DDH05ARE1222R,DDH05ARE1322R,DDH05ARE1S22R,DDH05ASC1222R,DDH05ASC1322R,DDH05ASC1S22R,DDI05AMA1222R,DDI05AMA1322R,DDI05AMA1S22R,DDI05ARE1222R,DDI05ARE1322R,DDI05ARE1S22R,DDI05ASC1222R,DDI05ASC1322R,DDI05ASC1S22R,DDL05AMA1222R,DDL05AMA1322R,DDL05AMA1S22R,DDL05ARE1222R,DDL05ARE1322R,DDL05ARE1S22R,DDL05ASC1222R,DDL05ASC1322R,DDL05ASC1S22R,DDM05AMA1222R,DDM05AMA1322R,DDM05AMA1S22R,DDM05ARE1222R,DDM05ARE1322R,DDM05ARE1S22R,DDM05ASC1222R,DDM05ASC1322R,DDM05ASC1S22R,DDR05AMA1222R,DDR05AMA1322R,DDR05AMA1S22R,DDR05ARE1222R,DDR05ARE1322R,DDR05ARE1S22R,DDR05ASC1222R,DDR05ASC1322R,DDR05ASC1S22R,DDS05AMA1222R,DDS05AMA1322R,DDS05AMA1S22R,DDS05ARE1222R,DDS05ARE1322R,DDS05ARE1S22R,DDS05ASC1222R,DDS05ASC1322R,DDS05ASC1S22R,DDW05AMA1222R,DDW05AMA1322R,DDW05AMA1S22R,DDW05ARE1222R,DDW05ARE1322R,DDW05ARE1S22R,DDW05ASC1222R,DDW05ASC1322R,DDW05ASC1S22R,DISTNAME,DNC05AMA1222R,DNC05AMA1322R,DNC05AMA1S22R,DNC05ARE1222R,DNC05ARE1322R,DNC05ARE1S22R,DNC05ASC1222R,DNC05ASC1322R,DNC05ASC1S22R,DNM05AMA1222R,DNM05AMA1322R,DNM05AMA1S22R,DNM05ARE1222R,DNM05ARE1322R,DNM05ARE1S22R,DNM05ASC1222R,DNM05ASC1322R,DNM05ASC1S22R,DNS05AMA1222R,DNS05AMA1322R,DNS05AMA1S22R,DNS05ARE1222R,DNS05ARE1322R,DNS05ARE1S22R,DNS05ASC1222R,DNS05ASC1322R,DNS05ASC1S22R
"'218901",17,8,75,42,17,83,33,8,92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,28,80,60,38,82,48,24,80,.,.,.,.,.,.,.,.,.,28,19,75,53,25,75,38,13,72,48,32,80,64,36,84,52,24,80,39,22,76,54,29,80,44,17,78,.,.,.,.,.,.,.,.,.,9,0,73,36,9,82,27,9,91,40,24,80,56,40,80,44,24,80,24,9,74,47,18,76,29,12,71,20,0,40,20,0,20,20,0,40,67,56,100,89,78,89,67,56,89,"SONORA ISD",48,30,86,64,43,89,52,25,84,17,17,33,33,0,33,17,17,50,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'219901",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77,23,92,77,46,100,31,8,77,.,.,.,.,.,.,.,.,.,60,0,80,100,40,100,0,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,22,89,78,44,100,44,11,67,40,0,80,60,20,100,0,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,30,90,80,40,100,40,10,80,"HAPPY ISD",82,27,91,73,36,100,27,9,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'219903",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,2,54,19,10,44,13,4,29,0,0,60,0,0,40,0,0,0,10,0,48,13,5,40,8,0,23,23,5,59,18,14,45,5,5,32,15,0,51,15,8,41,10,3,28,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,0,50,19,8,42,19,4,27,16,0,49,8,5,32,8,3,22,13,0,25,13,0,25,13,0,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,"TULIA ISD",16,0,61,18,11,42,16,5,32,10,10,30,20,10,50,0,0,20,.,.,.,.,.,.,.,.,.
"'219905",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,19,81,52,24,71,14,5,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,21,71,43,21,64,7,0,50,44,0,78,56,22,78,11,0,56,27,9,73,45,18,73,0,0,45,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,33,83,50,25,67,17,8,58,33,20,73,33,13,60,7,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,22,89,56,22,67,22,11,67,"KRESS ISD",47,24,82,47,24,71,18,6,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.
"'220801",-1,-1,-1,-1,-1,-1,-1,-1,-1,67,17,83,83,33,100,67,50,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,13,81,77,42,97,52,23,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,14,71,76,43,100,43,19,90,40,20,90,80,40,100,50,10,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,10,100,80,40,90,70,30,90,.,.,.,.,.,.,.,.,.,20,0,60,60,20,80,80,20,100,55,9,82,73,55,91,55,27,73,"TREETOPS SCHOOL INTERNATIONAL",59,14,82,82,45,100,55,27,86,22,11,78,67,33,89,44,11,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'220802",76,47,82,76,53,94,53,29,76,89,44,89,89,78,89,56,44,89,81,62,95,86,71,95,71,43,95,.,.,.,.,.,.,.,.,.,72,43,91,81,66,94,54,33,82,59,23,84,68,50,93,34,18,64,66,34,84,72,56,92,48,26,74,73,41,90,78,68,91,51,28,76,54,24,88,73,61,93,34,20,80,.,.,.,.,.,.,.,.,.,71,36,79,71,50,93,50,21,79,72,45,92,83,65,97,56,37,86,42,15,78,54,36,87,19,9,60,0,0,13,0,0,38,0,0,38,90,66,97,93,79,97,76,48,90,"ARLINGTON CLASSICS ACADEMY",76,46,93,84,71,96,58,36,84,59,36,82,69,51,90,38,23,72,83,33,100,83,67,100,50,50,83
"'220809",-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,100,50,33,100,83,33,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,72,28,92,53,42,94,63,34,89,50,0,75,38,25,75,25,13,63,75,38,88,25,25,100,38,25,88,73,27,92,54,42,94,60,37,90,40,0,80,30,20,90,30,20,70,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,92,50,42,92,75,25,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,38,97,65,54,97,76,43,100,"FORT WORTH ACADEMY OF FINE ARTS",.,.,.,.,.,.,.,.,.,72,28,92,53,42,94,63,34,89,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'220810",-1,-1,-1,-1,-1,-1,-1,-1,-1,100,80,100,100,100,100,80,60,100,89,89,100,100,78,100,56,33,100,.,.,.,.,.,.,.,.,.,82,72,97,88,72,100,63,30,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,71,97,88,74,100,47,21,82,88,75,100,88,88,100,75,38,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81,73,96,88,69,100,85,42,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,67,94,83,64,100,61,22,83,"WESTLAKE ACADEMY CHARTER SCHOOL",84,73,98,91,76,100,69,31,87,73,67,93,80,60,100,47,27,87,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'220811",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,12,65,65,53,94,12,6,59,43,14,71,57,43,100,0,0,29,10,0,60,60,40,90,0,0,50,33,17,58,67,50,92,8,0,58,17,17,67,67,67,83,17,0,67,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,0,80,60,60,100,20,20,60,20,20,40,60,40,80,20,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"EAST FORT WORTH MONTESSORI ACADEMY",46,15,77,77,69,92,15,8,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.
"'220814",0,0,100,80,20,100,20,0,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,31,8,75,69,42,89,33,19,67,0,0,20,40,20,80,20,20,20,23,15,85,69,23,100,23,15,69,35,9,83,74,43,91,30,13,70,28,6,83,72,39,94,28,17,72,.,.,.,.,.,.,.,.,.,0,0,100,80,20,100,20,0,100,23,8,62,62,38,85,38,31,62,0,0,100,80,20,100,20,0,100,17,0,33,50,33,67,33,33,50,56,11,89,78,56,78,56,33,78,"TEXAS SCHOOL OF THE ARTS",40,20,67,80,60,87,33,27,73,24,0,81,62,29,90,33,14,62,.,.,.,.,.,.,.,.,.
