DISTRICT,DD800A00200022R,DD800AM0200022R,DD800AR0200022R,DDA00A00200022R,DDA00AM0200022R,DDA00AR0200022R,DDC00A00200022R,DDC00AM0200022R,DDC00AR0200022R,DDJ00A00200022R,DDJ00AM0200022R,DDJ00AR0200022R,DDK00A00200022R,DDK00AM0200022R,DDK00AR0200022R,DDL00A00200022R,DDL00AM0200022R,DDL00AR0200022R,DDQ00A00200022R,DDQ00AM0200022R,DDQ00AR0200022R,DDT00A00200022R,DDT00AM0200022R,DDT00AR0200022R,DDU00A00200022R,DDU00AM0200022R,DDU00AR0200022R,DDX00A00200022R,DDX00AM0200022R,DDX00AR0200022R,DDY00A00200022R,DDY00AM0200022R,DDY00AR0200022R,DDZ00A00200022R,DDZ00AM0200022R,DDZ00AR0200022R,DISTNAME,DNB00A00200022R,DNB00AM0200022R,DNB00AR0200022R,DNE00A00200022R,DNE00AM0200022R,DNE00AR0200022R,DNT00A00200022R,DNT00AM0200022R,DNT00AR0200022R
"'100908",79,77,82,79,77,82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WEST HARDIN COUNTY CISD",.,.,.,.,.,.,.,.,.
"'101802",90,87,93,80,79,82,.,.,.,.,.,.,.,.,.,79,78,81,79,78,80,.,.,.,79,78,80,.,.,.,.,.,.,-1,-1,-1,"SER-NINOS CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'101803",71,64,78,71,64,77,66,70,63,.,.,.,.,.,.,65,67,63,.,.,.,.,.,.,.,.,.,69,75,63,.,.,.,-1,-1,-1,"ARISTOI CLASSICAL ACADEMY",.,.,.,63,63,64,64,-1,-1
"'101804",66,58,75,64,57,70,60,53,67,.,.,.,.,.,.,61,54,67,.,.,.,.,.,.,.,.,.,.,.,.,60,53,67,.,.,.,"GEORGE I SANCHEZ CHARTER",.,.,.,.,.,.,71,70,72
"'101806",83,82,83,82,79,84,74,68,81,96,100,93,.,.,.,80,76,84,.,.,.,.,.,.,95,98,92,92,90,93,68,59,77,75,65,83,"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS",94,97,91,73,71,-1,92,94,90
"'101810",.,.,.,-1,-1,.,-1,-1,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,"ACADEMY OF ACCELERATED LEARNING INC",.,.,.,.,.,.,.,.,.
"'101811",-1,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EXCEL ACADEMY",.,.,.,.,.,.,.,.,.
"'101814",83,83,83,86,87,84,85,87,84,.,.,.,.,.,.,85,87,83,.,.,.,.,.,.,.,.,.,-1,-1,-1,85,87,84,-1,-1,-1,"THE VARNETT PUBLIC SCHOOL",.,.,.,.,.,.,98,100,96
"'101815",90,94,87,84,82,85,79,75,83,.,.,.,.,.,.,79,75,83,.,.,.,.,.,.,.,.,.,79,75,83,.,.,.,.,.,.,"ALIEF MONTESSORI COMMUNITY SCHOOL",.,.,.,.,.,.,100,-1,-1
"'101819",94,89,100,87,85,89,85,85,85,87,80,95,.,.,.,86,83,89,.,.,.,.,.,.,87,80,95,85,85,85,.,.,.,-1,-1,-1,"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH",.,.,.,.,.,.,93,95,90
"'101821",65,69,61,65,69,61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HOUSTON HEIGHTS HIGH SCHOOL",.,.,.,.,.,.,.,.,.
"'101828",86,88,85,88,88,87,88,88,89,.,.,.,.,.,.,88,88,89,.,.,.,.,.,.,.,.,.,88,88,89,.,.,.,100,100,100,"HOUSTON GATEWAY ACADEMY INC",.,.,.,.,.,.,90,98,84
"'101837",77,78,76,76,77,75,65,57,72,.,.,.,.,.,.,65,53,75,.,.,.,.,.,.,.,.,.,.,.,.,65,57,72,-1,-1,-1,"CALVIN NELMS CHARTER SCHOOLS",.,.,.,.,.,.,79,86,73
"'101838",88,82,93,78,72,84,79,77,82,.,.,.,.,.,.,76,71,82,.,.,.,.,.,.,90,89,91,.,.,.,81,79,84,62,57,67,"SOUTHWEST SCHOOL",90,89,91,73,50,79,80,66,96
"'101840",78,64,92,79,65,93,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,"TWO DIMENSIONS PREPARATORY ACADEMY",.,.,.,.,.,.,.,.,.
"'101842",65,50,73,62,57,67,61,58,-1,-1,-1,-1,.,.,.,54,56,-1,.,.,.,.,.,.,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,.,"COMQUEST ACADEMY",.,.,.,.,.,.,-1,-1,.
"'101845",75,72,78,74,71,78,73,70,78,.,.,.,.,.,.,73,70,77,.,.,.,.,.,.,-1,-1,-1,86,-1,-1,78,72,83,72,70,73,"YES PREP PUBLIC SCHOOLS INC",-1,-1,-1,72,69,76,80,80,79
"'101846",85,82,88,84,81,87,79,75,83,.,.,.,-1,-1,.,83,81,85,.,.,.,.,.,.,74,65,86,91,100,77,78,72,84,85,83,86,"HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH",75,67,86,77,78,76,85,79,91
"'101847",74,70,78,74,70,78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BEATRICE MAYES INSTITUTE CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'101849",.,.,.,90,89,91,94,92,96,.,.,.,.,.,.,90,86,93,.,.,.,.,.,.,.,.,.,88,88,88,97,94,100,-1,-1,-1,"ACCELERATED INTERMEDIATE ACADEMY",.,.,.,.,.,.,.,.,.
"'101853",74,71,78,77,75,80,79,77,81,.,.,.,.,.,.,79,77,82,.,.,.,.,.,.,.,.,.,79,80,79,-1,-1,.,83,78,89,"PROMISE COMMUNITY SCHOOL",.,.,.,79,65,93,89,100,78
"'101855",.,.,.,85,83,88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MEYERPARK ELEMENTARY",.,.,.,.,.,.,.,.,.
"'101856",96,93,100,84,83,85,81,79,84,.,.,.,.,.,.,82,81,83,83,84,81,.,.,.,83,84,81,81,79,84,.,.,.,.,.,.,"DRAW ACADEMY",.,.,.,.,.,.,97,95,98
"'101858",81,82,81,82,81,83,78,76,79,.,.,.,.,.,.,80,77,83,.,.,.,.,.,.,77,74,80,74,69,80,79,79,79,85,81,89,"HARMONY PUBLIC SCHOOLS - HOUSTON NORTH",77,74,80,70,59,81,88,88,88
"'101859",87,83,92,88,85,91,88,87,90,.,.,.,.,.,.,88,87,90,.,.,.,.,.,.,.,.,.,88,87,90,.,.,.,-1,-1,-1,"STEP CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'101861",76,74,79,76,73,79,67,67,67,.,.,.,.,.,.,67,67,67,.,.,.,.,.,.,.,.,.,.,.,.,67,67,67,.,.,.,"THE RHODES SCHOOL FOR PERFORMING ARTS",.,.,.,.,.,.,-1,-1,-1
"'101862",86,86,86,87,87,87,85,86,85,.,.,.,.,.,.,85,87,84,.,.,.,.,.,.,-1,-1,-1,89,89,88,85,85,85,86,90,81,"HARMONY PUBLIC SCHOOLS - HOUSTON WEST",-1,-1,-1,75,86,64,93,93,93
"'101864",65,61,69,65,61,69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"THE LAWSON ACADEMY",.,.,.,.,.,.,-1,-1,-1
"'101868",52,42,64,52,42,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"THE PRO-VISION ACADEMY",.,.,.,.,.,.,.,.,.
"'101870",77,73,80,76,73,79,69,58,79,.,.,.,.,.,.,72,72,71,.,.,.,.,.,.,84,84,85,.,.,.,.,.,.,77,92,60,"BETA ACADEMY",84,84,85,69,58,79,76,68,83
"'101871",80,73,87,79,72,85,68,64,73,.,.,.,.,.,.,68,64,73,.,.,.,.,.,.,.,.,.,.,.,.,68,64,73,.,.,.,"A+ UNLIMITED POTENTIAL",.,.,.,.,.,.,.,.,.
"'101872",82,81,83,78,72,84,84,77,91,.,.,.,.,.,.,76,70,83,.,.,.,.,.,.,.,.,.,83,78,89,.,.,.,95,90,100,"ETOILE ACADEMY CHARTER SCHOOL",.,.,.,85,78,92,75,50,100
"'101873",78,67,90,78,67,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"YELLOWSTONE COLLEGE PREPARATORY",.,.,.,.,.,.,.,.,.
"'101874",79,68,88,79,68,89,-1,-1,-1,.,.,.,.,.,.,81,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,92,-1,-1,"LEGACY SCHOOL OF SPORT SCIENCES",.,.,.,.,.,.,.,.,.
"'101875",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BLOOM ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'101876",78,89,67,80,83,77,86,-1,-1,.,.,.,.,.,.,86,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,86,-1,-1,.,.,.,"REVE PREPARATORY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'101877",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ELEVATE COLLEGIATE CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'101878",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HOUSTON CLASSICAL CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'101902",70,64,76,70,64,76,62,54,70,81,79,83,.,.,.,68,62,75,.,.,.,.,.,.,80,77,84,74,72,77,61,53,70,65,57,72,"ALDINE ISD",80,74,86,61,53,69,77,71,82
"'101903",74,70,78,74,71,78,71,65,76,73,71,76,.,.,.,73,70,76,76,79,71,86,94,78,76,75,77,76,72,79,67,60,73,67,69,66,"ALIEF ISD",87,86,88,74,68,81,81,79,82
"'101905",73,67,79,72,67,78,65,57,73,.,.,.,.,.,.,71,66,76,.,.,.,82,83,81,82,83,81,81,71,92,65,57,72,68,53,83,"CHANNELVIEW ISD",100,-1,-1,.,.,.,76,69,81
"'101906",71,70,72,71,70,71,64,64,65,.,.,.,.,.,.,70,70,69,91,89,94,79,77,81,86,85,87,93,86,100,62,61,63,71,82,59,"CROSBY ISD",93,95,91,82,82,82,76,83,69
"'101907",77,75,80,78,74,81,72,67,78,88,84,91,.,.,.,74,69,79,.,.,.,.,.,.,83,79,86,.,.,.,72,67,78,73,70,76,"CYPRESS-FAIRBANKS ISD",82,79,86,.,.,.,81,79,84
"'101908",77,75,80,77,75,80,77,75,78,.,.,.,81,78,84,77,75,78,77,77,77,.,.,.,79,78,80,82,79,85,75,74,77,76,71,82,"DEER PARK ISD",.,.,.,.,.,.,82,79,85
"'101910",79,77,80,78,77,80,75,71,79,.,.,.,.,.,.,77,74,79,95,96,93,81,80,81,81,81,82,.,.,.,75,71,79,80,81,79,"GALENA PARK ISD",.,.,.,.,.,.,86,89,84
"'101911",72,68,76,73,69,76,65,62,67,82,78,87,.,.,.,70,67,73,-1,-1,.,.,.,.,80,76,84,65,59,71,65,65,65,71,64,77,"GOOSE CREEK CISD",76,73,80,64,60,69,80,78,82
"'101912",78,75,81,78,75,81,76,71,80,81,84,77,76,81,67,76,74,79,82,83,82,86,87,85,82,84,80,80,78,82,74,68,80,72,70,74,"HOUSTON ISD",84,84,84,72,67,76,84,83,85
"'101913",71,65,77,71,65,77,66,59,72,-1,-1,-1,79,77,82,69,64,74,84,81,88,.,.,.,80,78,82,67,61,73,64,58,71,67,63,70,"HUMBLE ISD",.,.,.,67,56,73,76,70,82
"'101914",76,75,78,76,75,78,73,70,76,.,.,.,.,.,.,73,71,76,86,93,78,77,76,78,77,76,78,83,80,86,69,67,72,73,68,79,"KATY ISD",49,45,54,68,64,71,80,80,81
"'101915",76,71,79,75,70,79,66,61,71,84,81,87,.,.,.,70,66,74,.,.,.,.,.,.,83,80,87,82,79,86,62,57,68,69,71,68,"KLEIN ISD",79,71,87,59,54,64,78,73,82
"'101916",68,61,75,68,61,74,63,57,68,.,.,.,78,81,75,67,63,70,85,82,88,.,.,.,80,81,78,76,75,78,59,52,66,72,77,64,"LA PORTE ISD",.,.,.,.,.,.,73,68,77
"'101917",77,74,80,77,74,80,73,67,80,.,.,.,78,78,77,75,72,77,79,78,80,.,.,.,78,78,78,.,.,.,73,67,80,75,74,76,"PASADENA ISD",66,63,69,.,.,.,84,82,85
"'101919",72,66,79,72,66,79,65,57,74,.,.,.,82,82,81,70,65,75,.,.,.,.,.,.,81,81,81,82,82,82,63,54,72,75,65,87,"SPRING ISD",80,79,81,64,51,78,81,76,86
"'101920",78,76,80,75,72,78,67,62,72,-1,-1,-1,.,.,.,70,66,75,78,75,81,78,75,83,78,74,83,81,77,85,64,59,69,71,61,81,"SPRING BRANCH ISD",64,41,96,65,60,71,80,78,81
"'101921",79,76,82,79,76,82,77,73,81,.,.,.,.,.,.,76,73,79,.,.,.,74,78,68,74,78,68,77,73,82,73,78,67,82,69,94,"TOMBALL ISD",.,.,.,72,53,90,84,83,85
"'101924",71,65,77,72,66,78,67,58,76,.,.,.,90,89,92,73,67,80,87,83,91,73,61,87,86,82,90,75,64,86,69,60,78,72,71,73,"SHELDON ISD",85,87,82,63,53,72,78,75,80
"'101925",75,71,79,75,71,78,68,69,67,.,.,.,56,53,60,66,65,66,.,.,.,.,.,.,56,53,60,73,70,75,67,68,66,75,83,67,"HUFFMAN ISD",.,.,.,.,.,.,84,80,87
"'102901",75,68,81,75,66,83,75,50,100,.,.,.,.,.,.,75,50,100,.,.,.,.,.,.,.,.,.,-1,-1,-1,75,-1,-1,.,.,.,"KARNACK ISD",.,.,.,.,.,.,.,.,.
"'102902",72,69,75,71,68,74,69,67,71,.,.,.,.,.,.,68,65,71,.,.,.,90,95,84,82,80,85,82,76,88,67,66,68,67,44,89,"MARSHALL ISD",79,74,85,80,72,88,.,.,.
"'102903",76,72,80,74,72,77,65,61,68,.,.,.,.,.,.,63,60,66,.,.,.,.,.,.,.,.,.,.,.,.,65,61,68,-1,-1,-1,"WASKOM ISD",.,.,.,-1,.,-1,73,87,60
"'102904",64,55,73,64,54,73,59,42,75,.,.,.,.,.,.,60,46,74,.,.,.,.,.,.,57,53,61,58,41,75,80,76,84,58,43,71,"HALLSVILLE ISD",57,53,61,-1,-1,-1,65,54,74
"'102905",73,66,80,73,65,80,59,30,83,.,.,.,.,.,.,59,30,83,.,.,.,.,.,.,.,.,.,59,30,83,.,.,.,.,.,.,"HARLETON ISD",.,.,.,.,.,.,-1,-1,-1
"'102906",71,64,77,71,64,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ELYSIAN FIELDS ISD",.,.,.,.,.,.,-1,-1,-1
"'103901",67,62,71,69,63,75,77,64,91,.,.,.,.,.,.,77,64,91,.,.,.,.,.,.,.,.,.,77,64,91,.,.,.,.,.,.,"CHANNING ISD",.,.,.,.,.,.,.,.,.
"'103902",-1,-1,-1,84,80,87,81,69,92,.,.,.,.,.,.,81,69,92,.,.,.,.,.,.,.,.,.,76,66,87,88,75,100,.,.,.,"HARTLEY ISD",.,.,.,.,.,.,.,.,.
"'104901",77,72,82,77,71,82,75,-1,-1,.,.,.,.,.,.,67,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,75,-1,-1,.,.,.,"HASKELL CISD",.,.,.,.,.,.,-1,-1,-1
"'104903",64,54,74,64,53,75,-1,-1,-1,.,.,.,.,.,.,58,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"RULE ISD",.,.,.,.,.,.,-1,-1,.
"'104907",82,80,84,82,80,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PAINT CREEK ISD",.,.,.,.,.,.,.,.,.
"'105801",63,30,73,63,30,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"KATHERINE ANNE PORTER SCHOOL",.,.,.,.,.,.,.,.,.
"'105802",80,83,76,80,83,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TEXAS PREPARATORY SCHOOL",.,.,.,.,.,.,.,.,.
"'105803",57,-1,-1,57,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"KI CHARTER ACADEMY",.,.,.,.,.,.,.,.,.
"'105902",66,59,72,65,59,71,55,50,61,-1,-1,-1,-1,-1,-1,60,57,62,71,72,69,.,.,.,71,73,68,80,77,83,50,45,54,62,75,50,"SAN MARCOS CISD",.,.,.,61,49,70,81,76,84
"'105904",78,74,81,77,74,81,75,73,77,49,48,50,-1,-1,-1,73,71,75,.,.,.,100,-1,-1,56,54,58,78,77,78,69,63,75,90,-1,-1,"DRIPPING SPRINGS ISD",.,.,.,-1,-1,-1,78,75,80
"'105905",70,62,78,70,61,77,65,58,74,.,.,.,.,.,.,67,59,75,.,.,.,.,.,.,.,.,.,-1,-1,-1,65,57,73,-1,-1,-1,"WIMBERLEY ISD",.,.,.,.,.,.,68,59,76
"'105906",76,72,80,75,70,80,67,59,75,81,79,84,.,.,.,70,64,77,84,81,87,.,.,.,81,78,85,78,74,81,66,57,74,69,58,79,"HAYS CISD",77,73,83,.,.,.,82,80,83
"'106901",81,82,81,81,81,81,78,78,77,.,.,.,.,.,.,79,80,78,.,.,.,.,.,.,.,.,.,67,83,50,79,78,81,100,-1,-1,"CANADIAN ISD",.,.,.,.,.,.,75,70,81
"'107901",69,61,76,69,61,77,61,49,74,.,.,.,.,.,.,69,61,78,.,.,.,.,.,.,82,80,83,50,50,50,63,52,75,88,92,85,"ATHENS ISD",82,80,83,49,36,73,72,63,79
"'107902",73,70,76,72,69,76,66,54,78,.,.,.,.,.,.,68,55,80,.,.,.,.,.,.,.,.,.,50,-1,-1,66,58,74,-1,-1,-1,"BROWNSBORO ISD",.,.,.,75,50,100,78,83,71
"'107904",81,79,83,81,79,83,88,94,81,.,.,.,.,.,.,88,94,81,.,.,.,.,.,.,.,.,.,.,.,.,88,94,81,.,.,.,"CROSS ROADS ISD",.,.,.,.,.,.,-1,-1,-1
"'107905",74,70,78,74,70,78,78,74,83,.,.,.,.,.,.,77,73,82,.,.,.,.,.,.,-1,-1,-1,.,.,.,78,74,83,.,.,.,"EUSTACE ISD",-1,-1,-1,.,.,.,71,-1,-1
"'107906",73,64,81,74,65,82,79,70,89,.,.,.,.,.,.,78,68,89,.,.,.,.,.,.,.,.,.,86,92,80,77,64,91,-1,-1,-1,"MALAKOFF ISD",.,.,.,.,.,.,86,81,91
"'107907",59,46,75,62,49,76,80,80,80,.,.,.,.,.,.,80,80,80,.,.,.,.,.,.,.,.,.,.,.,.,80,80,80,.,.,.,"TRINIDAD ISD",.,.,.,.,.,.,.,.,.
"'107908",68,61,75,67,59,75,61,55,67,.,.,.,.,.,.,61,55,67,.,.,.,.,.,.,.,.,.,56,80,-1,65,30,100,.,.,.,"MURCHISON ISD",.,.,.,.,.,.,.,.,.
"'107910",66,54,79,66,53,79,67,-1,-1,.,.,.,.,.,.,67,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,67,-1,-1,.,.,.,"LAPOYNOR ISD",.,.,.,.,.,.,.,.,.
"'108802",73,68,78,71,65,78,85,80,90,-1,-1,-1,.,.,.,68,58,77,.,.,.,.,.,.,62,58,67,.,.,.,.,.,.,-1,-1,-1,"HORIZON MONTESSORI PUBLIC SCHOOLS",62,58,67,85,80,90,78,68,87
"'108804",86,-1,85,80,76,82,88,.,88,.,.,.,.,.,.,83,78,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,"TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY",.,.,.,88,.,88,.,.,.
"'108807",84,80,87,84,80,87,83,78,87,83,82,86,-1,-1,-1,84,80,87,.,.,.,-1,-1,.,89,88,90,76,68,84,84,80,87,85,84,87,"IDEA PUBLIC SCHOOLS",89,88,90,83,77,87,90,89,91
"'108808",85,82,87,84,82,85,79,76,83,85,86,84,.,.,.,82,81,84,.,.,.,-1,-1,-1,86,86,86,-1,-1,-1,79,75,83,80,-1,-1,"VANGUARD ACADEMY",89,88,90,92,100,83,89,93,86
"'108809",77,74,79,77,73,81,69,63,76,90,90,89,.,.,.,79,76,83,.,.,.,.,.,.,90,90,89,.,.,.,69,63,76,83,-1,-1,"EXCELLENCE IN LEADERSHIP ACADEMY",.,.,.,.,.,.,50,29,71
"'108902",81,79,82,79,78,80,74,71,76,83,87,79,.,.,.,78,78,78,.,.,.,.,.,.,84,87,80,-1,-1,-1,74,72,76,86,-1,-1,"DONNA ISD",92,90,93,76,69,80,87,86,87
"'108903",76,73,78,74,70,77,70,63,75,.,.,.,76,75,76,71,67,75,.,.,.,.,.,.,75,76,75,.,.,.,70,66,73,56,-1,80,"EDCOUCH-ELSA ISD",64,80,50,68,54,85,97,100,95
"'108904",82,81,83,80,79,81,72,69,75,89,90,87,.,.,.,78,76,79,.,.,.,.,.,.,89,90,87,89,88,91,72,69,75,72,58,89,"EDINBURG CISD",-1,-1,-1,72,75,70,84,88,82
"'108905",81,85,79,79,82,78,77,83,75,.,.,.,.,.,.,79,83,78,92,86,100,89,84,94,90,85,95,-1,.,-1,77,83,75,.,.,.,"HIDALGO ISD",.,.,.,.,.,.,77,-1,79
"'108906",83,81,84,82,80,84,77,70,83,90,90,90,.,.,.,81,78,85,89,91,87,90,95,84,90,91,89,93,94,92,76,68,83,77,73,80,"MCALLEN ISD",95,90,99,87,72,100,84,88,83
"'108907",72,73,71,72,72,72,63,60,66,85,89,81,.,.,.,71,71,72,.,.,.,.,.,.,85,88,82,.,.,.,63,60,66,80,80,80,"MERCEDES ISD",93,86,100,22,-1,13,72,70,73
"'108908",78,76,80,76,75,78,70,66,74,-1,.,-1,.,.,.,74,73,75,-1,-1,-1,82,87,77,82,87,77,85,87,82,69,65,74,82,72,95,"MISSION CISD",.,.,.,.,.,.,78,77,78
"'108909",83,84,82,82,82,81,75,74,77,.,.,.,54,33,75,80,80,79,87,91,83,84,87,80,84,86,81,.,.,.,75,74,77,79,77,80,"PHARR-SAN JUAN-ALAMO ISD",77,72,80,.,.,.,86,89,85
"'108910",85,85,85,80,77,83,72,65,78,88,88,88,.,.,.,78,74,81,.,.,.,.,.,.,89,89,88,.,.,.,72,66,78,94,96,91,"PROGRESO ISD",97,94,100,54,41,66,84,79,88
"'108911",88,90,86,88,89,87,84,81,87,90,91,88,.,.,.,87,86,87,.,.,.,.,.,.,90,91,88,87,84,90,83,80,86,82,75,88,"SHARYLAND ISD",.,.,.,.,.,.,90,91,90
"'108912",84,84,83,81,82,80,78,76,80,.,.,.,.,.,.,79,81,77,.,.,.,80,86,73,80,86,73,-1,-1,-1,78,76,80,84,82,87,"LA JOYA ISD",.,.,.,.,.,.,85,88,83
"'108913",81,81,81,80,80,80,70,71,70,89,90,88,-1,-1,-1,78,79,77,.,.,.,.,.,.,89,90,88,65,67,63,72,72,72,90,86,93,"WESLACO ISD",90,91,89,.,.,.,83,87,81
"'108914",74,64,82,71,60,81,55,36,76,69,46,92,.,.,.,59,41,78,.,.,.,.,.,.,69,46,92,.,.,.,57,40,76,-1,-1,-1,"LA VILLA ISD",75,67,83,-1,-1,-1,80,77,83
"'108915",80,76,83,78,71,84,70,57,84,83,84,82,.,.,.,74,66,83,.,.,.,.,.,.,83,84,82,.,.,.,70,57,84,.,.,.,"MONTE ALTO ISD",.,.,.,.,.,.,78,67,90
"'108916",88,87,89,88,88,88,87,87,87,90,89,91,.,.,.,88,88,88,.,.,.,.,.,.,90,89,91,-1,.,-1,87,87,87,.,.,.,"VALLEY VIEW ISD",.,.,.,.,.,.,90,95,88
"'109901",76,71,81,76,71,81,-1,.,-1,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,"ABBOTT ISD",.,.,.,.,.,.,.,.,.
"'109902",80,84,76,79,81,77,80,81,79,.,.,.,.,.,.,80,81,79,.,.,.,.,.,.,.,.,.,80,81,79,.,.,.,.,.,.,"BYNUM ISD",.,.,.,.,.,.,.,.,.
"'109903",63,50,77,63,50,77,64,50,83,.,.,.,.,.,.,63,44,86,.,.,.,.,.,.,.,.,.,.,.,.,83,-1,-1,.,.,.,"COVINGTON ISD",.,.,.,50,40,-1,-1,-1,-1
"'109904",71,62,79,72,64,80,78,66,89,.,.,.,.,.,.,75,67,83,.,.,.,.,.,.,64,64,64,83,72,92,73,68,79,83,-1,-1,"HILLSBORO ISD",64,64,64,56,28,83,75,69,82
"'109905",71,66,77,71,65,77,63,-1,-1,.,.,.,.,.,.,63,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,63,-1,-1,.,.,.,"HUBBARD ISD",.,.,.,.,.,.,86,-1,-1
"'109907",62,51,73,60,47,73,52,30,73,.,.,.,.,.,.,54,32,74,.,.,.,.,.,.,.,.,.,68,50,89,44,23,64,-1,.,-1,"ITASCA ISD",.,.,.,78,-1,100,65,50,79
"'109908",66,61,72,70,64,76,71,66,76,.,.,.,.,.,.,69,63,74,.,.,.,.,.,.,.,.,.,.,.,.,61,50,72,.,.,.,"MALONE ISD",.,.,.,75,73,78,84,75,94
"'109910",68,60,77,66,58,75,50,-1,-1,.,.,.,.,.,.,45,25,70,.,.,.,.,.,.,.,.,.,-1,-1,-1,33,-1,-1,-1,-1,.,"MOUNT CALM ISD",.,.,.,.,.,.,-1,-1,-1
"'109911",69,67,71,69,67,71,66,63,69,.,.,.,.,.,.,66,63,69,.,.,.,.,.,.,.,.,.,.,.,.,66,63,69,.,.,.,"WHITNEY ISD",.,.,.,.,.,.,84,81,89
"'109912",69,71,67,69,71,68,75,71,79,.,.,.,.,.,.,75,71,79,.,.,.,.,.,.,.,.,.,90,-1,-1,67,60,-1,.,.,.,"AQUILLA ISD",.,.,.,.,.,.,.,.,.
"'109913",69,59,78,69,60,78,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,"BLUM ISD",.,.,.,.,.,.,.,.,.
"'109914",81,83,79,80,82,79,78,75,80,.,.,.,.,.,.,78,75,80,.,.,.,.,.,.,.,.,.,75,-1,-1,80,-1,83,.,.,.,"PENELOPE ISD",.,.,.,.,.,.,.,.,.
"'110901",67,.,67,56,47,66,-1,.,-1,.,.,.,.,.,.,67,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,"ANTON ISD",.,.,.,-1,.,-1,.,.,.
"'110902",72,68,76,72,68,76,70,69,71,.,.,.,.,.,.,72,68,75,.,.,.,.,.,.,69,59,78,.,.,.,70,68,72,92,92,92,"LEVELLAND ISD",69,59,78,-1,-1,-1,78,69,88
