DISTRICT,DD800A00200022R,DD800AM0200022R,DD800AR0200022R,DDA00A00200022R,DDA00AM0200022R,DDA00AR0200022R,DDC00A00200022R,DDC00AM0200022R,DDC00AR0200022R,DDJ00A00200022R,DDJ00AM0200022R,DDJ00AR0200022R,DDK00A00200022R,DDK00AM0200022R,DDK00AR0200022R,DDL00A00200022R,DDL00AM0200022R,DDL00AR0200022R,DDQ00A00200022R,DDQ00AM0200022R,DDQ00AR0200022R,DDT00A00200022R,DDT00AM0200022R,DDT00AR0200022R,DDU00A00200022R,DDU00AM0200022R,DDU00AR0200022R,DDX00A00200022R,DDX00AM0200022R,DDX00AR0200022R,DDY00A00200022R,DDY00AM0200022R,DDY00AR0200022R,DDZ00A00200022R,DDZ00AM0200022R,DDZ00AR0200022R,DISTNAME,DNB00A00200022R,DNB00AM0200022R,DNB00AR0200022R,DNE00A00200022R,DNE00AM0200022R,DNE00AR0200022R,DNT00A00200022R,DNT00AM0200022R,DNT00AR0200022R
"'081902",72,68,77,72,67,77,60,48,72,.,.,.,.,.,.,60,48,72,.,.,.,.,.,.,.,.,.,.,.,.,60,48,72,.,.,.,"FAIRFIELD ISD",.,.,.,.,.,.,76,68,84
"'081904",72,66,77,72,68,75,72,80,62,.,.,.,.,.,.,72,80,63,.,.,.,.,.,.,.,.,.,71,83,58,72,79,64,-1,-1,-1,"TEAGUE ISD",.,.,.,.,.,.,72,79,66
"'081905",60,51,68,60,52,68,62,58,67,-1,-1,.,.,.,.,62,58,67,.,.,.,.,.,.,-1,-1,.,-1,-1,-1,65,61,71,.,.,.,"WORTHAM ISD",.,.,.,.,.,.,64,-1,-1
"'081906",74,66,83,75,66,84,83,-1,-1,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,83,-1,-1,.,.,.,"DEW ISD",.,.,.,.,.,.,.,.,.
"'082902",72,64,79,72,64,79,74,60,84,.,.,.,.,.,.,70,54,82,.,.,.,.,.,.,.,.,.,100,-1,-1,68,50,81,.,.,.,"DILLEY ISD",.,.,.,.,.,.,85,90,80
"'082903",69,61,77,70,61,78,71,54,88,69,70,68,.,.,.,72,60,84,.,.,.,.,.,.,69,70,68,-1,-1,-1,70,52,88,71,50,92,"PEARSALL ISD",.,.,.,.,.,.,-1,.,-1
"'083901",70,63,76,71,65,77,74,67,81,.,.,.,.,.,.,75,67,82,.,.,.,.,.,.,.,.,.,.,.,.,74,67,81,83,-1,-1,"SEAGRAVES ISD",.,.,.,.,.,.,77,90,69
"'083902",71,65,79,72,66,78,78,83,-1,.,.,.,.,.,.,86,100,-1,.,.,.,.,.,.,.,.,.,.,.,.,78,83,-1,.,.,.,"LOOP ISD",.,.,.,.,.,.,-1,-1,-1
"'083903",71,66,76,72,67,76,64,60,69,.,.,.,90,98,81,71,69,73,.,.,.,.,.,.,86,90,82,75,67,83,66,59,73,-1,-1,-1,"SEMINOLE ISD",77,69,85,61,60,62,86,81,91
"'084802",66,57,74,65,58,73,60,55,66,.,.,.,.,.,.,60,56,66,.,.,.,.,.,.,67,66,68,-1,-1,-1,56,52,61,50,50,50,"ODYSSEY ACADEMY INC",67,66,68,69,58,81,77,72,81
"'084804",89,83,95,89,83,95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"AMBASSADORS PREPARATORY ACADEMY",.,.,.,.,.,.,.,.,.
"'084901",69,64,73,68,63,73,66,58,73,-1,.,-1,57,40,84,64,58,72,.,.,.,.,.,.,59,53,68,66,56,78,66,62,70,70,63,76,"DICKINSON ISD",61,61,60,66,48,86,70,66,73
"'084902",66,58,74,65,58,72,63,54,72,42,41,42,-1,-1,-1,61,55,67,.,.,.,76,81,71,57,58,56,76,73,79,62,54,70,71,61,83,"GALVESTON ISD",63,62,64,55,40,66,76,71,79
"'084903",77,80,75,77,80,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HIGH ISLAND ISD",.,.,.,.,.,.,.,.,.
"'084906",69,62,76,69,62,76,66,62,69,74,67,81,.,.,.,69,64,74,.,.,.,.,.,.,78,73,84,69,67,72,64,61,67,68,55,82,"TEXAS CITY ISD",90,90,91,66,60,73,74,66,82
"'084908",67,63,72,68,63,73,74,70,79,.,.,.,.,.,.,73,66,81,.,.,.,.,.,.,.,.,.,84,80,89,71,67,76,64,33,100,"HITCHCOCK ISD",.,.,.,.,.,.,88,79,100
"'084909",68,57,78,68,57,77,66,58,73,.,.,.,.,.,.,66,57,73,.,.,.,.,.,.,.,.,.,92,89,95,60,52,69,71,60,75,"SANTA FE ISD",.,.,.,67,60,75,86,77,95
"'084910",76,71,80,75,71,80,70,65,76,.,.,.,.,.,.,72,67,76,73,69,78,69,73,64,75,74,77,71,65,76,66,56,79,68,58,79,"CLEAR CREEK ISD",89,85,94,.,.,.,82,78,87
"'084911",80,79,81,80,79,81,84,78,91,.,.,.,.,.,.,83,75,91,.,.,.,.,.,.,.,.,.,88,83,92,83,76,89,50,-1,-1,"FRIENDSWOOD ISD",.,.,.,92,-1,-1,82,78,86
"'085902",69,65,72,69,67,71,66,76,55,.,.,.,.,.,.,66,76,55,.,.,.,.,.,.,.,.,.,73,86,-1,64,73,56,.,.,.,"POST ISD",.,.,.,.,.,.,86,92,80
"'085903",67,58,75,66,58,74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SOUTHLAND ISD",.,.,.,.,.,.,-1,-1,-1
"'086024",83,-1,-1,83,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DOSS CONSOLIDATED CSD",.,.,.,.,.,.,.,.,.
"'086901",66,59,73,65,58,72,54,43,65,.,.,.,.,.,.,57,52,63,.,.,.,67,74,59,67,74,59,60,45,77,38,33,42,-1,-1,.,"FREDERICKSBURG ISD",.,.,.,.,.,.,70,61,79
"'086902",69,66,73,69,66,73,70,-1,57,.,.,.,.,.,.,70,-1,57,.,.,.,.,.,.,.,.,.,.,.,.,70,-1,57,.,.,.,"HARPER ISD",.,.,.,.,.,.,.,.,.
"'087901",74,69,78,73,68,79,64,59,71,.,.,.,.,.,.,64,59,71,.,.,.,.,.,.,.,.,.,.,.,.,64,59,71,.,.,.,"GLASSCOCK COUNTY ISD",.,.,.,.,.,.,78,-1,100
"'088902",65,56,73,64,56,72,59,50,71,.,.,.,.,.,.,56,50,63,.,.,.,.,.,.,.,.,.,.,.,.,59,50,71,-1,.,-1,"GOLIAD ISD",.,.,.,.,.,.,-1,-1,-1
"'089901",62,54,69,61,52,69,56,45,68,68,59,77,.,.,.,59,47,70,.,.,.,.,.,.,68,59,77,66,55,78,55,42,67,36,-1,-1,"GONZALES ISD",.,.,.,50,-1,44,.,.,.
"'089903",75,69,81,76,70,83,74,63,87,.,.,.,.,.,.,77,69,85,.,.,.,.,.,.,75,-1,-1,.,.,.,74,63,87,-1,-1,.,"NIXON-SMILEY CISD",75,-1,-1,.,.,.,94,94,94
"'089905",73,61,84,73,65,80,77,83,70,.,.,.,.,.,.,76,83,69,.,.,.,.,.,.,.,.,.,77,83,70,.,.,.,.,.,.,"WAELDER ISD",.,.,.,.,.,.,66,50,81
"'090902",67,56,77,66,57,75,50,-1,-1,.,.,.,.,.,.,50,-1,-1,.,.,.,.,.,.,.,.,.,50,-1,-1,.,.,.,.,.,.,"LEFORS ISD",.,.,.,.,.,.,.,.,.
"'090903",-1,-1,-1,73,72,74,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,"MCLEAN ISD",.,.,.,.,.,.,.,.,.
"'090904",66,60,72,66,60,73,63,55,71,.,.,.,.,.,.,67,59,75,.,.,.,.,.,.,88,86,91,.,.,.,73,66,80,59,38,78,"PAMPA ISD",88,86,91,49,43,57,86,75,96
"'090905",76,81,70,76,81,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GRANDVIEW-HOPKINS ISD",.,.,.,.,.,.,.,.,.
"'091901",78,73,82,78,73,81,79,93,60,.,.,.,.,.,.,79,93,60,.,.,.,.,.,.,.,.,.,79,93,60,.,.,.,.,.,.,"BELLS ISD",.,.,.,.,.,.,61,50,-1
"'091902",68,63,72,67,63,71,56,63,50,.,.,.,.,.,.,56,63,50,.,.,.,.,.,.,.,.,.,48,55,42,-1,-1,-1,.,.,.,"COLLINSVILLE ISD",.,.,.,.,.,.,63,-1,-1
"'091903",70,66,75,70,66,75,69,61,76,.,.,.,.,.,.,68,64,73,.,.,.,65,68,60,65,68,60,76,75,78,64,51,74,82,83,80,"DENISON ISD",.,.,.,.,.,.,80,78,82
"'091905",76,73,79,75,72,78,71,68,74,.,.,.,.,.,.,71,68,74,.,.,.,.,.,.,.,.,.,.,.,.,71,68,74,.,.,.,"HOWE ISD",.,.,.,.,.,.,71,65,78
"'091906",62,53,69,62,54,70,59,48,70,.,.,.,.,.,.,60,51,71,.,.,.,60,49,90,65,58,81,90,80,100,58,47,69,53,38,67,"SHERMAN ISD",70,70,71,60,51,74,74,71,77
"'091907",72,66,77,71,65,77,69,61,78,.,.,.,.,.,.,69,61,78,.,.,.,.,.,.,.,.,.,67,59,76,-1,-1,-1,.,.,.,"TIOGA ISD",.,.,.,.,.,.,65,61,69
"'091908",77,71,84,77,70,84,75,65,84,.,.,.,.,.,.,75,65,85,.,.,.,.,.,.,.,.,.,.,.,.,75,65,84,-1,-1,-1,"VAN ALSTYNE ISD",.,.,.,.,.,.,79,72,88
"'091909",63,56,70,63,55,70,65,50,79,.,.,.,.,.,.,60,47,74,.,.,.,.,.,.,.,.,.,.,.,.,66,53,79,-1,-1,-1,"WHITESBORO ISD",.,.,.,-1,-1,.,53,50,55
"'091910",74,70,78,74,69,78,72,68,75,.,.,.,.,.,.,72,68,75,.,.,.,.,.,.,.,.,.,.,.,.,72,68,75,.,.,.,"WHITEWRIGHT ISD",.,.,.,.,.,.,-1,-1,-1
"'091913",67,57,76,66,54,77,84,81,88,.,.,.,.,.,.,84,81,88,.,.,.,.,.,.,.,.,.,.,.,.,84,81,88,.,.,.,"POTTSBORO ISD",.,.,.,.,.,.,.,.,.
"'091914",69,62,76,70,63,76,78,79,77,.,.,.,.,.,.,78,79,77,.,.,.,.,.,.,.,.,.,.,.,.,78,79,77,.,.,.,"S AND S CISD",.,.,.,.,.,.,-1,-1,-1
"'091917",74,66,81,73,65,80,60,64,57,.,.,.,.,.,.,60,61,58,.,.,.,.,.,.,.,.,.,-1,-1,-1,59,60,57,.,.,.,"GUNTER ISD",.,.,.,.,.,.,65,43,92
"'091918",68,65,71,68,65,71,71,65,77,.,.,.,.,.,.,70,66,75,.,.,.,.,.,.,.,.,.,.,.,.,71,65,77,-1,-1,-1,"TOM BEAN ISD",.,.,.,.,.,.,.,.,.
"'092801",77,81,76,77,81,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EAST TEXAS CHARTER SCHOOLS",.,.,.,.,.,.,.,.,.
"'092901",71,65,76,72,66,77,77,73,81,.,.,.,.,.,.,76,71,81,.,.,.,.,.,.,.,.,.,78,76,79,76,71,82,-1,-1,-1,"GLADEWATER ISD",.,.,.,.,.,.,86,83,88
"'092902",68,60,76,67,59,76,61,51,73,.,.,.,.,.,.,64,57,73,66,69,62,78,74,85,74,72,76,61,48,75,61,51,72,83,-1,80,"KILGORE ISD",.,.,.,.,.,.,-1,-1,.
"'092903",77,75,78,76,74,78,72,65,81,.,.,.,.,.,.,74,70,77,-1,-1,.,77,83,70,77,82,70,79,79,79,72,64,81,69,93,42,"LONGVIEW ISD",.,.,.,.,.,.,82,80,83
"'092904",71,67,76,71,67,75,69,62,75,-1,-1,-1,.,.,.,68,64,73,.,.,.,.,.,.,80,81,80,.,.,.,72,66,77,67,75,59,"PINE TREE ISD",80,80,79,53,42,64,80,83,76
"'092906",79,78,80,78,77,79,69,67,70,.,.,.,.,.,.,69,67,70,.,.,.,.,.,.,.,.,.,57,44,71,70,70,70,.,.,.,"SABINE ISD",.,.,.,.,.,.,83,79,87
"'092907",70,65,75,70,66,74,69,69,68,.,.,.,.,.,.,70,71,69,.,.,.,.,.,.,.,.,.,.,.,.,69,69,68,-1,-1,-1,"SPRING HILL ISD",.,.,.,.,.,.,71,70,72
"'092908",71,67,75,71,67,75,71,61,81,.,.,.,.,.,.,74,65,83,.,.,.,.,.,.,.,.,.,.,.,.,71,61,81,-1,-1,-1,"WHITE OAK ISD",.,.,.,.,.,.,91,83,100
"'093901",76,73,79,76,74,78,72,73,71,.,.,.,.,.,.,74,75,72,.,.,.,.,.,.,.,.,.,83,92,73,59,50,68,-1,-1,-1,"ANDERSON-SHIRO CISD",.,.,.,.,.,.,83,90,79
"'093903",77,70,83,77,71,83,80,80,80,.,.,.,.,.,.,80,80,80,.,.,.,.,.,.,.,.,.,80,80,80,.,.,.,.,.,.,"IOLA ISD",.,.,.,.,.,.,.,.,.
