"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"860Z200US00915","ZCTA5 00915","12921","null","1739","null",
"860Z200US00917","ZCTA5 00917","16277","null","1596","null",
"860Z200US00918","ZCTA5 00918","31993","null","4033","null",
"860Z200US00920","ZCTA5 00920","26217","null","1251","null",
"860Z200US00921","ZCTA5 00921","20147","null","1796","null",
"860Z200US00923","ZCTA5 00923","16950","null","1501","null",
"860Z200US00924","ZCTA5 00924","19876","null","1902","null",
"860Z200US00925","ZCTA5 00925","12880","null","4040","null",
"860Z200US00926","ZCTA5 00926","35680","null","1942","null",
"860Z200US00927","ZCTA5 00927","36638","null","4052","null",
"860Z200US00934","ZCTA5 00934","-","-","**","**",
"860Z200US00949","ZCTA5 00949","29319","null","1533","null",
"860Z200US00950","ZCTA5 00950","-","-","**","**",
"860Z200US00951","ZCTA5 00951","20662","null","14904","null",
"860Z200US00952","ZCTA5 00952","17018","null","1917","null",
"860Z200US00953","ZCTA5 00953","28459","null","2338","null",
"860Z200US00956","ZCTA5 00956","25506","null","1185","null",
"860Z200US00957","ZCTA5 00957","26384","null","1462","null",
"860Z200US00959","ZCTA5 00959","30418","null","1574","null",
"860Z200US00960","ZCTA5 00960","-","-","**","**",
"860Z200US00961","ZCTA5 00961","34346","null","5377","null",
"860Z200US00962","ZCTA5 00962","17315","null","1719","null",
"860Z200US00965","ZCTA5 00965","15407","null","3034","null",
"860Z200US00966","ZCTA5 00966","50154","null","8521","null",
"860Z200US00968","ZCTA5 00968","47372","null","13324","null",
"860Z200US00969","ZCTA5 00969","50730","null","2546","null",
"860Z200US00971","ZCTA5 00971","26849","null","2972","null",
"860Z200US00976","ZCTA5 00976","33822","null","1464","null",
"860Z200US00979","ZCTA5 00979","33503","null","4365","null",
"860Z200US00982","ZCTA5 00982","25569","null","2472","null",
"860Z200US00983","ZCTA5 00983","28472","null","2618","null",
"860Z200US00985","ZCTA5 00985","29693","null","2272","null",
"860Z200US00987","ZCTA5 00987","33719","null","2958","null",
"860Z200US01001","ZCTA5 01001","72444","null","7594","null",
"860Z200US01002","ZCTA5 01002","65013","null","13710","null",
"860Z200US01003","ZCTA5 01003","-","-","**","**",
"860Z200US01005","ZCTA5 01005","103477","null","25982","null",
"860Z200US01007","ZCTA5 01007","101076","null","8471","null",
"860Z200US01008","ZCTA5 01008","79573","null","11470","null",
"860Z200US01009","ZCTA5 01009","64809","null","35782","null",
"860Z200US01010","ZCTA5 01010","84830","null","26749","null",
"860Z200US01011","ZCTA5 01011","75640","null","3725","null",
"860Z200US01012","ZCTA5 01012","68894","null","6404","null",
"860Z200US01013","ZCTA5 01013","52721","null","5309","null",
"860Z200US01020","ZCTA5 01020","61963","null","5321","null",
"860Z200US01022","ZCTA5 01022","50134","null","9102","null",
"860Z200US01026","ZCTA5 01026","76100","null","6365","null",
"860Z200US01027","ZCTA5 01027","64330","null","2991","null",
"860Z200US01028","ZCTA5 01028","95284","null","4729","null",
"860Z200US01029","ZCTA5 01029","88750","null","36102","null",
"860Z200US01030","ZCTA5 01030","86136","null","13206","null",
"860Z200US01031","ZCTA5 01031","49071","null","20789","null",
"860Z200US01032","ZCTA5 01032","83750","null","27923","null",
"860Z200US01033","ZCTA5 01033","106821","null","17009","null",
"860Z200US01034","ZCTA5 01034","91176","null","13225","null",
"860Z200US01035","ZCTA5 01035","101458","null","19669","null",
"860Z200US01036","ZCTA5 01036","99400","null","10203","null",
"860Z200US01037","ZCTA5 01037","85250","null","36294","null",
"860Z200US01038","ZCTA5 01038","90893","null","13093","null",
"860Z200US01039","ZCTA5 01039","99896","null","15878","null",
"860Z200US01040","ZCTA5 01040","45045","null","2869","null",
"860Z200US01050","ZCTA5 01050","70800","null","13753","null",
"860Z200US01053","ZCTA5 01053","56094","null","18752","null",
"860Z200US01054","ZCTA5 01054","97188","null","18599","null",
"860Z200US01056","ZCTA5 01056","72563","null","5382","null",
"860Z200US01057","ZCTA5 01057","72567","null","10208","null",
"860Z200US01060","ZCTA5 01060","70467","null","6545","null",
"860Z200US01062","ZCTA5 01062","78526","null","10557","null",
"860Z200US01063","ZCTA5 01063","-","-","**","**",
"860Z200US01066","ZCTA5 01066","-","-","**","**",
"860Z200US01068","ZCTA5 01068","85078","null","7951","null",
"860Z200US01069","ZCTA5 01069","64300","null","15769","null",
"860Z200US01070","ZCTA5 01070","71000","null","15251","null",
"860Z200US01071","ZCTA5 01071","94286","null","14475","null",
"860Z200US01072","ZCTA5 01072","79226","null","13818","null",
"860Z200US01073","ZCTA5 01073","110200","null","22320","null",
"860Z200US01074","ZCTA5 01074","81681","null","20433","null",
"860Z200US01075","ZCTA5 01075","82278","null","10904","null",
"860Z200US01077","ZCTA5 01077","100337","null","13904","null",
"860Z200US01079","ZCTA5 01079","65184","null","59971","null",
"860Z200US01080","ZCTA5 01080","80087","null","14637","null",
"860Z200US01081","ZCTA5 01081","85938","null","12973","null",
"860Z200US01082","ZCTA5 01082","60281","null","8290","null",
"860Z200US01083","ZCTA5 01083","81078","null","23768","null",
"860Z200US01084","ZCTA5 01084","78750","null","15430","null",
"860Z200US01085","ZCTA5 01085","74341","null","5521","null",
"860Z200US01088","ZCTA5 01088","60260","null","41631","null",
"860Z200US01089","ZCTA5 01089","60023","null","3805","null",
"860Z200US01092","ZCTA5 01092","62500","null","19565","null",
"860Z200US01093","ZCTA5 01093","96500","null","87387","null",
"860Z200US01094","ZCTA5 01094","-","-","**","**",
"860Z200US01095","ZCTA5 01095","124327","null","16294","null",
"860Z200US01096","ZCTA5 01096","89643","null","20580","null",
"860Z200US01097","ZCTA5 01097","70909","null","8324","null",
"860Z200US01098","ZCTA5 01098","86364","null","6759","null",
"860Z200US01103","ZCTA5 01103","20978","null","10391","null",
"860Z200US01104","ZCTA5 01104","41402","null","6242","null",
"860Z200US01105","ZCTA5 01105","23331","null","2101","null",
"860Z200US01106","ZCTA5 01106","129339","null","11101","null",
"860Z200US01107","ZCTA5 01107","31698","null","8485","null",
"860Z200US01108","ZCTA5 01108","41153","null","7092","null",
"860Z200US01109","ZCTA5 01109","37887","null","4060","null",
"860Z200US01118","ZCTA5 01118","70295","null","8629","null",
"860Z200US01119","ZCTA5 01119","50729","null","8992","null",
"860Z200US01128","ZCTA5 01128","79015","null","20951","null",
"860Z200US01129","ZCTA5 01129","75944","null","13341","null",
"860Z200US01144","ZCTA5 01144","-","-","**","**",
"860Z200US01151","ZCTA5 01151","47234","null","3373","null",
"860Z200US01201","ZCTA5 01201","60060","null","3575","null",
"860Z200US01220","ZCTA5 01220","49691","null","5736","null",
"860Z200US01222","ZCTA5 01222","61840","null","23873","null",
"860Z200US01223","ZCTA5 01223","64750","null","16383","null",
"860Z200US01224","ZCTA5 01224","-","-","**","**",
"860Z200US01225","ZCTA5 01225","69069","null","10744","null",
"860Z200US01226","ZCTA5 01226","72664","null","11285","null",
"860Z200US01229","ZCTA5 01229","-","-","**","**",
"860Z200US01230","ZCTA5 01230","71281","null","10275","null",
"860Z200US01235","ZCTA5 01235","66516","null","9673","null",
"860Z200US01236","ZCTA5 01236","77588","null","24336","null",
"860Z200US01237","ZCTA5 01237","78413","null","23607","null",
"860Z200US01238","ZCTA5 01238","69840","null","21586","null",
"860Z200US01240","ZCTA5 01240","72200","null","31676","null",
"860Z200US01242","ZCTA5 01242","-","-","**","**",
"860Z200US01243","ZCTA5 01243","74688","null","8518","null",
"860Z200US01244","ZCTA5 01244","53462","null","7349","null",
"860Z200US01245","ZCTA5 01245","101488","null","32384","null",
"860Z200US01247","ZCTA5 01247","51959","null","4608","null",
"860Z200US01253","ZCTA5 01253","93625","null","7699","null",
"860Z200US01254","ZCTA5 01254","97500","null","21923","null",
"860Z200US01255","ZCTA5 01255","76750","null","13806","null",
"860Z200US01256","ZCTA5 01256","51250","null","6832","null",
"860Z200US01257","ZCTA5 01257","64531","null","25372","null",
"860Z200US01258","ZCTA5 01258","92917","null","27628","null",
"860Z200US01259","ZCTA5 01259","110417","null","30399","null",
"860Z200US01260","ZCTA5 01260","123367","null","29036","null",
"860Z200US01262","ZCTA5 01262","51875","null","34662","null",
"860Z200US01264","ZCTA5 01264","73333","null","13357","null",
"860Z200US01266","ZCTA5 01266","85406","null","8928","null",
"860Z200US01267","ZCTA5 01267","95360","null","17003","null",
"860Z200US01270","ZCTA5 01270","99063","null","18084","null",
"860Z200US01301","ZCTA5 01301","52569","null","3032","null",
"860Z200US01330","ZCTA5 01330","74355","null","5298","null",
"860Z200US01331","ZCTA5 01331","61990","null","8180","null",
"860Z200US01337","ZCTA5 01337","75938","null","11785","null",
"860Z200US01338","ZCTA5 01338","57344","null","29333","null",
"860Z200US01339","ZCTA5 01339","65139","null","5465","null",
"860Z200US01340","ZCTA5 01340","64097","null","8811","null",
"860Z200US01341","ZCTA5 01341","86875","null","16518","null",
"860Z200US01342","ZCTA5 01342","99732","null","31741","null",
"860Z200US01343","ZCTA5 01343","74545","null","13407","null",
"860Z200US01344","ZCTA5 01344","66319","null","10692","null",
"860Z200US01346","ZCTA5 01346","99082","null","5778","null",
