DISTRICT,DD006AMA1221R,DD006AMA1321R,DD006AMA1S21R,DD006ARE1221R,DD006ARE1321R,DD006ARE1S21R,DD206AMA1221R,DD206AMA1321R,DD206AMA1S21R,DD206ARE1221R,DD206ARE1321R,DD206ARE1S21R,DD306AMA1221R,DD306AMA1321R,DD306AMA1S21R,DD306ARE1221R,DD306ARE1321R,DD306ARE1S21R,DD406AMA1221R,DD406AMA1321R,DD406AMA1S21R,DD406ARE1221R,DD406ARE1321R,DD406ARE1S21R,DDA06AMA1221R,DDA06AMA1321R,DDA06AMA1S21R,DDA06ARE1221R,DDA06ARE1321R,DDA06ARE1S21R,DDB06AMA1221R,DDB06AMA1321R,DDB06AMA1S21R,DDB06ARE1221R,DDB06ARE1321R,DDB06ARE1S21R,DDE06AMA1221R,DDE06AMA1321R,DDE06AMA1S21R,DDE06ARE1221R,DDE06ARE1321R,DDE06ARE1S21R,DDF06AMA1221R,DDF06AMA1321R,DDF06AMA1S21R,DDF06ARE1221R,DDF06ARE1321R,DDF06ARE1S21R,DDH06AMA1221R,DDH06AMA1321R,DDH06AMA1S21R,DDH06ARE1221R,DDH06ARE1321R,DDH06ARE1S21R,DDI06AMA1221R,DDI06AMA1321R,DDI06AMA1S21R,DDI06ARE1221R,DDI06ARE1321R,DDI06ARE1S21R,DDL06AMA1221R,DDL06AMA1321R,DDL06AMA1S21R,DDL06ARE1221R,DDL06ARE1321R,DDL06ARE1S21R,DDM06AMA1221R,DDM06AMA1321R,DDM06AMA1S21R,DDM06ARE1221R,DDM06ARE1321R,DDM06ARE1S21R,DDR06AMA1221R,DDR06AMA1321R,DDR06AMA1S21R,DDR06ARE1221R,DDR06ARE1321R,DDR06ARE1S21R,DDS06AMA1221R,DDS06AMA1321R,DDS06AMA1S21R,DDS06ARE1221R,DDS06ARE1321R,DDS06ARE1S21R,DDW06AMA1221R,DDW06AMA1321R,DDW06AMA1S21R,DDW06ARE1221R,DDW06ARE1321R,DDW06ARE1S21R,DISTNAME,DNC06AMA1221R,DNC06AMA1321R,DNC06AMA1S21R,DNC06ARE1221R,DNC06ARE1321R,DNC06ARE1S21R,DNM06AMA1221R,DNM06AMA1321R,DNM06AMA1S21R,DNM06ARE1221R,DNM06ARE1321R,DNM06ARE1S21R,DNS06AMA1221R,DNS06AMA1321R,DNS06AMA1S21R,DNS06ARE1221R,DNS06ARE1321R,DNS06ARE1S21R
"'001902",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,49,14,94,45,12,69,-1,-1,-1,-1,-1,-1,25,6,81,25,6,50,57,9,100,52,13,78,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,42,19,88,38,12,62,19,0,88,6,6,31,25,0,88,0,0,13,53,15,95,50,10,75,"CAYUGA ISD",53,16,97,47,16,71,36,9,82,36,0,64,.,.,.,.,.,.
"'001903",0,0,67,33,0,50,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,42,15,80,46,24,74,-1,-1,-1,-1,-1,-1,18,2,64,23,14,57,50,16,82,54,30,80,32,16,84,42,16,58,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,33,13,78,37,17,67,0,0,47,0,0,33,8,8,25,8,0,17,44,14,79,47,25,78,"ELKHART ISD",48,17,81,45,26,75,26,7,78,48,19,70,-1,-1,-1,-1,-1,-1
"'001904",-1,-1,-1,-1,-1,-1,40,40,80,0,0,60,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,62,33,95,19,10,59,-1,-1,-1,-1,-1,-1,56,28,91,13,6,59,54,21,96,11,7,57,60,40,100,40,20,60,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,69,43,94,26,11,60,28,8,88,8,8,44,33,0,89,22,22,33,64,32,96,20,10,60,"FRANKSTON ISD",60,33,96,17,6,58,67,33,93,27,20,60,-1,-1,-1,-1,-1,-1
"'001906",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,59,23,95,27,0,77,-1,-1,-1,-1,-1,-1,67,25,100,25,0,83,44,22,89,22,0,67,80,20,100,40,0,100,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,69,23,100,31,0,85,50,17,83,17,0,50,-1,-1,-1,-1,-1,-1,53,20,93,27,0,73,"NECHES ISD",60,20,100,27,0,80,57,29,86,29,0,71,.,.,.,.,.,.
"'001907",29,15,66,20,5,49,25,0,50,38,13,50,.,.,.,.,.,.,.,.,.,.,.,.,32,15,69,25,10,53,20,7,59,8,3,30,28,12,66,20,5,50,22,9,66,19,5,51,32,13,70,24,6,59,.,.,.,.,.,.,16,11,59,5,0,30,40,20,71,29,13,55,14,6,56,7,2,33,11,7,43,14,4,21,47,33,84,46,25,71,"PALESTINE ISD",32,17,70,25,8,51,30,9,66,26,14,60,-1,-1,-1,-1,-1,-1
"'001908",0,0,43,0,0,14,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,25,8,60,28,10,50,18,5,55,36,14,50,24,6,58,27,7,46,33,15,69,36,15,59,26,16,63,37,16,47,-1,-1,-1,-1,-1,-1,0,0,43,0,0,14,18,2,53,22,6,43,0,0,34,5,0,18,18,12,41,18,0,41,29,5,64,21,5,55,"WESTWOOD ISD",26,8,60,28,11,51,19,6,63,31,6,44,.,.,.,.,.,.
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,9,91,32,23,77,.,.,.,.,.,.,9,0,82,18,9,73,36,7,93,36,21,86,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,38,13,88,25,25,63,13,0,88,0,0,63,-1,-1,-1,-1,-1,-1,40,10,95,35,25,80,"SLOCUM ISD",39,6,94,33,22,78,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'002901",24,2,55,19,0,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,31,8,67,28,11,59,-1,-1,-1,-1,-1,-1,23,6,58,20,6,49,32,10,65,31,13,62,25,5,60,21,6,53,-1,-1,-1,-1,-1,-1,15,3,45,5,0,25,29,7,68,25,10,56,11,2,49,12,1,42,15,3,33,18,3,21,43,13,82,41,24,73,"ANDREWS ISD",32,9,68,28,12,60,27,7,62,25,11,51,33,17,67,33,33,50
"'003801",38,0,75,25,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,33,86,37,16,79,42,0,75,17,0,67,57,17,83,31,9,71,63,34,83,49,26,86,40,5,80,20,5,65,.,.,.,.,.,.,38,0,75,25,0,50,71,32,89,26,8,74,52,0,76,10,0,43,36,9,73,18,9,27,87,55,92,53,26,89,"PINEYWOODS COMMUNITY ACADEMY",68,29,86,34,14,77,65,47,88,47,24,88,-1,-1,-1,-1,-1,-1
"'003902",38,14,90,14,10,62,29,29,86,29,0,71,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,66,37,92,41,23,72,31,8,85,15,0,31,50,22,87,25,10,63,66,38,92,46,26,79,58,32,92,32,13,72,60,0,80,20,0,60,27,7,93,0,0,47,67,37,93,37,20,66,33,9,84,7,5,42,34,16,84,9,6,31,76,44,94,50,32,77,"HUDSON ISD",66,38,92,40,25,72,66,34,95,43,16,73,-1,-1,-1,-1,-1,-1
