DISTRICT,DISTNAME,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSBTOFC,DPSBTOPC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSHEXPA,DPSHTENA,DPSLEXPA,DPSLTENA,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSRTOFC,DPSRTOPC,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST21FC,DPST21FP,DPST21SA,DPST30FC,DPST30FP,DPST30SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP
"'103901","CHANNING ISD",54.3,63.5,3,9.5,31.6,0,0,1,3.2,92000,0,2.9,9.1,1,1,0,0,0,0,20,63.2,0,0,1,3.2,84000,2,11.1,33660,4,22.2,38269,4,22.2,45600,5,27.8,54450,3,16.7,60410,0,0,.,0,0,15,83.3,0,0,0,0,1.1,6.3,11.1,14,77.8,0,0,2,11.1,0,0,9.3,4,22.2,3,16.7,0,0,0,0,0,0,0,0,15.7,87.2,0,0,6.1,18,56.9,47571,0,0,33.6,1.2,6.5,16,88.9,0,0,.,0,8.8,27.7
"'103902","HARTLEY ISD",58.7,66.4,10.6,25.7,41,0,0,0.1,0.2,113412,0,8.7,21.2,3.5,3.5,0,0,0,0,22.6,55.1,0,0,2,4.9,74170,1,4.8,34396,5.9,28.7,42579,2,9.5,45407,5.9,28.6,55224,5.8,28.3,67301,0,0,.,0,0,18.5,90.5,0,0,0,0,1,4.8,13.7,14.7,71.6,0,0,1,4.8,0,0,11.5,5.8,28.4,2,9.5,0,0,0,0,0,0,0,0,16.6,80.8,1,4.8,7.9,20.5,50,53075,0,0,12.2,2,9.7,19.5,95.2,0,0,.,0,9.7,23.7
"'104901","HASKELL CISD",59.4,68.3,19.7,17.7,110.8,0,0,2,1.8,96284,0,15.9,14.3,8.7,6.7,0,0,1,0,72.1,65.1,1,2,3,2.7,84574,1,1.5,34587,8.8,13.9,38604,2.9,4.6,48605,28.8,45.2,54695,12.9,20.3,57552,9.2,14.5,61823,0,0,55.2,86.8,0,0,0,0,2.8,4.4,17.5,48.4,76,0,0,4.1,6.5,1,1.5,8.6,15.3,24,8.4,13.2,0,0,0.7,1.1,0,0,0,0,43.7,68.6,8.7,13.7,11.8,63.7,57.5,53483,0,0,7.7,7.8,12.2,58.5,92,3.4,3.1,58722,0,22.8,20.6
"'104903","RULE ISD",57.6,66.2,5,16.1,31,0,0,1,3.2,87500,0,4,12.9,3,3,0,0,0,0,19.9,64.1,0,2,1,3.2,65611,2,12.2,34460,4,24.4,36664,3,18.3,48628,4.4,26.7,52616,2,12.2,55340,1,6.1,55340,0,0,15,91.6,0,0,0,0,1.9,11.7,11.5,13.4,81.7,0,0,1,6.1,0,0,8.6,3,18.3,0.4,2.3,0,0,0,0,1,6.1,0,0,13,79.6,0.7,4,3.3,16.4,52.7,46268,0,0,8.7,0.8,4.7,15.4,93.9,1.5,4.9,55236,0,7.1,23
"'104907","PAINT CREEK ISD",52,66.4,5.9,20,29.6,0,0,1,3.4,142269,0,3.9,13.2,2,2,0,0,0,0,19,64.1,0,1,1,3.4,72100,1,6.2,33660,7,43.1,38323,3,18.5,43570,2,12.3,51210,1.2,7.7,63961,2,12.3,54540,0,0,13,80,0,0,0,0,0.5,3.1,11.2,13.2,81.5,0,0,2,12.3,0,0,5.6,3,18.5,3.2,20,0,0,0,0,0,0,0,0,13.2,81.1,0.4,2.2,5.8,16.2,54.8,44550,0,0,5.9,2.2,13.5,14.2,87.7,0.8,2.6,60373,0,6.7,22.6
"'105801","KATHERINE ANNE PORTER SCHOOL",52.3,63.2,3,15.5,19.3,0,0,0.3,1.6,104546,0,1.9,9.6,1,1,0,0,0,0,15.2,78.8,0,1,0.8,4.2,75126,0,0,.,2.4,25.2,29320,2,20.7,41025,3.4,35.3,49341,1.4,14.5,69489,0.4,4.2,43999,0,0,3.2,33.7,0,0,0,0,0,0,12.5,5.6,58.5,0,0,1,10.4,0,0,10.5,4,41.5,3,31.1,0,0,0.3,3.5,3.4,35.2,0,0,7.9,82.3,0.9,9.8,3.8,9.6,50,45260,0,0,51.7,0.4,4.5,8.6,89.6,4.5,23.1,45607,0,2.2,11.6
"'105802","TEXAS PREPARATORY SCHOOL",48.7,49.4,32.4,64.3,50.4,0,0,1,2,165564,0,0,0,7.5,7.5,0,0,0,0,24.9,49.4,0,0,2,4,88663,2.9,15.5,43110,10,52.8,44387,6,31.7,40464,0,0,.,0,0,.,0,0,.,0,0,13,68.7,0,0,3.9,20.8,0,0,3.4,15.9,84.2,0,0,7,37,0,0,8.4,3,15.8,0,0,5.9,31.3,0,0,0,0,0,0,16.9,89.4,2,10.6,3.4,18.9,37.5,42946,2,10.6,39.9,0,0,6,31.7,3,5.9,69196,0,25.5,50.6
"'105803","KI CHARTER ACADEMY",67.7,74.9,25.5,34.8,73.1,0,0,2,2.7,111102,0,19.5,26.7,5.5,1,1,1,0,0,48.5,66.4,0,0,5,6.8,77496,6.5,19,49913,21.6,63.4,52095,1,2.9,52823,4,11.7,57535,1,2.9,62803,0,0,.,0,0,29.1,85.4,0,0,2.4,7.2,0,0,4.7,17.6,51.6,0,0,6.9,20.1,1,2.9,8.1,16.5,48.4,4,11.7,0,0,0,0,1,2.8,0,0,24.7,72.7,8.2,24,1.7,34.1,46.6,52656,1,2.9,25.5,1.1,3.3,22.8,66.8,7.5,10.2,63643,0,5,6.8
"'105902","SAN MARCOS CISD",63.9,62,710.7,58.6,1213.5,10,1,11.5,0.9,124480,0,115.9,9.6,3.8,2.6,6.2,4,0,0,735.9,60.6,20,0,31.3,2.6,81622,31.2,5.6,49709,199,35.5,50819,108,19.2,53606,154.9,27.6,56264,57.2,10.2,60818,11,2,68185,6,1.1,405.5,72.3,50.4,9,26,4.6,23.8,4.2,10,400.6,71.4,8.8,1.6,207.9,37,2,0.4,14.2,160.6,28.6,149,26.6,4.7,0.8,13.6,2.4,2,0.4,3,0.5,380.9,67.9,56.9,10.1,6.7,561.3,46.3,54156,3,0.5,19.5,26.9,4.8,313.4,55.8,131.8,10.9,66650,0,361.7,29.8
"'105904","DRIPPING SPRINGS ISD",65.4,64.9,184.1,19,969.1,0,5,6.8,0.7,123028,0,106.1,10.9,6.9,3.7,5.6,2.9,0,0,637.9,65.8,19,2,20.9,2.2,81819,18.9,3.8,49156,116.7,23.3,49976,123.4,24.6,51962,181.9,36.3,55544,51.8,10.3,63818,8.1,1.6,67373,2,0.4,363.6,72.6,8.9,1.8,4,0.8,16.2,3.2,11.1,399.5,79.8,15.7,3.1,49.8,9.9,1,0.2,14.5,101.4,20.2,130.3,26,2,0.4,0,0,5,1,0,0,369.7,73.8,70.9,14.2,4.8,500.8,51.7,54170,1,0.2,12.5,19.3,3.8,443.1,88.5,109.3,11.3,67173,0,225.2,23.2
