DISTRICT,DISTNAME,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSBTOFC,DPSBTOPC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSHEXPA,DPSHTENA,DPSLEXPA,DPSLTENA,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSRTOFC,DPSRTOPC,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST21FC,DPST21FP,DPST21SA,DPST30FC,DPST30FP,DPST30SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP
"'001902","CAYUGA ISD",60.4,72.2,14.8,14.4,102.7,0,1,2.6,2.5,79500,0,14.1,13.7,17.7,15,0,0,9,16,61.1,59.5,2,0,4.2,4.1,71006,0,0,.,6.8,14.3,41422,6.3,13.3,48309,14.5,30.4,55711,14.6,30.8,60675,5.4,11.3,65717,0,0,42.7,89.8,0.1,0.2,3.9,8.2,0,0,16.7,38,79.9,0,0,1,2,0,0,11.2,9.6,20.1,4.9,10.2,0,0,0.1,0.2,0,0,0,0,39.1,82.1,4.9,10.3,9.1,47.6,46.3,55335,0,0,12.9,3.4,7.2,42.7,89.8,6.8,6.6,56649,3,27.5,26.8
"'001903","ELKHART ISD",62.7,67.6,18.5,10.1,183.7,0,1,1,0.5,121000,0,31.5,17.2,6.3,5.3,7,7,0,0,117.5,64,3,0,5.3,2.9,70164,3,2.9,34307,21,20.5,36799,18.5,18.1,44201,36.7,35.9,51504,18,17.6,55552,5,4.9,58020,0,0,81.5,79.7,0.6,0.6,1,1,3.2,3.1,13.7,81.2,79.4,0.7,0.7,7,6.8,0,0,11.7,21,20.6,19.7,19.3,1,1,1.1,1.1,0,0,0,0,74.5,72.9,10.1,9.9,8.1,102.2,55.6,47689,0,0,21.7,12.1,11.8,94.2,92.2,9,4.9,57372,0,34.7,18.9
"'001904","FRANKSTON ISD",57.9,63.3,15.3,11.5,132.6,0,0,2,1.5,97250,0,20,15.1,3.3,3,1.7,1.7,0,0,77.5,58.4,2,1,5.1,3.8,69246,1,1.5,35748,18.4,28.1,44110,13,19.9,46122,17.5,26.8,54973,9.5,14.5,56716,6,9.2,55933,0,0,49.4,75.5,0,0,5,7.6,2,3.1,13,48.5,74.2,0,0,0,0,0,0,11.7,16.9,25.8,15.9,24.3,0.1,0.2,0,0,0,0,0,0,56.8,86.8,4.9,7.5,5.5,65.4,49.3,50207,0,0,15.7,1.7,2.6,60.4,92.4,5,3.8,54797,0,35.1,26.5
"'001906","NECHES ISD",56.5,62.1,11,16.8,65.4,0,0,1.5,2.3,88657,0,8,12.2,15,14,3,3,0,0,41,62.7,1,0,3,4.6,79291,2,5.6,49628,4,11.3,43249,11,31,47137,8,22.5,54691,10.5,29.5,64600,0,0,.,0,0,33,93,0,0,2,5.6,0.3,0.8,14,28,78.9,0.6,1.8,0,0,0,0,9.5,7.5,21.1,2.5,7,0,0,0,0,0,0,0,0,28.6,80.7,2,5.7,7.5,35.5,54.2,53700,0,0,17.4,3.9,10.9,33.5,94.4,1,1.5,72643,0,16.4,25.1
"'001907","PALESTINE ISD",60.1,71,166.6,30.5,545.8,1,0,10.5,1.9,98067,0,106.5,19.5,4,4,5,3.8,0,0,335.7,61.5,6,0,17.5,3.2,78085,45.5,17.4,40940,55.3,21.2,41621,51.5,19.7,47329,57.9,22.1,52810,29.5,11.3,59654,21.8,8.3,62130,0,0,209.2,80,3.8,1.4,27,10.3,17.1,6.5,11.3,197.5,75.5,3.8,1.4,34,13,1,0.4,13,64,24.5,48.3,18.5,4,1.5,1.3,0.5,0,0,0,0,185.4,70.9,27.6,10.6,6.5,261.6,47.9,48850,5,1.9,14.6,22.6,8.6,194.6,74.4,46.2,8.5,63021,0,103.6,19
"'001908","WESTWOOD ISD",56.3,59.2,66.2,25.2,262.8,0,1,3,1.1,114517,0,46.5,17.7,6,5.8,1,1,0,0,152.6,58.1,4,0,9.1,3.5,72457,42.4,33.6,41416,32.9,26.2,40474,14,11.1,45285,23.8,18.9,54318,10.9,8.6,57279,2,1.6,40541,0,0,102.2,81.2,0,0,11.9,9.4,6.8,5.4,7.7,91.3,72.5,0,0,6,4.7,1,0.8,10.7,34.6,27.5,21.7,17.3,1,0.8,3.5,2.8,1,0.8,0,0,96.6,76.7,10,7.9,2.9,125.9,47.9,45391,1,0.8,34.5,9,7.1,106.1,84.3,14.6,5.6,61263,0,63.7,24.2
"'001909","SLOCUM ISD",69.3,70.7,1.9,2.9,66.8,1,0,2,3,83637,0,6.7,10.1,8.3,8.3,0,0,0,0,43.2,64.7,2,0,2.4,3.6,81241,0,0,.,4.2,11.8,42282,6,16.8,45340,11,30.7,55734,13.6,38,60373,1,2.8,62800,0,0,29.2,81.6,0,0,0,0,7.1,19.9,16.9,28.2,78.8,0,0,0,0,0,0,10.2,7.6,21.2,6.6,18.4,0,0,1.1,3,0,0,0,0,20.4,56.9,3.7,10.4,10,35.8,53.6,54368,1,2.8,10.6,3.5,9.8,34.8,97.2,3,4.5,59471,0,16.8,25.2
"'002901","ANDREWS ISD",63.2,64.4,227.7,40.7,559.9,2,2,9,1.6,123325,0,74.5,13.3,4.3,3.3,4.5,1.7,0,0,345.6,61.7,7,2,14.9,2.7,87513,11,3.8,54756,57.3,20,56350,62.8,21.9,58768,94.3,32.8,63582,46.4,16.2,68176,15.4,5.4,76350,2,0.7,218.5,76.1,27,9.4,5,1.7,14.2,4.9,13.4,215,74.9,44.8,15.6,75.4,26.3,1,0.3,14.3,72.2,25.1,65.7,22.9,2,0.7,3,1,1,0.3,0,0,162.2,56.5,19,6.6,6.9,287.2,51.3,62176,8,2.8,12.2,17.1,6,195.7,68.2,34.5,6.2,70266,0,139.8,25
"'003801","PINEYWOODS COMMUNITY ACADEMY",61.5,62.8,29.2,22.5,129.7,0,0,5,3.9,107549,0,15,11.6,2.7,2.7,4,3.3,0,0,89.8,69.2,1,1,4,3.1,84963,3,4.4,46017,20.9,30.9,47603,20,29.7,50920,18.6,27.5,58990,5,7.4,62598,0,0,.,0,0,52.9,78.4,0,0,5,7.4,2,3,10.2,56.4,83.7,1,1.5,6,8.9,0,0,14.8,11,16.3,14.6,21.6,0,0,0,0,0,0,0,0,57.2,84.8,5,7.4,3.7,67.4,52,52763,0,0,12.4,2.2,3.3,56.4,83.7,13.3,10.3,62310,0,25,19.2
"'003902","HUDSON ISD",64,60.2,74.9,18.1,414.7,3,1,3,0.7,136042,0,32.5,7.8,6.8,6.6,5.9,5.4,2.3,0,249.2,60.1,7,0,16.1,3.9,80968,5.9,2.9,45901,43.5,21,48892,44.7,21.6,51030,66.3,32.1,56042,33.5,16.2,63260,12.8,6.2,63426,0,0,164.2,79.4,1.1,0.6,1,0.5,16.4,7.9,13.6,161.1,77.9,7.8,3.8,10.8,5.2,0,0,13.4,45.6,22.1,38.5,18.7,2,1,4.6,2.2,2,1,0,0,139,67.3,21,10.2,8.3,206.6,49.8,54791,1,0.5,6.9,16.7,8.1,193.8,93.8,23.5,5.7,66536,3.3,133,32.1
"'003903","LUFKIN ISD",62.1,61.1,536.7,40.7,1319.8,6,1,17.4,1.3,101445,0,178.4,13.5,6.7,6.3,4.7,3.8,0,0,768.3,58.2,23,1,48.1,3.6,74471,30.4,5.1,43987,168.2,28.4,48333,122.5,20.7,49340,153,25.8,54205,86.9,14.6,62674,31.9,5.4,67843,1,0.2,461,77.7,34,5.7,71.5,12.1,6.1,1,12,483.9,81.6,14.2,2.4,68.4,11.5,3,0.5,12.5,109.1,18.4,127.9,21.6,4,0.7,46.7,7.9,0,0,0,0,400.2,67.5,56.5,9.5,8.4,593,44.9,52984,8,1.3,12.9,35.3,6,441,74.4,109.9,8.3,64212,0.5,373.1,28.3
"'003904","HUNTINGTON ISD",56.8,59.2,12.4,4.7,261.5,0,1,4,1.5,112250,0,26.4,10.1,6.4,4,6,3.6,0,0,160.9,61.5,4,0,9.3,3.6,70706,2,1.6,41071,41.9,33.2,41421,18,14.3,48351,31,24.6,56304,27.1,21.5,58998,6,4.8,61751,0,0,107.4,85.2,0,0,1,0.8,10.9,8.7,12.5,97.4,77.3,0.4,0.3,1,0.8,1,0.8,12.5,28.6,22.7,17.6,14,1,0.8,2.2,1.8,0,0,0,0,88.1,69.9,15.9,12.6,7.1,126,48.2,50818,0,0,11.7,8.5,6.7,123,97.6,21.5,8.2,58949,0,74.2,28.4
"'003905","DIBOLL ISD",59.9,57.7,99.5,33.4,297.9,2,2,4,1.3,109312,0,31.1,10.5,7.5,7.5,4.8,4,1,0,181.5,60.9,3,2,8.7,2.9,76266,10.9,7.8,46173,30.9,22.1,48090,24.7,17.7,51029,47.3,33.9,55593,19,13.6,63177,6.9,5,63965,0,0,113,80.9,8.1,5.8,7.9,5.6,18.9,13.5,12,112.7,80.7,1,0.7,20.8,14.9,0,0,12.2,27,19.3,26.7,19.1,0,0,6,4.3,0,0,0,0,88,63,7.5,5.4,7.7,139.7,46.9,53839,1,0.7,17.8,10.2,7.3,110.1,78.8,29.1,9.8,63397,0,85.2,28.6
"'003906","ZAVALLA ISD",64.5,70.2,0,0,59,0,0,0.5,0.8,103828,0,8.6,14.5,1.5,1.5,0,0,0,0,37.7,63.8,1,0,3.5,6,79059,0,0,.,10.7,33.4,43694,1.9,6.1,52024,10.7,33.3,58934,7.8,24.2,67556,1,3,62700,0,0,29.2,90.9,0,0,0,0,2.3,7.3,14,27.3,84.9,0,0,0,0,0,0,9.3,4.9,15.1,2.9,9.1,0,0,0,0,0,0,0,0,21.6,67.2,5,15.5,8.2,32.1,54.5,55625,1,3,11.7,3.2,10,31.2,97,1.5,2.5,65814,0,12.8,21.7
"'003907","CENTRAL ISD",62.2,65.1,30.5,12.5,244.8,1,3,5.4,2.2,86255,0,36.1,14.8,3.7,3,3.5,3.5,0,0,147.3,60.2,4,0,8.6,3.5,70806,9,7.7,40365,38.9,33.1,44979,20,17,48637,29.6,25.2,55502,16.8,14.3,61507,3.2,2.7,61404,0,0,100.2,85.3,0.5,0.4,0,0,3.9,3.3,10.7,93,79.2,4.6,4,4.9,4.1,1,0.9,12.3,24.4,20.8,17.2,14.7,0,0,0.3,0.3,0,0,0,0,88.6,75.4,10.9,9.3,6.1,117.4,48,50708,1,0.9,18.3,8.6,7.3,110.6,94.2,16,6.5,64499,0,61.3,25
"'004901","ARANSAS COUNTY ISD",59.8,62.1,113.1,25,451.8,3,0,6.7,1.5,90250,0,49.5,11,1.5,1.5,6.3,5.6,0,0,276.5,61.2,8,0,10.5,2.3,71871,15.8,7.3,45247,55.8,25.8,46874,41,18.9,48648,66.8,30.8,54747,22.1,10.2,60408,15,6.9,61779,2,0.9,168.7,77.9,4.3,2,1,0.5,6.3,2.9,12.3,169.7,78.4,0.9,0.4,32,14.8,1,0.5,13.9,46.8,21.6,44.8,20.7,3,1.4,0,0,0,0,0,0,173.1,80,24.7,11.4,7.6,216.5,47.9,51935,1,0.5,15,7.2,3.3,179.5,82.9,42.9,9.5,61625,1,125.8,27.8
"'005901","ARCHER CITY ISD",65.3,70.4,4.9,5.3,93,1,0,1,1.1,148500,0,16,17.2,5.5,2.5,0,0,1.1,0,56.1,60.4,2,0,2.3,2.5,82282,1,2.1,41892,8.8,18.5,45639,9.7,20.3,48885,16.6,34.7,58273,8.9,18.6,59104,2.8,5.8,67418,0,0,41,85.6,0,0,0,0,2.4,5,14.5,34.9,72.9,0,0,1,2,0,0,10.5,13,27.1,6.9,14.4,0,0,0,0,0,0,0,0,35.4,74,4.3,8.9,10.1,47.9,51.4,54376,2.4,5,4,5.8,12.2,44.5,93,5,5.3,57915,0,20.9,22.4
"'005902","HOLLIDAY ISD",65.1,72.9,12,8.9,134.6,1,0,2,1.5,115650,0,21.2,15.8,9.3,8.3,0,0,0,0,90,66.9,3,0,3,2.2,87400,1,1.3,36660,8,10.1,43322,12,15.2,48245,33,41.8,57650,22,27.8,62906,3,3.8,75024,0,0,60,75.9,0.2,0.3,0,0,3.7,4.7,15.6,58,73.4,0.4,0.5,3,3.8,0,0,13.5,21,26.6,19,24.1,0,0,0,0,0,0,0,0,63.2,80,5.6,7.1,7.8,79,58.7,56629,1,1.3,6.3,5.9,7.5,75,94.9,6,4.5,68401,0,23.4,17.4
"'005904","WINDTHORST ISD",61.1,59.6,10,15.2,65.8,0,0,1.3,1.9,102400,0,6.3,9.5,5.3,5,0,0,0,0,41.9,63.7,0,1,2.1,3.1,83378,0,0,.,5,14.1,39934,6.9,19.2,44927,10.2,28.6,53108,13.6,38.1,62178,0,0,.,0,0,32.9,91.8,0,0,0,0,2.5,6.9,15.5,26.9,75.1,0,0,2,5.6,0,0,12.1,8.9,24.9,2.9,8.2,0,0,0,0,0,0,0,0,27.4,76.4,2,5.5,9.7,35.8,54.4,53138,0,0,4.3,4,11.2,33.8,94.4,2.7,4.2,67015,0,17.6,26.8
"'006902","CLAUDE ISD",58,67.1,2.7,5.2,51.6,0,1,1,1.9,119235,0,4.8,9.4,2.5,2.5,0,0,0,0,37.3,72.4,1,0,1.9,3.7,69091,3.4,11.2,33711,5,16.6,35266,5.3,17.6,42501,10.1,33.5,52450,5.4,17.8,54679,1,3.3,54540,0,0,26.4,87.4,0,0,0,0,1.1,3.5,12.9,24.7,81.8,0,0,1,3.3,0,0,10.4,5.5,18.2,3.4,11.4,0,0,0,0,0.4,1.2,0,0,25.6,84.7,1,3.3,7.7,30.2,58.5,46226,0,0,23.7,2.6,8.5,29.2,96.7,4.3,8.3,49607,0,9.4,18.2
"'007901","CHARLOTTE ISD",56.3,56,65.9,72.9,90.4,0,0,2,2.2,108500,0,11,12.2,6.5,6,0,0,0,0,54.5,60.3,2,1,2.5,2.8,84926,0,0,.,15.8,34.1,51132,9,19.4,52778,11.5,24.8,59019,10.1,21.8,64249,0,0,.,0,0,31.5,67.7,0,0,0,0,2,4.3,11.3,31.5,67.7,0,0,27.6,59.4,0,0,9,15,32.3,12,25.8,3,6.5,0,0,0,0,0,0,42.8,92.2,1.3,2.8,5.4,46.5,51.5,56261,0,0,11.4,0.4,0.8,18.9,40.6,3.5,3.8,57279,0,24.9,27.5
"'007902","JOURDANTON ISD",60.3,62.2,92.3,40.6,227,0,0,3,1.3,106337,0,28.7,12.6,2.7,2.7,5,3.8,0,0,139.9,61.6,4,0,8.5,3.7,83064,8,6.6,43016,19,15.6,44040,26,21.4,47276,34.9,28.7,55304,30.6,25.2,64651,3,2.5,66963,0,0,90.9,74.8,0.1,0.1,0,0,4.9,4.1,13.1,96,79,0,0,29.1,24,0,0,12.8,25.5,21,30.6,25.2,0,0,2.7,2.3,0,0,0,0,95.4,78.5,10.7,8.8,5.1,121.5,53.5,53659,2,1.6,12.9,7.6,6.3,90.4,74.4,6.9,3,72717,0,58.5,25.7
"'007904","LYTLE ISD",62.3,58.7,186.4,61,305.4,0,0,7.5,2.5,88853,0,45.6,14.9,4,4,3.8,2.5,0,0,170.6,55.8,4,3,9.5,3.1,75429,6.5,4.8,54763,37,27.4,50903,27.5,20.4,55312,43.1,31.9,56882,17.9,13.3,60649,3,2.2,62026,0,0,97.5,72.2,1.2,0.9,2,1.5,6.8,5.1,11.1,97.5,72.2,0,0,54.8,40.6,0,0,13,37.5,27.8,35.5,26.3,1,0.7,3.5,2.6,1,0.7,1,0.7,95.2,70.5,15.2,11.2,6.8,135,44.2,55437,0,0,13,13.1,9.7,77.2,57.2,18.5,6.1,64409,0,89.3,29.2
"'007905","PLEASANTON ISD",60.4,67.6,261.4,52.6,497.2,4,0,8,1.6,104198,0,68.6,13.8,7.3,7.3,7,6.9,0,28.1,298.8,60.1,9,0,12,2.4,81217,18,7.3,51341,64,25.8,52244,55,22.2,55897,64.8,26.2,60302,40,16.1,65240,5.9,2.4,69499,0,0,181.8,73.4,0,0,3,1.2,5,2,11.1,190.8,77,2,0.8,91,36.7,0,0,13.8,57,23,65.9,26.6,0,0,7,2.8,0,0,0,0,183.8,74.2,37.1,15,7.2,247.8,49.8,57609,4,1.6,14.7,12.8,5.2,149.8,60.5,31,6.2,67819,4.4,129.7,26.1
"'007906","POTEET ISD",60.3,60.2,167.2,67.7,247.1,1,0,4,1.6,98534,0,23.5,9.5,7,5.5,4.7,4.7,0,0,156.2,63.2,7,0,7,2.8,76836,12.7,10.4,44500,34,28,44982,25,20.6,50504,25,20.6,56058,17.9,14.7,61506,7,5.8,62951,0,0,94.6,77.8,0,0,1,0.8,3,2.5,11.5,87.8,72.2,0,0,71.7,59,0,0,13.2,33.8,27.8,25.9,21.3,1,0.8,0,0,0,0,0,0,100.9,83,7.3,6,5.3,121.6,49.2,51809,0,0,21.5,10.4,8.6,48.9,40.2,23.7,9.6,57836,0,67.3,27.3
"'008901","BELLVILLE ISD",63.7,65.1,75.1,21.8,343.7,3,2,5,1.5,109249,0,36.9,10.7,4,3.4,4.8,2,2,0,212.2,61.7,5,1,10,2.9,80385,8.2,4.8,44859,43.6,25.4,45190,31,18,46501,48.8,28.4,52598,26.9,15.7,58456,13.4,7.8,67083,0,0,144.1,83.9,1.9,1.1,4.9,2.8,1,0.6,13,143.7,83.6,0.5,0.3,12,7,0,0,12.7,28.2,16.4,25.3,14.7,2,1.2,5.4,3.1,0.4,0.2,0,0,137,79.7,17.2,10,7.7,171.9,50,51299,1,0.6,11.4,8.9,5.2,154,89.6,25.3,7.4,59950,0,94.6,27.5
"'008902","SEALY ISD",63.3,68.8,99.5,27.4,363.5,2,0,8,2.2,100910,0,37.4,10.3,5.5,4.3,3,2.7,0,0,251,69.1,7,0,10,2.8,78529,14,6.8,49000,61.2,29.6,51071,37.8,18.3,52968,60,29.1,54582,30.5,14.8,62153,3,1.5,66156,0,0,178.5,86.4,18.9,9.1,12,5.8,4,1.9,10.6,156.5,75.8,1,0.5,36,17.4,0,0,13.6,50,24.2,27,13.1,1,0.5,17.1,8.3,0,0,0,0,123.7,59.9,30.3,14.7,7.1,206.5,56.8,54154,1,0.5,13.7,11.5,5.6,157.5,76.3,26.6,7.3,64028,0,75.1,20.7
"'008903","BRAZOS ISD",56.8,57.1,34.3,26.7,128.5,1,0,3.3,2.5,85539,0,13,10.1,7,6.3,1,1,0,0,78.5,61.1,1,2,4,3.1,81182,2,3.1,41000,19,29.5,42389,9.9,15.4,49706,20.5,31.8,55953,8,12.4,59775,5,7.8,62400,0,0,51.7,80.3,0,0,4,6.2,4.4,6.8,12.9,44.7,69.4,0,0,4,6.2,0,0,12.3,19.7,30.6,12.7,19.7,0,0,2.3,3.6,0,0,0,0,49.4,76.7,4.1,6.3,7.2,64.4,50.1,51501,3,4.7,21,4.2,6.6,53.4,82.9,6.8,5.3,57423,0,37,28.8
"'009901","MULESHOE ISD",63.4,70.6,93.6,42.5,220,0,0,4,1.8,108800,0,41.2,18.7,5,5,3,3,1.3,0,139.5,63.4,6,1,7,3.2,78786,6,5.3,40020,41,36.1,41576,12.1,10.7,44257,28.9,25.5,51561,19.5,17.2,57977,6,5.3,62022,0,0,92.5,81.5,3.5,3,0,0,16.6,14.7,11.5,89.6,78.9,0,0,31.1,27.4,0,0,11.8,23.9,21.1,21,18.5,0,0,3.6,3.1,0,0,0,0,70.1,61.7,11.2,9.9,6.5,113.5,51.6,48221,1,0.9,19.7,8.6,7.6,81.4,71.7,15,6.8,55930,0,39.3,17.9
"'010901","MEDINA ISD",55.6,57.9,10.9,14.8,73.7,0,0,2,2.7,100193,0,1.9,2.6,2,2,0,0,0,0,41,55.6,1,0,1.3,1.7,74189,2,6,32489,9.2,27.6,38389,5,14.9,43112,11.7,35,54944,3,9,55140,2.5,7.5,58198,0,0,28.7,85.9,0,0,0,0,3.3,9.8,12.5,24,71.6,0,0,4,12,0,0,8.2,9.5,28.4,4.7,14.1,0,0,2.5,7.5,0,0,0,0,20.8,62.3,3.8,11.3,4,33.5,45.4,47522,1,3,24.6,3,9.1,28.5,85.1,4.3,5.8,49261,0,30.8,41.8
"'010902","BANDERA ISD",59.3,61.7,62,20.4,304.4,4,0,6,2,111400,0,30.5,10,6,4.8,4.2,2.2,0.8,0,185,60.8,5,0,10.7,3.5,78588,11.5,7.8,46713,38,25.6,47804,18,12.1,50367,49,33,55386,28,18.8,60846,4,2.7,64466,0,0,111.3,74.9,0.1,0,3,2,10.5,7.1,12.2,119.8,80.6,0.4,0.3,25.7,17.3,0,0,14.9,28.8,19.4,37.3,25.1,0,0,5.5,3.7,0,0,0,0,111.3,74.9,13.6,9.1,6.8,148.6,48.8,53439,0,0,19.4,7.1,4.8,119.8,80.6,19.8,6.5,62702,0,88.9,29.2
"'011901","BASTROP ISD",65.7,80.4,444.4,34.4,1291.1,10,0,17,1.3,118801,0,208.5,16.2,4.7,3.4,4.4,3.7,0,0,974.5,75.5,21,0,41.9,3.2,85636,88.5,12,47967,241,32.8,50595,115.9,15.8,52005,159.2,21.6,54144,111.2,15.1,61193,20,2.7,69519,5,0.7,564.9,76.8,66.8,9.1,43,5.8,78.2,10.6,10.3,554.3,75.3,3,0.4,146.7,19.9,3,0.4,15.4,181.4,24.7,139.5,19,23.4,3.2,63.9,8.7,7.9,1.1,1,0.1,382.3,52,108.4,14.7,6,735.7,57,53385,20.9,2.8,18.8,33.1,4.5,516.1,70.1,179.8,13.9,61727,0,108.1,8.4
"'011902","ELGIN ISD",59.7,58.3,334,49.5,674.4,5,0,12,1.8,112766,0,75.4,11.2,5,4.4,3.6,3,2.4,0,414.5,61.5,10,2,24.8,3.7,87834,19.2,6.5,50616,139.4,46.8,51372,49.9,16.8,54537,62.2,20.9,59010,22,7.4,63392,5,1.7,65287,1,0.3,227.1,76.3,33.9,11.4,19,6.4,8.3,2.8,8.2,224.6,75.5,3,1,94.9,31.9,2,0.7,15.5,73,24.5,66.5,22.4,3,1,0,0,1,0.3,0,0,209.7,70.5,26.7,9,3.9,297.6,44.1,54572,1,0.3,20.5,16,5.4,179.7,60.4,80.1,11.9,64813,0,184.5,27.3
"'011904","SMITHVILLE ISD",57.1,65.4,44.5,17.1,260.5,2,2,5,1.9,103009,0,37.4,14.4,2,2,4.8,2.8,0,0,167.9,64.5,5,0,8,3.1,74872,10,7.4,43748,36.3,27.2,47397,31,23.2,48970,33.9,25.4,54211,18.5,13.8,61686,4,3,63085,0,0,99.7,74.6,0.5,0.4,5.8,4.3,6,4.5,11.3,105.2,78.7,0.1,0.1,13,9.7,1,0.7,13.1,28.5,21.3,33.9,25.4,0,0,0,0,0,0,0,0,104.4,78.1,17.5,13.1,6.7,133.6,51.3,51666,3,2.2,22,5.2,3.9,110.9,83,21.3,8.2,59515,0,55.2,21.2
"'011905","MCDADE ISD",55.2,59.6,15,22.6,66.3,1,0,2.8,4.2,76055,0,8.8,13.2,3.5,2.5,2,2,0,0,38.7,58.4,0,1,2,3,67875,3.7,11.4,46572,17,51.9,40292,3.8,11.5,44575,5,15.3,52102,2,6.1,54540,1.2,3.8,62739,0,0,24.7,75.6,0,0,1,3.1,0,0,6.9,21.7,66.4,0,0,2,6.1,1.8,5.3,10.1,11,33.6,6,18.3,2,6.1,0,0,0,0,0,0,28.1,86,0.7,2.1,2.9,32.7,49.4,45024,0,0,32.6,3.9,11.9,28,85.5,1.3,1.9,55329,0,18.8,28.4
"'012901","SEYMOUR ISD",60.3,65.6,11.8,12.4,95.3,1,0,1,1,100000,0,12.8,13.4,3.3,2.7,0,0,0,0,60.6,63.6,2,0,2.9,3.1,73965,2,3.9,35795,10.8,21.7,39960,8.8,17.7,44869,15.4,31,55029,10.8,21.8,61108,2,3.9,60079,0,0,42.1,84.7,0,0,1,2,1,2,14.3,38.2,76.7,0,0,2,3.9,0,0,12.4,11.6,23.3,6.7,13.4,1,2,0,0,0,0,0,0,41.4,83.1,2.2,4.5,8.5,49.8,52.2,50732,0,0,8.5,5.2,10.4,46.8,94.1,6.9,7.3,52366,0,21.9,23
"'013801","ST MARY'S ACADEMY CHARTER SCHOOL",54.4,58.9,43.4,61.6,70.5,0,0,1.5,2.2,83459,0,15.7,22.2,8,8,0,0,1.4,0,35.8,50.8,0,3,1.7,2.5,62659,1,4,38871,8.8,36.3,44380,3.9,16.1,48347,6.8,28.2,52936,2.9,12.1,56247,0.8,3.2,56230,0,0,21.5,88.7,0.3,1.3,0,0,5,20.7,10.9,23.3,96,0,0,9.8,40.3,0,0,16.1,1,4,2.7,11.3,0,0,0,0,0,0,0,0,17.8,73.4,1.1,4.5,5.6,24.3,34.4,49030,0,0,17.1,0,0,14.5,59.7,8.3,11.7,62254,0,19,27
"'013901","BEEVILLE ISD",59.2,59.6,321.6,69.7,461.7,0,2,5,1.1,128531,0,66.2,14.3,11.2,9,5.2,4,0,0,257.8,55.8,11,0,15,3.3,88190,6.8,3.4,48451,66.5,33,49245,55,27.3,51193,36,17.8,54572,32.5,16.1,63687,4.9,2.4,71014,6,3,163.9,81.3,0,0,5,2.5,0,0,10.2,144.8,71.8,1,0.5,106.6,52.9,1,0.5,15.6,56.9,28.2,30.8,15.3,7,3.5,0,0,0,0,0,0,166.7,82.6,13.2,6.5,6.7,201.7,43.7,53554,0,0,14.7,20.9,10.4,83.1,41.2,36.1,7.8,68573,0,137.6,29.8
"'013902","PAWNEE ISD",66.5,79.1,30.9,43.7,70.7,0,0,2,2.8,98170,0,19.9,28.2,4.5,4.5,0,0,0,0,30.7,43.4,0,0,2,2.8,89234,4.2,18.3,48057,9.9,43,51173,2.9,12.6,61837,3,13.1,62510,3,13.1,58483,0,0,.,0,0,18.9,82.6,0,0,0,0,9.2,40.1,6.9,20.1,87.4,0,0,6.9,30,0,0,13.7,2.9,12.6,4,17.4,0,0,0,0,0,0,0,0,13.3,58.1,0.4,1.8,3.2,22.9,32.5,54382,0,0,56.4,0,0,16.1,70,3.7,5.3,67709,0,20.1,28.4
"'013903","PETTUS ISD",56.2,62.9,40.6,53.9,75.3,0,1,2,2.7,89692,0,9.9,13.1,9.5,5,0,0,0,0,45.7,60.6,1,1,3,4,87962,4,10.9,45986,5.9,16.3,46997,5,13.6,54915,14.7,40.4,57299,5.9,16.1,66073,1,2.7,61598,0,0,29.7,81.5,0,0,0,0,0,0,13.8,28.5,78.2,0,0,10.9,29.9,1,2.7,10.2,7.9,21.8,6.8,18.5,0,0,0.1,0.1,0,0,0,0,31.3,85.8,2.2,6,3.2,36.4,48.4,55603,0,0,23.7,2.9,8.1,24.6,67.4,4.2,5.6,56040,0,19.8,26.2
