DISTRICT,DD000A00T021R,DD0NAA00T021R,DD0NOA00T021R,DD0NTA00T021R,DD0YAA00T021R,DD0YMA00T021R,DD0YXA00T021R,DD200A00T021R,DD2NAA00T021R,DD2NOA00T021R,DD2NTA00T021R,DD2YAA00T021R,DD2YMA00T021R,DD2YXA00T021R,DD300A00T021R,DD3NAA00T021R,DD3NOA00T021R,DD3NTA00T021R,DD3YAA00T021R,DD3YMA00T021R,DD3YXA00T021R,DD400A00T021R,DD4NAA00T021R,DD4NOA00T021R,DD4NTA00T021R,DD4YAA00T021R,DD4YMA00T021R,DD4YXA00T021R,DDA00A00T021R,DDANAA00T021R,DDANOA00T021R,DDANTA00T021R,DDAYAA00T021R,DDAYMA00T021R,DDAYXA00T021R,DDB00A00T021R,DDBNAA00T021R,DDBNOA00T021R,DDBNTA00T021R,DDBYAA00T021R,DDBYMA00T021R,DDBYXA00T021R,DDE00A00T021R,DDENAA00T021R,DDENOA00T021R,DDENTA00T021R,DDEYAA00T021R,DDEYMA00T021R,DDEYXA00T021R,DDF00A00T021R,DDFNAA00T021R,DDFNOA00T021R,DDFNTA00T021R,DDFYAA00T021R,DDFYMA00T021R,DDFYXA00T021R,DDH00A00T021R,DDHNAA00T021R,DDHNOA00T021R,DDHNTA00T021R,DDHYAA00T021R,DDHYMA00T021R,DDHYXA00T021R,DDI00A00T021R,DDINAA00T021R,DDINOA00T021R,DDINTA00T021R,DDIYAA00T021R,DDIYMA00T021R,DDIYXA00T021R,DDL00A00T021R,DDLNAA00T021R,DDLNOA00T021R,DDLNTA00T021R,DDLYAA00T021R,DDLYMA00T021R,DDLYXA00T021R,DDM00A00T021R,DDMNAA00T021R,DDMNOA00T021R,DDMNTA00T021R,DDMYAA00T021R,DDMYMA00T021R,DDMYXA00T021R,DDR00A00T021R,DDRNAA00T021R,DDRNOA00T021R,DDRNTA00T021R,DDRYAA00T021R,DDRYMA00T021R,DDRYXA00T021R,DDS00A00T021R,DDSNAA00T021R,DDSNOA00T021R,DDSNTA00T021R,DDSYAA00T021R,DDSYMA00T021R,DDSYXA00T021R,DDW00A00T021R,DDWNAA00T021R,DDWNOA00T021R,DDWNTA00T021R,DDWYAA00T021R,DDWYMA00T021R,DDWYXA00T021R,DISTNAME,DNC00A00T021R,DNCNAA00T021R,DNCNOA00T021R,DNCNTA00T021R,DNCYAA00T021R,DNCYMA00T021R,DNCYXA00T021R,DNM00A00T021R,DNMNAA00T021R,DNMNOA00T021R,DNMNTA00T021R,DNMYAA00T021R,DNMYMA00T021R,DNMYXA00T021R,DNS00A00T021R,DNSNAA00T021R,DNSNOA00T021R,DNSNTA00T021R,DNSYAA00T021R,DNSYMA00T021R,DNSYXA00T021R
"'001902",100,0,0,0,100,0,0,100,0,0,0,91,9,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,99,1,1,1,95,4,0,100,0,0,0,100,0,0,98,1,1,2,94,3,1,99,0,0,1,95,5,0,100,0,0,0,90,7,3,.,.,.,.,.,.,.,100,0,0,0,100,0,0,99,1,1,1,95,3,1,98,1,0,2,96,3,0,98,2,0,2,94,2,2,99,1,1,1,96,3,0,"CAYUGA ISD",99,0,0,1,98,1,0,98,1,1,2,89,9,0,100,0,0,0,100,0,0
"'001903",100,0,0,0,95,5,0,99,0,1,1,78,21,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,99,0,0,1,94,5,0,100,0,0,0,99,1,0,100,0,0,0,96,4,0,99,1,0,1,95,5,0,100,0,0,0,95,5,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,94,5,0,100,0,0,0,99,1,0,100,0,0,0,96,4,0,99,0,0,1,95,4,0,"ELKHART ISD",100,0,0,0,98,2,0,99,1,0,1,86,12,0,100,0,0,0,92,8,0
"'001904",100,0,0,0,93,7,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,100,0,0,0,94,6,0,100,0,0,0,90,10,0,100,0,0,0,93,7,0,100,0,0,0,96,4,0,100,0,0,0,89,11,0,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,93,7,0,100,0,0,0,93,7,0,100,0,0,0,94,6,0,100,0,0,0,94,6,0,100,0,0,0,95,5,0,"FRANKSTON ISD",100,0,0,0,98,2,0,100,0,0,0,88,12,0,100,0,0,0,100,0,0
"'001906",100,0,0,0,95,0,5,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,98,1,0,2,93,5,0,98,2,0,2,90,8,0,97,2,0,3,91,6,0,100,0,0,0,91,8,0,100,0,0,0,99,0,1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,95,0,5,97,2,0,3,95,2,0,98,2,0,2,92,5,1,94,6,0,6,94,0,0,98,2,0,2,92,6,0,"NECHES ISD",100,0,0,0,96,3,0,96,4,0,4,87,9,0,100,0,0,0,67,33,0
"'001907",99,0,1,1,96,2,2,100,0,0,0,97,3,0,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,99,0,1,1,95,4,1,99,0,1,1,95,4,0,99,0,1,1,97,2,0,99,0,0,1,95,4,0,99,0,1,1,96,2,1,100,0,0,0,100,0,0,99,0,1,1,95,2,2,99,0,1,1,96,3,1,99,0,1,1,96,2,1,99,0,1,1,93,5,1,100,0,0,0,94,6,0,"PALESTINE ISD",99,0,0,1,97,2,1,99,0,1,1,89,10,0,100,0,0,0,95,5,0
"'001908",99,1,0,1,94,2,3,97,3,0,3,88,10,0,100,0,0,0,50,0,50,.,.,.,.,.,.,.,98,1,0,2,92,6,0,97,3,0,3,90,7,0,98,2,0,2,92,5,0,99,1,0,1,93,5,0,99,1,1,1,94,4,1,100,0,0,0,80,20,0,99,1,0,1,94,2,3,98,2,1,2,91,6,0,98,2,0,2,94,4,1,97,3,0,3,93,3,1,99,1,0,1,93,6,0,"WESTWOOD ISD",98,2,0,2,96,2,0,99,1,0,1,82,16,1,100,0,0,0,100,0,0
"'001909",100,0,0,0,100,0,0,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,100,0,0,0,94,5,0,100,0,0,0,44,56,0,100,0,0,0,94,6,0,99,1,0,1,93,6,0,100,0,0,0,94,6,0,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,96,4,0,100,0,0,0,98,2,0,100,0,0,0,93,7,0,100,0,0,0,95,5,0,"SLOCUM ISD",100,0,0,0,98,2,0,99,1,0,1,83,15,0,100,0,0,0,100,0,0
"'002901",100,0,0,0,92,3,5,100,0,0,0,100,0,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,100,0,0,0,96,3,1,100,0,0,0,100,0,0,100,0,0,0,97,2,1,100,0,0,0,96,3,1,100,0,0,0,97,2,1,100,0,0,0,100,0,0,100,0,0,0,90,4,6,100,0,0,0,96,3,1,100,0,0,0,97,2,1,100,0,0,0,98,1,1,100,0,0,0,98,2,0,"ANDREWS ISD",100,0,0,0,99,1,0,100,0,0,0,86,12,2,100,0,0,0,95,5,0
"'003801",93,0,7,7,89,3,1,99,0,1,1,91,7,0,77,0,23,23,77,0,0,-1,-1,-1,-1,-1,-1,-1,97,0,3,3,94,2,0,98,0,2,2,94,3,0,98,0,2,2,95,3,0,96,0,4,4,93,2,0,97,0,3,3,95,2,0,100,0,0,0,100,0,0,94,0,6,6,89,3,2,98,0,2,2,95,2,0,97,0,3,3,96,1,0,97,0,3,3,97,0,0,96,0,4,4,95,1,0,"PINEYWOODS COMMUNITY ACADEMY",96,0,4,4,95,1,0,98,0,2,2,91,7,0,100,0,0,0,100,0,0
"'003902",99,1,0,1,93,2,4,100,0,0,0,92,8,0,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,99,0,0,1,95,4,0,100,0,0,0,96,4,0,99,1,0,1,96,3,1,99,0,0,1,95,4,0,99,1,0,1,94,4,1,100,0,0,0,100,0,0,100,0,0,0,91,4,5,99,0,0,1,95,4,0,99,1,0,1,96,2,1,99,1,0,1,95,4,1,99,0,0,1,97,2,0,"HUDSON ISD",99,0,0,1,99,1,0,99,1,0,1,87,12,1,100,0,0,0,94,6,0
"'003903",100,0,0,0,95,2,3,97,2,1,3,91,6,0,95,0,5,5,87,3,5,100,0,0,0,40,60,0,99,1,0,1,94,4,1,99,1,0,1,95,4,0,99,1,0,1,95,4,1,99,1,0,1,94,4,1,100,0,0,0,95,3,2,93,7,0,7,93,0,0,100,0,0,0,94,2,4,99,1,0,1,94,4,1,99,1,0,1,95,3,1,98,1,1,2,92,5,1,98,1,0,2,92,6,0,"LUFKIN ISD",99,0,0,1,98,1,1,98,1,0,2,82,14,2,98,1,1,2,98,0,1
"'003904",100,0,0,0,93,7,0,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,96,4,0,100,0,0,0,91,9,0,100,0,0,0,94,5,0,100,0,0,0,97,3,0,100,0,0,0,95,5,0,100,0,0,0,100,0,0,100,0,0,0,93,7,0,100,0,0,0,95,5,0,100,0,0,0,95,4,0,99,1,0,1,94,5,0,100,0,0,0,96,4,0,"HUNTINGTON ISD",100,0,0,0,99,1,0,100,0,0,0,88,12,0,100,0,0,0,100,0,0
"'003905",100,0,0,0,96,1,4,100,0,0,0,100,0,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,100,0,0,0,96,3,1,99,1,0,1,96,4,0,100,0,0,0,97,2,1,100,0,0,0,97,2,1,100,0,0,0,96,2,2,.,.,.,.,.,.,.,100,0,0,0,94,1,5,100,0,0,0,96,3,1,100,0,0,0,96,3,1,99,1,0,1,92,3,3,100,0,0,0,96,4,0,"DIBOLL ISD",100,0,0,0,98,1,1,99,1,0,1,89,9,2,100,0,0,0,94,6,0
"'003906",.,.,.,.,.,.,.,100,0,0,0,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,95,5,0,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,98,1,0,99,1,0,1,94,5,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,95,5,0,100,0,0,0,98,1,0,100,0,0,0,94,6,0,100,0,0,0,95,5,0,"ZAVALLA ISD",100,0,0,0,99,1,0,98,2,0,2,84,14,0,100,0,0,0,100,0,0
"'003907",99,1,0,1,91,8,1,99,1,0,1,95,3,0,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,99,1,0,1,94,5,0,100,0,0,0,93,7,0,99,1,0,1,94,5,0,99,1,1,1,93,5,0,100,0,0,0,97,2,0,.,.,.,.,.,.,.,99,1,0,1,91,6,1,99,1,0,1,94,4,0,99,1,1,1,94,4,0,97,1,2,3,92,4,1,98,1,1,2,93,5,0,"CENTRAL ISD",99,1,0,1,98,1,0,98,2,1,2,84,14,0,100,0,0,0,100,0,0
"'004901",100,0,0,0,93,2,5,97,3,0,3,97,0,0,93,1,6,7,93,0,0,100,0,0,0,100,0,0,97,1,2,3,92,4,0,99,0,1,1,85,13,0,96,1,3,4,93,3,0,97,1,2,3,92,5,0,97,1,2,3,92,4,1,100,0,0,0,85,15,0,100,0,0,0,91,2,6,96,2,2,4,93,3,0,95,1,3,5,91,4,0,94,1,5,6,90,4,0,97,1,2,3,92,5,0,"ARANSAS COUNTY ISD",97,1,2,3,95,2,0,96,2,3,4,87,8,1,98,0,2,2,92,6,0
"'005901",100,0,0,0,85,15,0,100,0,0,0,89,0,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,99,1,0,1,95,4,0,100,0,0,0,46,54,0,100,0,0,0,96,4,0,99,1,0,1,96,2,1,99,1,0,1,93,6,0,100,0,0,0,100,0,0,100,0,0,0,71,29,0,99,0,0,1,94,5,0,99,1,0,1,96,2,1,100,0,0,0,92,5,3,99,0,0,1,97,2,0,"ARCHER CITY ISD",100,0,0,0,96,3,1,99,1,0,1,92,7,0,100,0,0,0,100,0,0
