DISTRICT,D20GI19R,D20GI20R,D20GW19R,D20GW20R,D23G419R,D23G420R,D23GG19R,D23GG20R,D2SGA19R,D2SGA20R,D30GI19R,D30GI20R,D30GW19R,D30GW20R,D33G419R,D33G420R,D33GG19R,D33GG20R,D3SGA19R,D3SGA20R,D40GI19R,D40GI20R,D40GW19R,D40GW20R,D43G419R,D43G420R,D43GG19R,D43GG20R,D4SGA19R,D4SGA20R,DA0GI19R,DA0GI20R,DA0GW19R,DA0GW20R,DA3G419R,DA3G420R,DA3GG19R,DA3GG20R,DASGA19R,DASGA20R,DB0GI19R,DB0GI20R,DB0GW19R,DB0GW20R,DB3G419R,DB3G420R,DB3GG19R,DB3GG20R,DBSGA19R,DBSGA20R,DE0GI19R,DE0GI20R,DE0GW19R,DE0GW20R,DE3G419R,DE3G420R,DE3GG19R,DE3GG20R,DESGA19R,DESGA20R,DF0GI19R,DF0GI20R,DF0GW19R,DF0GW20R,DF3G419R,DF3G420R,DF3GG19R,DF3GG20R,DFSGA19R,DFSGA20R,DH0GI19R,DH0GI20R,DH0GW19R,DH0GW20R,DH3G419R,DH3G420R,DH3GG19R,DH3GG20R,DHSGA19R,DHSGA20R,DI0GI19R,DI0GI20R,DI0GW19R,DI0GW20R,DI3G419R,DI3G420R,DI3GG19R,DI3GG20R,DISGA19R,DISGA20R,DISTNAME,DL0GI19R,DL0GI20R,DL0GW19R,DL0GW20R,DL3G419R,DL3G420R,DL3GG19R,DL3GG20R,DLSGA19R,DLSGA20R,DM0GI19R,DM0GI20R,DM0GW19R,DM0GW20R,DM3G419R,DM3G420R,DM3GG19R,DM3GG20R,DMSGA19R,DMSGA20R,DR0GI19R,DR0GI20R,DR0GW19R,DR0GW20R,DR3G419R,DR3G420R,DR3GG19R,DR3GG20R,DRSGA19R,DRSGA20R,DS0GI19R,DS0GI20R,DS0GW19R,DS0GW20R,DS3G419R,DS3G420R,DS3GG19R,DS3GG20R,DSSGA19R,DSSGA20R,DW0GI19R,DW0GI20R,DW0GW19R,DW0GW20R,DW3G419R,DW3G420R,DW3GG19R,DW3GG20R,DWSGA19R,DWSGA20R
"'070910",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,4.2,10.5,0,1.8,0,5.3,54.2,21.1,9.9,5.3,-1,.,-1,.,-1,.,-1,.,-1,.,2.5,12,0,0,0,0,51.3,20,10,8,0,5.6,0,0,0,0,46.8,5.6,3.2,0,0,8.3,0,4.2,0,0,41.1,20.8,7.1,8.3,-1,.,-1,.,-1,.,-1,.,-1,.,"PALMER ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.5,12.8,0,2.6,0,7.7,60,28.2,15,7.7,0,0,0,0,0,0,52.2,5.9,17.4,5.9,0,0,0,10,0,10,85,40,70,30,5,13.3,0,0,0,10,62.5,23.3,12.5,3.3
"'070911",44.4,11.1,0,0,0,0,61.1,11.1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,18.3,12.3,5,1.5,0,0.2,50.7,16.4,3.8,2.8,12.3,10.1,2.8,2.2,0,0.7,46.7,14.5,2.8,1.4,17,8.8,6.1,2.2,0,0,52.4,13.7,5.5,3.8,19.4,12.6,5.2,0.8,0,0,50.4,14.7,3.4,1.3,17.1,10.3,7.2,2.2,0,0,53.6,16.9,4.6,5.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"RED OAK ISD",16.7,8.3,12.5,4.2,0,0,54.2,25,4.2,12.5,17.1,12,4.8,2.2,0,0.4,51,18.2,4.3,4.4,9.9,7.1,13.7,3,0,0,56.5,14.9,9.2,6,8.1,4.7,59.5,16.3,0,0,85.1,46.5,45.9,30.2,21.2,15.5,4.7,0.6,0,0,49.7,17.8,4.1,2.3
"'070912",23.1,21.4,0,0,7.7,0,61.5,21.4,0,0,16.7,-1,0,-1,0,-1,58.3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.3,15.2,2.8,4.1,3.5,2.9,52.4,22.2,2.2,3.2,6.8,6.6,6.8,9.9,4.5,3.3,52.3,22,3.4,8.8,15,14.9,4.9,6.6,3.3,4.6,56.1,26.1,3.7,5,12.5,9.6,1.8,2.5,3.4,4.3,51.8,17.4,1.2,2.5,12,18.5,2.3,4.2,1.8,3.2,52.8,24.1,4.1,1.4,-1,0,-1,14.3,-1,0,-1,14.3,-1,0,"WAXAHACHIE ISD",0,19,6.7,19,0,0,56.7,33.3,26.7,4.8,12.1,19.7,3.9,5.4,3.6,1.7,52.9,26,3.3,3.7,12,13.2,7,7.4,4.3,2.9,52.9,23.9,4.7,5.5,16.3,8.3,36.7,41.7,0,1.7,73.5,60,28.6,33.3,13.7,15.4,2.3,2.3,4.2,2.3,51.8,20.8,0.7,3
"'070915",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,0,2.4,0,0,2.8,4.7,44.4,9.4,13.9,4.7,.,-1,.,-1,.,-1,.,-1,.,-1,0,3.4,0,0,4,3.4,56,13.8,28,6.9,0,0,0,0,0,0,42.2,2.7,11.1,2.7,0,4.5,0,0,0,4.5,59.1,9.1,36.4,9.1,.,.,.,.,.,.,.,.,.,.,"MAYPEARL ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4.2,0,0,7.4,8.3,48.1,14.6,18.5,6.3,0,7.7,0,0,5.9,0,52.9,23.1,23.5,15.4,0,-1,0,-1,10,-1,100,-1,100,-1,0,1.6,0,0,3.6,4.9,41.8,9.8,9.1,3.3
"'071801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,6.5,3.4,4.3,3.4,-1,.,-1,.,-1,.,-1,.,-1,.,0,0,0,0,0,0,8.3,6.7,8.3,6.7,0,0,0,0,0,0,0,6.7,0,6.7,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,"BURNHAM WOOD CHARTER SCHOOL DISTRI",-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,13.6,0,9.1,0,0,0,0,0,0,0,10.7,5.9,7.1,5.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'071803",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,2.9,0,0,33.5,5.7,1.2,2.9,.,.,.,.,.,.,.,.,.,.,0,0,0,3.3,0,0,36.8,6.7,1.4,3.3,0,0,0,3.2,0,0,33.8,3.2,2.5,0,0,0,0,2.9,0,0,33.5,5.7,1.3,2.9,.,.,.,.,.,.,.,.,.,.,"TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS",0,0,0,0,0,0,35.3,0,5.9,0,0,0,0,2.6,0,0,33.3,7.7,0,5.1,0,0,0,3.8,0,0,35.4,7.5,1.5,3.8,0,-1,0,-1,0,-1,41.7,-1,16.7,-1,-1,.,-1,.,-1,.,-1,.,-1,.
"'071804",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,0,15.8,0,0,0,0,12.3,17.1,0.9,1.4,-1,.,-1,.,-1,.,-1,.,-1,.,0,17.9,0,0,0,0,13.2,19.6,1.3,1.8,0,16.7,0,0,0,0,7.7,19.4,1.7,2.8,0,16.3,0,0,0,0,12.3,17.7,0.5,1.4,.,.,.,.,.,.,.,.,.,.,"EL PASO ACADEMY",0,14.3,0,0,0,0,13.6,14.3,0,0,0,14.9,0,0,0,0,17.5,14.9,0,0,0,14.7,0,0,0,0,14.8,15.6,1.1,0.9,0,10,0,0,0,0,26.7,30,13.3,20,0,0,0,0,0,0,9.1,0,0,0
"'071806",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,0,5.6,0,0.7,0,0,5.3,11.1,1.1,4.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6.7,0,1,0,0,4.9,12.4,1.4,4.8,0,4.1,0,1.4,0,0,2.3,6.8,0,1.4,0,5.3,0,0.8,0,0,5.7,11.5,1.1,5.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HARMONY SCIENCE ACAD (EL PASO)",0,6.7,0,0,0,0,0,13.3,0,6.7,0,7,0,0,0,0,8,15.5,2,8.5,0,5,0,1.3,0,0,2.1,10,0,3.8,0,0,0,12.5,0,0,16.7,100,16.7,87.5,-1,0,-1,0,-1,0,-1,0,-1,0
"'071807",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LA FE PREPARATORY SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'071809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"VISTA DEL FUTURO CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
