DISTRICT,D20GR20N,D20GR20R,D30GR20N,D30GR20R,D40GR20N,D40GR20R,DA0GA20N,DA0GA20P,DA0GE20N,DA0GE20P,DA0GH20N,DA0GH20P,DA0GM20N,DA0GM20P,DA0GN20N,DA0GN20P,DA0GR20N,DA0GR20R,DB0GR20N,DB0GR20R,DE0GR20N,DE0GR20R,DH0GR20N,DH0GR20R,DI0GR20N,DI0GR20R,DISTNAME,DL0GR20N,DL0GR20R,DR0GR20N,DR0GR20R,DS0GR20N,DS0GR20R,DW0GR20N,DW0GR20R
"'137901",0,0,0,0,0,0,183,88.8,2,1,0,0,1,0.5,20,9.7,206,100,6,2.9,126,61.2,186,90.3,0,0,"KINGSVILLE ISD",3,1.5,100,48.5,26,12.6,14,6.8
"'137902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RICARDO ISD",.,.,.,.,.,.,.,.
"'137903",0,0,0,0,0,0,37,92.5,0,0,0,0,0,0,3,7.5,40,100,0,0,26,65,32,80,0,0,"RIVIERA ISD",2,5,17,42.5,1,2.5,8,20
"'137904",1,1.1,3,3.3,0,0,92,100,0,0,0,0,0,0,0,0,92,100,3,3.3,29,31.5,62,67.4,0,0,"SANTA GERTRUDIS ISD",0,0,5,5.4,1,1.1,23,25
"'138902",0,0,0,0,0,0,15,78.9,0,0,0,0,0,0,4,21.1,19,100,2,10.5,12,63.2,9,47.4,0,0,"KNOX CITY-O'BRIEN CISD",1,5.3,8,42.1,2,10.5,8,42.1
"'138903",1,4.3,0,0,0,0,15,65.2,7,30.4,0,0,0,0,1,4.3,23,100,0,0,13,56.5,11,47.8,0,0,"MUNDAY CISD",0,0,6,26.1,3,13,11,47.8
"'138904",0,0,0,0,0,0,5,62.5,3,37.5,0,0,0,0,0,0,8,100,0,0,5,62.5,3,37.5,0,0,"BENJAMIN ISD",0,0,1,12.5,1,12.5,5,62.5
"'139905",2,2.6,0,0,0,0,50,65.8,0,0,0,0,1,1.3,25,32.9,76,100,3,3.9,33,43.4,5,6.6,1,1.3,"CHISUM ISD",0,0,8,10.5,3,3.9,65,85.5
"'139909",6,2.4,3,1.2,0,0,150,61,4,1.6,0,0,0,0,92,37.4,246,100,88,35.8,167,67.9,41,16.7,1,0.4,"PARIS ISD",6,2.4,77,31.3,37,15,107,43.5
"'139911",4,2.3,3,1.7,0,0,126,72.8,0,0,0,0,0,0,47,27.2,173,100,8,4.6,67,38.7,14,8.1,6,3.5,"NORTH LAMAR ISD",1,0.6,63,36.4,22,12.7,138,79.8
"'139912",2,2.6,0,0,0,0,72,92.3,0,0,0,0,0,0,6,7.7,78,100,0,0,26,33.3,5,6.4,0,0,"PRAIRILAND ISD",0,0,5,6.4,2,2.6,71,91
"'140901",0,0,0,0,0,0,8,100,0,0,0,0,0,0,0,0,8,100,1,12.5,8,100,7,87.5,0,0,"AMHERST ISD",2,25,3,37.5,1,12.5,0,0
"'140904",1,1.2,0,0,0,0,79,95.2,0,0,0,0,0,0,4,4.8,83,100,3,3.6,55,66.3,61,73.5,0,0,"LITTLEFIELD ISD",1,1.2,39,47,11,13.3,18,21.7
