DISTRICT,DD004AMA1221R,DD004AMA1321R,DD004AMA1S21R,DD004ARE1221R,DD004ARE1321R,DD004ARE1S21R,DD004AWR1221R,DD004AWR1321R,DD004AWR1S21R,DD204AMA1221R,DD204AMA1321R,DD204AMA1S21R,DD204ARE1221R,DD204ARE1321R,DD204ARE1S21R,DD204AWR1221R,DD204AWR1321R,DD204AWR1S21R,DD304AMA1221R,DD304AMA1321R,DD304AMA1S21R,DD304ARE1221R,DD304ARE1321R,DD304ARE1S21R,DD304AWR1221R,DD304AWR1321R,DD304AWR1S21R,DD404AMA1221R,DD404AMA1321R,DD404AMA1S21R,DD404ARE1221R,DD404ARE1321R,DD404ARE1S21R,DD404AWR1221R,DD404AWR1321R,DD404AWR1S21R,DDA04AMA1221R,DDA04AMA1321R,DDA04AMA1S21R,DDA04ARE1221R,DDA04ARE1321R,DDA04ARE1S21R,DDA04AWR1221R,DDA04AWR1321R,DDA04AWR1S21R,DDB04AMA1221R,DDB04AMA1321R,DDB04AMA1S21R,DDB04ARE1221R,DDB04ARE1321R,DDB04ARE1S21R,DDB04AWR1221R,DDB04AWR1321R,DDB04AWR1S21R,DDE04AMA1221R,DDE04AMA1321R,DDE04AMA1S21R,DDE04ARE1221R,DDE04ARE1321R,DDE04ARE1S21R,DDE04AWR1221R,DDE04AWR1321R,DDE04AWR1S21R,DDF04AMA1221R,DDF04AMA1321R,DDF04AMA1S21R,DDF04ARE1221R,DDF04ARE1321R,DDF04ARE1S21R,DDF04AWR1221R,DDF04AWR1321R,DDF04AWR1S21R,DDH04AMA1221R,DDH04AMA1321R,DDH04AMA1S21R,DDH04ARE1221R,DDH04ARE1321R,DDH04ARE1S21R,DDH04AWR1221R,DDH04AWR1321R,DDH04AWR1S21R,DDI04AMA1221R,DDI04AMA1321R,DDI04AMA1S21R,DDI04ARE1221R,DDI04ARE1321R,DDI04ARE1S21R,DDI04AWR1221R,DDI04AWR1321R,DDI04AWR1S21R,DDL04AMA1221R,DDL04AMA1321R,DDL04AMA1S21R,DDL04ARE1221R,DDL04ARE1321R,DDL04ARE1S21R,DDL04AWR1221R,DDL04AWR1321R,DDL04AWR1S21R,DDM04AMA1221R,DDM04AMA1321R,DDM04AMA1S21R,DDM04ARE1221R,DDM04ARE1321R,DDM04ARE1S21R,DDM04AWR1221R,DDM04AWR1321R,DDM04AWR1S21R,DDR04AMA1221R,DDR04AMA1321R,DDR04AMA1S21R,DDR04ARE1221R,DDR04ARE1321R,DDR04ARE1S21R,DDR04AWR1221R,DDR04AWR1321R,DDR04AWR1S21R,DDS04AMA1221R,DDS04AMA1321R,DDS04AMA1S21R,DDS04ARE1221R,DDS04ARE1321R,DDS04ARE1S21R,DDS04AWR1221R,DDS04AWR1321R,DDS04AWR1S21R,DDW04AMA1221R,DDW04AMA1321R,DDW04AMA1S21R,DDW04ARE1221R,DDW04ARE1321R,DDW04ARE1S21R,DDW04AWR1221R,DDW04AWR1321R,DDW04AWR1S21R,DISTNAME,DNC04AMA1221R,DNC04AMA1321R,DNC04AMA1S21R,DNC04ARE1221R,DNC04ARE1321R,DNC04ARE1S21R,DNC04AWR1221R,DNC04AWR1321R,DNC04AWR1S21R,DNM04AMA1221R,DNM04AMA1321R,DNM04AMA1S21R,DNM04ARE1221R,DNM04ARE1321R,DNM04ARE1S21R,DNM04AWR1221R,DNM04AWR1321R,DNM04AWR1S21R,DNS04AMA1221R,DNS04AMA1321R,DNS04AMA1S21R,DNS04ARE1221R,DNS04ARE1321R,DNS04ARE1S21R,DNS04AWR1221R,DNS04AWR1321R,DNS04AWR1S21R
"'001902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,43,80,64,42,82,41,14,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,35,82,69,44,88,24,0,76,47,35,65,47,29,71,35,24,71,71,43,100,57,14,86,29,0,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,47,88,73,48,88,44,9,76,40,20,60,0,0,60,20,0,40,17,17,50,17,17,17,0,0,0,63,46,76,63,48,80,46,17,73,"CAYUGA ISD",59,47,75,63,44,81,41,22,66,63,37,89,67,39,83,42,0,89,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,51,88,59,37,88,47,22,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,39,81,45,19,90,35,13,65,63,44,90,59,37,85,48,19,83,56,33,78,44,44,89,44,11,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,59,84,59,38,91,47,25,66,42,21,68,21,11,79,5,0,37,0,0,0,0,0,33,0,0,17,71,55,91,62,34,90,49,24,80,"ELKHART ISD",67,51,88,57,37,90,47,22,71,67,50,88,63,38,83,48,20,84,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,51,23,79,51,17,77,34,6,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,25,75,46,18,71,29,4,68,43,22,74,48,17,74,39,13,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,25,83,54,17,79,29,0,75,25,19,56,25,13,38,31,6,63,57,0,71,57,0,71,43,0,57,56,25,89,53,19,81,33,6,78,"FRANKSTON ISD",60,27,83,60,20,87,40,7,80,35,18,71,35,12,59,24,6,65,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,50,17,71,33,13,58,25,4,58,40,20,80,40,20,60,20,0,40,64,14,79,43,21,64,29,0,57,45,9,45,36,18,55,36,9,82,80,40,80,40,20,80,40,20,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,54,23,92,31,8,62,15,0,38,25,0,63,25,0,50,13,0,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,8,67,33,8,58,25,0,75,"NECHES ISD",50,17,67,33,17,56,22,6,67,50,17,83,33,0,67,33,0,33,.,.,.,.,.,.,.,.,.
"'001907",26,9,57,17,10,52,8,0,38,22,11,33,33,11,56,13,0,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,27,14,55,31,12,61,13,1,42,10,3,31,20,3,44,10,0,31,20,9,48,23,7,54,10,1,35,22,9,52,30,8,64,14,3,40,28,13,60,24,9,60,9,1,43,.,.,.,.,.,.,.,.,.,25,10,56,16,10,51,8,0,37,30,17,58,31,15,59,13,0,44,18,5,43,13,4,40,6,0,25,24,9,29,15,0,26,14,3,26,40,24,74,47,24,79,21,3,55,"PALESTINE ISD",28,14,58,29,11,62,14,1,45,23,12,46,35,13,58,10,2,35,50,0,83,33,0,83,0,0,67
"'001908",40,20,60,0,0,0,40,0,60,22,0,67,0,0,44,11,0,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,18,65,22,8,46,20,1,45,38,38,56,38,19,56,18,6,41,30,15,61,20,7,39,21,1,42,26,14,55,17,7,44,24,2,48,37,17,73,7,0,34,20,0,40,.,.,.,.,.,.,.,.,.,40,20,60,0,0,0,40,0,60,46,22,74,26,9,48,17,0,43,28,6,61,22,6,28,22,0,50,11,6,17,11,6,17,11,0,28,39,15,61,33,12,52,24,0,52,"WESTWOOD ISD",38,17,65,17,6,48,23,2,47,30,22,65,35,13,39,13,0,39,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001909",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,10,62,62,43,76,43,10,76,.,.,.,.,.,.,.,.,.,10,0,40,50,30,60,30,10,60,36,7,57,71,50,71,43,14,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,14,71,43,29,86,43,0,71,20,0,60,20,0,60,40,0,40,20,0,20,20,0,20,20,0,20,39,11,61,72,50,78,44,11,83,"SLOCUM ISD",39,11,67,67,44,83,44,6,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'002901",18,8,50,36,6,54,24,2,50,60,40,80,60,20,60,40,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,41,25,71,37,11,68,25,3,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,16,64,31,10,60,22,2,52,37,23,69,39,10,70,29,3,60,33,20,68,31,9,63,22,2,56,.,.,.,.,.,.,.,.,.,9,2,42,26,5,47,16,2,42,46,28,74,34,13,66,20,3,55,18,6,48,26,4,51,20,1,40,26,13,39,22,4,43,17,9,30,58,38,77,45,17,81,29,6,62,"ANDREWS ISD",44,26,75,37,10,68,27,4,60,36,23,63,36,14,68,20,1,52,20,20,100,20,0,100,0,0,20
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,59,40,79,51,29,70,37,11,55,20,0,60,20,10,20,0,0,0,46,30,72,41,22,59,30,11,43,63,44,78,59,41,70,59,19,67,68,46,82,39,25,71,43,14,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,38,80,47,24,69,25,7,49,30,14,64,20,7,43,9,0,25,8,8,38,15,8,23,0,0,15,55,42,79,61,32,76,34,5,63,"PINEYWOODS COMMUNITY ACADEMY",51,34,74,46,26,64,28,7,46,81,57,95,67,38,86,62,24,81,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003902",35,20,60,45,5,55,25,0,45,29,29,71,57,14,71,43,14,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,45,29,70,49,27,72,33,10,61,7,0,43,36,7,64,7,0,36,26,10,54,28,10,56,13,1,42,49,30,75,57,30,80,37,17,66,37,21,61,36,13,55,21,2,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,20,60,45,5,55,25,0,45,42,27,66,42,24,63,30,3,55,22,11,47,27,4,56,13,0,38,11,4,19,12,8,23,11,0,22,55,35,79,57,37,81,42,16,69,"HUDSON ISD",52,35,77,55,31,75,39,13,64,31,15,56,35,18,65,21,5,54,57,43,86,43,29,86,14,14,71
"'003903",28,12,58,27,7,52,16,2,38,42,25,50,33,17,50,33,25,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,35,21,60,35,16,60,27,7,50,18,9,45,24,10,52,18,5,40,31,17,57,30,13,57,24,6,47,30,18,55,39,20,62,32,9,57,35,16,61,31,12,59,24,3,46,.,.,.,.,.,.,.,.,.,26,12,57,26,7,51,15,2,35,40,23,65,32,14,59,22,6,45,25,11,50,24,9,52,16,3,38,25,16,33,25,7,36,21,13,34,58,44,79,62,35,76,46,17,73,"LUFKIN ISD",38,21,63,38,19,64,29,8,53,23,18,52,24,8,45,19,3,40,0,0,44,22,0,56,0,0,0
"'003904",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,18,65,37,18,59,28,6,57,17,17,33,33,17,33,17,0,33,23,13,62,30,15,53,27,2,52,35,18,65,43,25,63,39,10,67,17,17,50,33,17,50,17,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,27,18,65,32,11,56,19,3,48,5,0,32,11,11,21,5,0,21,0,0,36,9,9,9,9,0,18,33,18,68,38,19,61,29,6,59,"HUNTINGTON ISD",29,17,64,39,21,57,26,7,56,38,19,65,31,8,65,35,4,58,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003905",47,35,76,35,12,76,35,18,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,26,67,40,15,68,23,4,60,22,22,50,33,11,56,17,0,50,38,26,67,40,15,68,23,4,60,31,22,57,39,15,65,22,4,59,40,23,67,40,14,70,28,7,58,.,.,.,.,.,.,.,.,.,0,0,50,13,0,50,13,13,38,46,31,77,42,15,71,23,4,60,16,2,38,24,7,49,16,2,42,21,0,36,21,7,29,21,0,36,47,34,74,45,16,71,21,3,68,"DIBOLL ISD",39,29,66,39,14,65,22,5,54,35,17,70,43,17,78,26,0,78,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003906",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,22,83,28,11,56,28,0,44,.,.,.,.,.,.,.,.,.,20,10,80,0,0,40,0,0,20,40,40,80,40,20,60,40,0,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,15,85,23,8,54,23,0,46,20,20,60,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,24,82,24,6,53,24,0,41,"ZAVALLA ISD",50,29,93,36,14,64,36,0,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.
"'003907",36,18,73,18,18,73,45,0,73,33,17,67,50,17,67,33,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,22,69,46,27,75,35,10,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,22,69,46,27,75,35,10,62,33,16,69,49,31,84,45,11,66,48,24,72,34,24,76,31,0,72,.,.,.,.,.,.,.,.,.,20,20,60,0,0,60,40,0,60,50,27,69,44,25,69,27,10,59,17,13,30,9,0,35,13,0,35,29,10,43,19,10,33,21,11,37,41,23,68,49,29,75,38,15,58,"CENTRAL ISD",46,25,70,52,31,77,39,11,67,34,16,66,31,19,72,23,6,48,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'004901",14,7,36,21,0,50,29,7,50,29,14,86,43,0,86,43,14,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,11,52,29,12,59,29,7,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,7,43,20,6,52,21,5,51,20,11,51,28,11,63,29,8,63,17,8,44,24,5,53,23,4,49,.,.,.,.,.,.,.,.,.,8,0,25,17,0,42,17,8,42,24,10,53,29,14,55,29,7,54,9,4,30,12,5,38,13,4,37,10,2,17,15,2,24,15,8,18,25,13,56,32,19,63,32,8,65,"ARANSAS COUNTY ISD",23,13,53,29,11,62,27,7,64,20,7,49,29,14,54,32,9,49,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'005901",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,48,90,66,48,93,55,10,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,37,95,63,42,100,47,11,95,69,54,85,77,54,85,62,15,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,44,94,56,44,100,50,6,94,50,25,75,50,33,83,33,8,92,0,0,60,20,20,80,20,0,80,70,52,87,70,57,91,57,9,91,"ARCHER CITY ISD",62,52,95,67,57,95,62,14,90,63,38,75,63,25,88,38,0,100,.,.,.,.,.,.,.,.,.
"'005902",-1,-1,-1,-1,-1,-1,-1,-1,-1,43,29,71,43,14,71,43,14,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,19,74,45,22,77,27,8,64,.,.,.,.,.,.,.,.,.,29,25,50,25,17,63,17,4,50,46,22,76,51,32,89,35,11,73,29,0,71,14,0,71,0,0,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,18,73,40,13,65,20,5,55,6,0,24,12,0,47,6,6,18,0,0,8,0,0,25,0,0,8,50,21,74,50,26,79,29,8,68,"HOLLIDAY ISD",46,14,71,41,13,79,21,7,63,52,33,81,57,48,71,43,10,67,.,.,.,.,.,.,.,.,.
"'005904",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,43,93,83,67,97,83,23,93,.,.,.,.,.,.,.,.,.,43,14,71,57,29,86,43,0,71,89,56,89,89,78,94,83,28,89,50,33,67,67,50,83,33,0,67,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,25,100,75,50,100,83,17,100,57,0,71,43,14,86,57,0,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,46,100,88,71,100,96,29,100,"WINDTHORST ISD",87,48,96,78,70,96,87,26,96,71,29,86,100,57,100,71,14,86,.,.,.,.,.,.,.,.,.
"'006902",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,50,95,64,27,91,55,23,86,.,.,.,.,.,.,.,.,.,71,43,86,57,29,86,57,14,86,60,50,100,70,30,90,50,20,90,67,33,100,50,17,83,67,0,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,50,92,58,25,92,58,25,83,63,38,88,38,0,75,38,13,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,60,100,73,33,93,53,33,87,"CLAUDE ISD",86,64,100,71,36,100,50,21,86,50,25,88,50,13,75,63,25,88,.,.,.,.,.,.,.,.,.
"'007901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,25,67,17,13,46,8,0,36,.,.,.,.,.,.,.,.,.,18,12,53,12,12,41,11,0,28,50,33,100,33,17,67,14,0,43,25,20,60,10,10,40,10,0,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,22,56,11,11,39,6,0,33,23,18,64,9,9,41,4,0,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"CHARLOTTE ISD",21,16,58,11,11,37,10,0,30,60,60,100,40,20,80,0,0,60,.,.,.,.,.,.,.,.,.
"'007902",100,40,100,80,0,100,33,17,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,23,70,35,14,59,23,9,45,.,.,.,.,.,.,.,.,.,41,18,65,27,10,49,11,4,32,42,24,69,36,13,58,30,9,52,48,23,69,33,10,59,23,8,50,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,23,72,34,15,60,17,9,39,20,7,47,13,0,20,0,0,17,41,18,59,35,18,53,26,21,42,50,22,72,36,22,58,22,11,35,"JOURDANTON ISD",48,25,72,32,13,57,21,9,46,52,21,66,41,17,66,27,10,43,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007904",14,14,36,14,14,29,0,0,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,16,54,23,12,50,18,4,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,15,46,13,7,41,9,1,34,28,15,52,28,15,59,25,6,49,21,14,50,18,9,46,18,5,41,.,.,.,.,.,.,.,.,.,14,14,36,14,14,29,0,0,21,23,17,56,17,8,40,10,2,33,16,8,47,12,5,40,7,0,29,27,9,45,18,0,36,9,0,27,45,25,70,45,25,70,20,0,50,"LYTLE ISD",27,14,51,24,13,51,21,6,44,23,19,61,19,10,48,10,0,35,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007905",29,12,47,24,12,41,18,0,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,20,55,29,13,51,17,5,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,14,47,22,10,44,14,4,30,33,19,51,31,14,56,19,7,50,28,18,47,26,9,50,16,4,38,.,.,.,.,.,.,.,.,.,29,12,47,24,12,41,18,0,18,38,21,58,28,12,47,15,3,35,13,3,34,9,2,30,5,0,18,24,15,29,18,12,21,12,6,18,50,23,66,37,21,50,20,6,48,"PLEASANTON ISD",36,19,56,29,14,52,18,7,41,37,22,50,32,12,48,15,0,43,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007906",27,18,82,36,18,55,18,0,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,13,55,31,8,60,17,3,48,.,.,.,.,.,.,.,.,.,30,12,47,30,13,58,19,2,46,22,4,52,35,9,74,17,4,58,27,12,54,30,9,60,17,3,49,.,.,.,.,.,.,.,.,.,30,20,80,30,20,50,20,0,50,35,23,58,27,8,46,16,2,37,17,8,41,15,6,45,10,0,30,33,17,39,39,6,39,38,13,38,44,22,67,44,0,67,11,0,33,"POTEET ISD",29,13,56,33,9,63,11,3,49,26,15,52,26,7,52,33,4,44,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'008901",12,6,41,12,12,24,24,6,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,18,58,33,19,59,36,7,60,0,0,12,0,0,24,6,0,24,23,10,38,17,8,39,20,3,41,38,15,54,40,26,65,48,8,69,25,11,43,20,14,48,30,5,57,.,.,.,.,.,.,.,.,.,7,0,29,7,7,7,7,0,21,39,20,61,27,12,54,26,7,53,5,0,25,5,5,10,5,0,20,10,10,20,10,5,25,5,0,25,55,24,76,47,25,73,47,9,71,"BELLVILLE ISD",39,20,60,35,21,60,39,9,63,38,8,46,27,8,54,23,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'008902",25,3,53,25,10,45,10,0,26,50,17,67,33,33,50,0,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,41,21,66,31,16,58,17,3,38,15,0,38,8,0,38,0,0,15,31,10,58,24,10,53,13,2,29,43,19,66,41,19,74,23,2,50,34,16,61,29,15,56,17,2,35,.,.,.,.,.,.,.,.,.,26,3,54,26,10,46,10,0,26,39,23,66,23,12,44,11,3,26,25,2,51,22,8,43,10,0,24,39,17,57,22,0,43,9,0,13,54,33,77,39,19,65,22,4,46,"SEALY ISD",41,23,66,32,17,57,16,3,36,42,12,64,30,9,64,23,3,45,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'008903",50,38,63,13,13,38,25,0,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,48,86,41,17,66,33,5,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,32,76,32,12,60,28,0,44,44,33,83,39,11,67,39,6,50,50,45,73,41,9,59,32,0,50,.,.,.,.,.,.,.,.,.,50,38,63,13,13,38,25,0,38,71,58,88,43,22,65,29,4,58,44,33,67,11,11,44,22,0,33,60,20,80,40,20,40,20,0,40,71,53,100,38,25,75,29,12,53,"BRAZOS ISD",65,52,90,37,17,63,29,6,52,45,36,73,55,18,73,45,0,64,.,.,.,.,.,.,.,.,.
"'009901",32,20,51,20,10,51,17,0,34,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,19,53,22,11,48,15,4,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,16,49,19,9,44,14,1,38,30,18,49,22,12,48,23,6,45,29,15,53,21,10,46,14,1,38,.,.,.,.,.,.,.,.,.,24,14,46,14,5,46,8,0,27,34,20,59,20,9,48,5,0,30,24,15,43,11,4,41,7,0,29,12,0,18,6,0,18,13,0,13,60,60,70,30,20,70,30,30,60,"MULESHOE ISD",33,18,55,22,10,48,16,3,40,25,25,45,20,15,45,15,5,35,.,.,.,.,.,.,.,.,.
"'010901",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,0,62,54,0,92,31,8,69,.,.,.,.,.,.,.,.,.,11,0,56,44,0,89,22,11,56,10,0,60,50,0,90,30,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,0,80,60,0,100,60,20,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,0,60,50,0,90,30,10,60,"MEDINA ISD",17,0,50,50,0,100,17,0,67,14,0,71,57,0,86,43,14,71,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'010902",55,27,64,27,0,36,9,0,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,23,61,29,13,54,14,5,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,18,55,17,7,45,7,1,22,30,23,66,35,14,62,17,8,45,35,22,61,20,8,47,9,2,43,.,.,.,.,.,.,.,.,.,55,27,64,27,0,36,9,0,36,35,23,55,22,12,43,10,2,25,18,10,45,13,0,25,3,0,20,17,11,39,17,11,33,5,0,16,30,23,62,31,15,56,15,6,32,"BANDERA ISD",33,23,60,29,14,52,13,6,38,29,24,66,29,11,61,16,3,34,20,20,20,20,20,40,-1,-1,-1
"'011901",18,7,36,10,2,35,5,0,17,29,12,53,39,17,67,18,6,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,23,10,43,20,8,47,11,2,30,10,0,33,10,0,57,0,0,17,18,8,39,16,6,43,10,2,26,17,9,37,19,8,49,13,2,32,18,7,38,15,3,41,8,1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,7,34,8,2,33,4,0,15,28,11,48,21,8,46,10,1,28,16,6,34,10,2,37,5,1,18,9,2,13,8,2,15,5,1,6,38,20,61,39,23,67,24,5,52,"BASTROP ISD",26,12,48,24,9,51,13,2,33,13,5,31,9,5,38,6,1,21,24,7,38,14,7,41,7,3,27
"'011902",13,7,40,17,7,43,9,1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,8,44,22,7,52,12,1,32,21,0,42,29,0,63,8,0,17,17,6,39,18,7,43,10,1,24,19,7,40,29,10,54,14,1,38,20,8,43,20,7,48,12,1,31,.,.,.,.,.,.,.,.,.,13,7,40,17,7,41,8,1,23,26,9,48,16,4,51,10,1,25,13,6,37,16,7,38,8,1,21,34,3,38,37,7,43,24,0,24,39,13,52,32,13,77,17,0,50,"ELGIN ISD",23,10,47,23,8,53,13,1,33,22,5,39,21,5,52,10,0,28,30,10,40,0,0,30,11,0,44
