DISTRICT,DD004AMA1221R,DD004AMA1321R,DD004AMA1S21R,DD004ARE1221R,DD004ARE1321R,DD004ARE1S21R,DD004AWR1221R,DD004AWR1321R,DD004AWR1S21R,DD204AMA1221R,DD204AMA1321R,DD204AMA1S21R,DD204ARE1221R,DD204ARE1321R,DD204ARE1S21R,DD204AWR1221R,DD204AWR1321R,DD204AWR1S21R,DD304AMA1221R,DD304AMA1321R,DD304AMA1S21R,DD304ARE1221R,DD304ARE1321R,DD304ARE1S21R,DD304AWR1221R,DD304AWR1321R,DD304AWR1S21R,DD404AMA1221R,DD404AMA1321R,DD404AMA1S21R,DD404ARE1221R,DD404ARE1321R,DD404ARE1S21R,DD404AWR1221R,DD404AWR1321R,DD404AWR1S21R,DDA04AMA1221R,DDA04AMA1321R,DDA04AMA1S21R,DDA04ARE1221R,DDA04ARE1321R,DDA04ARE1S21R,DDA04AWR1221R,DDA04AWR1321R,DDA04AWR1S21R,DDB04AMA1221R,DDB04AMA1321R,DDB04AMA1S21R,DDB04ARE1221R,DDB04ARE1321R,DDB04ARE1S21R,DDB04AWR1221R,DDB04AWR1321R,DDB04AWR1S21R,DDE04AMA1221R,DDE04AMA1321R,DDE04AMA1S21R,DDE04ARE1221R,DDE04ARE1321R,DDE04ARE1S21R,DDE04AWR1221R,DDE04AWR1321R,DDE04AWR1S21R,DDF04AMA1221R,DDF04AMA1321R,DDF04AMA1S21R,DDF04ARE1221R,DDF04ARE1321R,DDF04ARE1S21R,DDF04AWR1221R,DDF04AWR1321R,DDF04AWR1S21R,DDH04AMA1221R,DDH04AMA1321R,DDH04AMA1S21R,DDH04ARE1221R,DDH04ARE1321R,DDH04ARE1S21R,DDH04AWR1221R,DDH04AWR1321R,DDH04AWR1S21R,DDI04AMA1221R,DDI04AMA1321R,DDI04AMA1S21R,DDI04ARE1221R,DDI04ARE1321R,DDI04ARE1S21R,DDI04AWR1221R,DDI04AWR1321R,DDI04AWR1S21R,DDL04AMA1221R,DDL04AMA1321R,DDL04AMA1S21R,DDL04ARE1221R,DDL04ARE1321R,DDL04ARE1S21R,DDL04AWR1221R,DDL04AWR1321R,DDL04AWR1S21R,DDM04AMA1221R,DDM04AMA1321R,DDM04AMA1S21R,DDM04ARE1221R,DDM04ARE1321R,DDM04ARE1S21R,DDM04AWR1221R,DDM04AWR1321R,DDM04AWR1S21R,DDR04AMA1221R,DDR04AMA1321R,DDR04AMA1S21R,DDR04ARE1221R,DDR04ARE1321R,DDR04ARE1S21R,DDR04AWR1221R,DDR04AWR1321R,DDR04AWR1S21R,DDS04AMA1221R,DDS04AMA1321R,DDS04AMA1S21R,DDS04ARE1221R,DDS04ARE1321R,DDS04ARE1S21R,DDS04AWR1221R,DDS04AWR1321R,DDS04AWR1S21R,DDW04AMA1221R,DDW04AMA1321R,DDW04AMA1S21R,DDW04ARE1221R,DDW04ARE1321R,DDW04ARE1S21R,DDW04AWR1221R,DDW04AWR1321R,DDW04AWR1S21R,DISTNAME,DNC04AMA1221R,DNC04AMA1321R,DNC04AMA1S21R,DNC04ARE1221R,DNC04ARE1321R,DNC04ARE1S21R,DNC04AWR1221R,DNC04AWR1321R,DNC04AWR1S21R,DNM04AMA1221R,DNM04AMA1321R,DNM04AMA1S21R,DNM04ARE1221R,DNM04ARE1321R,DNM04ARE1S21R,DNM04AWR1221R,DNM04AWR1321R,DNM04AWR1S21R,DNS04AMA1221R,DNS04AMA1321R,DNS04AMA1S21R,DNS04ARE1221R,DNS04ARE1321R,DNS04ARE1S21R,DNS04AWR1221R,DNS04AWR1321R,DNS04AWR1S21R
"'057828",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WINFREE ACADEMY CHARTER SCHOOLS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'057829",20,10,54,20,5,44,3,3,20,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,18,9,50,18,5,46,5,2,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,10,51,17,4,44,6,3,19,17,6,40,20,6,46,6,3,20,20,9,51,18,5,45,5,3,21,.,.,.,.,.,.,.,.,.,12,6,45,10,0,33,0,0,8,19,11,57,17,4,47,4,2,23,12,6,45,10,0,33,0,0,8,20,0,20,40,0,40,20,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,"A+ ACADEMY",24,14,51,22,6,49,6,4,20,9,0,48,12,3,42,3,0,24,.,.,.,.,.,.,.,.,.
"'057830",22,12,43,14,4,29,10,4,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,10,39,17,4,39,11,2,23,60,20,80,40,20,80,0,0,60,17,9,39,16,4,41,9,3,21,26,12,35,24,5,45,19,5,37,17,9,36,16,3,36,12,3,21,.,.,.,.,.,.,.,.,.,14,7,36,5,0,19,2,0,10,13,8,43,10,3,33,3,0,8,14,7,35,5,0,21,2,0,9,14,14,14,0,0,29,0,0,0,.,.,.,.,.,.,.,.,.,"INSPIRED VISION ACADEMY",23,14,41,21,5,43,13,4,29,11,0,33,8,0,31,7,0,11,.,.,.,.,.,.,.,.,.
"'057831",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,0,23,30,13,39,10,0,25,9,0,23,30,13,39,10,0,25,11,0,21,30,10,40,12,0,24,10,0,10,30,10,40,13,0,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,0,33,31,15,38,8,0,25,7,0,7,7,0,20,0,0,0,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,"GATEWAY CHARTER ACADEMY",9,0,36,42,17,58,9,0,36,9,0,9,18,9,18,11,0,11,.,.,.,.,.,.,.,.,.
"'057833",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,8,37,21,8,49,24,7,55,10,0,20,20,10,40,25,0,38,12,8,32,12,12,35,21,4,33,16,3,32,18,5,45,19,6,50,21,14,36,14,7,43,21,21,36,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,17,43,26,13,57,32,9,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,14,43,29,14,57,29,0,43,19,6,42,19,9,53,23,3,61,"EDUCATION CENTER INTERNATIONAL ACA",17,4,33,16,4,56,22,4,61,22,11,39,25,11,44,26,9,51,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'057834",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EVOLUTION ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'057835",38,27,76,29,15,58,17,3,41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,26,75,34,13,62,18,3,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,26,75,34,13,62,18,3,46,36,27,68,34,14,64,20,2,47,38,27,75,33,13,63,19,4,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,24,75,26,12,57,15,2,38,38,24,83,34,12,60,16,5,45,36,26,77,27,12,58,17,3,38,42,17,83,25,8,42,23,8,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,"GOLDEN RULE CHARTER SCHOOL",40,28,79,37,13,62,19,2,49,27,20,63,27,13,63,13,7,37,.,.,.,.,.,.,.,.,.
"'057836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,0,50,38,0,88,43,0,71,25,0,50,38,0,88,43,0,71,25,0,50,38,0,88,43,0,71,40,0,40,40,0,80,60,0,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ST ANTHONY SCHOOL",20,0,40,40,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.
"'057839",15,3,39,19,3,46,22,3,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,8,43,19,6,46,24,6,49,.,.,.,.,.,.,.,.,.,19,9,45,21,7,48,25,7,51,10,2,36,19,5,50,28,5,60,18,8,42,19,6,47,24,6,50,.,.,.,.,.,.,.,.,.,15,3,39,19,3,46,22,3,48,26,14,50,19,7,43,19,7,38,15,3,39,19,3,46,22,3,48,17,0,42,17,0,17,8,0,25,.,.,.,.,.,.,.,.,.,"LA ACADEMIA DE ESTRELLAS",19,7,48,21,6,51,24,6,52,12,12,24,12,6,29,22,6,39,.,.,.,.,.,.,.,.,.
"'057840",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RICHLAND COLLEGIATE HIGH SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
